Date,Rate,High (est),Low (est)
2015-11-18,1.06557,0.0,0.0
2015-11-17,1.06856,0.0,0.0
2015-11-16,1.07394,1.0868,1.0612
2015-11-13,1.07649,0.0,0.0
2015-11-12,1.07485,1.0875,1.0624
2015-11-11,1.07359,0.0,0.0
2015-11-10,1.07402,1.0872,1.061
2015-11-09,1.07853,1.0913,1.0659
2015-11-06,1.0847,1.0981,1.0715
2015-11-05,1.08869,1.1022,1.0753
2015-11-04,1.09452,1.1076,1.0816
2015-11-03,1.10033,1.113,1.0878
2015-11-02,1.10173,1.1148,1.0888
2015-10-30,1.09814,1.1112,1.0852
2015-10-29,1.09774,1.1109,1.0847
2015-10-28,1.10417,0.0,0.0
2015-10-27,1.10451,0.0,0.0
2015-10-26,1.10522,1.1182,1.0923
2015-10-23,1.11529,1.1276,1.1031
2015-10-22,1.12982,1.1426,1.1172
2015-10-21,1.13493,0.0,0.0
2015-10-20,1.13446,1.148,1.1211
2015-10-19,1.13538,1.1481,1.1228
2015-10-16,1.13944,1.1532,1.1259
2015-10-15,1.143,1.1566,1.1296
2015-10-14,1.14002,1.1533,1.1269
2015-10-13,1.13723,1.1501,1.1245
2015-10-12,1.13522,0.0,0.0
2015-10-09,1.13007,0.0,0.0
2015-10-08,1.12626,1.1394,1.1133
2015-10-07,1.12411,1.1372,1.1111
2015-10-06,1.12188,1.135,1.1089
2015-10-05,1.12155,1.1348,1.1084
2015-10-02,1.11898,0.0,0.0
2015-10-01,1.11853,1.1319,1.1053
2015-09-30,1.12271,0.0,0.0
2015-09-29,1.12255,0.0,0.0
2015-09-28,1.11883,1.1321,1.1057
2015-09-25,1.11888,0.0,0.0
2015-09-24,1.11885,1.1314,1.1064
2015-09-23,1.11547,0.0,0.0
2015-09-22,1.12034,1.1337,1.1071
2015-09-21,1.13151,1.1443,1.1189
2015-09-18,1.13679,0.0,0.0
2015-09-17,1.13029,0.0,0.0
2015-09-16,1.12848,1.1411,1.116
2015-09-15,1.13118,0.0,0.0
2015-09-14,1.13165,1.1448,1.1186
2015-09-11,1.12698,1.1405,1.1136
2015-09-10,1.12069,1.1336,1.1079
2015-09-09,1.11779,1.1303,1.1054
2015-09-08,1.11725,1.131,1.1037
2015-09-07,1.11475,0.0,0.0
2015-09-04,1.11529,1.1286,1.1021
2015-09-03,1.12179,0.0,0.0
2015-09-02,1.12648,0.0,0.0
2015-09-01,1.12484,1.1375,1.1123
2015-08-31,1.12279,0.0,0.0
2015-08-28,1.12619,0.0,0.0
2015-08-27,1.13516,1.1483,1.1222
2015-08-26,1.14755,0.0,0.0
2015-08-25,1.15072,1.1639,1.1377
2015-08-24,1.14164,0.0,0.0
2015-08-21,1.12375,0.0,0.0
2015-08-20,1.11201,1.1249,1.0992
2015-08-19,1.10561,1.1183,1.0931
2015-08-18,1.10714,0.0,0.0
2015-08-17,1.11111,1.1237,1.0987
2015-08-14,1.11398,0.0,0.0
2015-08-13,1.11276,1.1255,1.1001
2015-08-12,1.10816,1.1215,1.095
2015-08-11,1.10041,1.1129,1.088
2015-08-10,1.09579,1.1086,1.0831
2015-08-07,1.09218,0.0,0.0
2015-08-06,1.08965,0.0,0.0
2015-08-05,1.09039,1.1028,1.0782
2015-08-04,1.09566,0.0,0.0
2015-08-03,1.09713,1.1093,1.085
2015-07-31,1.09667,1.1089,1.0846
2015-07-30,1.09865,1.112,1.0855
2015-07-29,1.10536,0.0,0.0
2015-07-28,1.10587,1.1194,1.0925
2015-07-27,1.10188,1.1141,1.0898
2015-07-24,1.09679,1.109,1.0847
2015-07-23,1.0951,1.108,1.0824
2015-07-22,1.09031,0.0,0.0
2015-07-21,1.08571,1.0986,1.073
2015-07-20,1.08514,1.0981,1.0724
2015-07-17,1.0889,0.0,0.0
2015-07-16,1.09389,1.1072,1.0808
2015-07-15,1.09972,0.0,0.0
2015-07-14,1.10377,0.0,0.0
2015-07-13,1.10981,0.0,0.0
2015-07-10,1.10961,0.0,0.0
2015-07-09,1.10431,0.0,0.0
2015-07-08,1.10165,0.0,0.0
2015-07-07,1.10161,0.0,0.0
2015-07-06,1.10636,0.0,0.0
2015-07-03,1.10879,1.1211,1.0966
2015-07-02,1.1085,1.1221,1.095
2015-07-01,1.11333,1.1272,1.0996
2015-06-30,1.11515,1.1288,1.1016
2015-06-29,1.11296,1.1253,1.1007
2015-06-26,1.11912,1.1323,1.1061
2015-06-25,1.11975,1.1321,1.1075
2015-06-24,1.12106,0.0,0.0
2015-06-23,1.12887,0.0,0.0
2015-06-22,1.13575,1.1492,1.1225
2015-06-19,1.13563,1.1488,1.1226
2015-06-18,1.13345,1.1467,1.1203
2015-06-17,1.12638,1.1391,1.1138
2015-06-16,1.12496,0.0,0.0
2015-06-15,1.12363,0.0,0.0
2015-06-12,1.12527,1.1381,1.1126
2015-06-11,1.12855,0.0,0.0
2015-06-10,1.12952,1.1425,1.1167
2015-06-09,1.12389,1.1374,1.1105
2015-06-08,1.11706,1.1306,1.1037
2015-06-05,1.12194,1.1352,1.1088
2015-06-04,1.12411,0.0,0.0
2015-06-03,1.11242,1.1261,1.0989
2015-06-02,1.09895,1.1119,1.0861
2015-06-01,1.09494,0.0,0.0
2015-05-29,1.09482,0.0,0.0
2015-05-28,1.0906,1.1039,1.0774
2015-05-27,1.08979,1.1022,1.0775
2015-05-26,1.09419,1.1069,1.0816
2015-05-25,1.10252,1.116,1.0892
2015-05-22,1.11095,1.1243,1.0977
2015-05-21,1.11215,0.0,0.0
2015-05-20,1.11575,1.1289,1.1027
2015-05-19,1.12871,1.1417,1.1159
2015-05-18,1.13962,0.0,0.0
2015-05-15,1.13946,1.1535,1.1256
2015-05-14,1.13407,0.0,0.0
2015-05-13,1.12479,1.1381,1.1116
2015-05-12,1.11874,0.0,0.0
2015-05-11,1.11849,1.1321,1.1051
2015-05-08,1.12609,1.1387,1.1136
2015-05-07,1.12964,1.1429,1.1165
2015-05-06,1.12155,1.1341,1.1092
2015-05-05,1.11549,1.1281,1.103
2015-05-04,1.11875,1.1321,1.1056
2015-05-01,1.11988,1.1331,1.1068
2015-04-30,1.11106,1.124,1.0983
2015-04-29,1.09863,0.0,0.0
2015-04-28,1.08985,1.1032,1.0767
2015-04-27,1.08548,0.0,0.0
2015-04-24,1.0803,0.0,0.0
2015-04-23,1.07452,0.0,0.0
2015-04-22,1.07334,1.0853,1.0615
2015-04-21,1.07379,1.0867,1.0611
2015-04-20,1.07742,0.0,0.0
2015-04-17,1.07571,1.0887,1.0629
2015-04-16,1.06808,1.0806,1.0557
2015-04-15,1.06201,1.0741,1.05
2015-04-14,1.05925,0.0,0.0
2015-04-13,1.05993,1.0723,1.0477
2015-04-10,1.06708,1.0789,1.0554
2015-04-09,1.07711,1.0899,1.0644
2015-04-08,1.08542,1.0974,1.0735
