Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,10400.00,10500.00,9900.00,10300.00,101200,10300.00
2015-08-06,10500.00,10500.00,9800.00,10300.00,116000,10300.00
2015-08-05,10200.00,10400.00,10200.00,10400.00,114200,10400.00
2015-08-04,9900.00,10300.00,9900.00,10200.00,103400,10200.00
2015-08-03,10000.00,10100.00,9600.00,9900.00,78000,9900.00
2015-07-31,10100.00,10300.00,9900.00,10100.00,91300,10100.00
2015-07-30,9400.00,10100.00,8800.00,10100.00,90100,10100.00
2015-07-29,9300.00,9400.00,9300.00,9400.00,45000,9400.00
2015-07-28,9900.00,10000.00,9400.00,9400.00,40600,9400.00
2015-07-27,9300.00,10000.00,9200.00,10000.00,92100,10000.00
2015-07-24,9200.00,9300.00,9200.00,9300.00,45800,9300.00
2015-07-23,9200.00,9500.00,9200.00,9300.00,53100,9300.00
2015-07-22,9100.00,9500.00,9100.00,9500.00,39200,9500.00
2015-07-21,9000.00,9400.00,9000.00,9200.00,62900,9200.00
2015-07-20,9000.00,9100.00,8900.00,9100.00,26500,9100.00
2015-07-17,8900.00,9100.00,8800.00,9100.00,56000,9100.00
2015-07-16,8900.00,9100.00,8700.00,9000.00,104000,9000.00
2015-07-15,8700.00,8900.00,8600.00,8900.00,60700,8900.00
2015-07-14,8700.00,8800.00,8600.00,8700.00,42000,8700.00
2015-07-13,8600.00,8700.00,8600.00,8700.00,33000,8700.00
2015-07-10,8500.00,8600.00,8200.00,8600.00,51400,8600.00
2015-07-09,8500.00,8500.00,8200.00,8200.00,44000,8200.00
2015-07-08,8500.00,8500.00,8300.00,8300.00,53500,8300.00
2015-07-07,8500.00,8500.00,8500.00,8500.00,41500,8500.00
2015-07-06,8500.00,8600.00,8400.00,8500.00,61500,8500.00
2015-07-03,8500.00,8600.00,8400.00,8500.00,31000,8500.00
2015-07-02,8400.00,8500.00,8200.00,8500.00,27000,8500.00
2015-07-01,8300.00,8400.00,8200.00,8300.00,12000,8300.00
2015-06-30,8200.00,8500.00,8200.00,8300.00,28300,8300.00
2015-06-29,8200.00,8200.00,8100.00,8200.00,25000,8200.00
2015-06-26,8200.00,8400.00,8200.00,8300.00,32000,8300.00
