Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,58.810001,59.75,58.00,59.610001,2469300,59.610001
2015-08-06,60.32,60.790001,58.73,58.869999,2922600,58.869999
2015-08-05,59.139999,60.84,58.869999,60.700001,3227900,60.700001
2015-08-04,58.529999,59.200001,58.049999,58.48,1615500,58.48
2015-08-03,58.43,59.040001,58.349998,58.669998,2035800,58.669998
2015-07-31,59.049999,59.049999,58.209999,58.330002,1930700,58.330002
2015-07-30,58.66,59.060001,57.98,58.82,2125800,58.82
2015-07-29,58.869999,59.009998,58.25,58.790001,2348400,58.790001
2015-07-28,58.27,59.560001,57.619999,58.990002,2559400,58.990002
2015-07-27,58.220001,58.400002,57.529999,57.889999,2081600,57.889999
2015-07-24,60.369999,60.59,58.360001,58.490002,2500400,58.490002
2015-07-23,58.990002,61.220001,58.75,60.049999,3234300,60.049999
2015-07-22,58.73,58.950001,57.16,58.650002,5679200,58.650002
2015-07-21,61.900002,62.470001,60.599998,62.080002,1631200,62.080002
2015-07-20,62.610001,62.73,61.950001,61.990002,1388400,61.990002
2015-07-17,62.82,62.830002,62.060001,62.459999,1567000,62.459999
2015-07-16,62.509998,63.25,62.240002,62.830002,1782600,62.830002
2015-07-15,62.240002,63.150002,62.139999,62.919998,2249200,62.919998
2015-07-14,62.00,62.77,61.900002,62.619999,1938600,62.619999
2015-07-13,62.060001,62.150002,61.650002,61.869999,1581300,61.869999
2015-07-10,61.400002,62.049999,61.09,61.509998,1777300,61.509998
2015-07-09,62.82,63.220001,60.880001,60.889999,3327300,60.889999
2015-07-08,62.799999,62.98,61.389999,61.939999,2943500,61.939999
2015-07-07,63.470001,63.66,61.689999,63.380001,2417800,63.380001
2015-07-06,63.849998,64.309998,63.369999,63.59,2052700,63.59
2015-07-02,64.580002,64.900002,63.900002,64.379997,1860000,64.379997
2015-07-01,65.080002,66.279999,64.379997,64.57,2100300,64.57
2015-06-30,64.339996,64.68,63.82,64.190002,1910400,64.190002
2015-06-29,65.410004,65.599998,63.830002,63.990002,2732600,63.990002
2015-06-26,66.370003,67.169998,65.260002,65.800003,5066000,65.800003
2015-06-25,67.059998,67.330002,66.300003,66.589996,1589300,66.589996
2015-06-24,67.459999,67.650002,66.75,66.839996,1359800,66.839996
2015-06-23,68.040001,68.260002,67.389999,67.529999,1391800,67.529999
2015-06-22,68.339996,68.599998,67.410004,68.019997,1999900,68.019997
2015-06-19,68.339996,68.550003,67.290001,67.910004,3140200,67.910004
2015-06-18,67.599998,68.629997,67.510002,68.300003,1988400,68.300003
2015-06-17,66.82,67.610001,66.82,67.230003,2113500,67.230003
2015-06-16,66.550003,66.940002,66.339996,66.629997,1382800,66.629997
2015-06-15,65.75,66.769997,65.370003,66.699997,1701900,66.699997
2015-06-12,66.75,66.919998,66.07,66.260002,1240000,66.260002
2015-06-11,67.739998,67.849998,67.129997,67.220001,1380200,67.220001
2015-06-10,66.080002,67.879997,65.739998,67.720001,2994500,67.720001
2015-06-09,66.07,66.389999,65.269997,65.690002,2269100,65.690002
2015-06-08,67.43,67.519997,65.720001,65.949997,2301300,65.949997
2015-06-05,66.949997,67.610001,66.410004,67.370003,1769500,67.370003
2015-06-04,66.919998,67.43,66.620003,66.940002,2160000,66.940002
2015-06-03,68.080002,68.080002,67.190002,67.290001,1227200,67.290001
2015-06-02,68.690002,68.699997,67.510002,67.709999,1819000,67.709999
2015-06-01,68.410004,68.970001,67.800003,68.75,2453000,68.75
2015-05-29,68.50,68.510002,67.589996,67.959999,2362000,67.959999
2015-05-28,68.349998,68.75,67.68,68.309998,1722500,68.309998
2015-05-27,66.57,68.440002,66.480003,68.290001,2995700,68.290001
2015-05-26,66.949997,67.150002,65.940002,66.849998,2970000,66.449999
2015-05-22,65.540001,67.470001,65.470001,67.099998,3560300,66.698504
2015-05-21,66.00,66.019997,65.050003,65.489998,3560700,65.098136
2015-05-20,64.199997,66.849998,64.00,66.18,7012400,65.78401
2015-05-19,63.799999,64.339996,63.299999,63.450001,4538900,63.070346
2015-05-18,63.23,63.709999,63.029999,63.360001,3453600,62.980884
2015-05-15,63.889999,63.93,62.959999,63.18,2333200,62.801961
2015-05-14,62.970001,63.830002,62.709999,63.400002,1918800,63.020646
2015-05-13,62.25,62.869999,62.029999,62.240002,1659000,61.867587
2015-05-12,62.240002,62.490002,61.59,62.080002,1614400,61.708544
2015-05-11,62.75,63.00,62.630001,62.639999,1396700,62.265191
