Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,23.57,23.57,23.57,23.57,400,23.57
2015-08-06,23.65,23.65,23.65,23.65,3900,23.65
2015-08-05,23.68,23.719999,23.68,23.719999,2000,23.719999
2015-08-04,23.530001,23.530001,23.530001,23.530001,2300,23.530001
2015-08-03,23.77,23.780001,23.50,23.50,5400,23.50
2015-07-31,23.620001,23.780001,23.620001,23.639999,5100,23.639999
2015-07-30,23.48,23.48,23.48,23.48,300,23.48
2015-07-29,23.60,23.629999,23.49,23.629999,5300,23.629999
2015-07-28,23.40,23.459999,23.40,23.41,1600,23.41
2015-07-27,23.16,23.200001,23.15,23.15,2300,23.15
2015-07-24,23.379999,23.379999,23.10,23.10,1300,23.10
2015-07-23,23.50,23.50,23.50,23.50,000,23.50
2015-07-22,23.549999,23.549999,23.469999,23.50,600,23.50
2015-07-21,23.799999,23.799999,23.719999,23.73,2100,23.73
2015-07-20,23.809999,23.809999,23.809999,23.809999,1500,23.809999
2015-07-17,23.860001,23.860001,23.860001,23.860001,200,23.860001
2015-07-16,23.91,23.950001,23.780001,23.950001,1400,23.950001
2015-07-15,23.74,23.74,23.74,23.74,000,23.74
2015-07-14,23.66,23.74,23.66,23.74,51000,23.74
2015-07-13,23.51,23.51,23.51,23.51,200,23.51
2015-07-10,23.389999,23.40,23.33,23.40,2400,23.40
2015-07-09,22.719999,22.91,22.65,22.65,4700,22.65
2015-07-08,22.51,22.51,22.51,22.51,400,22.51
2015-07-07,22.530001,22.620001,22.219999,22.59,5200,22.59
2015-07-06,22.700001,22.719999,22.58,22.60,2100,22.60
2015-07-02,23.139999,23.27,23.08,23.15,5900,23.15
2015-07-01,23.139999,23.139999,23.059999,23.059999,500,23.059999
2015-06-30,23.33,23.33,22.969999,22.969999,900,22.969999
2015-06-29,23.389999,23.389999,23.129999,23.129999,7100,23.129999
2015-06-26,23.950001,23.950001,23.950001,23.950001,500,23.950001
2015-06-25,23.889999,23.93,23.83,23.83,2700,23.83
2015-06-24,24.09,24.09,23.90,23.969999,2200,23.969999
2015-06-23,23.99,24.09,23.99,24.09,1800,24.09
2015-06-22,23.959999,24.139999,23.959999,24.07,1300,24.07
2015-06-19,23.67,23.68,23.620001,23.68,500,23.68
2015-06-18,23.68,23.90,23.68,23.90,700,23.707
2015-06-17,23.60,23.60,23.60,23.60,000,23.409423
2015-06-16,23.57,23.60,23.52,23.60,2600,23.409423
2015-06-15,23.52,23.52,23.52,23.52,600,23.330069
2015-06-12,23.83,23.83,23.83,23.83,300,23.637566
2015-06-11,23.870001,23.870001,23.870001,23.870001,000,23.677243
2015-06-10,23.700001,23.870001,23.700001,23.870001,6100,23.677243
2015-06-09,23.379999,23.51,23.33,23.459999,3100,23.270553
2015-06-08,23.57,23.57,23.469999,23.52,1300,23.330069
2015-06-05,23.57,23.610001,23.50,23.610001,2000,23.419343
2015-06-04,23.959999,24.00,23.959999,23.99,7300,23.796273
2015-06-03,24.219999,24.219999,24.049999,24.139999,3500,23.945062
2015-06-02,23.809999,23.90,23.809999,23.90,300,23.707
2015-06-01,23.90,23.90,23.51,23.790001,6600,23.59789
2015-05-29,23.90,23.940001,23.90,23.92,500,23.726839
2015-05-28,24.08,24.08,23.98,24.059999,1300,23.865708
2015-05-27,23.91,23.91,23.91,23.91,000,23.71692
2015-05-26,23.91,23.91,23.91,23.91,800,23.71692
2015-05-22,24.450001,24.450001,24.26,24.389999,700,24.193043
2015-05-21,24.540001,24.549999,24.52,24.52,600,24.321994
2015-05-20,24.25,24.299999,24.25,24.290001,1900,24.093852
2015-05-19,24.26,24.26,24.129999,24.23,2700,24.034335
2015-05-18,24.27,24.309999,24.219999,24.26,1700,24.064094
2015-05-15,24.43,24.48,24.35,24.48,3100,24.282316
2015-05-14,24.42,24.48,24.42,24.42,2400,24.222801
2015-05-13,24.299999,24.33,24.299999,24.33,1000,24.133528
2015-05-12,24.17,24.17,24.17,24.17,400,23.97482
2015-05-11,24.129999,24.24,24.129999,24.24,1400,24.044255
2015-05-08,24.040001,24.280001,24.040001,24.190001,3500,23.994659
2015-05-07,23.65,23.67,23.540001,23.66,10800,23.468938
2015-05-06,23.65,23.65,23.65,23.65,000,23.459019
2015-05-05,23.90,23.90,23.65,23.65,7900,23.459019
2015-05-04,24.059999,24.059999,23.91,23.91,300,23.71692
2015-05-01,23.799999,23.799999,23.799999,23.799999,800,23.607807
2015-04-30,23.98,23.98,23.74,23.74,3900,23.548292
2015-04-29,24.030001,24.030001,23.90,23.90,400,23.707
2015-04-28,23.799999,24.120001,23.799999,24.120001,800,23.925225
2015-04-27,24.139999,24.280001,24.10,24.110001,2800,23.915305
2015-04-24,23.90,24.00,23.870001,23.91,1800,23.71692
2015-04-23,23.709999,23.879999,23.629999,23.870001,1700,23.677243
2015-04-22,23.65,23.65,23.65,23.65,900,23.459019
2015-04-21,23.709999,23.709999,23.700001,23.700001,1200,23.508616
2015-04-20,23.629999,23.65,23.549999,23.559999,1600,23.369745
2015-04-17,23.57,23.57,23.43,23.540001,1600,23.349908
2015-04-16,23.629999,23.860001,23.629999,23.860001,800,23.667324
2015-04-15,23.700001,23.719999,23.639999,23.68,1800,23.488777
2015-04-14,23.66,23.709999,23.639999,23.709999,1500,23.518534
2015-04-13,23.50,23.59,23.450001,23.459999,8000,23.270553
2015-04-10,23.50,23.50,23.50,23.50,300,23.310231
2015-04-09,23.50,23.50,23.50,23.50,400,23.310231
2015-04-08,23.620001,23.620001,23.440001,23.459999,2800,23.270553
2015-04-07,23.57,23.57,23.540001,23.540001,700,23.349908
2015-04-06,23.280001,23.450001,23.280001,23.440001,4500,23.250716
2015-04-02,23.200001,23.200001,23.10,23.10,1400,22.913461
2015-04-01,22.950001,23.049999,22.950001,23.049999,1600,22.863864
2015-03-31,22.870001,22.940001,22.83,22.91,7700,22.724995
2015-03-30,23.209999,23.299999,23.129999,23.209999,1900,23.022571
2015-03-27,23.129999,23.190001,23.07,23.139999,44900,22.953137
2015-03-26,23.00,23.15,23.00,23.09,500,22.903542
2015-03-25,23.610001,23.610001,23.280001,23.290001,3200,23.101927
2015-03-24,23.59,23.59,23.43,23.50,1800,23.310231
2015-03-23,23.459999,23.60,23.450001,23.57,41600,23.379665
2015-03-20,23.219999,23.540001,23.219999,23.48,3600,23.290392
2015-03-19,22.959999,22.959999,22.84,22.92,2200,22.734914
2015-03-18,22.540001,23.290001,22.540001,23.23,3900,23.04241
2015-03-17,22.549999,22.549999,22.530001,22.530001,700,22.348064
2015-03-16,22.52,22.66,22.52,22.66,3000,22.477014
2015-03-13,22.370001,22.370001,22.200001,22.290001,1700,22.110003
2015-03-12,22.48,22.49,22.41,22.41,2200,22.229032
2015-03-11,22.389999,22.389999,22.280001,22.35,3400,22.169517
2015-03-10,22.620001,22.620001,22.309999,22.309999,56500,22.12984
2015-03-09,22.83,22.959999,22.83,22.950001,5300,22.764673
2015-03-06,23.139999,23.139999,22.889999,22.889999,15100,22.705156
2015-03-05,23.43,23.43,23.32,23.40,2900,23.211038
2015-03-04,23.33,23.35,23.299999,23.299999,1400,23.111845
2015-03-03,23.450001,23.450001,23.299999,23.389999,1500,23.201118
2015-03-02,23.549999,23.549999,23.48,23.530001,1800,23.339989
2015-02-27,23.67,23.67,23.59,23.59,4600,23.399504
2015-02-26,23.610001,23.610001,23.52,23.52,18300,23.330069
2015-02-25,23.58,23.610001,23.58,23.610001,3000,23.419343
2015-02-24,23.639999,23.639999,23.57,23.610001,600,23.419343
2015-02-23,23.51,23.51,23.43,23.459999,2300,23.270553
2015-02-20,23.209999,23.58,23.209999,23.58,33400,23.389584
2015-02-19,23.41,23.450001,23.389999,23.389999,1900,23.201118
2015-02-18,23.32,23.40,23.32,23.34,3300,23.151523
2015-02-17,23.33,23.33,23.18,23.200001,1400,23.012654
2015-02-13,23.15,23.27,23.15,23.27,2100,23.082088
2015-02-12,22.90,23.139999,22.90,23.139999,2700,22.953137
2015-02-11,22.68,22.75,22.68,22.75,2900,22.566287
2015-02-10,22.809999,22.809999,22.76,22.77,6800,22.586126
2015-02-09,22.50,22.75,22.50,22.74,19500,22.556368
2015-02-06,22.799999,22.85,22.74,22.74,4800,22.556368
2015-02-05,22.90,22.90,22.889999,22.889999,200,22.705156
2015-02-04,22.719999,22.90,22.690001,22.690001,1800,22.506772
2015-02-03,22.690001,22.969999,22.690001,22.969999,5300,22.78451
2015-02-02,22.35,22.43,22.27,22.43,1500,22.248871
2015-01-30,22.40,22.40,22.219999,22.219999,400,22.040566
2015-01-29,22.43,22.48,22.35,22.48,7400,22.298467
2015-01-28,22.52,22.540001,22.360001,22.360001,4200,22.179437
2015-01-27,22.74,22.74,22.74,22.74,500,22.556368
2015-01-26,22.60,22.719999,22.540001,22.68,5600,22.496853
2015-01-23,22.450001,22.57,22.450001,22.48,2500,22.298467
2015-01-22,22.41,22.58,22.34,22.549999,4900,22.367901
2015-01-21,22.309999,22.42,22.24,22.42,5800,22.238952
2015-01-20,22.18,22.200001,22.139999,22.15,1100,21.971132
2015-01-16,21.91,22.09,21.91,22.09,1300,21.911617
2015-01-15,21.83,21.870001,21.709999,21.870001,6400,21.693394
2015-01-14,21.67,21.67,21.57,21.57,700,21.395816
2015-01-13,21.700001,21.889999,21.67,21.67,2200,21.495008
2015-01-12,21.68,21.700001,21.50,21.68,4600,21.504928
2015-01-09,21.719999,21.73,21.549999,21.719999,15400,21.544604
2015-01-08,21.889999,21.940001,21.82,21.82,3000,21.643797
2015-01-07,21.41,21.52,21.41,21.52,1500,21.34622
