Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.17,0.18,0.16,0.17,5701300,0.17
2015-08-06,0.17,0.18,0.17,0.17,3258600,0.17
2015-08-05,0.18,0.18,0.17,0.18,3271600,0.18
2015-08-04,0.18,0.18,0.16,0.18,4178800,0.18
2015-08-03,0.19,0.19,0.18,0.18,2491300,0.18
2015-07-31,0.18,0.19,0.18,0.18,2820100,0.18
2015-07-30,0.19,0.19,0.18,0.19,3774900,0.19
2015-07-29,0.20,0.21,0.18,0.19,6617900,0.19
2015-07-28,0.19,0.20,0.19,0.20,3987500,0.20
2015-07-27,0.21,0.21,0.19,0.19,5480000,0.19
2015-07-24,0.20,0.21,0.20,0.21,1997400,0.21
2015-07-23,0.22,0.22,0.19,0.20,4029900,0.20
2015-07-22,0.22,0.22,0.20,0.21,2207800,0.21
2015-07-21,0.21,0.21,0.20,0.21,2964900,0.21
2015-07-20,0.22,0.22,0.19,0.20,7795400,0.20
2015-07-17,0.23,0.23,0.21,0.22,2880000,0.22
2015-07-16,0.23,0.23,0.21,0.22,4614200,0.22
2015-07-15,0.24,0.24,0.22,0.23,3299200,0.23
2015-07-14,0.25,0.25,0.23,0.24,3680500,0.24
2015-07-13,0.25,0.25,0.24,0.24,2864400,0.24
2015-07-10,0.23,0.25,0.23,0.24,5043300,0.24
2015-07-09,0.24,0.24,0.23,0.23,3816300,0.23
2015-07-08,0.25,0.25,0.23,0.24,4172900,0.24
2015-07-07,0.26,0.26,0.24,0.25,2822000,0.25
2015-07-06,0.27,0.27,0.25,0.26,5267900,0.26
2015-07-02,0.27,0.27,0.25,0.27,4401700,0.27
2015-07-01,0.28,0.28,0.27,0.28,3834900,0.28
2015-06-30,0.29,0.29,0.27,0.28,3268700,0.28
2015-06-29,0.28,0.28,0.26,0.27,4160700,0.27
2015-06-26,0.29,0.29,0.27,0.28,2810000,0.28
2015-06-25,0.28,0.29,0.27,0.29,10214700,0.29
2015-06-24,0.28,0.28,0.26,0.27,3370500,0.27
2015-06-23,0.28,0.28,0.26,0.28,3466700,0.28
2015-06-22,0.28,0.28,0.27,0.28,3213500,0.28
2015-06-19,0.29,0.29,0.27,0.28,6033000,0.28
2015-06-18,0.30,0.30,0.28,0.29,6320600,0.29
2015-06-17,0.30,0.30,0.28,0.28,5046000,0.28
2015-06-16,0.28,0.31,0.28,0.28,9571600,0.28
2015-06-15,0.29,0.29,0.28,0.28,3554100,0.28
2015-06-12,0.30,0.30,0.28,0.28,5383600,0.28
