Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,10.37,10.48,9.98,10.12,649900,10.12
2015-08-06,10.67,10.74,10.26,10.40,782200,10.40
2015-08-05,10.81,10.89,10.59,10.68,424900,10.68
2015-08-04,10.84,10.94,10.68,10.75,429000,10.75
2015-08-03,10.90,11.05,10.74,10.86,432200,10.86
2015-07-31,10.81,11.05,10.74,10.96,558100,10.96
2015-07-30,11.06,11.06,10.04,10.78,1285700,10.78
2015-07-29,10.91,11.13,10.82,10.95,809000,10.95
2015-07-28,10.97,10.98,10.66,10.88,581600,10.88
2015-07-27,11.00,11.05,10.70,10.92,572900,10.92
2015-07-24,11.16,11.50,11.05,11.05,531600,11.05
2015-07-23,11.81,11.81,11.21,11.21,479600,11.21
2015-07-22,11.12,11.38,11.04,11.38,717900,11.38
2015-07-21,11.20,11.24,11.07,11.19,386200,11.19
2015-07-20,11.42,11.42,11.10,11.19,430200,11.19
2015-07-17,11.30,11.39,11.22,11.37,369500,11.37
2015-07-16,11.29,11.45,11.19,11.29,416200,11.29
2015-07-15,11.41,11.50,11.19,11.19,450600,11.19
2015-07-14,11.35,11.53,11.28,11.40,641600,11.40
2015-07-13,11.17,11.41,10.98,11.32,1030500,11.32
2015-07-10,10.91,11.11,10.79,11.05,773800,11.05
2015-07-09,10.78,10.87,10.62,10.79,984500,10.79
2015-07-08,10.26,10.72,10.22,10.66,2432400,10.66
2015-07-07,10.25,10.42,10.00,10.40,875900,10.40
2015-07-06,10.11,10.49,9.99,10.22,1124300,10.22
2015-07-02,10.59,10.63,10.15,10.38,1115600,10.38
2015-07-01,10.98,11.02,10.53,10.56,855100,10.56
2015-06-30,10.75,11.00,10.75,10.92,840600,10.92
2015-06-29,10.93,11.17,10.70,10.70,621100,10.70
2015-06-26,11.56,11.60,11.03,11.05,1365600,11.05
2015-06-25,11.62,11.65,11.43,11.50,2326800,11.50
2015-06-24,11.74,11.77,11.52,11.54,411300,11.54
2015-06-23,11.87,11.87,11.68,11.78,551400,11.78
2015-06-22,12.00,12.00,11.88,11.91,441200,11.91
2015-06-19,11.98,12.00,11.80,11.98,825100,11.98
2015-06-18,11.51,12.00,11.51,12.00,841200,12.00
2015-06-17,11.48,11.54,11.35,11.50,427200,11.50
2015-06-16,11.45,11.55,11.39,11.49,693900,11.49
2015-06-15,11.52,11.58,11.33,11.48,400000,11.48
2015-06-12,11.77,11.80,11.62,11.63,386700,11.63
2015-06-11,11.95,11.95,11.76,11.78,315700,11.78
2015-06-10,11.59,11.99,11.59,11.94,580800,11.94
2015-06-09,11.63,11.65,11.51,11.57,1279500,11.57
2015-06-08,11.77,11.80,11.54,11.65,328800,11.65
2015-06-05,11.71,11.85,11.59,11.84,381800,11.84
2015-06-04,11.88,12.00,11.58,11.70,537200,11.70
2015-06-03,11.69,12.00,11.66,12.00,948500,12.00
2015-06-02,11.72,11.72,11.58,11.66,624900,11.66
2015-06-01,11.77,11.89,11.69,11.77,689600,11.77
2015-05-29,11.88,12.02,11.68,11.73,1118900,11.73
2015-05-28,12.00,12.04,11.92,11.99,1533900,11.99
2015-05-27,12.10,12.10,11.91,12.00,636700,12.00
2015-05-26,12.07,12.17,11.93,12.04,537800,12.04
2015-05-22,12.25,12.35,12.12,12.17,530900,12.17
2015-05-21,12.51,12.57,12.28,12.31,670500,12.31
2015-05-20,12.65,12.69,12.47,12.55,407800,12.55
2015-05-19,12.65,12.73,12.53,12.63,1118600,12.63
2015-05-18,12.40,12.75,12.29,12.67,616600,12.67
2015-05-15,11.50,12.50,11.50,12.47,830300,12.47
2015-05-14,12.38,12.52,12.20,12.52,1596200,12.52
2015-05-13,12.40,12.44,12.29,12.37,688200,12.37
2015-05-12,12.24,12.33,12.10,12.31,617200,12.31
2015-05-11,12.33,12.45,12.30,12.33,508800,12.33
2015-05-08,12.41,12.46,12.25,12.29,643900,12.29
2015-05-07,12.19,12.36,12.07,12.24,1096300,12.24
2015-05-06,12.15,12.21,11.99,12.19,919000,12.19
2015-05-05,12.39,12.42,12.00,12.10,1090300,12.10
2015-05-04,12.21,12.63,12.20,12.48,929700,12.48
2015-05-01,12.23,12.40,11.99,12.17,1018100,12.17
2015-04-30,12.50,12.70,12.07,12.13,2291400,12.13
2015-04-29,12.11,12.38,12.08,12.18,1205600,12.18
2015-04-28,12.31,12.66,11.83,12.22,1294200,12.22
2015-04-27,12.43,12.61,12.14,12.26,1039600,12.26
2015-04-24,12.56,12.69,12.42,12.44,537700,12.44
2015-04-23,12.53,12.66,12.48,12.60,288000,12.60
2015-04-22,12.69,12.82,12.45,12.57,364600,12.57
2015-04-21,12.69,12.83,12.63,12.70,494300,12.70
2015-04-20,12.55,12.72,12.31,12.63,917100,12.63
2015-04-17,12.53,12.59,12.29,12.49,751700,12.49
2015-04-16,12.58,12.78,12.49,12.67,326100,12.67
2015-04-15,12.60,12.65,12.47,12.57,450000,12.57
2015-04-14,12.55,12.69,12.45,12.52,781400,12.52
2015-04-13,12.74,12.88,12.15,12.61,2787900,12.61
2015-04-10,12.68,13.07,12.61,12.86,762100,12.86
