Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,8.37,8.74,8.37,8.58,61400,8.58
2015-08-06,8.90,8.90,8.44,8.48,53800,8.48
2015-08-05,9.20,9.20,8.80,8.88,61000,8.88
2015-08-04,8.71,9.14,8.71,9.02,44500,9.02
2015-08-03,9.05,9.36,8.56,8.67,71600,8.67
2015-07-31,9.72,9.72,9.10,9.13,45400,9.13
2015-07-30,9.86,9.86,9.52,9.72,31300,9.72
2015-07-29,10.00,10.00,9.74,9.85,41100,9.85
2015-07-28,9.88,10.02,9.69,9.94,53800,9.94
2015-07-27,10.64,10.67,9.58,9.80,108700,9.80
2015-07-24,10.52,10.99,10.52,10.85,56300,10.85
2015-07-23,10.80,10.80,10.51,10.55,39700,10.55
2015-07-22,10.65,10.96,10.53,10.72,88900,10.72
2015-07-21,10.81,10.89,10.573,10.70,44200,10.70
2015-07-20,11.26,11.26,10.64,10.85,61000,10.85
2015-07-17,11.04,11.30,10.871,11.10,106000,11.10
2015-07-16,10.90,11.05,10.605,11.00,57700,11.00
2015-07-15,10.95,11.069,10.43,10.74,86900,10.74
2015-07-14,10.62,11.00,10.62,10.77,47300,10.77
2015-07-13,10.33,10.60,10.252,10.57,84900,10.57
2015-07-10,9.55,10.63,9.55,10.25,167100,10.25
2015-07-09,9.51,9.95,9.39,9.47,88000,9.47
2015-07-08,9.83,9.83,9.06,9.39,99900,9.39
2015-07-07,9.86,9.95,9.315,9.89,113300,9.89
2015-07-06,8.79,9.88,8.78,9.86,72400,9.86
2015-07-02,8.70,8.84,8.607,8.72,38900,8.72
2015-07-01,8.70,8.86,8.542,8.62,57700,8.62
2015-06-30,8.90,8.90,8.55,8.59,136100,8.59
2015-06-29,9.21,9.47,8.83,8.88,72100,8.88
2015-06-26,8.96,9.48,8.95,9.21,815800,9.21
2015-06-25,9.343,9.343,8.86,8.97,48100,8.97
2015-06-24,9.09,9.12,8.95,9.00,49200,9.00
2015-06-23,8.60,9.19,8.60,9.07,81800,9.07
2015-06-22,8.96,9.00,8.56,8.61,49300,8.61
2015-06-19,9.33,9.38,8.78,8.78,68700,8.78
2015-06-18,8.93,9.395,8.91,9.25,43000,9.25
2015-06-17,8.95,9.22,8.65,8.92,174700,8.92
2015-06-16,8.96,9.17,8.85,8.92,28100,8.92
2015-06-15,9.05,9.85,8.74,8.97,74400,8.97
2015-06-12,9.67,9.67,9.14,9.14,25200,9.14
2015-06-11,9.69,9.84,9.30,9.43,22200,9.43
2015-06-10,9.54,9.97,9.13,9.75,71100,9.75
2015-06-09,9.18,9.62,9.00,9.59,32400,9.59
2015-06-08,9.24,9.44,8.97,9.22,33400,9.22
2015-06-05,9.39,9.76,9.18,9.25,44900,9.25
2015-06-04,9.43,9.58,9.11,9.41,53500,9.41
2015-06-03,8.97,9.32,8.65,9.20,78300,9.20
2015-06-02,8.70,8.90,8.52,8.88,35800,8.88
2015-06-01,9.63,9.63,8.80,8.88,109000,8.88
2015-05-29,9.36,9.89,9.20,9.46,250500,9.46
2015-05-28,9.74,9.94,9.15,9.71,200300,9.71
2015-05-27,10.30,10.37,9.77,9.79,154600,9.79
2015-05-26,10.84,10.85,9.95,10.25,219800,10.25
2015-05-22,11.27,11.30,10.87,10.87,20300,10.87
2015-05-21,11.69,11.69,11.16,11.30,30800,11.30
2015-05-20,11.50,11.75,11.20,11.65,29300,11.65
2015-05-19,11.70,11.73,11.23,11.46,39600,11.46
2015-05-18,11.58,12.09,11.45,11.75,43800,11.75
2015-05-15,11.42,11.54,11.26,11.52,75600,11.52
2015-05-14,11.68,12.148,11.49,11.49,47200,11.49
2015-05-13,11.70,11.845,11.43,11.61,65500,11.61
2015-05-12,11.58,11.83,11.50,11.81,37100,11.81
2015-05-11,11.50,11.84,11.50,11.61,45100,11.61
2015-05-08,11.45,11.64,11.37,11.52,65200,11.52
2015-05-07,11.65,12.07,11.50,11.51,51200,11.51
2015-05-06,11.51,11.62,11.28,11.54,103500,11.54
2015-05-05,11.55,11.60,11.45,11.51,194900,11.51
2015-05-04,11.86,11.98,11.41,11.55,238000,11.55
2015-05-01,11.60,12.839,11.44,11.57,74400,11.57
2015-04-30,12.22,12.23,11.51,11.62,75800,11.62
2015-04-29,11.77,12.29,11.66,12.29,62100,12.29
2015-04-28,12.30,12.30,11.50,11.86,85900,11.86
2015-04-27,13.02,13.02,12.09,12.10,66300,12.10
2015-04-24,12.57,12.99,12.22,12.77,196900,12.77
2015-04-23,12.27,12.74,12.03,12.44,71500,12.44
2015-04-22,12.14,12.39,11.835,12.25,60400,12.25
2015-04-21,12.32,12.33,11.75,12.08,211400,12.08
2015-04-20,12.74,12.81,12.20,12.32,160700,12.32
2015-04-17,12.75,12.99,12.60,12.74,115900,12.74
2015-04-16,13.00,13.19,12.61,12.88,101300,12.88
2015-04-15,12.68,12.76,12.43,12.75,245700,12.75
2015-04-14,12.50,12.59,12.10,12.455,218300,12.455
2015-04-13,11.78,12.05,11.54,12.03,131000,12.03
2015-04-10,11.80,11.80,11.50,11.78,85500,11.78
2015-04-09,11.78,11.80,11.50,11.67,62200,11.67
2015-04-08,11.64,11.80,10.72,11.73,190700,11.73
2015-04-07,10.57,11.62,10.57,11.56,314400,11.56
2015-04-06,9.77,10.98,9.77,10.48,265700,10.48
2015-04-02,9.79,9.914,9.48,9.55,17700,9.55
2015-04-01,9.19,9.618,9.01,9.40,26000,9.40
2015-03-31,9.34,9.46,9.05,9.27,10800,9.27
2015-03-30,9.22,9.66,8.88,9.36,15800,9.36
2015-03-27,8.90,9.42,8.90,9.23,22300,9.23
2015-03-26,8.89,9.78,8.22,8.89,25000,8.89
2015-03-25,9.17,9.17,8.545,8.84,30100,8.84
2015-03-24,9.30,9.50,8.93,9.11,19400,9.11
2015-03-23,9.584,9.73,9.09,9.34,25900,9.34
2015-03-20,9.91,10.00,9.58,9.70,64800,9.70
2015-03-19,9.86,9.97,9.764,9.91,11900,9.91
2015-03-18,9.86,9.941,9.49,9.84,17700,9.84
2015-03-17,9.61,9.88,9.25,9.86,19400,9.86
2015-03-16,10.03,10.03,9.09,9.67,47300,9.67
2015-03-13,10.00,10.14,9.83,9.89,37600,9.89
2015-03-12,9.81,10.27,9.64,10.00,55100,10.00
2015-03-11,9.77,10.11,9.67,9.89,21600,9.89
2015-03-10,9.71,9.84,9.02,9.78,42000,9.78
2015-03-09,10.45,10.63,9.69,10.02,59200,10.02
2015-03-06,10.99,11.068,10.60,10.65,17200,10.65
2015-03-05,11.18,11.18,10.958,10.99,46100,10.99
2015-03-04,10.89,11.18,10.68,11.12,34800,11.12
2015-03-03,10.70,10.91,10.60,10.90,31500,10.90
2015-03-02,10.86,10.86,10.57,10.80,40300,10.80
2015-02-27,10.80,10.89,10.45,10.84,97200,10.84
2015-02-26,10.00,10.62,9.87,10.49,113300,10.49
2015-02-25,9.93,10.23,9.74,10.00,85000,10.00
2015-02-24,9.70,10.239,9.68,9.82,168100,9.82
2015-02-23,9.64,9.69,9.14,9.69,26900,9.69
2015-02-20,9.50,9.54,8.961,9.47,17800,9.47
2015-02-19,9.17,9.66,9.17,9.45,15800,9.45
2015-02-18,9.11,9.50,9.062,9.37,21600,9.37
2015-02-17,8.72,9.70,8.31,9.40,97800,9.40
2015-02-13,9.00,9.106,8.57,8.57,14300,8.57
2015-02-12,9.14,9.14,8.83,8.985,40300,8.985
2015-02-11,8.92,9.21,8.92,9.00,18600,9.00
2015-02-10,8.96,9.24,8.561,9.00,37100,9.00
2015-02-09,9.00,9.143,8.82,8.88,61900,8.88
2015-02-06,8.79,9.00,8.125,8.97,72800,8.97
2015-02-05,8.70,8.94,8.25,8.62,59100,8.62
2015-02-04,8.65,8.97,8.50,8.77,38900,8.77
2015-02-03,9.11,9.25,8.50,9.06,37600,9.06
2015-02-02,8.81,9.24,8.51,8.91,76800,8.91
2015-01-30,8.43,8.76,8.25,8.70,12900,8.70
2015-01-29,8.33,8.92,8.33,8.50,100800,8.50
2015-01-28,7.91,8.28,7.85,8.02,69000,8.02
2015-01-27,7.73,7.89,7.71,7.75,16900,7.75
2015-01-26,7.75,8.08,7.55,7.68,59300,7.68
2015-01-23,7.26,7.74,6.90,7.54,11000,7.54
2015-01-22,7.69,7.69,6.62,7.46,46300,7.46
2015-01-21,7.00,7.90,7.00,7.49,81900,7.49
2015-01-20,6.05,6.99,6.00,6.90,64600,6.90
2015-01-16,5.88,6.15,5.82,5.95,15100,5.95
2015-01-15,6.00,6.08,5.80,5.97,12400,5.97
2015-01-14,6.31,6.31,5.90,5.98,29900,5.98
2015-01-13,6.85,6.85,6.35,6.39,10400,6.39
2015-01-12,7.00,7.00,6.71,6.73,14200,6.73
2015-01-09,6.61,7.05,6.40,6.84,31100,6.84
2015-01-08,6.66,6.73,6.376,6.469,16800,6.469
2015-01-07,6.709,6.84,6.27,6.70,16500,6.70
2015-01-06,6.17,6.71,6.17,6.50,19900,6.50
2015-01-05,6.32,6.32,6.201,6.32,14200,6.32
2015-01-02,6.23,6.32,6.10,6.32,16300,6.32
2014-12-31,6.63,6.78,6.003,6.14,115700,6.14
2014-12-30,6.68,6.90,6.68,6.70,18600,6.70
2014-12-29,6.50,6.91,6.50,6.62,49500,6.62
2014-12-26,6.935,6.98,6.50,6.57,28400,6.57
2014-12-24,7.08,7.08,6.798,6.90,14800,6.90
2014-12-23,7.00,7.00,6.72,6.84,14200,6.84
2014-12-22,7.11,7.37,6.75,6.75,32600,6.75
2014-12-19,6.36,7.23,6.36,7.00,31900,7.00
2014-12-18,6.14,6.614,6.051,6.36,50700,6.36
2014-12-17,5.95,6.05,5.95,6.05,7500,6.05
2014-12-16,5.93,5.99,5.80,5.82,7200,5.82
2014-12-15,6.00,6.067,5.90,5.90,14400,5.90
2014-12-12,5.87,6.00,5.87,5.95,8000,5.95
2014-12-11,6.00,6.05,5.84,5.98,12200,5.98
2014-12-10,5.85,5.989,5.84,5.94,6300,5.94
2014-12-09,6.31,6.31,5.84,5.95,8700,5.95
2014-12-08,5.95,6.00,5.85,5.96,34700,5.96
2014-12-05,5.97,6.09,5.84,5.95,34700,5.95
2014-12-04,6.02,6.02,5.86,5.95,91600,5.95
2014-12-03,5.92,6.00,5.854,5.99,87500,5.99
2014-12-02,5.95,6.00,5.84,5.89,27200,5.89
2014-12-01,6.00,6.00,5.85,5.86,20500,5.86
2014-11-28,5.92,5.95,5.85,5.95,7300,5.95
2014-11-26,5.928,6.00,5.85,5.93,9900,5.93
2014-11-25,5.86,5.95,5.81,5.90,4600,5.90
2014-11-24,5.899,5.96,5.87,5.95,21000,5.95
2014-11-21,5.87,6.00,5.78,5.94,37900,5.94
2014-11-20,5.82,5.90,5.82,5.87,20400,5.87
2014-11-19,5.77,5.92,5.77,5.85,35400,5.85
2014-11-18,5.94,6.10,5.85,5.87,39700,5.87
2014-11-17,6.353,6.43,5.82,5.88,72100,5.88
2014-11-14,6.44,6.58,6.37,6.37,7200,6.37
2014-11-13,6.59,6.59,6.414,6.42,12800,6.42
2014-11-12,6.505,6.70,6.50,6.52,13100,6.52
2014-11-11,6.56,6.72,6.56,6.62,10700,6.62
2014-11-10,6.80,6.84,6.561,6.62,13000,6.62
2014-11-07,6.72,6.72,6.50,6.50,14800,6.50
2014-11-06,6.50,6.814,6.50,6.52,10400,6.52
2014-11-05,6.868,6.868,6.50,6.51,5400,6.51
2014-11-04,6.76,6.89,6.75,6.86,3700,6.86
2014-11-03,7.26,7.26,6.50,6.76,25800,6.76
2014-10-31,7.19,7.43,6.95,7.10,30200,7.10
2014-10-30,7.05,7.31,6.90,7.18,18000,7.18
2014-10-29,7.36,7.36,6.90,7.00,23600,7.00
2014-10-28,7.05,7.52,6.95,7.42,28700,7.42
2014-10-27,6.96,7.15,6.55,7.12,21300,7.12
2014-10-24,6.77,6.94,6.65,6.79,9600,6.79
2014-10-23,6.93,6.98,6.55,6.60,9100,6.60
2014-10-22,6.70,7.02,6.51,6.51,12600,6.51
2014-10-21,6.55,6.70,6.518,6.70,12900,6.70
2014-10-20,6.66,6.66,6.42,6.60,11400,6.60
2014-10-17,6.70,6.70,6.47,6.70,14300,6.70
2014-10-16,6.64,6.64,6.42,6.57,20600,6.57
2014-10-15,6.46,6.69,6.29,6.31,6600,6.31
2014-10-14,6.22,6.56,6.15,6.33,19500,6.33
2014-10-13,6.15,6.81,6.15,6.18,34800,6.18
2014-10-10,5.95,6.10,5.95,6.02,23500,6.02
2014-10-09,6.00,6.10,5.98,5.98,33900,5.98
2014-10-08,6.07,6.14,6.00,6.00,31500,6.00
2014-10-07,6.22,6.639,6.05,6.15,61600,6.15
2014-10-06,6.34,6.50,6.21,6.40,24100,6.40
2014-10-03,6.34,6.57,6.29,6.33,30900,6.33
2014-10-02,6.33,6.51,6.23,6.34,17900,6.34
2014-10-01,7.24,7.24,6.05,6.38,59800,6.38
2014-09-30,7.52,7.53,6.51,7.30,194500,7.30
2014-09-29,7.70,7.70,7.265,7.64,40300,7.64
2014-09-26,8.01,8.40,8.00,8.05,20800,8.05
2014-09-25,7.74,8.12,7.74,7.98,11700,7.98
2014-09-24,7.67,8.178,7.55,7.71,28000,7.71
2014-09-23,7.66,7.96,7.54,7.67,10400,7.67
2014-09-22,8.42,8.92,7.51,7.75,49300,7.75
2014-09-19,8.82,9.85,8.37,8.40,174700,8.40
2014-09-18,8.30,9.09,8.25,8.75,31800,8.75
2014-09-17,8.408,8.83,8.19,8.20,35800,8.20
2014-09-16,8.70,9.24,7.84,8.54,89800,8.54
2014-09-15,9.57,9.57,8.59,8.70,51600,8.70
2014-09-12,9.95,9.97,9.48,9.54,16500,9.54
2014-09-11,9.94,10.01,9.05,9.94,84500,9.94
2014-09-10,9.97,10.10,9.92,9.98,25700,9.98
2014-09-09,10.01,10.18,9.80,10.00,36700,10.00
2014-09-08,9.31,10.50,9.25,9.97,62900,9.97
2014-09-05,9.43,9.59,8.77,9.39,33700,9.39
2014-09-04,10.00,10.125,9.49,9.49,131300,9.49
2014-09-03,9.39,9.99,9.30,9.95,98900,9.95
2014-09-02,8.79,9.425,8.61,9.38,155700,9.38
2014-08-29,7.69,8.49,7.69,8.44,78800,8.44
2014-08-28,7.57,7.90,7.451,7.70,18200,7.70
2014-08-27,7.45,7.67,7.06,7.511,26300,7.511
2014-08-26,7.42,7.62,7.325,7.48,8200,7.48
2014-08-25,7.70,7.81,7.52,7.70,27800,7.70
2014-08-22,7.63,7.67,7.501,7.64,7900,7.64
2014-08-21,7.75,7.76,7.50,7.59,13700,7.59
2014-08-20,7.46,7.81,7.453,7.77,23100,7.77
2014-08-19,7.23,7.668,7.23,7.42,65600,7.42
2014-08-18,7.26,7.30,6.85,7.24,70800,7.24
2014-08-15,7.95,8.00,6.42,7.36,119800,7.36
2014-08-14,6.18,6.47,6.00,6.22,63000,6.22
2014-08-13,6.33,6.45,6.10,6.29,17100,6.29
2014-08-12,6.57,6.615,6.33,6.34,16600,6.34
2014-08-11,6.53,6.62,6.52,6.57,15700,6.57
2014-08-08,6.32,6.765,6.19,6.45,26700,6.45
2014-08-07,6.05,7.00,5.97,6.76,63500,6.76
2014-08-06,5.91,6.15,5.82,6.07,32300,6.07
2014-08-05,5.93,6.03,5.80,6.01,24700,6.01
2014-08-04,5.98,6.00,5.90,5.91,29100,5.91
2014-08-01,6.31,6.35,5.97,6.00,47800,6.00
2014-07-31,6.06,6.34,5.96,6.25,62100,6.25
2014-07-30,6.10,6.20,6.06,6.08,18600,6.08
2014-07-29,6.60,6.60,6.10,6.11,71800,6.11
2014-07-28,6.76,6.988,6.51,6.58,27700,6.58
2014-07-25,6.93,6.94,6.70,6.76,22800,6.76
2014-07-24,7.00,7.00,6.55,6.71,43800,6.71
2014-07-23,7.15,7.25,6.98,7.03,17300,7.03
2014-07-22,7.16,7.16,6.98,7.11,22000,7.11
2014-07-21,7.05,7.22,7.02,7.15,37800,7.15
2014-07-18,7.02,7.50,7.02,7.24,36700,7.24
2014-07-17,7.00,7.218,6.97,6.995,26100,6.995
2014-07-16,7.01,7.09,6.99,7.00,27300,7.00
2014-07-15,7.45,7.60,6.99,7.01,121400,7.01
2014-07-14,8.02,8.02,7.50,7.62,77800,7.62
2014-07-11,7.92,8.12,7.868,8.01,14500,8.01
2014-07-10,8.03,8.10,7.52,8.01,43000,8.01
2014-07-09,8.52,8.76,8.00,8.21,29400,8.21
2014-07-08,8.77,8.77,8.40,8.56,38600,8.56
2014-07-07,9.23,9.23,8.50,8.54,69300,8.54
2014-07-03,9.20,9.20,8.70,8.93,52400,8.93
2014-07-02,8.86,9.50,8.62,8.79,114400,8.79
2014-07-01,8.50,8.90,8.369,8.89,94400,8.89
2014-06-30,8.94,9.00,8.26,8.72,204500,8.72
2014-06-27,9.54,9.67,8.80,9.25,221200,9.25
2014-06-26,10.25,10.30,9.07,9.62,259600,9.62
2014-06-25,10.81,11.00,10.22,10.40,265900,10.40
2014-06-24,10.77,11.20,10.35,10.65,1097000,10.65
2014-06-23,8.20,12.55,7.90,10.33,1829000,10.33
2014-06-20,7.86,8.03,7.36,7.65,60800,7.65
2014-06-19,8.17,8.17,7.86,7.89,78300,7.89
2014-06-18,7.40,7.93,7.38,7.81,153400,7.81
2014-06-17,7.26,7.84,6.90,7.39,544000,7.39
2014-06-16,6.86,6.86,6.61,6.78,29200,6.78
2014-06-13,6.92,6.92,6.63,6.92,53700,6.92
2014-06-12,6.42,6.92,6.30,6.90,155300,6.90
2014-06-11,6.30,6.62,6.30,6.48,154000,6.48
2014-06-10,6.00,6.35,5.77,6.30,79600,6.30
2014-06-09,6.19,6.19,5.61,6.01,51900,6.01
2014-06-06,5.75,5.90,5.563,5.89,69400,5.89
2014-06-05,6.30,6.30,5.70,5.81,76500,5.81
2014-06-04,6.33,6.50,6.11,6.25,84800,6.25
2014-06-03,6.05,6.44,5.97,6.40,236300,6.40
2014-06-02,5.90,6.04,5.60,5.97,98000,5.97
2014-05-30,5.95,6.00,5.61,5.85,172500,5.85
2014-05-29,5.90,6.03,5.75,5.94,211900,5.94
2014-05-28,5.53,5.93,5.52,5.80,238300,5.80
2014-05-27,5.51,5.61,5.42,5.55,290000,5.55
2014-05-26,5.54,5.54,5.54,5.54,000,5.54
2014-05-23,5.50,6.06,5.05,5.54,3359800,5.54
