Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,6.85,6.90,6.81,6.81,1488300,6.81
2015-08-06,6.85,6.94,6.79,6.84,2644700,6.84
2015-08-05,6.82,6.90,6.79,6.84,1291900,6.84
2015-08-04,6.87,6.92,6.78,6.81,1127400,6.81
2015-08-03,6.84,6.90,6.83,6.88,1476500,6.88
2015-07-31,6.87,6.89,6.84,6.86,951400,6.86
2015-07-30,6.85,6.89,6.80,6.86,832400,6.86
2015-07-29,6.65,6.86,6.65,6.85,1161700,6.85
2015-07-28,6.63,6.70,6.61,6.68,703000,6.68
2015-07-27,6.68,6.72,6.60,6.65,1632300,6.65
2015-07-24,6.75,6.78,6.65,6.71,1895900,6.71
2015-07-23,6.84,6.86,6.76,6.78,1946400,6.78
2015-07-22,7.02,7.06,6.78,6.80,3816300,6.80
2015-07-21,7.10,7.11,7.06,7.11,1204600,7.11
2015-07-20,7.15,7.19,7.08,7.10,1024000,7.10
2015-07-17,7.15,7.19,7.12,7.17,981100,7.17
2015-07-16,7.17,7.21,7.14,7.14,737600,7.14
2015-07-15,7.07,7.21,7.07,7.16,820800,7.16
2015-07-14,7.17,7.20,7.14,7.17,737600,7.17
2015-07-13,7.26,7.29,7.12,7.17,1043400,7.17
2015-07-10,7.15,7.24,7.15,7.22,896600,7.22
2015-07-09,7.17,7.19,7.09,7.13,1130300,7.13
2015-07-08,7.16,7.19,7.09,7.11,951100,7.11
2015-07-07,7.24,7.25,7.08,7.20,1386100,7.20
2015-07-06,7.11,7.23,7.06,7.23,2065500,7.23
2015-07-02,7.18,7.19,7.11,7.17,813500,7.17
2015-07-01,7.22,7.22,7.08,7.14,1011800,7.14
2015-06-30,7.07,7.20,7.03,7.08,2289100,7.08
2015-06-29,7.15,7.16,6.95,7.07,2424800,7.07
2015-06-26,7.23,7.24,7.17,7.21,897800,7.21
2015-06-25,7.29,7.29,7.17,7.18,1366200,7.18
2015-06-24,7.29,7.35,7.27,7.29,1913100,7.29
2015-06-23,7.30,7.35,7.27,7.32,1712200,7.32
2015-06-22,7.43,7.45,7.26,7.31,2503800,7.31
2015-06-19,7.42,7.46,7.39,7.42,1572700,7.42
2015-06-18,7.49,7.52,7.44,7.47,1652300,7.47
2015-06-17,7.51,7.56,7.44,7.48,1635400,7.48
2015-06-16,7.66,7.68,7.60,7.67,1427900,7.47
2015-06-15,7.71,7.71,7.62,7.67,1412300,7.47
2015-06-12,7.75,7.77,7.66,7.71,1080600,7.508957
2015-06-11,7.72,7.81,7.66,7.75,1421900,7.547914
2015-06-10,7.87,7.90,7.73,7.74,2398600,7.538175
2015-06-09,7.81,7.88,7.81,7.84,833600,7.635567
2015-06-08,7.89,7.90,7.83,7.84,780700,7.635567
2015-06-05,7.85,7.94,7.73,7.88,1829100,7.674524
2015-06-04,7.91,7.91,7.85,7.88,1219600,7.674524
2015-06-03,7.90,7.93,7.87,7.92,974100,7.713481
2015-06-02,7.85,7.91,7.85,7.90,638200,7.694003
2015-06-01,7.88,7.90,7.83,7.87,1025400,7.664785
2015-05-29,7.95,7.95,7.80,7.85,1221900,7.645306
2015-05-28,7.82,7.94,7.80,7.94,1245800,7.73296
2015-05-27,7.76,7.85,7.73,7.84,1812100,7.635567
2015-05-26,7.75,7.78,7.70,7.78,1237900,7.577132
2015-05-22,7.73,7.75,7.69,7.74,863200,7.538175
2015-05-21,7.81,7.83,7.72,7.73,1488700,7.528436
2015-05-20,7.71,7.83,7.65,7.83,1963300,7.625828
2015-05-19,7.75,7.75,7.61,7.72,1166000,7.518696
2015-05-18,7.80,7.84,7.71,7.77,1038600,7.567393
2015-05-15,7.72,7.81,7.68,7.81,836800,7.606349
2015-05-14,7.76,7.80,7.68,7.69,722400,7.489479
2015-05-13,7.73,7.75,7.65,7.73,1039600,7.528436
2015-05-12,7.66,7.70,7.59,7.70,659300,7.499218
2015-05-11,7.68,7.72,7.62,7.66,835300,7.460261
2015-05-08,7.75,7.79,7.59,7.65,840300,7.450522
2015-05-07,7.63,7.68,7.51,7.67,1516400,7.47
2015-05-06,7.85,7.85,7.50,7.66,2012500,7.460261
2015-05-05,7.85,7.94,7.75,7.82,1207100,7.616089
2015-05-04,7.98,7.99,7.86,7.89,782300,7.684263
2015-05-01,8.00,8.01,7.89,7.96,843800,7.752438
2015-04-30,7.96,8.00,7.89,8.00,1507300,7.791395
2015-04-29,7.99,8.03,7.92,7.96,1125400,7.752438
2015-04-28,7.90,8.03,7.81,8.03,1754800,7.820613
2015-04-27,7.92,7.95,7.86,7.88,750600,7.674524
2015-04-24,7.93,7.95,7.85,7.89,591700,7.684263
2015-04-23,7.83,7.95,7.83,7.91,760100,7.703742
2015-04-22,7.77,7.87,7.73,7.84,1023700,7.635567
2015-04-21,7.85,7.85,7.74,7.76,717300,7.557654
2015-04-20,7.80,7.89,7.79,7.83,742900,7.625828
2015-04-17,7.76,7.79,7.72,7.79,656500,7.586871
2015-04-16,7.77,7.80,7.71,7.79,848200,7.586871
2015-04-15,7.70,7.77,7.68,7.75,828400,7.547914
2015-04-14,7.67,7.75,7.63,7.70,1017300,7.499218
2015-04-13,7.76,7.84,7.69,7.70,1244600,7.499218
2015-04-10,7.72,7.78,7.68,7.74,861600,7.538175
2015-04-09,7.90,7.94,7.71,7.75,1356700,7.547914
2015-04-08,7.95,7.99,7.85,7.88,963900,7.674524
2015-04-07,7.87,7.97,7.83,7.97,1928200,7.762177
2015-04-06,7.74,7.87,7.74,7.87,2025200,7.664785
2015-04-02,7.70,7.78,7.67,7.76,1120600,7.557654
