Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,17.07,17.07,16.82,16.84,17400,16.84
2015-08-06,16.976,17.120001,16.969999,17.040001,72700,17.040001
2015-08-05,17.264999,17.264999,16.969999,17.02,9200,17.02
2015-08-04,17.209999,17.235001,17.040001,17.110001,24400,17.110001
2015-08-03,17.559999,17.559999,17.18,17.209999,71000,17.209999
2015-07-31,17.559999,17.559999,17.290001,17.469999,55900,17.469999
2015-07-30,17.120001,17.389999,17.120001,17.309999,22500,17.309999
2015-07-29,16.959999,17.32,16.959999,17.309999,18300,17.309999
2015-07-28,16.90,17.110001,16.809999,17.040001,69100,17.040001
2015-07-27,17.10,17.10,16.870001,16.93,56700,16.93
2015-07-24,17.370001,17.370001,17.02,17.08,92300,17.08
2015-07-23,17.57,17.688,17.41,17.41,50500,17.41
2015-07-22,17.774,17.790001,17.709999,17.75,78600,17.75
2015-07-21,17.780001,17.846001,17.780001,17.799999,6700,17.799999
2015-07-20,18.02,18.02,17.809999,17.85,6200,17.85
2015-07-17,17.937,18.00,17.92,17.98,9600,17.98
2015-07-16,17.988001,18.115,17.955999,17.98,6600,17.98
2015-07-15,18.15,18.15,17.870001,17.870001,4700,17.870001
2015-07-14,18.23,18.294001,18.23,18.280001,21900,18.280001
2015-07-13,18.08,18.23,18.08,18.200001,14100,18.200001
2015-07-10,17.959999,18.040001,17.93,18.040001,6300,18.040001
2015-07-09,17.90,17.90,17.77,17.795,3200,17.795
2015-07-08,17.82,17.856001,17.795,17.83,3700,17.83
2015-07-07,18.389999,18.389999,17.83,18.110001,10500,18.110001
2015-07-06,18.040001,18.15,18.02,18.105,8100,18.105
2015-07-02,18.41,18.41,18.188999,18.23,3800,18.23
2015-07-01,18.139999,18.440001,18.139999,18.389999,21000,18.389999
2015-06-30,18.41,18.41,18.187,18.190001,3300,18.190001
2015-06-29,18.450001,18.465,18.190001,18.24,3300,18.24
2015-06-26,18.577999,18.629,18.549999,18.60,6000,18.60
2015-06-25,18.538,18.559999,18.538,18.559999,1600,18.559999
2015-06-24,18.860001,18.860001,18.58,18.65,8800,18.65
2015-06-23,18.83,18.891001,18.82,18.891001,8300,18.877001
2015-06-22,18.82,18.85,18.780001,18.83,11500,18.816046
2015-06-19,18.65,18.819,18.65,18.819,14900,18.805054
2015-06-18,18.652,18.698999,18.639999,18.67,10500,18.656164
2015-06-17,18.57,18.57,18.540001,18.57,1100,18.556238
2015-06-16,18.51,18.65,18.51,18.65,2800,18.636179
2015-06-15,18.440001,18.52,18.440001,18.52,16700,18.506276
2015-06-12,18.60,18.73,18.60,18.68,74900,18.666157
2015-06-11,18.73,18.73,18.690001,18.709999,3200,18.696134
2015-06-10,18.49,18.790001,18.49,18.66,3800,18.646172
2015-06-09,18.51,18.51,18.370001,18.379999,4100,18.366378
2015-06-08,18.540001,18.540001,18.459999,18.459999,3300,18.446319
2015-06-05,18.32,18.475,18.32,18.459999,6400,18.446319
2015-06-04,18.549999,18.549999,18.389999,18.396,15800,18.382367
2015-06-03,18.459999,18.676001,18.440001,18.639999,4400,18.626186
2015-06-02,18.252001,18.459999,18.252001,18.379999,20300,18.366378
2015-06-01,18.24,18.280001,17.99,18.25,7200,18.236476
2015-05-29,18.129999,18.149,18.040001,18.129999,4800,18.116564
2015-05-28,18.257999,18.261,18.139999,18.209999,17700,18.196504
2015-05-27,18.07,18.32,18.07,18.32,22600,18.306423
2015-05-26,18.110001,18.17,18.059999,18.139999,25100,18.126556
2015-05-22,18.49,18.513,18.40,18.40,4100,18.386364
2015-05-21,18.620001,18.68,18.598,18.610001,3700,18.596209
2015-05-20,18.33,18.610001,18.33,18.610001,17600,18.596209
2015-05-19,18.49,18.49,18.309999,18.35,6100,18.336402
2015-05-18,18.330999,18.455,18.25,18.450001,22200,18.436328
2015-05-15,18.32,18.40,18.24,18.381001,13100,18.367379
2015-05-14,18.299999,18.41,18.290001,18.360001,5300,18.346395
2015-05-13,18.176001,18.18,18.07,18.18,8100,18.166528
2015-05-12,17.90,18.129999,17.90,18.110001,4200,18.09658
2015-05-11,18.219999,18.379999,18.219999,18.27,18600,18.256461
2015-05-08,18.25,18.25,18.139999,18.200001,7100,18.186513
2015-05-07,17.969999,18.440001,17.969999,18.129999,4400,18.116564
2015-05-06,18.292999,18.292999,18.09,18.219999,22800,18.206497
2015-05-05,18.287001,18.299999,18.08,18.16,15400,18.146542
2015-05-04,18.389999,18.40,18.301001,18.34,11100,18.326409
2015-05-01,18.360001,18.360001,18.09,18.209999,9000,18.196504
2015-04-30,18.280001,18.370001,18.077,18.129999,27100,18.116564
2015-04-29,18.60,18.75,18.60,18.639999,6100,18.626186
2015-04-28,18.719999,18.790001,18.639999,18.739,10400,18.725114
2015-04-27,18.719999,18.941999,18.58,18.58,85400,18.566231
2015-04-24,18.75,18.764,18.690001,18.721001,214200,18.707127
2015-04-23,18.787001,18.92,18.77,18.870001,10600,18.856017
2015-04-22,18.711,18.870001,18.700001,18.790001,2900,18.776076
2015-04-21,18.719999,18.85,18.719999,18.82,9100,18.806053
2015-04-20,19.08,19.08,18.82,18.84,6800,18.826038
2015-04-17,18.950001,18.950001,18.780001,18.799999,4600,18.786067
2015-04-16,19.299,19.299,19.183001,19.183001,1100,19.168785
2015-04-15,19.275999,19.52,19.275999,19.469999,7000,19.455571
2015-04-14,19.118,19.118,18.959999,19.09,14300,19.075853
2015-04-13,19.040001,19.09,19.00,19.011999,3200,18.99791
2015-04-10,19.049999,19.049999,18.923,18.959999,12200,18.945949
2015-04-09,19.190001,19.190001,18.959999,18.992001,4000,18.977926
2015-04-08,19.07,19.120001,19.011,19.120001,2800,19.105832
2015-04-07,19.110001,19.221001,19.09,19.09,12600,19.075853
2015-04-06,19.030001,19.110001,19.02,19.08,12900,19.06586
2015-04-02,19.139999,19.139999,19.021999,19.08,6800,19.06586
2015-04-01,19.030001,19.076,18.889999,18.954,10000,18.939954
2015-03-31,18.83,18.993999,18.83,18.99,4100,18.975927
2015-03-30,18.830999,19.030001,18.830999,19.030001,33900,19.015898
2015-03-27,18.541,18.620001,18.51,18.60,7000,18.586217
2015-03-26,18.41,18.549999,18.41,18.469999,38100,18.456312
2015-03-25,18.65,18.65,18.450001,18.50,7700,18.48629
2015-03-24,18.700001,18.712999,18.681999,18.712999,6100,18.699132
2015-03-23,18.598,18.780001,18.598,18.76,7600,18.746098
2015-03-20,18.610001,18.610001,18.417999,18.60,278900,18.586217
2015-03-19,18.360001,18.41,18.290001,18.35,473100,18.336402
