Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,222.960007,225.25,219.720001,220.00,200600,220.00
2015-08-06,228.800003,232.669998,222.50,223.960007,210900,223.960007
2015-08-05,221.259995,229.690002,221.070007,228.800003,237400,228.800003
2015-08-04,219.080002,220.660004,216.389999,220.070007,154400,220.070007
2015-08-03,215.669998,224.300003,213.509995,219.869995,307200,219.869995
2015-07-31,211.369995,215.479996,210.00,212.729996,201900,212.729996
2015-07-30,210.00,220.800003,205.470001,212.089996,512400,212.089996
2015-07-29,207.550003,209.800003,204.960007,205.610001,210800,205.610001
2015-07-28,203.320007,207.949997,202.00,207.460007,182500,207.460007
2015-07-27,203.080002,204.960007,200.809998,203.419998,133100,203.419998
2015-07-24,205.199997,208.449997,202.289993,204.059998,119900,204.059998
2015-07-23,206.100006,208.889999,203.259995,205.050003,199000,205.050003
2015-07-22,204.470001,207.649994,203.880005,205.00,249200,205.00
2015-07-21,202.50,204.630005,199.649994,203.729996,183800,203.729996
2015-07-20,204.429993,204.740005,200.169998,203.039993,260800,203.039993
2015-07-17,200.669998,204.029999,199.820007,202.990005,177100,202.990005
2015-07-16,199.00,202.649994,196.350006,200.979996,167100,200.979996
2015-07-15,192.220001,200.589996,191.059998,197.850006,176100,197.850006
2015-07-14,195.00,198.00,192.259995,193.479996,277100,193.479996
2015-07-13,197.160004,199.479996,195.009995,195.600006,185300,195.600006
2015-07-10,190.160004,194.75,190.160004,194.350006,274100,194.350006
2015-07-09,190.779999,193.910004,188.00,188.809998,256000,188.809998
2015-07-08,182.960007,190.75,180.190002,190.440002,208700,190.440002
2015-07-07,182.00,184.110001,179.520004,182.919998,171200,182.919998
2015-07-06,176.020004,182.470001,176.020004,181.850006,239900,181.850006
2015-07-02,176.770004,179.50,175.979996,177.149994,148500,177.149994
2015-07-01,180.429993,180.679993,175.00,177.169998,218500,177.169998
2015-06-30,177.00,181.25,176.559998,177.880005,150800,177.880005
2015-06-29,178.149994,181.429993,175.789993,175.990005,155500,175.990005
2015-06-26,180.630005,181.309998,179.059998,179.550003,186200,179.550003
2015-06-25,179.309998,183.509995,178.949997,180.639999,234000,180.639999
2015-06-24,179.080002,180.059998,176.320007,178.490005,114500,178.490005
2015-06-23,179.449997,181.660004,176.380005,179.070007,117600,179.070007
2015-06-22,181.039993,181.190002,177.020004,179.449997,202800,179.449997
2015-06-19,177.809998,181.910004,177.169998,179.429993,209200,179.429993
2015-06-18,170.380005,178.309998,169.210007,178.020004,233600,178.020004
2015-06-17,167.089996,168.589996,166.309998,168.059998,113400,168.059998
2015-06-16,163.970001,168.210007,162.720001,167.50,153100,167.50
2015-06-15,163.720001,166.25,160.100006,163.509995,140900,163.509995
2015-06-12,161.690002,165.770004,160.850006,165.25,122300,165.25
2015-06-11,163.550003,164.080002,160.940002,162.320007,83500,162.320007
2015-06-10,158.610001,164.369995,158.610001,162.839996,159100,162.839996
2015-06-09,158.699997,162.589996,153.759995,159.110001,184700,159.110001
2015-06-08,165.25,165.25,159.009995,160.289993,195500,160.289993
2015-06-05,165.949997,166.559998,164.00,165.880005,142400,165.880005
2015-06-04,165.00,166.830002,164.869995,165.740005,203000,165.740005
2015-06-03,159.740005,164.289993,159.00,164.050003,119400,164.050003
2015-06-02,159.369995,160.979996,158.020004,158.940002,154400,158.940002
2015-06-01,157.600006,161.949997,155.449997,161.029999,167200,161.029999
2015-05-29,153.910004,157.789993,153.690002,157.470001,143400,157.470001
2015-05-28,154.25,154.440002,152.050003,154.339996,95700,154.339996
2015-05-27,153.559998,155.240005,151.039993,154.639999,93100,154.639999
2015-05-26,157.679993,157.679993,151.070007,152.630005,135600,152.630005
2015-05-22,159.330002,161.949997,156.229996,157.529999,59600,157.529999
2015-05-21,157.029999,160.850006,156.259995,159.100006,180500,159.100006
2015-05-20,165.380005,165.380005,156.529999,157.320007,219500,157.320007
2015-05-19,166.869995,167.210007,163.229996,164.570007,169800,164.570007
2015-05-18,166.220001,167.289993,165.259995,166.479996,107000,166.479996
2015-05-15,167.080002,167.729996,165.020004,166.350006,125700,166.100003
2015-05-14,165.320007,167.229996,163.679993,166.660004,103000,166.409535
2015-05-13,166.850006,168.139999,164.300003,164.660004,118900,164.412541
2015-05-12,166.50,167.25,164.889999,166.009995,128300,165.760503
2015-05-11,164.50,168.559998,164.50,167.300003,125200,167.048573
2015-05-08,163.190002,166.339996,162.119995,164.440002,191300,164.19287
2015-05-07,157.660004,162.979996,156.210007,162.080002,154400,161.836416
2015-05-06,159.699997,159.699997,153.779999,158.279999,172000,158.042124
2015-05-05,159.139999,161.460007,155.009995,156.449997,168500,156.214873
2015-05-04,159.00,161.639999,157.419998,159.919998,259400,159.679659
2015-05-01,153.929993,159.130005,153.75,157.779999,205400,157.542876
2015-04-30,159.039993,160.919998,153.020004,153.759995,226800,153.528913
2015-04-29,164.119995,164.229996,156.300003,159.589996,130900,159.350153
2015-04-28,164.00,167.070007,160.229996,164.419998,164600,164.172896
2015-04-27,167.00,168.789993,161.169998,164.309998,172800,164.063061
2015-04-24,167.020004,169.110001,164.619995,168.119995,140600,167.867332
2015-04-23,170.350006,170.690002,164.059998,167.020004,192900,166.768995
2015-04-22,169.00,170.940002,167.570007,167.850006,168700,167.597749
2015-04-21,170.059998,170.25,167.880005,168.949997,144300,168.696087
2015-04-20,168.820007,169.960007,166.300003,168.860001,142100,168.606226
2015-04-17,167.759995,169.029999,166.669998,167.339996,117100,167.088506
2015-04-16,168.300003,172.089996,168.00,168.440002,114200,168.186859
2015-04-15,169.160004,170.270004,167.259995,168.009995,159900,167.757497
2015-04-14,169.899994,169.899994,167.169998,168.139999,180800,167.887307
2015-04-13,167.50,172.539993,167.50,169.110001,124200,168.85585
2015-04-10,169.860001,169.860001,166.210007,168.220001,144100,167.967188
2015-04-09,169.679993,170.660004,166.460007,168.630005,206700,168.376576
2015-04-08,169.00,171.940002,167.539993,169.449997,298800,169.195335
2015-04-07,166.399994,168.699997,164.50,167.199997,199000,166.948717
2015-04-06,163.50,169.789993,163.009995,166.610001,541600,166.359607
2015-04-02,180.869995,183.75,161.369995,161.899994,503400,161.656679
2015-04-01,191.380005,191.399994,179.089996,179.649994,207400,179.380003
2015-03-31,194.600006,194.940002,189.660004,192.289993,118000,192.001006
2015-03-30,192.740005,195.869995,191.660004,194.970001,82300,194.676986
2015-03-27,188.919998,194.929993,188.919998,192.449997,85300,192.160769
2015-03-26,186.470001,189.830002,182.639999,188.229996,83000,187.94711
2015-03-25,196.979996,196.979996,187.820007,188.699997,99500,188.416405
2015-03-24,195.479996,197.410004,193.300003,194.889999,108000,194.597105
2015-03-23,195.339996,197.130005,192.800003,196.320007,177500,196.024964
2015-03-20,195.100006,195.860001,191.710007,194.669998,242000,194.377434
2015-03-19,194.75,197.330002,193.039993,193.699997,149100,193.408891
2015-03-18,197.429993,199.199997,192.520004,194.00,179500,193.708443
2015-03-17,195.610001,197.600006,194.360001,197.330002,202400,197.03344
2015-03-16,194.940002,197.190002,193.570007,195.910004,185800,195.615576
2015-03-13,195.740005,197.490005,193.479996,194.949997,125400,194.657012
2015-03-12,192.300003,197.479996,190.479996,195.75,162400,195.455813
2015-03-11,191.770004,192.740005,190.059998,192.130005,126600,191.841258
2015-03-10,191.039993,193.529999,187.600006,191.759995,133900,191.471804
2015-03-09,187.00,192.059998,186.770004,191.240005,140600,190.952596
2015-03-06,189.339996,190.289993,185.580002,186.149994,150500,185.870234
2015-03-05,185.039993,190.00,183.710007,189.729996,124300,189.444856
2015-03-04,185.220001,186.160004,183.509995,184.800003,92800,184.522272
2015-03-03,185.570007,187.25,183.089996,186.490005,127400,186.209735
2015-03-02,183.690002,187.809998,183.00,186.770004,110500,186.489313
2015-02-27,183.720001,186.460007,182.080002,183.619995,138600,183.094413
2015-02-26,181.960007,184.850006,180.570007,184.550003,92000,184.021759
2015-02-25,189.619995,189.619995,180.869995,181.470001,104200,180.950573
2015-02-24,185.350006,188.809998,184.679993,188.589996,92600,188.050189
2015-02-23,185.619995,188.00,182.600006,186.279999,139400,185.746803
2015-02-20,181.270004,184.990005,180.089996,184.789993,94200,184.261063
2015-02-19,179.119995,181.740005,178.660004,180.550003,152300,180.033209
2015-02-18,174.800003,176.779999,173.130005,176.720001,147300,176.21417
2015-02-17,177.910004,180.00,173.770004,174.800003,113900,174.299667
2015-02-13,181.789993,181.789993,177.800003,178.419998,131000,177.9093
2015-02-12,183.550003,184.089996,179.360001,182.490005,112200,181.967658
2015-02-11,179.050003,182.449997,178.00,181.520004,129600,181.000433
2015-02-10,176.710007,180.00,176.229996,179.050003,117500,178.537502
2015-02-09,175.850006,176.649994,173.130005,175.309998,85500,174.808202
2015-02-06,176.919998,180.00,175.539993,176.940002,144500,176.433541
2015-02-05,179.929993,179.949997,175.110001,177.740005,148100,177.231254
2015-02-04,174.00,180.190002,173.830002,179.00,168000,178.487642
2015-02-03,179.460007,180.699997,173.429993,173.830002,267900,173.332442
2015-02-02,180.25,180.520004,174.050003,179.729996,222200,179.215548
2015-01-30,178.880005,183.970001,175.050003,181.270004,301000,180.751149
2015-01-29,177.50,180.970001,173.580002,180.690002,234100,180.172807
2015-01-28,183.419998,185.300003,175.710007,176.610001,254200,176.104484
2015-01-27,176.190002,182.929993,174.509995,182.419998,219100,181.897851
2015-01-26,174.270004,177.490005,172.779999,177.330002,141100,176.822424
2015-01-23,173.800003,174.580002,172.009995,174.270004,142900,173.771185
2015-01-22,172.979996,175.570007,172.270004,173.839996,201600,173.342408
2015-01-21,170.850006,174.529999,168.100006,171.149994,230100,170.660105
2015-01-20,164.399994,171.389999,164.399994,171.139999,183800,170.65014
2015-01-16,160.740005,163.639999,159.100006,163.220001,171900,162.752811
2015-01-15,159.070007,163.729996,156.850006,160.740005,249500,160.279914
2015-01-14,156.809998,160.199997,153.429993,156.070007,177700,155.623283
2015-01-13,156.270004,163.220001,155.509995,158.300003,187300,157.846896
2015-01-12,155.649994,156.759995,153.119995,154.360001,142700,153.918171
2015-01-09,155.720001,157.559998,153.830002,155.110001,181300,154.666024
2015-01-08,151.399994,157.190002,151.399994,155.289993,250500,154.845501
2015-01-07,148.50,150.100006,145.839996,149.979996,158400,149.550703
2015-01-06,149.490005,149.570007,144.509995,147.839996,173200,147.416829
2015-01-05,149.710007,150.289993,147.380005,148.630005,160600,148.204576
2015-01-02,151.869995,152.580002,147.350006,149.860001,169900,149.431051
2014-12-31,148.160004,152.139999,147.710007,150.330002,250400,149.899707
2014-12-30,145.830002,148.059998,145.119995,147.460007,94700,147.037927
2014-12-29,144.639999,146.949997,143.479996,145.669998,152500,145.253042
2014-12-26,144.289993,145.149994,142.850006,144.910004,125600,144.495223
2014-12-24,140.75,144.720001,140.75,144.220001,94900,143.807195
2014-12-23,141.800003,142.479996,139.830002,140.740005,155200,140.337161
2014-12-22,140.220001,142.600006,139.630005,142.089996,123500,141.683287
2014-12-19,141.210007,143.00,139.119995,139.720001,214600,139.320076
2014-12-18,143.369995,143.369995,141.029999,141.899994,131600,141.493829
2014-12-17,137.300003,143.339996,136.720001,142.449997,272200,142.042257
2014-12-16,137.289993,138.320007,134.740005,138.020004,180700,135.132102
2014-12-15,136.869995,138.190002,134.679993,136.839996,129000,133.976785
2014-12-12,136.009995,136.539993,134.729996,135.509995,109100,132.674611
2014-12-11,135.259995,138.509995,135.240005,136.779999,114300,133.918042
2014-12-10,137.50,140.259995,133.960007,134.380005,163000,131.568265
2014-12-09,141.610001,141.610001,136.720001,138.860001,189600,135.954523
2014-12-08,143.479996,145.990005,141.470001,143.470001,123000,140.468065
2014-12-05,145.479996,146.630005,141.50,142.550003,155400,139.567316
2014-12-04,141.149994,145.429993,138.479996,144.070007,232000,141.055516
2014-12-03,138.949997,141.160004,138.809998,140.389999,110500,137.452508
2014-12-02,138.860001,142.610001,137.75,139.729996,193000,136.806314
2014-12-01,140.470001,141.580002,137.690002,138.910004,144700,136.003479
2014-11-28,138.899994,144.100006,138.899994,140.259995,106800,137.325223
2014-11-26,135.00,135.610001,134.179993,134.610001,71700,131.793449
2014-11-25,135.690002,136.380005,133.00,134.919998,69900,132.09696
2014-11-24,133.470001,135.080002,132.75,134.940002,123200,132.116546
2014-11-21,134.220001,134.220001,131.089996,132.539993,99700,129.766754
2014-11-20,132.720001,133.169998,131.039993,132.570007,69500,129.79614
2014-11-19,134.470001,135.259995,131.770004,133.130005,106000,130.34442
2014-11-18,132.490005,135.660004,132.029999,134.910004,147300,132.087175
2014-11-17,132.449997,134.649994,131.339996,131.490005,162100,128.738736
2014-11-14,132.850006,134.639999,131.539993,131.850006,128600,129.091204
2014-11-13,134.729996,135.600006,132.949997,133.320007,121900,130.530447
2014-11-12,135.330002,136.199997,133.460007,133.949997,186600,131.147255
2014-11-11,137.339996,138.190002,134.990005,135.830002,184100,132.987923
2014-11-10,134.389999,137.320007,132.380005,137.00,205500,134.13344
2014-11-07,136.00,136.00,133.899994,134.649994,133700,131.832605
2014-11-06,136.029999,136.850006,134.300003,136.020004,193500,133.17395
2014-11-05,138.820007,138.820007,134.940002,135.330002,143100,132.498385
2014-11-04,134.830002,138.649994,134.509995,137.309998,228100,134.436952
2014-11-03,133.330002,135.070007,132.339996,134.589996,145500,131.773863
2014-10-31,131.429993,134.100006,129.970001,133.470001,152600,130.677303
2014-10-30,128.800003,129.940002,126.699997,128.740005,129200,126.046276
2014-10-29,128.960007,129.940002,126.730003,128.970001,120500,126.27146
2014-10-28,125.959999,129.649994,124.849998,129.25,170500,126.5456
2014-10-27,122.019997,125.839996,121.43,125.610001,191000,122.981763
2014-10-24,121.970001,122.900002,120.230003,122.110001,151100,119.554996
2014-10-23,121.230003,123.839996,119.129997,121.849998,232800,119.300434
2014-10-22,121.07,121.970001,118.959999,120.309998,110800,117.792656
2014-10-21,118.940002,121.239998,117.419998,120.970001,121800,118.43885
2014-10-20,112.110001,118.019997,112.029999,117.879997,206100,115.413501
2014-10-17,114.510002,114.57,111.349998,112.019997,79000,109.676113
2014-10-16,109.309998,113.790001,109.309998,112.830002,107000,110.46917
2014-10-15,107.220001,112.440002,106.720001,111.489998,180500,109.157204
2014-10-14,106.139999,110.699997,105.459999,109.18,143300,106.895541
2014-10-13,109.620003,110.050003,104.519997,105.089996,225100,102.891115
2014-10-10,108.769997,111.199997,108.18,109.019997,223700,106.738885
2014-10-09,110.360001,110.669998,108.599998,109.510002,155000,107.218637
2014-10-08,115.43,115.760002,110.290001,110.75,672300,108.43269
2014-10-07,118.309998,119.660004,116.07,116.290001,193100,113.856773
2014-10-06,122.690002,123.209999,118.830002,118.910004,123500,116.421955
2014-10-03,121.739998,123.290001,121.139999,122.080002,150800,119.525625
2014-10-02,120.699997,122.489998,119.190002,120.25,219000,117.733914
2014-10-01,123.239998,123.239998,119.800003,121.010002,129100,118.478014
2014-09-30,123.769997,125.00,123.050003,123.660004,156100,121.072567
2014-09-29,123.120003,124.00,122.699997,123.379997,42200,120.79842
2014-09-26,124.360001,124.900002,122.940002,124.18,86700,121.581684
2014-09-25,125.379997,125.769997,123.379997,123.660004,173600,121.072567
2014-09-24,124.199997,126.07,122.940002,125.370003,152400,122.746787
2014-09-23,124.50,125.139999,122.559998,123.75,235100,121.160681
2014-09-22,124.830002,125.00,124.199997,124.480003,108600,121.875409
2014-09-19,125.870003,127.169998,124.32,124.779999,205100,122.169128
2014-09-18,125.139999,126.110001,124.93,125.720001,86000,123.089462
2014-09-17,123.830002,125.150002,122.919998,125.07,109600,122.453061
2014-09-16,123.379997,124.690002,121.900002,123.82,90300,121.229216
2014-09-15,126.00,128.50,123.830002,123.989998,119600,121.395657
2014-09-12,126.769997,128.550003,124.910004,125.75,123300,123.118833
2014-09-11,126.599998,127.589996,124.589996,126.019997,93700,123.38318
2014-09-10,126.269997,127.379997,124.660004,126.760002,44400,124.107702
2014-09-09,126.089996,126.709999,125.389999,125.790001,65900,123.157997
2014-09-08,126.339996,126.839996,125.50,126.589996,73500,123.941253
2014-09-05,124.849998,126.580002,123.459999,126.040001,53800,123.402766
2014-09-04,126.809998,128.270004,124.889999,125.309998,81700,122.688037
2014-09-03,126.709999,126.709999,123.739998,126.190002,91300,123.549629
2014-09-02,123.400002,127.129997,122.839996,126.879997,142500,124.225186
2014-08-29,123.989998,123.989998,121.860001,122.860001,78100,120.289303
