Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,10.51,10.65,10.40,10.455,26900,10.455
2015-08-06,10.52,10.60,10.49,10.56,19500,10.56
2015-08-05,10.66,10.747,10.60,10.70,6100,10.70
2015-08-04,10.50,10.65,10.50,10.51,4100,10.51
2015-08-03,10.65,10.70,10.50,10.50,5700,10.50
2015-07-31,10.50,10.60,10.45,10.50,10600,10.50
2015-07-30,10.45,10.586,10.45,10.57,400,10.57
2015-07-29,10.52,10.53,10.46,10.46,11400,10.46
2015-07-28,10.60,10.61,10.54,10.54,3400,10.54
2015-07-27,10.63,10.70,10.59,10.59,3500,10.59
2015-07-24,10.34,10.853,10.27,10.853,19700,10.853
2015-07-23,10.50,10.50,10.48,10.48,1200,10.48
2015-07-22,10.49,10.79,10.46,10.50,7500,10.50
2015-07-21,10.45,10.71,10.45,10.71,7100,10.71
2015-07-20,10.50,10.65,10.28,10.64,5000,10.64
2015-07-17,10.50,10.50,10.50,10.50,1800,10.50
2015-07-16,10.48,10.54,10.30,10.31,4900,10.31
2015-07-15,10.43,10.49,10.43,10.49,1500,10.49
2015-07-14,10.30,10.49,10.29,10.489,5700,10.489
2015-07-13,10.26,10.40,10.26,10.40,2600,10.40
2015-07-10,10.46,10.50,10.46,10.50,1100,10.50
2015-07-09,10.50,10.50,10.35,10.44,4900,10.44
2015-07-08,10.29,10.67,10.29,10.44,15400,10.44
2015-07-07,10.49,10.55,10.30,10.31,3200,10.31
2015-07-06,10.55,10.58,10.54,10.55,5900,10.55
2015-07-02,10.64,10.65,10.60,10.65,15900,10.65
2015-07-01,10.69,10.69,10.29,10.64,800,10.64
2015-06-30,10.50,10.69,10.45,10.47,2500,10.47
2015-06-29,10.60,10.62,10.52,10.55,5600,10.55
2015-06-26,10.59,10.78,10.59,10.65,6800,10.65
2015-06-25,10.54,11.10,10.51,10.59,6800,10.59
2015-06-24,10.56,10.60,10.50,10.50,3500,10.50
2015-06-23,10.65,10.65,10.65,10.65,000,10.65
2015-06-22,10.75,10.75,10.57,10.65,4000,10.65
2015-06-19,10.99,11.00,10.70,10.75,9400,10.75
2015-06-18,10.35,10.74,10.34,10.62,2400,10.62
2015-06-17,10.28,10.97,10.28,10.68,14700,10.68
2015-06-16,10.41,10.575,10.40,10.411,2700,10.411
2015-06-15,10.48,10.74,10.48,10.55,9500,10.55
2015-06-12,10.49,10.49,10.49,10.49,000,10.49
2015-06-11,10.64,10.74,10.49,10.49,4900,10.49
2015-06-10,10.56,10.65,10.43,10.63,1700,10.63
2015-06-09,10.69,10.70,10.48,10.70,1000,10.70
2015-06-08,10.70,10.70,10.70,10.70,2200,10.70
2015-06-05,10.53,10.75,10.51,10.75,2800,10.75
2015-06-04,10.48,10.701,10.48,10.701,800,10.701
2015-06-03,10.43,10.97,10.43,10.78,2200,10.78
2015-06-02,10.93,10.93,10.41,10.47,2600,10.47
2015-06-01,10.76,10.76,10.76,10.76,300,10.76
2015-05-29,10.75,10.75,10.75,10.75,000,10.75
2015-05-28,10.75,10.96,10.75,10.75,5700,10.75
2015-05-27,10.99,10.99,10.85,10.85,1400,10.85
2015-05-26,10.95,10.95,10.95,10.95,000,10.95
2015-05-22,10.97,10.97,10.95,10.95,200,10.95
2015-05-21,10.88,10.96,10.70,10.71,2400,10.71
2015-05-20,10.70,11.00,10.70,10.96,3900,10.96
2015-05-19,10.83,11.03,10.674,10.71,6000,10.71
2015-05-18,10.91,11.03,10.91,10.95,3000,10.95
2015-05-15,11.08,11.08,10.795,10.95,27700,10.95
2015-05-14,11.08,11.09,10.86,10.95,9700,10.95
2015-05-13,10.82,11.09,10.82,10.93,24100,10.93
2015-05-12,10.81,10.81,10.81,10.81,000,10.81
2015-05-11,10.67,10.86,10.67,10.81,9200,10.760001
2015-05-08,10.85,10.92,10.80,10.81,15000,10.760001
2015-05-07,10.65,11.49,10.65,10.89,31800,10.839631
2015-05-06,10.43,10.64,10.30,10.64,16600,10.590787
2015-05-05,10.72,10.727,10.30,10.58,14300,10.531064
2015-05-04,10.499,10.70,10.49,10.70,5700,10.650509
2015-05-01,10.50,10.51,10.463,10.49,1900,10.44148
2015-04-30,10.61,10.85,10.30,10.58,11300,10.531064
2015-04-29,10.33,10.33,10.33,10.33,000,10.28222
2015-04-28,10.50,10.50,10.30,10.33,900,10.28222
2015-04-27,10.58,10.58,10.58,10.58,1000,10.531064
2015-04-24,10.83,10.83,10.75,10.75,2100,10.700278
2015-04-23,10.64,10.824,10.60,10.79,18200,10.740093
2015-04-22,10.42,10.69,10.42,10.59,5800,10.541018
2015-04-21,10.31,10.65,10.31,10.59,10000,10.541018
2015-04-20,10.27,10.36,10.27,10.34,2700,10.292174
2015-04-17,10.40,10.40,10.24,10.36,5300,10.312081
2015-04-16,10.07,10.401,10.05,10.39,12600,10.341943
2015-04-15,10.19,10.49,10.14,10.33,21000,10.28222
2015-04-14,10.22,10.25,10.19,10.25,9700,10.20259
2015-04-13,10.20,10.27,10.17,10.27,12500,10.222498
2015-04-10,10.18,10.18,10.18,10.18,400,10.132915
2015-04-09,10.20,10.20,10.20,10.20,4500,10.152822
2015-04-08,10.05,10.24,10.05,10.24,1400,10.192636
