Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,1.76,1.76,1.68,1.68,2400,1.68
2015-08-06,1.83,1.83,1.70,1.80,4600,1.80
2015-08-05,1.79,1.88,1.71,1.78,14400,1.78
2015-08-04,1.65,1.65,1.65,1.65,500,1.65
2015-08-03,1.71,1.71,1.71,1.71,600,1.71
2015-07-31,1.70,1.70,1.70,1.70,900,1.70
2015-07-30,1.64,1.69,1.64,1.69,900,1.69
2015-07-29,1.72,1.72,1.72,1.72,400,1.72
2015-07-28,1.70,1.70,1.70,1.70,000,1.70
2015-07-27,1.74,1.74,1.70,1.70,200,1.70
2015-07-24,1.66,1.75,1.66,1.71,1800,1.71
2015-07-23,1.69,1.69,1.61,1.66,12500,1.66
2015-07-22,1.69,1.69,1.64,1.64,500,1.64
2015-07-21,1.65,1.67,1.65,1.67,5700,1.67
2015-07-20,1.66,1.68,1.65,1.68,2500,1.68
2015-07-17,1.66,1.70,1.63,1.63,3700,1.63
2015-07-16,1.61,1.68,1.61,1.68,2400,1.68
2015-07-15,1.81,1.81,1.58,1.67,22800,1.67
2015-07-14,1.75,1.77,1.71,1.72,16000,1.72
2015-07-13,1.77,1.77,1.77,1.77,400,1.77
2015-07-10,1.71,1.71,1.71,1.71,100,1.71
2015-07-09,1.69,1.75,1.67,1.69,1200,1.69
2015-07-08,1.65,1.77,1.62,1.68,8300,1.68
2015-07-07,1.63,1.77,1.63,1.65,8800,1.65
2015-07-06,1.76,1.77,1.62,1.64,13600,1.64
2015-07-02,1.70,1.75,1.68,1.68,1600,1.68
2015-07-01,1.66,1.73,1.60,1.71,12000,1.71
2015-06-30,1.82,1.82,1.63,1.72,14100,1.72
2015-06-29,1.73,1.74,1.62,1.65,10600,1.65
2015-06-26,1.78,1.82,1.78,1.80,5200,1.80
2015-06-25,1.75,1.75,1.75,1.75,200,1.75
2015-06-24,1.74,1.74,1.74,1.74,2100,1.74
2015-06-23,1.75,1.75,1.63,1.73,10000,1.73
2015-06-22,1.77,1.77,1.77,1.77,000,1.77
2015-06-19,1.78,1.82,1.74,1.77,7900,1.77
2015-06-18,1.64,1.82,1.63,1.81,15200,1.81
2015-06-17,1.76,1.80,1.62,1.73,3300,1.73
2015-06-16,1.65,1.82,1.65,1.81,14100,1.81
2015-06-15,1.61,1.79,1.61,1.74,3200,1.74
2015-06-12,1.77,1.85,1.72,1.75,8900,1.75
2015-06-11,1.76,1.87,1.76,1.77,19400,1.77
2015-06-10,1.80,1.91,1.76,1.89,4900,1.89
2015-06-09,1.97,1.99,1.79,1.84,29200,1.84
2015-06-08,1.77,2.03,1.77,1.88,29200,1.88
2015-06-05,1.89,1.98,1.63,1.75,115600,1.75
2015-06-04,2.00,2.00,1.87,1.89,18600,1.89
2015-06-03,2.20,2.20,1.91,1.96,21800,1.96
2015-06-02,2.42,2.48,1.91,2.09,196800,2.09
2015-06-01,1.62,3.88,1.60,2.60,707900,2.60
2015-05-29,1.56,1.65,1.48,1.55,10000,1.55
2015-05-28,1.53,1.59,1.42,1.55,7600,1.55
2015-05-27,1.55,1.65,1.45,1.51,4300,1.51
2015-05-26,1.59,1.59,1.46,1.50,2700,1.50
2015-05-22,1.65,1.65,1.48,1.60,28000,1.60
2015-05-21,1.55,1.72,1.45,1.60,27800,1.60
2015-05-20,1.60,1.60,1.40,1.48,8700,1.48
2015-05-19,1.76,1.79,1.29,1.58,58400,1.58
2015-05-18,1.83,1.83,1.75,1.80,3300,1.80
2015-05-15,1.96,2.02,1.90,1.94,15700,1.94
2015-05-14,1.75,1.96,1.75,1.95,1100,1.95
2015-05-13,1.88,1.95,1.83,1.85,1300,1.85
2015-05-12,1.97,1.97,1.85,1.85,10800,1.85
2015-05-11,1.90,1.92,1.90,1.91,600,1.91
2015-05-08,1.93,1.97,1.48,1.85,101800,1.85
2015-05-07,1.81,1.87,1.81,1.87,2000,1.87
2015-05-06,2.07,2.07,1.77,1.90,9800,1.90
2015-05-05,2.14,2.14,1.98,2.04,29100,2.04
2015-05-04,2.72,2.72,2.03,2.03,18900,2.03
2015-05-01,2.41,2.41,2.32,2.32,1400,2.32
2015-04-30,2.43,2.43,2.27,2.27,3000,2.27
2015-04-29,2.52,2.62,2.29,2.29,23500,2.29
2015-04-28,2.40,2.93,2.40,2.42,122000,2.42
2015-04-27,2.28,2.39,2.25,2.36,19700,2.36
2015-04-24,2.24,2.35,2.24,2.33,15100,2.33
2015-04-23,2.30,2.35,2.22,2.35,15800,2.35
2015-04-22,2.34,2.43,2.20,2.33,23500,2.33
2015-04-21,2.40,2.48,2.38,2.41,3000,2.41
2015-04-20,2.32,2.32,2.21,2.28,3800,2.28
2015-04-17,2.28,2.33,2.28,2.33,200,2.33
2015-04-16,2.23,2.47,2.23,2.47,1600,2.47
2015-04-15,2.39,2.39,2.39,2.39,200,2.39
2015-04-14,2.54,2.54,2.54,2.54,000,2.54
2015-04-13,2.54,2.54,2.54,2.54,1500,2.54
2015-04-10,2.75,2.75,2.65,2.65,1200,2.65
2015-04-09,2.55,2.72,2.55,2.69,1100,2.69
2015-04-08,2.68,2.68,2.65,2.65,3100,2.65
2015-04-07,2.70,2.70,2.70,2.70,500,2.70
