Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,12.00,12.00,12.00,12.00,000,12.00
2015-08-06,12.00,12.00,12.00,12.00,000,12.00
2015-08-05,12.00,12.00,12.00,12.00,000,12.00
2015-08-04,12.00,12.00,12.00,12.00,000,12.00
2015-08-03,11.80,12.00,11.80,12.00,000,12.00
2015-07-31,12.20,12.20,12.20,12.20,000,12.20
2015-07-30,12.20,12.20,12.20,12.20,000,12.20
2015-07-29,12.20,12.20,12.19,12.20,000,12.20
2015-07-28,12.31,12.31,12.30,12.30,000,12.30
2015-07-27,12.20,12.20,12.20,12.20,000,12.20
2015-07-24,12.20,12.20,12.20,12.20,000,12.20
2015-07-23,12.12,12.20,12.12,12.20,000,12.20
2015-07-22,12.01,12.01,12.01,12.01,000,12.01
2015-07-21,12.01,12.01,12.01,12.01,000,12.01
2015-07-20,12.00,12.00,12.00,12.00,000,12.00
2015-07-17,12.00,12.00,12.00,12.00,000,12.00
2015-07-16,12.00,12.00,12.00,12.00,000,12.00
2015-07-15,11.80,12.00,11.80,12.00,100,12.00
2015-07-14,11.70,11.70,11.70,11.70,000,11.70
2015-07-13,11.70,11.70,11.70,11.70,100,11.70
2015-07-10,11.52,11.52,11.20,11.20,100,11.20
2015-07-09,11.70,11.70,11.70,11.70,000,11.70
2015-07-08,11.70,11.70,11.70,11.70,000,11.70
2015-07-07,11.33,11.70,11.33,11.70,100,11.70
2015-07-06,10.55,11.18,10.55,11.18,100,11.18
2015-07-03,11.76,12.20,10.55,10.55,600,10.55
2015-07-02,13.26,13.26,10.61,12.00,700,12.00
2015-07-01,14.15,14.15,14.15,14.15,000,14.15
2015-06-30,14.15,14.15,14.15,14.15,000,14.15
2015-06-29,14.15,14.15,14.15,14.15,000,14.15
2015-06-26,14.15,14.15,14.15,14.15,000,14.15
2015-06-25,14.15,14.15,14.15,14.15,000,14.15
2015-06-24,14.15,14.15,14.15,14.15,000,14.15
2015-06-23,14.15,14.15,14.15,14.15,000,14.15
2015-06-22,14.15,14.15,14.15,14.15,000,14.15
2015-06-19,14.15,14.15,14.15,14.15,000,14.15
2015-06-18,14.15,14.15,14.15,14.15,000,14.15
2015-06-17,14.15,14.15,14.15,14.15,000,14.15
2015-06-16,14.15,14.15,14.15,14.15,000,14.15
2015-06-15,14.12,14.15,14.05,14.15,1400,13.15
2015-06-12,14.05,14.10,14.00,14.10,500,13.10
2015-06-11,14.00,14.00,14.00,14.00,000,13.01
2015-06-10,14.00,14.00,14.00,14.00,000,13.01
2015-06-09,14.00,14.00,14.00,14.00,000,13.01
2015-06-08,14.30,14.45,14.00,14.00,1200,13.01
2015-06-05,14.27,14.27,14.27,14.27,000,13.26
2015-06-04,14.27,14.27,14.27,14.27,000,13.26
2015-06-03,14.27,14.27,14.27,14.27,000,13.26
2015-06-02,14.27,14.27,14.26,14.27,000,13.26
2015-06-01,14.27,14.27,14.27,14.27,000,13.26
2015-05-29,14.27,14.27,14.27,14.27,000,13.26
2015-05-28,14.27,14.27,14.27,14.27,000,13.26
2015-05-27,14.27,14.27,14.27,14.27,000,13.26
2015-05-26,14.27,14.27,14.27,14.27,000,13.26
2015-05-25,14.09,14.09,14.09,14.09,000,13.09
2015-05-22,14.09,14.09,14.09,14.09,000,13.09
2015-05-21,14.09,14.09,14.09,14.09,000,13.09
2015-05-20,14.02,14.02,14.02,14.02,000,13.03
2015-05-19,14.02,14.02,14.02,14.02,000,13.03
2015-05-18,14.02,14.02,14.02,14.02,000,13.03
2015-05-15,14.02,14.02,14.02,14.02,000,13.03
2015-05-14,14.49,14.49,14.02,14.02,100,13.03
2015-05-13,14.49,14.49,14.49,14.49,000,13.47
2015-05-12,14.49,14.49,14.49,14.49,000,13.47
2015-05-11,14.49,14.49,14.49,14.49,000,13.47
2015-05-08,14.19,14.20,14.19,14.20,100,13.20
