Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,16.040001,16.10,15.71,15.72,2369200,15.72
2015-08-06,15.94,16.059999,15.92,16.040001,1091800,16.040001
2015-08-05,16.00,16.15,15.93,15.93,1673000,15.93
2015-08-04,16.15,16.219999,15.93,15.95,1714700,15.95
2015-08-03,16.030001,16.07,15.94,15.98,1257300,15.98
2015-07-31,16.190001,16.190001,16.07,16.09,860400,16.09
2015-07-30,16.059999,16.15,16.00,16.129999,975000,16.129999
2015-07-29,16.02,16.18,15.98,16.129999,1040700,16.129999
2015-07-28,15.73,16.030001,15.73,16.00,1319300,16.00
2015-07-27,15.95,16.00,15.67,15.72,2197700,15.72
2015-07-24,16.110001,16.17,15.90,15.99,1472800,15.99
2015-07-23,16.360001,16.379999,16.059999,16.08,1153000,16.08
2015-07-22,16.35,16.42,16.26,16.33,981400,16.33
2015-07-21,16.379999,16.440001,16.299999,16.360001,657700,16.360001
2015-07-20,16.48,16.52,16.379999,16.41,495700,16.41
2015-07-17,16.620001,16.65,16.450001,16.48,581500,16.48
2015-07-16,16.559999,16.629999,16.48,16.52,1126000,16.52
2015-07-15,16.540001,16.59,16.459999,16.50,1082900,16.50
2015-07-14,16.48,16.58,16.48,16.57,627800,16.57
2015-07-13,16.450001,16.549999,16.450001,16.530001,627700,16.530001
2015-07-10,16.459999,16.559999,16.370001,16.440001,972400,16.440001
2015-07-09,16.440001,16.459999,16.290001,16.360001,1507200,16.360001
2015-07-08,16.450001,16.50,16.27,16.309999,1076000,16.309999
2015-07-07,16.57,16.629999,16.280001,16.530001,2226200,16.530001
2015-07-06,16.52,16.610001,16.43,16.540001,1861300,16.540001
2015-07-02,16.50,16.610001,16.48,16.58,1136900,16.58
2015-07-01,16.59,16.690001,16.469999,16.48,2296500,16.48
2015-06-30,16.549999,16.620001,16.41,16.459999,2228600,16.459999
2015-06-29,16.42,16.43,16.27,16.34,1905400,16.34
2015-06-26,16.559999,16.559999,16.440001,16.52,1327700,16.52
2015-06-25,16.58,16.66,16.49,16.50,1055300,16.50
2015-06-24,16.629999,16.700001,16.530001,16.57,1016300,16.57
2015-06-23,16.639999,16.719999,16.60,16.66,1507000,16.66
2015-06-22,16.610001,16.709999,16.559999,16.60,1189700,16.60
2015-06-19,16.700001,16.700001,16.51,16.58,1295100,16.58
2015-06-18,16.50,16.59,16.280001,16.59,2785200,16.59
2015-06-17,16.01,16.10,16.00,16.030001,1561400,16.030001
2015-06-16,15.99,16.030001,15.95,16.02,912300,16.02
2015-06-15,16.02,16.049999,15.94,16.01,1503100,16.01
2015-06-12,16.049999,16.129999,16.02,16.07,1134600,16.07
2015-06-11,16.15,16.200001,15.99,16.049999,2297000,16.049999
2015-06-10,16.440001,16.49,16.370001,16.42,1674900,16.04
2015-06-09,16.389999,16.50,16.32,16.41,2032200,16.030231
2015-06-08,16.450001,16.459999,16.309999,16.389999,1512400,16.010694
2015-06-05,16.75,16.75,16.450001,16.469999,1767700,16.088842
2015-06-04,16.799999,16.799999,16.57,16.60,1412300,16.215835
2015-06-03,16.67,16.780001,16.639999,16.77,1172100,16.3819
2015-06-02,16.530001,16.67,16.52,16.66,911900,16.274446
2015-06-01,16.790001,16.799999,16.530001,16.559999,1370300,16.176759
2015-05-29,16.780001,16.790001,16.700001,16.75,983000,16.362363
2015-05-28,16.559999,16.790001,16.559999,16.77,1367400,16.3819
2015-05-27,16.57,16.65,16.52,16.540001,844000,16.157224
2015-05-26,16.610001,16.65,16.51,16.549999,1191600,16.166991
2015-05-22,16.57,16.65,16.559999,16.620001,829100,16.235372
2015-05-21,16.530001,16.610001,16.48,16.559999,1530400,16.176759
2015-05-20,16.65,16.74,16.549999,16.57,1337700,16.186528
2015-05-19,16.51,16.66,16.50,16.65,1134000,16.264677
2015-05-18,16.50,16.57,16.469999,16.49,876300,16.10838
2015-05-15,16.459999,16.549999,16.42,16.540001,901800,16.157224
2015-05-14,16.389999,16.49,16.360001,16.43,950100,16.049769
2015-05-13,16.190001,16.42,16.190001,16.360001,1309400,15.981389
2015-05-12,16.41,16.48,16.16,16.190001,2081300,15.815323
2015-05-11,16.389999,16.559999,16.379999,16.450001,2129700,16.069306
2015-05-08,16.50,16.549999,16.33,16.389999,1187300,16.010694
2015-05-07,16.23,16.440001,16.200001,16.42,2148300,16.04
2015-05-06,16.280001,16.299999,15.94,16.219999,4581300,15.844628
2015-05-05,16.440001,16.530001,16.120001,16.24,3585300,15.864165
2015-05-04,16.799999,16.85,16.559999,16.629999,4636900,16.245139
2015-05-01,17.00,17.059999,16.83,16.950001,2214800,16.557735
2015-04-30,17.16,17.17,16.99,17.02,2123400,16.626115
2015-04-29,17.190001,17.190001,17.10,17.15,1238500,16.753105
2015-04-28,17.129999,17.190001,17.049999,17.18,1016900,16.782412
2015-04-27,17.200001,17.200001,17.10,17.129999,714900,16.733568
2015-04-24,17.190001,17.219999,17.02,17.209999,1161100,16.811716
2015-04-23,17.15,17.219999,17.10,17.200001,2430900,16.801949
2015-04-22,17.07,17.17,17.030001,17.139999,1277100,16.743337
2015-04-21,17.16,17.190001,17.040001,17.059999,1410000,16.665188
2015-04-20,17.10,17.200001,17.07,17.110001,1186500,16.714032
2015-04-17,17.10,17.24,17.00,17.08,2644400,16.684726
2015-04-16,17.129999,17.219999,17.02,17.16,1601600,16.762874
2015-04-15,17.209999,17.25,17.10,17.139999,1352000,16.743337
2015-04-14,17.09,17.24,17.08,17.190001,1769400,16.792181
2015-04-13,17.120001,17.17,16.879999,17.110001,1794700,16.714032
2015-04-10,17.290001,17.360001,17.09,17.139999,2719800,16.743337
2015-04-09,17.32,17.370001,17.17,17.26,1880800,16.86056
2015-04-08,17.23,17.32,17.10,17.290001,2966700,16.889867
2015-04-07,17.290001,17.35,17.18,17.24,1060000,16.841023
2015-04-06,17.09,17.35,17.09,17.299999,2266300,16.899634
2015-04-02,17.139999,17.32,17.09,17.139999,3426200,16.743337
2015-04-01,17.190001,17.200001,17.07,17.17,1765500,16.772643
2015-03-31,17.280001,17.280001,17.09,17.17,2279000,16.772643
2015-03-30,17.09,17.209999,17.059999,17.120001,2342600,16.723801
2015-03-27,17.18,17.219999,17.08,17.16,1527700,16.762874
2015-03-26,17.18,17.24,17.09,17.200001,2057600,16.801949
2015-03-25,17.24,17.290001,17.139999,17.18,1005200,16.782412
2015-03-24,17.26,17.360001,17.110001,17.17,1944000,16.772643
2015-03-23,17.030001,17.25,16.969999,17.200001,1878000,16.801949
2015-03-20,16.98,17.059999,16.93,17.030001,2313900,16.635884
2015-03-19,16.879999,16.950001,16.690001,16.860001,1204800,16.469818
2015-03-18,16.889999,16.950001,16.719999,16.879999,1790600,16.489353
2015-03-17,16.870001,16.99,16.84,16.950001,1434400,16.557735
2015-03-16,16.950001,17.00,16.84,16.889999,995100,16.499122
2015-03-13,16.790001,16.90,16.75,16.84,1981800,16.45028
2015-03-12,16.860001,16.91,16.75,16.77,2587200,16.3819
2015-03-11,17.02,17.059999,16.709999,16.82,3479800,16.430743
2015-03-10,17.549999,17.639999,17.33,17.40,3238500,16.577271
2015-03-09,17.68,17.68,17.540001,17.549999,2547900,16.720179
2015-03-06,17.540001,17.66,17.51,17.60,2725700,16.767815
2015-03-05,17.530001,17.59,17.389999,17.59,2183700,16.758288
2015-03-04,17.48,17.50,17.34,17.469999,1540600,16.643961
2015-03-03,17.35,17.50,17.34,17.469999,2218300,16.643961
2015-03-02,17.40,17.440001,17.280001,17.35,1923900,16.529636
2015-02-27,17.34,17.389999,17.25,17.299999,2505500,16.481999
2015-02-26,17.17,17.43,17.120001,17.25,3293400,16.434364
2015-02-25,17.120001,17.129999,16.98,17.02,2391400,16.21524
2015-02-24,17.049999,17.120001,16.950001,17.049999,2083300,16.24382
2015-02-23,16.940001,17.049999,16.92,17.049999,1259800,16.24382
2015-02-20,16.99,17.00,16.879999,16.92,1271400,16.119968
2015-02-19,16.93,16.969999,16.809999,16.950001,903100,16.14855
2015-02-18,16.98,17.01,16.809999,16.879999,1145200,16.081858
2015-02-17,16.85,17.02,16.790001,16.969999,1797600,16.167603
2015-02-13,16.93,16.959999,16.700001,16.85,1794600,16.053278
2015-02-12,16.629999,16.870001,16.559999,16.84,2102000,16.043751
2015-02-11,16.50,16.68,16.43,16.60,1748900,15.815099
2015-02-10,16.879999,16.889999,16.58,16.690001,2103000,15.900843
2015-02-09,17.08,17.08,16.77,16.84,2457400,16.043751
2015-02-06,16.959999,17.10,16.85,16.879999,2638900,16.081858
2015-02-05,16.91,16.93,16.77,16.889999,1509900,16.091386
2015-02-04,16.860001,16.93,16.700001,16.82,1780800,16.024696
2015-02-03,16.610001,16.879999,16.610001,16.84,3007200,16.043751
2015-02-02,16.719999,16.75,16.58,16.690001,2839500,15.900843
2015-01-30,16.459999,16.799999,16.35,16.65,3840600,15.862734
2015-01-29,16.43,16.57,16.299999,16.51,2111700,15.729354
2015-01-28,16.530001,16.559999,16.360001,16.389999,2983800,15.615027
2015-01-27,16.299999,16.530001,16.25,16.43,3000700,15.653137
2015-01-26,16.219999,16.450001,16.02,16.35,3978700,15.57692
2015-01-23,15.63,16.040001,15.62,16.01,3165800,15.252996
2015-01-22,16.00,16.00,15.63,15.63,3423800,14.890963
2015-01-21,16.00,16.040001,15.88,15.90,2135800,15.148196
2015-01-20,15.97,16.059999,15.80,15.99,2227400,15.233941
2015-01-16,15.62,15.86,15.58,15.85,1913800,15.100561
2015-01-15,15.98,15.99,15.64,15.66,2013600,14.919544
2015-01-14,15.64,15.78,15.58,15.76,1606100,15.014816
2015-01-13,16.00,16.08,15.65,15.78,1579300,15.03387
2015-01-12,15.89,16.00,15.83,15.96,1832200,15.20536
2015-01-09,15.80,15.94,15.70,15.84,2092200,15.091034
2015-01-08,15.76,15.86,15.67,15.81,2082800,15.062452
2015-01-07,15.73,15.73,15.60,15.64,2209500,14.900491
2015-01-06,15.77,15.87,15.50,15.55,3288500,14.814746
2015-01-05,15.83,15.85,15.63,15.72,2204100,14.976708
2015-01-02,15.62,15.90,15.57,15.85,2265900,15.100561
2014-12-31,15.89,15.90,15.57,15.61,3210800,14.871908
2014-12-30,15.68,15.88,15.53,15.77,2847000,15.024344
2014-12-29,15.90,15.93,15.74,15.79,2256000,15.043398
2014-12-26,15.88,15.97,15.86,15.95,1530200,15.195832
2014-12-24,15.80,15.86,15.75,15.86,1018200,15.110088
2014-12-23,15.79,15.81,15.70,15.79,1894900,15.043398
2014-12-22,15.90,15.94,15.66,15.77,2725500,15.024344
2014-12-19,15.90,15.99,15.71,15.91,2932900,15.157724
2014-12-18,15.50,15.82,15.19,15.81,4906900,15.062452
2014-12-17,14.66,14.90,14.66,14.86,3100100,14.157371
2014-12-16,14.75,14.93,14.63,14.66,4408500,13.966828
2014-12-15,15.23,15.32,14.84,14.89,3906300,14.185953
2014-12-12,15.38,15.39,15.12,15.13,4234700,14.414605
2014-12-11,15.87,15.87,15.40,15.50,3419800,14.76711
2014-12-10,16.16,16.219999,16.110001,16.17,4323800,15.043397
2014-12-09,15.89,16.16,15.82,16.16,2929600,15.034094
2014-12-08,16.110001,16.190001,15.91,15.97,2038800,14.857332
2014-12-05,16.09,16.15,16.00,16.049999,1338700,14.931757
2014-12-04,16.00,16.09,15.95,16.040001,1729800,14.922455
2014-12-03,16.10,16.120001,16.00,16.00,1542400,14.885242
2014-12-02,16.33,16.34,16.049999,16.07,1535400,14.950364
2014-12-01,16.40,16.440001,15.99,16.129999,1742900,15.006183
2014-11-28,16.450001,16.450001,16.299999,16.450001,940700,15.30389
2014-11-26,16.450001,16.48,16.299999,16.43,1285900,15.285283
2014-11-25,16.33,16.450001,16.280001,16.40,1479100,15.257372
2014-11-24,16.26,16.379999,16.25,16.34,1403000,15.201553
2014-11-21,16.450001,16.450001,16.18,16.18,2104000,15.052701
2014-11-20,16.360001,16.42,16.27,16.41,1430800,15.266676
2014-11-19,16.33,16.379999,16.25,16.35,1869200,15.210857
2014-11-18,16.450001,16.450001,16.18,16.33,1637900,15.19225
2014-11-17,16.33,16.42,16.18,16.42,1627500,15.275979
2014-11-14,16.370001,16.440001,16.299999,16.379999,1602300,15.238765
2014-11-13,16.18,16.440001,16.18,16.360001,1221100,15.22016
2014-11-12,16.33,16.41,16.299999,16.40,1071900,15.257372
2014-11-11,16.34,16.450001,16.27,16.33,2027000,15.19225
2014-11-10,16.32,16.389999,16.280001,16.33,992200,15.19225
2014-11-07,16.299999,16.440001,16.200001,16.290001,2281900,15.155037
2014-11-06,16.200001,16.25,16.01,16.129999,1491600,15.006183
2014-11-05,16.049999,16.24,15.98,16.139999,2043900,15.015487
2014-11-04,16.00,16.02,15.85,15.92,1783600,14.810815
2014-11-03,15.95,16.02,15.88,15.92,1709500,14.810815
2014-10-31,15.99,16.01,15.94,15.99,1558400,14.875938
2014-10-30,15.87,15.95,15.78,15.91,1491100,14.801512
2014-10-29,15.91,16.00,15.82,15.91,1441200,14.801512
2014-10-28,15.93,15.94,15.77,15.89,2379900,14.782906
2014-10-27,15.92,15.94,15.83,15.89,1764900,14.782906
2014-10-24,15.97,16.030001,15.93,15.99,1050900,14.875938
2014-10-23,16.10,16.10,15.90,15.93,2176900,14.820119
2014-10-22,16.08,16.17,15.96,15.97,1761900,14.857332
2014-10-21,16.049999,16.08,15.94,16.08,3307800,14.959668
2014-10-20,15.94,16.059999,15.90,16.01,1938400,14.894545
2014-10-17,15.82,16.08,15.75,15.91,2933300,14.801512
2014-10-16,15.01,15.72,14.93,15.69,5134600,14.59684
2014-10-15,15.22,15.33,14.68,15.16,5205100,14.103766
2014-10-14,15.30,15.46,15.22,15.39,3515800,14.317742
2014-10-13,15.40,15.62,15.28,15.29,3589600,14.224709
2014-10-10,15.96,15.98,15.11,15.44,4700000,14.364258
2014-10-09,16.129999,16.190001,15.91,15.93,2455500,14.820119
2014-10-08,16.07,16.23,15.94,16.15,2102000,15.02479
2014-10-07,16.16,16.290001,16.110001,16.139999,2368200,15.015487
2014-10-06,16.209999,16.27,16.129999,16.200001,1350500,15.071308
2014-10-03,16.190001,16.25,16.10,16.190001,4642700,15.062004
2014-10-02,16.26,16.309999,16.049999,16.139999,2046400,15.015487
2014-10-01,16.17,16.27,16.07,16.209999,3646000,15.080609
2014-09-30,16.299999,16.32,16.129999,16.16,3780100,15.034094
2014-09-29,16.139999,16.23,16.02,16.17,3427900,15.043397
2014-09-26,16.139999,16.24,16.059999,16.200001,3003400,15.071308
2014-09-25,16.440001,16.440001,16.110001,16.120001,2690100,14.996882
2014-09-24,16.209999,16.42,16.200001,16.40,3511800,15.257372
2014-09-23,16.25,16.48,16.23,16.25,2535400,15.117823
2014-09-22,16.35,16.43,16.219999,16.27,2187700,15.13643
2014-09-19,16.50,16.530001,16.32,16.35,3341900,15.210857
2014-09-18,16.52,16.59,16.40,16.450001,2508300,15.30389
2014-09-17,16.41,16.58,16.379999,16.50,1160300,15.350405
2014-09-16,16.360001,16.48,16.26,16.379999,1742000,15.238765
2014-09-15,16.60,16.620001,16.360001,16.42,2014500,15.275979
2014-09-12,16.68,16.709999,16.549999,16.58,1495500,15.424831
2014-09-11,16.709999,16.799999,16.620001,16.67,1312400,15.508561
2014-09-10,17.08,17.09,17.040001,17.040001,1878800,15.499259
2014-09-09,17.030001,17.10,17.00,17.10,2352700,15.553834
2014-09-08,17.049999,17.10,16.98,17.040001,1101000,15.499259
2014-09-05,17.059999,17.08,16.98,17.049999,910900,15.508353
2014-09-04,17.08,17.10,17.00,17.040001,1441600,15.499259
2014-09-03,17.17,17.17,17.02,17.040001,1166200,15.499259
2014-09-02,17.17,17.17,17.049999,17.110001,1311500,15.56293
2014-08-29,17.10,17.24,17.07,17.15,1562400,15.599312
2014-08-28,17.059999,17.110001,16.969999,17.10,1188800,15.553834
2014-08-27,17.030001,17.08,16.969999,17.059999,1382500,15.517449
2014-08-26,17.030001,17.030001,16.940001,16.969999,1401600,15.435587
2014-08-25,17.00,17.00,16.889999,16.99,1613200,15.453779
2014-08-22,16.98,17.030001,16.93,16.950001,797100,15.417397
2014-08-21,17.00,17.030001,16.950001,16.959999,1438200,15.426491
2014-08-20,16.93,17.01,16.92,16.98,2004000,15.444683
2014-08-19,16.93,16.99,16.85,16.889999,1386200,15.362821
2014-08-18,16.85,16.959999,16.84,16.93,1173800,15.399205
2014-08-15,16.809999,16.84,16.73,16.809999,1471400,15.290054
2014-08-14,16.790001,16.82,16.690001,16.790001,1642700,15.271864
2014-08-13,16.57,16.76,16.57,16.74,1326600,15.226384
2014-08-12,16.65,16.719999,16.639999,16.709999,1272200,15.199096
2014-08-11,16.65,16.780001,16.65,16.67,1092600,15.162713
2014-08-08,16.59,16.620001,16.450001,16.620001,2257900,15.117235
2014-08-07,16.59,16.74,16.459999,16.49,2640100,14.998989
2014-08-06,16.290001,16.58,16.290001,16.57,3535600,15.071755
2014-08-05,16.530001,16.549999,16.209999,16.41,5985000,14.926222
2014-08-04,16.75,16.82,16.700001,16.799999,1590900,15.280958
2014-08-01,16.68,16.809999,16.65,16.73,2309600,15.217288
2014-07-31,16.90,16.92,16.709999,16.709999,2661300,15.199096
2014-07-30,17.08,17.10,16.92,16.969999,1853100,15.435587
2014-07-29,17.129999,17.190001,17.030001,17.030001,1464200,15.490163
2014-07-28,17.200001,17.200001,17.10,17.15,1108400,15.599312
2014-07-25,17.139999,17.200001,17.129999,17.18,1253600,15.6266
2014-07-24,17.08,17.15,17.040001,17.129999,1496400,15.58112
2014-07-23,17.049999,17.09,16.99,17.049999,3120400,15.508353
2014-07-22,17.08,17.139999,17.01,17.01,2554300,15.471971
2014-07-21,17.049999,17.07,17.02,17.059999,1512300,15.517449
2014-07-18,17.059999,17.120001,17.01,17.030001,1974700,15.490163
2014-07-17,17.01,17.08,16.99,17.00,3730300,15.462875
2014-07-16,16.99,17.049999,16.93,17.02,18390400,15.481067
2014-07-15,17.43,17.49,17.389999,17.40,1791600,15.826707
2014-07-14,17.290001,17.43,17.280001,17.360001,1617000,15.790325
2014-07-11,17.25,17.309999,17.219999,17.26,1344900,15.699366
