Date,Open,High,Low,Close,Volume,Adj Close
2015-07-30,8.63,8.67,8.56,8.60,4400500,8.60
2015-07-29,8.55,8.76,8.50,8.69,7180700,8.69
2015-07-28,8.50,8.59,8.49,8.51,6250400,8.51
2015-07-27,8.50,8.57,8.43,8.52,7123400,8.52
2015-07-24,8.54,8.62,8.49,8.52,3676100,8.52
2015-07-23,8.71,8.73,8.49,8.59,6603100,8.59
2015-07-22,8.62,8.71,8.60,8.69,3646900,8.69
2015-07-21,8.58,8.74,8.58,8.66,2545300,8.66
2015-07-20,8.66,8.69,8.60,8.62,4968800,8.62
2015-07-17,8.74,8.78,8.63,8.68,3657900,8.68
2015-07-16,8.82,8.88,8.70,8.73,4708300,8.73
2015-07-15,8.60,9.00,8.57,8.75,18256800,8.75
2015-07-14,8.50,8.65,8.45,8.60,5738900,8.60
2015-07-13,8.54,8.68,8.44,8.55,8576800,8.55
2015-07-10,8.38,8.52,8.28,8.41,7951800,8.41
2015-07-09,8.50,8.56,8.24,8.30,6766400,8.30
2015-07-08,8.43,8.58,8.39,8.53,10327900,8.53
2015-07-07,8.34,8.54,8.30,8.47,7875400,8.47
2015-07-06,8.12,8.34,8.12,8.32,7496700,8.32
2015-07-02,8.25,8.39,8.16,8.18,5324200,8.18
2015-07-01,8.14,8.29,8.06,8.20,8418400,8.20
2015-06-30,8.26,8.39,8.10,8.13,10458800,8.13
2015-06-29,8.20,8.35,8.18,8.23,5613200,8.23
2015-06-26,8.14,8.28,8.10,8.27,9027900,8.27
2015-06-25,8.36,8.40,8.11,8.12,9363800,8.12
2015-06-24,8.50,8.57,8.37,8.37,4620900,8.37
2015-06-23,8.49,8.55,8.43,8.51,4700700,8.51
2015-06-22,8.46,8.59,8.44,8.46,5026300,8.46
2015-06-19,8.75,8.75,8.47,8.47,11433900,8.47
2015-06-18,8.50,8.73,8.46,8.64,6934000,8.64
2015-06-17,8.43,8.52,8.38,8.48,4649200,8.48
2015-06-16,8.46,8.48,8.35,8.43,4804900,8.43
2015-06-15,8.63,8.65,8.46,8.47,6119600,8.47
2015-06-12,8.65,8.74,8.60,8.66,4811800,8.66
2015-06-11,8.57,8.70,8.52,8.68,4987000,8.68
2015-06-10,8.60,8.64,8.48,8.53,4603900,8.53
2015-06-09,8.65,8.73,8.54,8.61,3050500,8.61
2015-06-08,8.62,8.72,8.58,8.64,4253500,8.64
2015-06-05,8.65,8.76,8.57,8.64,5917000,8.64
2015-06-04,8.81,8.87,8.67,8.72,4508300,8.72
2015-06-03,8.97,8.97,8.84,8.84,4064000,8.84
