Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,28.66,28.83,28.24,28.780001,6945200,28.780001
2015-08-06,28.799999,29.08,28.49,28.709999,9293000,28.709999
2015-08-05,27.73,29.200001,27.68,28.709999,24987100,28.709999
2015-08-04,25.57,25.84,25.440001,25.67,7860300,25.67
2015-08-03,25.879999,25.99,25.33,25.52,5900700,25.52
2015-07-31,26.040001,26.139999,25.66,25.790001,5169800,25.790001
2015-07-30,25.85,26.18,25.709999,26.059999,5135900,26.059999
2015-07-29,25.620001,26.030001,25.50,25.98,3242600,25.98
2015-07-28,25.799999,25.870001,25.379999,25.709999,4397500,25.709999
2015-07-27,26.040001,26.10,25.50,25.610001,8084400,25.610001
2015-07-24,26.030001,26.27,25.84,26.18,5555300,26.18
2015-07-23,25.950001,26.26,25.809999,25.940001,3524500,25.940001
2015-07-22,25.99,26.09,25.84,25.950001,3233800,25.950001
2015-07-21,26.25,26.450001,26.08,26.09,4690100,26.09
2015-07-20,25.809999,26.41,25.76,26.25,5666700,26.25
2015-07-17,25.98,26.02,25.639999,25.809999,3543500,25.809999
2015-07-16,25.889999,26.00,25.74,25.85,3601100,25.85
2015-07-15,25.940001,26.09,25.559999,25.77,5550100,25.77
2015-07-14,25.82,26.209999,25.68,26.059999,9037200,26.059999
2015-07-13,25.540001,25.889999,25.48,25.889999,6138100,25.889999
2015-07-10,25.370001,25.610001,25.23,25.360001,5420800,25.360001
2015-07-09,25.09,25.24,24.90,25.129999,9879800,25.129999
2015-07-08,24.84,25.15,24.75,24.799999,8648300,24.799999
2015-07-07,25.01,25.25,24.370001,25.049999,7117100,25.049999
2015-07-06,24.41,25.01,24.370001,24.82,3735300,24.82
2015-07-02,24.700001,24.75,24.469999,24.629999,4760300,24.629999
2015-07-01,24.40,24.959999,24.32,24.73,8767400,24.73
2015-06-30,24.65,24.68,24.15,24.209999,6919300,24.209999
2015-06-29,24.709999,24.870001,24.440001,24.49,4749700,24.49
2015-06-26,25.57,25.65,24.959999,25.040001,9402400,25.040001
2015-06-25,25.459999,25.65,25.34,25.40,3254300,25.40
2015-06-24,25.389999,25.559999,25.24,25.440001,6549000,25.440001
2015-06-23,25.24,25.469999,25.16,25.42,3777200,25.42
2015-06-22,25.16,25.26,25.110001,25.23,4433300,25.23
2015-06-19,25.190001,25.200001,24.879999,25.01,6713200,25.01
2015-06-18,24.91,25.27,24.90,25.139999,7216800,25.139999
2015-06-17,24.879999,24.969999,24.68,24.870001,6207600,24.870001
2015-06-16,24.790001,24.90,24.65,24.74,8906500,24.74
2015-06-15,25.26,25.27,24.48,24.540001,11412300,24.540001
2015-06-12,25.25,25.440001,25.059999,25.40,8221600,25.40
2015-06-11,25.08,25.389999,24.93,25.299999,13168900,25.299999
2015-06-10,25.50,25.60,25.15,25.50,5321900,25.50
2015-06-09,25.450001,25.879999,25.200001,25.52,7860300,25.52
2015-06-08,25.77,25.780001,25.23,25.440001,6261000,25.440001
2015-06-05,25.629999,25.83,25.549999,25.77,2612500,25.77
2015-06-04,25.77,26.09,25.610001,25.690001,3672800,25.690001
2015-06-03,25.76,26.059999,25.67,25.959999,5347500,25.959999
2015-06-02,25.309999,25.76,25.27,25.530001,3872000,25.530001
2015-06-01,25.440001,25.65,25.15,25.40,4281000,25.40
2015-05-29,25.889999,25.950001,25.190001,25.26,7907100,25.26
2015-05-28,25.67,25.879999,25.559999,25.73,4347200,25.73
2015-05-27,25.49,25.76,25.33,25.709999,3720300,25.709999
2015-05-26,25.389999,25.450001,25.17,25.41,3156600,25.41
2015-05-22,25.50,25.75,25.379999,25.49,2892600,25.49
2015-05-21,25.639999,25.719999,25.459999,25.620001,4636800,25.620001
2015-05-20,25.49,25.77,25.40,25.75,4756600,25.75
2015-05-19,25.60,25.65,25.360001,25.48,3501500,25.48
2015-05-18,25.360001,25.620001,25.290001,25.42,3815400,25.42
2015-05-15,25.32,25.66,25.15,25.42,8220100,25.42
2015-05-14,24.790001,25.280001,24.719999,25.17,5667000,25.17
2015-05-13,24.799999,24.969999,24.58,24.629999,3478400,24.629999
2015-05-12,24.540001,24.68,24.27,24.610001,5965700,24.610001
2015-05-11,25.00,25.059999,24.620001,24.639999,5685800,24.639999
2015-05-08,24.65,25.15,24.530001,25.049999,8461500,25.049999
2015-05-07,23.24,24.60,23.129999,24.41,15115800,24.41
2015-05-06,22.77,23.219999,22.66,23.200001,8223000,23.200001
2015-05-05,23.16,23.16,22.709999,22.709999,4129800,22.709999
2015-05-04,23.110001,23.27,22.92,23.190001,3453000,23.190001
2015-05-01,22.790001,23.09,22.790001,23.049999,3608400,23.049999
2015-04-30,23.200001,23.32,22.629999,22.82,7416200,22.82
2015-04-29,23.299999,23.59,23.10,23.190001,6498000,23.190001
2015-04-28,23.65,23.799999,23.370001,23.469999,4610300,23.469999
2015-04-27,23.98,24.02,23.65,23.719999,3436100,23.719999
2015-04-24,23.93,24.030001,23.799999,23.940001,4273400,23.940001
2015-04-23,23.389999,23.889999,23.379999,23.75,3507300,23.75
2015-04-22,23.379999,23.629999,23.370001,23.49,4320100,23.49
2015-04-21,23.190001,23.50,23.110001,23.389999,3163000,23.389999
2015-04-20,22.879999,23.299999,22.84,23.08,3435700,23.08
2015-04-17,23.02,23.120001,22.74,22.809999,2722100,22.809999
2015-04-16,22.870001,23.219999,22.719999,23.190001,3853300,23.190001
2015-04-15,23.059999,23.43,22.90,22.90,5687900,22.90
2015-04-14,22.790001,22.959999,22.620001,22.92,3515900,22.92
2015-04-13,22.85,23.030001,22.780001,22.790001,1912400,22.790001
2015-04-10,23.09,23.09,22.799999,22.93,3310200,22.93
2015-04-09,22.90,23.049999,22.75,23.00,3326900,23.00
2015-04-08,22.76,23.07,22.67,22.959999,5221100,22.959999
2015-04-07,22.559999,23.030001,22.51,22.77,2840100,22.77
2015-04-06,22.530001,22.85,22.43,22.67,3229700,22.67
2015-04-02,22.469999,22.82,22.42,22.639999,2873600,22.639999
2015-04-01,22.73,22.780001,22.280001,22.43,4826800,22.43
2015-03-31,22.870001,22.90,22.50,22.73,5902500,22.73
2015-03-30,22.83,23.200001,22.83,23.02,3791700,23.02
2015-03-27,22.48,22.809999,22.299999,22.76,3314500,22.76
2015-03-26,22.459999,22.58,22.309999,22.48,5436700,22.48
2015-03-25,23.16,23.219999,22.67,22.700001,6718100,22.470001
2015-03-24,23.209999,23.42,23.00,23.18,4808000,22.945137
2015-03-23,23.389999,23.440001,23.120001,23.18,4803200,22.945137
2015-03-20,23.40,23.49,23.25,23.42,6118300,23.182705
2015-03-19,23.60,23.629999,23.07,23.15,4847100,22.915441
2015-03-18,23.00,23.690001,22.950001,23.58,4476900,23.341084
2015-03-17,23.030001,23.209999,22.950001,23.110001,3781900,22.875847
2015-03-16,23.02,23.27,22.99,23.18,3926600,22.945137
2015-03-13,22.66,23.07,22.66,22.99,5055700,22.757062
2015-03-12,23.030001,23.280001,22.77,22.790001,6279800,22.55909
2015-03-11,22.67,22.90,22.440001,22.809999,3627200,22.578885
2015-03-10,23.200001,23.200001,22.620001,22.74,5722700,22.509595
2015-03-09,23.059999,23.360001,23.01,23.32,5642300,23.083718
2015-03-06,23.120001,23.34,22.969999,23.07,4649100,22.836251
2015-03-05,22.91,23.370001,22.90,23.290001,5925900,23.054024
2015-03-04,23.01,23.10,22.709999,22.93,5290200,22.69767
2015-03-03,23.25,23.26,23.049999,23.10,5073700,22.865948
2015-03-02,23.32,23.35,23.08,23.25,7236600,23.014428
2015-02-27,23.360001,23.51,23.209999,23.32,4485200,23.083718
2015-02-26,23.299999,23.459999,23.09,23.35,6725100,23.113415
2015-02-25,23.209999,23.49,23.200001,23.459999,5441800,23.222299
2015-02-24,23.299999,23.65,23.209999,23.540001,3756800,23.30149
2015-02-23,23.34,23.450001,23.110001,23.370001,3972700,23.133213
2015-02-20,23.360001,23.360001,23.09,23.309999,5211500,23.073819
2015-02-19,23.290001,23.35,23.00,23.32,7140400,23.083718
