Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,1.60,1.68,1.46,1.52,626400,1.52
2015-08-06,1.35,1.62,1.33,1.52,462300,1.52
2015-08-05,1.27,1.45,1.27,1.36,165600,1.36
2015-08-04,1.53,1.73,1.29,1.36,292700,1.36
2015-08-03,1.70,1.75,1.54,1.58,133500,1.58
2015-07-31,1.73,1.85,1.72,1.74,104700,1.74
2015-07-30,1.74,1.80,1.68,1.76,37600,1.76
2015-07-29,1.72,1.84,1.65,1.78,149800,1.78
2015-07-28,1.73,1.80,1.71,1.73,117900,1.73
2015-07-27,1.69,1.93,1.56,1.75,189600,1.75
2015-07-24,1.62,1.70,1.58,1.69,147000,1.69
2015-07-23,1.69,1.72,1.60,1.63,125900,1.63
2015-07-22,1.70,1.86,1.61,1.70,211700,1.70
2015-07-21,1.59,2.18,1.50,1.81,1176600,1.81
2015-07-20,2.21,2.22,1.58,1.64,570900,1.64
2015-07-17,2.29,2.34,2.13,2.22,113700,2.22
2015-07-16,2.57,2.60,2.01,2.40,527400,2.40
2015-07-15,2.93,3.00,2.55,2.61,203200,2.61
2015-07-14,2.72,2.80,2.37,2.66,565200,2.66
2015-07-13,0.09,0.10,0.09,0.09,117700,3.149997
2015-07-10,0.09,0.11,0.09,0.09,259900,3.149997
2015-07-09,0.10,0.10,0.08,0.08,111000,2.799997
2015-07-08,0.10,0.11,0.09,0.09,173200,3.149997
2015-07-07,0.08,0.11,0.07,0.10,396100,3.499997
2015-07-06,0.09,0.09,0.07,0.07,176900,2.449998
2015-07-02,0.11,0.11,0.09,0.09,306700,3.149997
2015-07-01,0.12,0.12,0.10,0.11,143600,3.849996
2015-06-30,0.11,0.13,0.11,0.11,120800,3.849996
2015-06-29,0.12,0.12,0.10,0.11,179100,3.849996
2015-06-26,0.13,0.14,0.12,0.13,124900,4.549996
2015-06-25,0.14,0.14,0.12,0.13,185400,4.549996
2015-06-24,0.14,0.15,0.12,0.14,206700,4.899995
2015-06-23,0.16,0.16,0.13,0.14,356900,4.899995
2015-06-22,0.13,0.16,0.10,0.15,729200,5.249995
2015-06-19,0.19,0.19,0.10,0.13,773500,4.549996
2015-06-18,0.20,0.22,0.16,0.16,695300,5.599994
2015-06-17,0.17,0.21,0.15,0.18,1149500,6.299994
2015-06-16,0.21,0.36,0.14,0.14,3239500,4.899995
2015-06-15,0.04,0.16,0.04,0.16,3735900,5.599994
2015-06-12,0.04,0.04,0.03,0.03,43200,1.049999
