Date,Open,High,Low,Close,Volume,Adj Close
2014-11-05,20.23,20.23,20.23,20.23,000,20.23
2014-11-04,20.23,20.245,20.23,20.23,142000,20.23
2014-11-03,20.23,20.25,20.23,20.24,122700,20.24
2014-10-31,20.23,20.25,20.22,20.25,118200,20.25
2014-10-30,20.24,20.24,20.22,20.23,159600,20.23
2014-10-29,20.24,20.26,20.23,20.23,101600,20.23
2014-10-28,20.24,20.24,20.22,20.24,96500,20.24
2014-10-27,20.228,20.228,20.21,20.21,104000,20.21
2014-10-24,20.21,20.24,20.21,20.22,161200,20.22
2014-10-23,20.21,20.231,20.21,20.21,174800,20.21
2014-10-22,20.225,20.225,20.21,20.22,169400,20.22
2014-10-21,20.20,20.2268,20.20,20.22,117400,20.22
2014-10-20,20.21,20.22,20.18,20.22,157900,20.22
2014-10-17,20.21,20.22,20.17,20.18,217300,20.18
2014-10-16,20.17,20.22,20.15,20.19,403900,20.19
2014-10-15,20.15,20.23,20.15,20.18,262900,20.18
2014-10-14,20.22,20.23,20.17,20.22,205800,20.22
2014-10-13,20.17,20.20,20.16,20.18,379600,20.18
2014-10-10,20.22,20.25,20.16,20.18,310400,20.18
2014-10-09,20.23,20.23,20.20,20.20,116600,20.20
2014-10-08,20.20,20.24,20.195,20.24,191600,20.24
2014-10-07,20.20,20.22,20.20,20.20,119300,20.20
2014-10-06,20.22,20.23,20.175,20.20,204200,20.20
2014-10-03,20.21,20.23,20.20,20.23,162900,20.23
2014-10-02,20.17,20.23,20.17,20.22,282700,20.22
2014-10-01,20.14,20.24,20.14,20.20,713100,20.20
2014-09-30,20.16,20.19,20.15,20.16,627300,20.16
2014-09-29,20.10,20.65,19.95,20.15,6838100,20.15
2014-09-26,13.33,13.47,13.30,13.39,89400,13.39
2014-09-25,12.99,13.27,12.98,13.20,50500,13.20
2014-09-24,13.13,13.23,12.99,13.03,67100,13.03
2014-09-23,13.33,13.38,13.0387,13.11,103300,13.11
2014-09-22,13.30,13.43,13.075,13.28,90700,13.28
2014-09-19,13.80,13.91,13.25,13.25,269200,13.25
2014-09-18,13.9719,14.0901,13.74,13.80,100400,13.80
2014-09-17,13.82,14.15,13.82,13.99,39500,13.99
2014-09-16,13.93,14.17,13.93,13.99,45500,13.99
2014-09-15,13.94,14.02,13.94,13.98,24100,13.98
2014-09-12,14.04,14.1771,13.93,14.00,35100,14.00
2014-09-11,14.21,14.24,13.97,14.00,51000,14.00
2014-09-10,14.05,14.275,14.04,14.24,102000,14.24
2014-09-09,13.98,14.30,13.9033,13.99,121300,13.99
2014-09-08,14.00,14.085,13.96,14.03,36300,14.03
2014-09-05,14.04,14.258,13.95,14.03,47800,14.03
2014-09-04,14.15,14.32,14.03,14.11,38800,14.11
2014-09-03,14.22,14.33,14.09,14.09,25100,14.09
2014-09-02,14.24,14.30,14.06,14.21,49200,14.21
2014-09-01,14.23,14.23,14.23,14.23,000,14.23
2014-08-29,14.06,14.25,14.03,14.23,27400,14.23
2014-08-28,14.16,14.193,14.05,14.05,28500,14.05
2014-08-27,14.27,14.33,14.15,14.18,23200,14.18
2014-08-26,14.22,14.44,14.20,14.39,84000,14.26
2014-08-25,14.20,14.2599,14.15,14.22,67900,14.09154
2014-08-22,14.26,14.3235,14.19,14.20,45000,14.07172
2014-08-21,14.17,14.30,14.17,14.23,37400,14.10145
2014-08-20,14.28,14.28,14.13,14.18,35700,14.0519
2014-08-19,14.40,14.63,14.26,14.30,37000,14.17081
2014-08-18,14.45,14.54,14.34,14.39,41300,14.26
2014-08-15,14.49,14.49,14.08,14.31,93100,14.18072
2014-08-14,14.70,14.76,14.36,14.49,35800,14.3591
2014-08-13,14.58,14.74,14.58,14.70,40100,14.5672
2014-08-12,14.63,14.72,14.33,14.56,118600,14.42846
2014-08-11,14.78,14.85,14.41,14.66,122700,14.52756
2014-08-08,14.62,14.90,14.52,14.67,72400,14.53747
2014-08-07,14.71,14.80,14.57,14.65,36200,14.51765
2014-08-06,14.55,14.9199,14.50,14.62,126700,14.48792
2014-08-05,14.73,15.00,14.55,14.59,73700,14.45819
2014-08-04,14.75,15.06,14.60,14.84,101900,14.70594
2014-08-01,14.90,15.22,14.61,14.65,136400,14.51765
2014-07-31,15.00,15.16,14.86,15.13,92200,14.99332
2014-07-30,15.24,15.30,15.02,15.12,39200,14.98341
2014-07-29,15.25,15.504,15.13,15.13,30800,14.99332
2014-07-28,15.21,15.308,15.01,15.21,44200,15.07259
2014-07-25,15.08,15.38,15.08,15.15,30500,15.01313
2014-07-24,15.18,15.23,15.09,15.21,35200,15.07259
2014-07-23,15.39,15.51,15.12,15.16,26200,15.02304
2014-07-22,15.40,15.58,15.30,15.37,28900,15.23115
2014-07-21,15.25,15.41,15.09,15.35,28700,15.21133
2014-07-18,15.25,15.38,15.19,15.31,53600,15.17169
2014-07-17,15.44,15.48,15.25,15.29,42600,15.15187
2014-07-16,15.60,15.60,15.43,15.43,34800,15.29061
2014-07-15,15.56,15.60,15.425,15.52,44400,15.37979
2014-07-14,15.59,15.59,15.44,15.52,20500,15.37979
2014-07-11,15.44,15.63,15.42,15.45,36600,15.31042
2014-07-10,15.52,15.72,15.408,15.47,39000,15.33024
2014-07-09,15.85,15.85,15.71,15.75,27400,15.60771
2014-07-08,15.71,15.85,15.6561,15.79,84700,15.64735
2014-07-07,16.015,16.22,15.60,15.79,44300,15.64735
2014-07-04,16.04,16.04,16.04,16.04,000,15.89509
2014-07-03,16.03,16.1099,15.98,16.04,30400,15.89509
2014-07-02,16.14,16.20,15.97,16.00,79000,15.85546
2014-07-01,16.12,16.35,15.86,16.20,62200,16.05365
2014-06-30,15.89,16.14,15.748,16.06,53500,15.91491
2014-06-27,16.07,16.31,15.67,15.88,586800,15.73654
2014-06-26,16.36,16.38,16.11,16.16,43900,16.01401
2014-06-25,16.05,16.36,16.05,16.34,47600,16.19238
2014-06-24,16.00,16.25,15.9223,16.15,80800,16.0041
2014-06-23,16.15,16.15,15.77,15.98,91600,15.83564
2014-06-20,15.75,16.23,15.742,16.10,86700,15.95455
2014-06-19,15.71,15.79,15.47,15.66,196600,15.51853
2014-06-18,15.68,15.76,15.605,15.73,60400,15.58789
2014-06-17,15.59,15.98,15.55,15.70,124900,15.55817
2014-06-16,15.56,15.70,15.56,15.63,54900,15.4888
2014-06-13,15.43,15.65,15.26,15.60,49700,15.45907
2014-06-12,15.23,15.41,14.86,15.35,61700,15.21133
2014-06-11,15.29,15.31,15.20,15.23,63400,15.09241
2014-06-10,15.52,15.66,15.25,15.35,56200,15.21133
2014-06-09,15.35,15.635,15.35,15.53,68000,15.3897
2014-06-06,15.09,15.34,15.09,15.29,151900,15.15187
2014-06-05,14.84,15.03,14.77,14.99,124900,14.85458
2014-06-04,14.58,15.00,14.5408,14.89,118400,14.75548
2014-06-03,14.30,14.80,14.30,14.58,528200,14.44828
2014-06-02,15.49,15.60,15.26,15.37,70700,15.23115
2014-05-30,15.39,15.59,15.23,15.41,54900,15.27079
2014-05-29,15.53,15.64,15.269,15.36,91200,15.22124
2014-05-28,15.50,15.84,15.50,15.71,47100,15.43925
2014-05-27,15.47,15.74,15.35,15.55,89600,15.28201
2014-05-26,15.38,15.38,15.38,15.38,000,15.11494
2014-05-23,15.42,15.42,15.25,15.38,32900,15.11494
2014-05-22,15.37,15.48,15.25,15.38,47300,15.11494
2014-05-21,15.15,15.44,15.15,15.37,31600,15.10511
2014-05-20,15.35,15.37,15.14,15.17,48900,14.90856
2014-05-19,15.45,15.45,15.33,15.44,45000,15.1739
2014-05-16,15.20,15.42,15.20,15.40,43400,15.13459
2014-05-15,15.15,15.34,15.08,15.24,36400,14.97735
2014-05-14,15.19,15.37,15.12,15.18,46300,14.91838
2014-05-13,15.36,15.38,15.25,15.30,43200,15.03632
2014-05-12,15.35,15.72,15.35,15.41,62600,15.14442
2014-05-09,14.92,15.265,14.92,15.24,34200,14.97735
2014-05-08,15.06,15.2451,14.99,15.01,68500,14.75131
2014-05-07,15.27,15.55,15.00,15.05,46000,14.79062
2014-05-06,15.22,15.77,15.15,15.23,45900,14.96752
2014-05-05,15.75,15.75,15.09,15.32,86900,15.05597
2014-05-02,14.80,15.99,14.80,15.81,112600,15.53753
2014-05-01,15.28,15.59,14.63,14.63,113400,14.37786
2014-04-30,15.34,15.67,15.19,15.36,57700,15.09528
2014-04-29,15.12,15.47,15.06,15.28,37100,15.01666
2014-04-28,15.10,15.19,14.91,15.02,62600,14.76114
2014-04-25,15.20,15.30,15.02,15.02,69500,14.76114
2014-04-24,15.68,15.68,15.13,15.20,28600,14.93804
2014-04-23,15.18,15.62,15.11,15.58,91400,15.31149
2014-04-22,15.20,15.3094,15.10,15.17,79900,14.90856
2014-04-21,15.52,15.57,15.11,15.24,42500,14.97735
2014-04-18,15.43,15.43,15.43,15.43,000,15.16408
2014-04-17,15.44,15.58,15.2001,15.43,24100,15.16408
2014-04-16,15.33,15.67,15.21,15.48,34200,15.21321
2014-04-15,15.56,15.56,15.06,15.29,23500,15.02649
2014-04-14,15.62,15.635,15.18,15.50,27400,15.23287
2014-04-11,16.03,16.10,15.42,15.49,68500,15.22304
2014-04-10,16.03,16.256,15.9901,16.13,40900,15.85201
2014-04-09,15.82,16.03,15.58,16.00,58500,15.72425
2014-04-08,15.62,15.83,15.24,15.76,47300,15.48839
2014-04-07,16.03,16.07,15.148,15.57,110700,15.30166
2014-04-04,16.55,16.65,16.01,16.06,42800,15.78322
2014-04-03,16.48,16.58,16.241,16.42,63100,16.13701
2014-04-02,16.58,16.65,16.44,16.53,55200,16.24512
2014-04-01,16.47,16.654,16.44,16.52,59100,16.23529
2014-03-31,16.58,16.61,16.188,16.46,60100,16.17632
2014-03-28,16.38,16.55,16.2525,16.50,98000,16.21563
2014-03-27,16.51,16.51,16.32,16.34,40500,16.05839
2014-03-26,16.58,16.665,16.38,16.55,106800,16.26477
2014-03-25,16.50,16.54,16.29,16.46,129700,16.17632
2014-03-24,16.72,16.745,16.37,16.44,140600,16.15667
2014-03-21,16.59,16.72,16.418,16.64,180300,16.35322
2014-03-20,16.55,16.5992,16.45,16.51,67500,16.22546
2014-03-19,16.51,16.6131,16.412,16.60,91500,16.31391
2014-03-18,16.53,16.56,16.3401,16.50,29700,16.21563
2014-03-17,16.48,16.62,16.48,16.52,58600,16.23529
2014-03-14,16.41,16.55,16.39,16.45,40000,16.1665
2014-03-13,16.60,16.71,16.38,16.45,59600,16.1665
2014-03-12,16.62,16.68,16.40,16.61,38500,16.32374
2014-03-11,16.62,16.76,16.51,16.68,126100,16.39253
2014-03-10,16.59,16.6799,16.40,16.65,95100,16.36305
2014-03-07,16.69,16.95,16.60,16.65,147300,16.36305
2014-03-06,15.82,16.695,15.52,16.55,165500,16.26477
2014-03-05,15.86,15.98,15.70,15.72,80900,15.44908
2014-03-04,15.58,16.00,14.83,15.91,129200,15.6358
2014-03-03,14.91,15.64,14.91,15.50,138100,15.23287
2014-02-28,14.36,15.09,14.35,14.92,87500,14.66286
2014-02-27,14.45,14.54,14.30,14.35,73100,14.10269
2014-02-26,14.45,14.65,14.35,14.43,89400,14.05355
2014-02-25,14.70,15.00,14.38,14.52,131100,14.1412
2014-02-24,15.81,15.86,15.55,15.58,32200,15.17355
2014-02-21,15.92,15.95,15.57,15.78,67300,15.36833
2014-02-20,15.80,15.97,15.66,15.82,29900,15.40729
2014-02-19,15.91,16.02,15.6996,15.79,52300,15.37807
2014-02-18,15.90,16.11,15.83,15.88,72000,15.46572
2014-02-17,15.89,15.89,15.89,15.89,000,15.47546
2014-02-14,15.57,15.90,15.50,15.89,61400,15.47546
2014-02-13,15.28,15.65,15.08,15.54,53600,15.13459
2014-02-12,14.92,15.35,14.92,15.29,73500,14.89111
2014-02-11,14.71,15.11,14.70,14.95,49400,14.55998
