Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,15.36,15.73,15.19,15.40,18400,15.40
2015-08-06,15.51,15.68,14.85,15.68,32900,15.68
2015-08-05,15.80,15.80,15.21,15.59,12400,15.59
2015-08-04,15.94,16.040001,15.55,15.70,10400,15.70
2015-08-03,15.56,15.88,15.56,15.61,9300,15.61
2015-07-31,15.54,15.71,15.50,15.56,11000,15.56
2015-07-30,15.91,16.059999,15.51,15.53,18000,15.53
2015-07-29,16.040001,16.10,15.72,16.059999,16500,16.059999
2015-07-28,16.40,16.66,16.110001,16.110001,20500,16.110001
2015-07-27,16.25,16.389999,16.110001,16.200001,18000,16.200001
2015-07-24,16.77,16.77,16.200001,16.200001,17700,16.200001
2015-07-23,16.60,16.74,16.60,16.74,13700,16.74
2015-07-22,16.58,16.68,16.559999,16.60,29300,16.60
2015-07-21,16.51,16.65,16.51,16.58,4600,16.58
2015-07-20,16.49,16.76,16.459999,16.51,12200,16.51
2015-07-17,16.73,16.73,16.610001,16.610001,4800,16.610001
2015-07-16,16.60,16.870001,16.50,16.610001,6900,16.610001
2015-07-15,16.50,16.84,16.469999,16.50,9800,16.50
2015-07-14,16.799999,16.799999,16.469999,16.48,11000,16.48
2015-07-13,16.879999,16.99,16.42,16.620001,23600,16.620001
2015-07-10,17.129999,17.549999,16.84,16.91,70200,16.91
2015-07-09,16.41,17.190001,16.41,16.799999,59100,16.799999
2015-07-08,16.60,16.700001,16.40,16.41,11300,16.41
2015-07-07,17.459999,17.459999,16.27,16.870001,67100,16.870001
2015-07-06,16.950001,17.60,16.51,16.60,7400,16.60
2015-07-02,17.07,17.26,17.00,17.00,5400,17.00
2015-07-01,17.02,17.389999,17.00,17.02,16800,17.02
2015-06-30,16.99,17.370001,16.799999,17.299999,9700,17.299999
2015-06-29,17.99,17.99,16.559999,17.09,30100,17.09
2015-06-26,17.299999,17.610001,16.76,17.59,38400,17.59
2015-06-25,17.65,17.74,17.450001,17.50,6700,17.50
2015-06-24,17.799999,17.799999,17.50,17.50,11300,17.50
2015-06-23,18.040001,18.25,17.35,17.60,42600,17.60
2015-06-22,18.09,18.26,17.91,18.26,30400,18.26
2015-06-19,17.85,18.25,17.85,18.200001,17100,18.200001
2015-06-18,17.50,18.25,17.450001,18.24,35300,18.24
2015-06-17,17.35,17.99,17.10,17.530001,38100,17.530001
2015-06-16,17.540001,18.09,17.299999,17.40,29700,17.069999
2015-06-15,17.860001,17.860001,17.559999,17.57,10900,17.236775
2015-06-12,17.959999,18.09,17.860001,17.860001,8800,17.521276
2015-06-11,18.08,18.24,17.870001,17.870001,10700,17.531087
2015-06-10,18.120001,18.25,17.83,18.25,23900,17.903879
2015-06-09,17.940001,18.299999,17.940001,18.120001,15900,17.776345
2015-06-08,18.07,18.200001,17.85,17.99,24400,17.64881
2015-06-05,17.77,18.360001,17.77,18.299999,23300,17.95293
2015-06-04,17.84,17.98,17.540001,17.940001,16900,17.599759
2015-06-03,17.52,17.969999,17.52,17.870001,16500,17.531087
2015-06-02,17.50,17.969999,17.450001,17.889999,16700,17.550706
2015-06-01,17.450001,17.50,17.15,17.42,20500,17.08962
2015-05-29,17.40,17.48,17.299999,17.34,9600,17.011138
2015-05-28,17.07,17.389999,17.07,17.34,13200,17.011138
2015-05-27,16.99,17.15,16.99,17.110001,22200,16.7855
2015-05-26,16.799999,17.190001,16.790001,17.08,18900,16.756068
2015-05-22,16.879999,17.059999,16.60,16.90,41100,16.579482
2015-05-21,16.299999,16.790001,16.24,16.790001,58100,16.471569
2015-05-20,16.110001,16.40,16.049999,16.309999,40600,16.000671
