Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,16.700001,17.10,16.559999,16.66,127500,16.66
2015-08-06,16.879999,17.02,16.59,16.700001,64700,16.700001
2015-08-05,16.00,16.98,16.00,16.799999,101000,16.799999
2015-08-04,15.51,16.530001,15.27,15.92,297000,15.92
2015-08-03,15.74,15.74,14.78,14.92,145400,14.92
2015-07-31,15.65,15.91,15.48,15.66,119700,15.66
2015-07-30,15.45,15.70,15.16,15.66,190300,15.66
2015-07-29,17.00,17.719999,15.49,15.49,185500,15.49
2015-07-28,18.10,18.10,17.18,17.610001,166800,17.610001
2015-07-27,17.959999,18.200001,17.700001,17.99,83300,17.99
2015-07-24,18.25,18.26,17.82,17.870001,96600,17.870001
2015-07-23,18.549999,18.700001,18.110001,18.209999,69600,18.209999
2015-07-22,18.58,18.76,18.370001,18.440001,33200,18.440001
2015-07-21,18.76,19.24,18.41,18.58,43400,18.58
2015-07-20,19.33,19.33,18.700001,18.74,36100,18.74
2015-07-17,19.299999,19.52,19.200001,19.27,50200,19.27
2015-07-16,19.459999,19.540001,19.17,19.290001,63000,19.290001
2015-07-15,19.57,19.57,19.02,19.299999,98900,19.299999
2015-07-14,19.780001,19.790001,19.370001,19.50,63900,19.50
2015-07-13,19.879999,20.040001,19.700001,19.719999,56800,19.719999
2015-07-10,19.58,21.26,19.440001,19.83,53200,19.83
2015-07-09,20.07,20.07,19.26,19.35,65300,19.35
2015-07-08,20.049999,20.27,19.549999,19.879999,340500,19.879999
2015-07-07,20.33,20.33,19.85,20.17,50600,20.17
2015-07-06,20.459999,20.860001,20.110001,20.27,82700,20.27
2015-07-02,20.450001,20.700001,20.26,20.379999,36300,20.379999
2015-07-01,20.120001,20.49,19.799999,20.40,59800,20.40
2015-06-30,20.57,20.57,19.809999,20.00,68300,20.00
2015-06-29,20.82,21.01,20.209999,20.27,44900,20.27
2015-06-26,21.32,21.57,20.799999,20.959999,170500,20.959999
2015-06-25,21.32,21.35,20.969999,21.209999,52100,21.209999
2015-06-24,21.42,21.719999,21.049999,21.24,34600,21.24
2015-06-23,21.24,21.57,21.09,21.52,25400,21.410001
2015-06-22,21.549999,21.549999,21.059999,21.32,57200,21.211022
2015-06-19,21.530001,21.549999,21.09,21.370001,108000,21.260768
2015-06-18,21.469999,21.92,21.42,21.450001,46100,21.340359
2015-06-17,21.690001,21.74,21.440001,21.469999,22900,21.360255
2015-06-16,21.17,21.75,21.059999,21.60,73900,21.489592
2015-06-15,21.40,21.82,21.17,21.26,53000,21.151329
2015-06-12,21.459999,21.700001,21.27,21.620001,37200,21.50949
2015-06-11,21.559999,21.66,21.360001,21.469999,27900,21.360255
2015-06-10,21.09,21.889999,21.09,21.48,65500,21.370204
2015-06-09,20.860001,21.17,20.540001,21.040001,36400,20.932455
2015-06-08,20.92,21.17,20.879999,20.969999,53200,20.862811
