Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,4.86,5.01,4.85,5.00,6600,5.00
2015-08-06,5.01,5.03,4.91,4.99,14100,4.99
2015-08-05,5.04,5.07,5.00,5.04,11800,5.04
2015-08-04,4.97,5.13,4.97,5.06,9600,5.06
2015-08-03,5.04,5.12,4.97,4.99,12600,4.99
2015-07-31,5.00,5.00,5.00,5.00,19900,5.00
2015-07-30,4.80,5.11,4.80,5.02,36700,5.02
2015-07-29,4.90,5.10,4.90,5.07,19400,5.07
2015-07-28,4.91,4.95,4.85,4.93,38800,4.93
2015-07-27,4.94,5.01,4.91,5.00,19300,5.00
2015-07-24,4.98,5.00,4.92,4.99,5500,4.99
2015-07-23,4.99,5.01,4.86,4.91,6300,4.91
2015-07-22,4.93,5.00,4.93,4.99,34100,4.99
2015-07-21,4.90,5.05,4.71,4.95,54100,4.95
2015-07-20,4.93,4.96,4.93,4.94,3400,4.94
2015-07-17,4.93,5.00,4.93,4.96,12800,4.96
2015-07-16,4.96,5.03,4.88,5.03,17600,5.03
2015-07-15,4.80,5.04,4.80,5.00,61600,5.00
2015-07-14,4.68,4.90,4.68,4.79,25100,4.79
2015-07-13,4.57,4.85,4.51,4.71,22600,4.71
2015-07-10,4.56,4.68,4.56,4.68,5400,4.68
2015-07-09,4.80,4.80,4.57,4.76,31800,4.76
2015-07-08,4.48,4.77,4.48,4.65,6000,4.65
2015-07-07,4.65,4.73,4.65,4.71,3200,4.71
2015-07-06,4.62,4.74,4.62,4.67,9600,4.67
2015-07-02,4.69,4.81,4.69,4.70,6400,4.70
2015-07-01,4.58,4.68,4.58,4.65,4700,4.65
2015-06-30,4.49,4.67,4.49,4.50,9900,4.50
2015-06-29,4.68,4.80,4.50,4.50,20700,4.50
2015-06-26,4.75,4.85,4.71,4.80,57600,4.80
2015-06-25,4.84,4.84,4.73,4.74,7400,4.74
2015-06-24,4.72,4.74,4.65,4.74,22000,4.74
2015-06-23,4.54,4.79,4.54,4.73,18400,4.73
2015-06-22,4.37,4.71,3.75,4.65,71200,4.65
2015-06-19,4.82,4.84,4.71,4.73,44500,4.73
2015-06-18,4.75,4.85,4.71,4.82,36700,4.82
2015-06-17,4.76,4.97,4.76,4.84,13400,4.84
2015-06-16,4.88,4.88,4.82,4.82,7800,4.82
2015-06-15,5.00,5.00,4.79,4.89,8300,4.89
2015-06-12,5.01,5.01,4.94,4.98,38100,4.98
2015-06-11,5.00,5.01,4.95,5.00,15700,5.00
2015-06-10,4.97,5.01,4.96,5.00,5400,5.00
2015-06-09,4.83,4.99,4.83,4.95,18500,4.95
2015-06-08,5.03,5.07,4.92,4.93,8900,4.78
2015-06-05,4.99,5.09,4.98,5.03,17200,4.876958
2015-06-04,5.10,5.10,4.96,4.98,8300,4.828479
2015-06-03,5.11,5.11,4.95,5.09,10900,4.935132
2015-06-02,5.11,5.11,5.01,5.05,8700,4.896349
2015-06-01,5.10,5.11,5.02,5.11,7700,4.954523
2015-05-29,5.06,5.11,5.05,5.10,17400,4.944827
2015-05-28,5.02,5.04,5.02,5.03,5500,4.876958
2015-05-27,5.06,5.12,5.05,5.08,23000,4.925436
2015-05-26,5.03,5.13,5.01,5.10,5900,4.944827
2015-05-22,5.03,5.15,5.03,5.05,17100,4.896349
2015-05-21,5.05,5.08,5.05,5.07,15700,4.915741
2015-05-20,5.11,5.13,5.02,5.10,5800,4.944827
2015-05-19,5.07,5.17,5.02,5.08,15300,4.925436
2015-05-18,5.14,5.17,5.08,5.11,8400,4.954523
2015-05-15,5.18,5.18,5.14,5.15,8800,4.993306
2015-05-14,4.96,5.24,4.96,5.16,29400,5.003002
2015-05-13,5.24,5.24,5.10,5.17,1000,5.012698
2015-05-12,5.09,5.15,5.09,5.10,13700,4.944827
2015-05-11,5.09,5.16,5.09,5.16,22900,5.003002
2015-05-08,5.04,5.19,5.04,5.13,12700,4.973915
2015-05-07,5.15,5.15,5.10,5.11,2800,4.954523
2015-05-06,5.24,5.24,5.10,5.19,5200,5.032089
2015-05-05,5.24,5.30,5.17,5.23,5500,5.070872
2015-05-04,5.13,5.24,5.13,5.24,2900,5.080568
2015-05-01,5.11,5.24,5.11,5.23,2200,5.070872
2015-04-30,5.08,5.30,5.08,5.28,35200,5.119351
2015-04-29,5.15,5.22,5.08,5.10,36400,4.944827
2015-04-28,5.20,5.26,5.04,5.09,14500,4.935132
2015-04-27,5.10,5.26,5.04,5.15,28500,4.993306
2015-04-24,5.10,5.22,5.04,5.09,37300,4.935132
2015-04-23,5.05,5.06,5.00,5.04,13700,4.886653
2015-04-22,5.01,5.06,5.00,5.05,10600,4.896349
2015-04-21,5.03,5.04,5.01,5.02,30000,4.867262
2015-04-20,5.02,5.02,4.97,5.01,5800,4.857566
2015-04-17,4.97,5.04,4.96,5.00,9000,4.84787
2015-04-16,4.98,5.12,4.94,5.01,10100,4.857566
2015-04-15,5.10,5.10,5.05,5.09,14900,4.935132
2015-04-14,5.12,5.12,4.98,5.05,5200,4.896349
2015-04-13,4.98,5.11,4.98,5.09,4600,4.935132
2015-04-10,5.04,5.08,5.02,5.06,3700,4.760608
2015-04-09,5.11,5.12,5.00,5.00,7600,4.704159
2015-04-08,4.95,5.10,4.95,5.08,8500,4.779425
2015-04-07,4.97,5.00,4.94,4.98,74300,4.685342
2015-04-06,5.00,5.10,4.92,4.99,26600,4.69475
2015-04-02,4.96,5.09,4.91,5.00,17400,4.704159
2015-04-01,4.95,5.04,4.95,5.01,47200,4.713567
2015-03-31,5.01,5.05,5.01,5.02,6100,4.722975
2015-03-30,5.18,5.18,5.01,5.12,30900,4.817058
2015-03-27,5.08,5.14,5.05,5.14,17900,4.835875
2015-03-26,5.01,5.14,5.01,5.07,4800,4.770017
2015-03-25,5.10,5.11,5.05,5.09,23600,4.788834
2015-03-24,5.05,5.14,5.05,5.13,29200,4.826467
2015-03-23,4.90,5.04,4.85,5.04,34500,4.741792
2015-03-20,4.87,4.87,4.86,4.87,12400,4.58185
2015-03-19,4.85,4.97,4.85,4.89,1400,4.600667
2015-03-18,4.82,4.87,4.82,4.85,13300,4.563034
2015-03-17,4.85,4.90,4.85,4.90,8200,4.610076
2015-03-16,4.81,4.86,4.81,4.83,9300,4.544217
2015-03-13,4.84,4.87,4.84,4.87,14500,4.58185
2015-03-12,4.88,4.90,4.80,4.87,47300,4.58185
2015-03-11,4.89,4.89,4.85,4.89,2900,4.600667
2015-03-10,4.89,4.92,4.85,4.88,7200,4.591259
2015-03-09,4.89,4.90,4.85,4.85,8800,4.563034
2015-03-06,4.82,4.90,4.80,4.90,13600,4.610076
2015-03-05,4.89,4.91,4.86,4.88,33300,4.591259
