Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,9.38,9.47,9.34,9.39,225400,9.39
2015-08-06,9.45,9.47,9.34,9.43,251000,9.43
2015-08-05,9.30,9.43,9.18,9.42,358200,9.42
2015-08-04,9.20,9.36,9.18,9.26,312600,9.26
2015-08-03,9.39,9.45,9.21,9.23,402400,9.23
2015-07-31,9.35,9.49,9.30,9.45,501400,9.45
2015-07-30,9.06,9.39,9.06,9.38,587500,9.38
2015-07-29,8.81,9.03,8.81,9.00,271800,9.00
2015-07-28,8.77,8.88,8.76,8.83,147400,8.83
2015-07-27,8.73,8.89,8.65,8.79,379400,8.79
2015-07-24,8.98,9.00,8.66,8.71,637900,8.71
2015-07-23,9.07,9.10,8.92,8.96,394900,8.96
2015-07-22,9.11,9.13,9.00,9.05,257400,9.05
2015-07-21,9.15,9.19,9.09,9.15,186000,9.15
2015-07-20,9.24,9.25,9.11,9.19,281700,9.19
2015-07-17,9.30,9.33,9.25,9.26,264000,9.26
2015-07-16,9.25,9.34,9.25,9.31,175100,9.31
2015-07-15,9.29,9.30,9.18,9.24,140400,9.24
2015-07-14,9.22,9.30,9.18,9.30,201800,9.30
2015-07-13,9.16,9.23,9.13,9.22,266100,9.22
2015-07-10,9.17,9.25,9.08,9.14,210000,9.14
2015-07-09,9.24,9.24,9.10,9.13,169500,9.13
2015-07-08,9.03,9.16,9.02,9.15,278300,9.15
2015-07-07,9.25,9.30,9.01,9.12,629600,9.12
2015-07-06,9.28,9.32,9.25,9.26,278800,9.26
2015-07-02,9.24,9.34,9.18,9.30,465800,9.30
2015-07-01,9.30,9.30,9.11,9.13,295700,9.13
2015-06-30,9.14,9.28,9.14,9.14,369900,9.14
2015-06-29,9.26,9.28,9.12,9.15,281100,9.15
2015-06-26,9.26,9.31,9.25,9.29,159900,9.29
2015-06-25,9.31,9.39,9.26,9.31,269700,9.31
2015-06-24,9.30,9.41,9.28,9.31,398900,9.31
2015-06-23,9.30,9.38,9.28,9.34,496800,9.34
2015-06-22,9.31,9.34,9.18,9.26,549000,9.26
2015-06-19,9.40,9.42,9.31,9.31,381400,9.31
2015-06-18,9.47,9.50,9.37,9.41,384900,9.41
2015-06-17,9.44,9.52,9.39,9.47,375100,9.47
2015-06-16,9.40,9.46,9.34,9.44,451700,9.44
2015-06-15,9.57,9.63,9.50,9.58,444900,9.37
2015-06-12,9.63,9.64,9.55,9.61,366800,9.399342
2015-06-11,9.65,9.69,9.55,9.63,403700,9.418904
2015-06-10,9.58,9.69,9.55,9.62,325500,9.409123
2015-06-09,9.55,9.63,9.54,9.55,343200,9.340658
2015-06-08,9.67,9.67,9.55,9.58,192400,9.37
2015-06-05,9.64,9.65,9.55,9.64,217700,9.428685
2015-06-04,9.73,9.73,9.57,9.61,309600,9.399342
