Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,6.95,7.00,6.74,6.86,31400,6.86
2015-08-06,7.13,7.13,6.80,7.00,71100,7.00
2015-08-05,6.94,7.25,6.93,6.99,36600,6.99
2015-08-04,6.99,7.02,6.85,6.95,55100,6.95
2015-08-03,6.93,7.05,6.83,6.99,96000,6.99
2015-07-31,7.29,7.34,7.02,7.02,78500,7.02
2015-07-30,7.10,7.36,7.10,7.36,24400,7.217
2015-07-29,7.26,7.27,6.97,7.00,28000,6.863995
2015-07-28,7.10,7.34,7.10,7.15,130300,7.01108
2015-07-27,7.07,7.39,6.63,6.92,433900,6.785549
2015-07-24,7.03,7.22,7.03,7.15,23900,7.01108
2015-07-23,7.00,7.34,6.64,7.11,53800,6.971858
2015-07-22,7.10,7.25,6.42,7.09,115300,6.952246
2015-07-21,7.23,7.24,7.06,7.06,34100,6.922829
2015-07-20,7.31,7.42,7.10,7.17,43900,7.030692
2015-07-17,7.43,7.46,7.29,7.46,14800,7.315057
2015-07-16,7.27,7.52,7.16,7.50,33800,7.35428
2015-07-15,7.20,7.33,7.11,7.22,10400,7.07972
2015-07-14,7.27,7.29,7.19,7.20,21500,7.060109
2015-07-13,7.38,7.38,7.15,7.31,19900,7.167972
2015-07-10,7.12,7.41,7.09,7.34,25700,7.197389
2015-07-09,7.05,7.19,6.94,7.14,24500,7.001274
2015-07-08,7.10,7.30,6.87,6.98,63000,6.844383
2015-07-07,7.26,7.28,7.15,7.16,25000,7.020886
2015-07-06,7.37,7.52,7.26,7.29,31600,7.14836
2015-07-02,7.30,7.44,7.21,7.39,29200,7.246417
2015-07-01,7.40,7.47,7.17,7.22,100300,7.07972
2015-06-30,7.50,7.50,7.30,7.49,29700,7.344474
2015-06-29,7.44,7.54,7.36,7.43,250900,7.28564
2015-06-26,7.48,7.53,7.46,7.50,13800,7.35428
2015-06-25,7.45,7.55,7.43,7.55,27700,7.403309
2015-06-24,7.52,7.52,7.40,7.43,46600,7.28564
2015-06-23,7.51,7.60,7.43,7.50,39700,7.35428
2015-06-22,7.72,7.72,7.49,7.60,38200,7.452337
2015-06-19,7.59,7.87,7.59,7.73,39400,7.579811
2015-06-18,7.88,7.99,7.61,7.75,18900,7.599423
2015-06-17,7.81,7.90,7.75,7.85,31400,7.69748
2015-06-16,7.90,7.91,7.78,7.88,24900,7.726897
2015-06-15,7.70,8.00,7.70,7.93,12900,7.775925
2015-06-12,7.26,7.76,7.26,7.66,55600,7.511171
2015-06-11,7.67,7.68,7.36,7.39,36300,7.246417
2015-06-10,7.56,7.73,7.45,7.73,46800,7.579811
2015-06-09,7.37,7.56,7.25,7.56,74100,7.413114
2015-06-08,7.59,7.66,7.42,7.44,20800,7.295446
2015-06-05,7.48,7.69,7.36,7.55,45100,7.403309
2015-06-04,7.57,7.77,7.42,7.48,51500,7.334669
2015-06-03,7.81,7.81,7.60,7.60,44100,7.452337
2015-06-02,7.77,7.90,7.73,7.80,10600,7.648451
2015-06-01,7.78,7.89,7.67,7.68,10400,7.530783
2015-05-29,7.82,7.98,7.68,7.72,19400,7.570005
2015-05-28,7.89,7.97,7.77,7.90,11800,7.746508
2015-05-27,8.05,8.05,7.90,8.01,10600,7.854371
2015-05-26,7.87,8.35,7.81,8.09,155800,7.932817
2015-05-22,7.69,7.96,7.68,7.79,59200,7.638646
