Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,154.75,157.50,129.009995,154.839996,3877000,154.839996
2015-08-06,167.00,168.029999,154.75,156.830002,573300,156.830002
2015-08-05,164.399994,169.160004,162.779999,166.509995,470000,166.509995
2015-08-04,165.649994,166.419998,162.210007,164.470001,324700,164.470001
2015-08-03,165.710007,167.490005,162.320007,164.600006,479900,164.600006
2015-07-31,159.580002,168.199997,156.029999,165.830002,677000,165.830002
2015-07-30,159.00,160.00,153.630005,159.169998,384300,159.169998
2015-07-29,160.639999,160.669998,155.309998,159.020004,445100,159.020004
2015-07-28,159.75,161.130005,154.389999,160.320007,665400,160.320007
2015-07-27,157.789993,160.990005,154.119995,159.490005,423500,159.490005
2015-07-24,162.009995,165.00,158.699997,158.910004,556600,158.910004
2015-07-23,162.110001,165.669998,161.320007,163.539993,541800,163.539993
2015-07-22,158.360001,162.779999,158.00,162.00,396900,162.00
2015-07-21,165.410004,165.50,157.080002,160.630005,496100,160.630005
2015-07-20,164.330002,166.00,161.639999,165.330002,434200,165.330002
2015-07-17,166.160004,166.309998,162.199997,164.190002,570200,164.190002
2015-07-16,170.660004,170.990005,164.00,166.589996,623300,166.589996
2015-07-15,168.880005,171.240005,165.220001,167.809998,1027900,167.809998
2015-07-14,163.610001,168.50,163.110001,166.169998,500000,166.169998
2015-07-13,161.50,168.580002,161.369995,163.899994,784700,163.899994
2015-07-10,162.679993,162.679993,156.869995,159.029999,480200,159.029999
2015-07-09,157.949997,161.00,156.520004,158.429993,559500,158.429993
2015-07-08,158.449997,161.00,154.039993,154.630005,636000,154.630005
2015-07-07,163.949997,164.00,156.25,159.600006,729700,159.600006
2015-07-06,161.639999,164.669998,159.369995,163.220001,1147500,163.220001
2015-07-02,164.00,164.979996,160.539993,163.210007,827000,163.210007
2015-07-01,169.949997,170.690002,162.410004,163.070007,841500,163.070007
2015-06-30,161.679993,169.00,161.50,168.369995,1190000,168.369995
2015-06-29,160.009995,166.369995,159.039993,159.270004,872400,159.270004
2015-06-26,169.800003,170.149994,163.960007,165.669998,3295800,165.669998
2015-06-25,171.259995,171.800003,165.50,168.929993,1370600,168.929993
2015-06-24,171.029999,175.00,169.009995,170.100006,2667000,170.100006
2015-06-23,178.139999,179.00,172.529999,174.309998,643300,174.309998
2015-06-22,172.270004,181.490005,168.610001,177.75,1188700,177.75
2015-06-19,172.00,172.990005,169.619995,170.139999,1354000,170.139999
2015-06-18,171.229996,175.399994,170.449997,171.979996,805900,171.979996
2015-06-17,173.779999,176.490005,168.080002,171.070007,1146300,171.070007
2015-06-16,179.00,180.869995,170.330002,170.639999,1306900,170.639999
2015-06-15,186.25,187.00,175.199997,179.300003,1931300,179.300003
2015-06-12,185.740005,186.179993,180.199997,180.809998,667100,180.809998
2015-06-11,182.729996,188.710007,177.759995,186.179993,794700,186.179993
2015-06-10,180.929993,185.289993,178.020004,182.279999,1003300,182.279999
2015-06-09,189.050003,189.050003,181.059998,186.630005,661300,186.630005
2015-06-08,189.320007,190.740005,185.25,188.610001,466100,188.610001
2015-06-05,185.130005,191.550003,184.020004,189.630005,607200,189.630005
2015-06-04,180.130005,185.50,175.350006,184.979996,1015900,184.979996
2015-06-03,188.770004,189.720001,182.50,184.770004,732000,184.770004
2015-06-02,190.979996,191.710007,187.00,188.470001,622000,188.470001
2015-06-01,195.429993,195.970001,186.669998,190.979996,725400,190.979996
2015-05-29,191.110001,197.350006,189.50,194.25,809400,194.25
2015-05-28,190.25,194.570007,186.130005,192.520004,762300,192.520004
2015-05-27,185.889999,190.449997,182.610001,189.690002,811200,189.690002
2015-05-26,178.479996,189.059998,177.059998,183.690002,1137500,183.690002
2015-05-22,173.00,179.479996,166.00,178.380005,994300,178.380005
2015-05-21,186.330002,186.360001,170.960007,172.940002,1896700,172.940002
2015-05-20,173.889999,174.850006,164.639999,165.710007,1197800,165.710007
2015-05-19,162.00,170.690002,161.910004,170.529999,1421000,170.529999
2015-05-18,154.50,158.830002,150.919998,156.399994,678600,156.399994
2015-05-15,157.960007,159.589996,151.139999,154.419998,702600,154.419998
2015-05-14,160.600006,162.00,154.50,157.399994,595200,157.399994
2015-05-13,166.490005,169.240005,156.75,160.339996,942900,160.339996
2015-05-12,164.00,169.880005,161.130005,166.210007,702500,166.210007
2015-05-11,164.410004,167.889999,160.410004,165.449997,666100,165.449997
2015-05-08,155.00,168.050003,155.00,163.720001,1605600,163.720001
2015-05-07,142.850006,153.210007,142.850006,152.419998,1672300,152.419998
2015-05-06,137.550003,139.630005,136.169998,139.619995,614900,139.619995
