Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,11.94,12.29,11.51,12.00,122400,12.00
2015-07-30,11.79,12.00,11.77,11.87,142200,11.87
2015-07-29,11.91,12.00,11.74,11.83,33100,11.83
2015-07-28,11.87,11.91,11.76,11.87,133500,11.87
2015-07-27,12.27,12.27,11.82,11.85,105600,11.85
2015-07-24,12.40,12.40,12.09,12.20,65600,12.20
2015-07-23,12.52,12.52,12.21,12.37,215800,12.37
2015-07-22,12.68,12.72,12.36,12.46,261800,12.46
2015-07-21,12.63,12.75,12.49,12.52,71100,12.52
2015-07-20,12.70,12.80,12.58,12.605,82800,12.605
2015-07-17,12.67,12.80,12.56,12.61,114100,12.61
2015-07-16,12.84,12.86,12.69,12.70,80600,12.70
2015-07-15,12.73,12.89,12.72,12.80,267700,12.80
2015-07-14,12.75,12.85,12.551,12.75,71700,12.75
2015-07-13,12.67,12.78,12.32,12.75,189200,12.75
2015-07-10,12.85,12.89,12.60,12.67,82600,12.67
2015-07-09,13.00,13.00,12.75,12.81,157700,12.81
2015-07-08,13.00,13.05,12.87,12.97,355300,12.97
2015-07-07,12.86,13.21,12.82,12.99,951300,12.99
2015-07-06,12.60,12.81,12.53,12.80,205600,12.80
2015-07-02,12.68,12.89,12.40,12.60,49000,12.60
2015-07-01,12.57,12.95,12.39,12.62,329100,12.62
2015-06-30,11.78,12.69,11.73,12.50,2080500,12.50
2015-06-29,11.74,11.85,11.70,11.80,364600,11.80
2015-06-26,11.78,11.79,11.71,11.77,279200,11.77
2015-06-25,11.59,11.88,11.59,11.78,635000,11.78
2015-06-24,11.60,11.72,11.50,11.62,268200,11.62
2015-06-23,11.58,11.68,11.41,11.57,299000,11.57
2015-06-22,11.34,11.71,11.33,11.66,303000,11.66
2015-06-19,11.37,11.39,11.24,11.35,192300,11.35
2015-06-18,11.43,11.50,11.01,11.36,119900,11.36
2015-06-17,11.40,11.625,11.37,11.47,1087400,11.47
2015-06-16,11.35,11.63,11.35,11.40,855100,11.40
2015-06-15,11.22,11.60,11.10,11.32,247000,11.32
2015-06-12,11.25,11.462,11.112,11.29,347000,11.29
2015-06-11,11.34,11.50,11.21,11.21,210000,11.21
2015-06-10,10.87,11.35,10.87,11.25,702100,11.25
2015-06-09,10.92,10.93,10.61,10.76,55700,10.76
2015-06-08,11.07,11.10,10.74,10.85,192800,10.85
2015-06-05,10.97,11.05,10.91,10.98,242800,10.98
2015-06-04,11.135,11.15,10.90,10.95,485100,10.95
2015-06-03,11.03,11.30,11.03,11.13,143700,11.13
2015-06-02,11.35,11.40,11.09,11.14,272700,11.14
2015-06-01,11.30,11.41,11.30,11.34,205300,11.34
2015-05-29,11.07,11.46,11.07,11.26,123600,11.26
2015-05-28,11.55,11.645,11.20,11.29,211800,11.29
2015-05-27,11.74,11.75,11.50,11.60,112700,11.60
2015-05-26,11.85,11.85,11.65,11.68,93100,11.68
2015-05-22,11.80,12.00,11.52,11.88,401800,11.88
2015-05-21,11.50,12.00,11.45,11.77,834200,11.77
2015-05-20,11.22,11.57,11.20,11.50,142000,11.50
2015-05-19,11.48,11.65,11.31,11.41,88900,11.41
2015-05-18,11.64,11.68,11.57,11.58,49400,11.58
2015-05-15,11.51,11.75,11.35,11.57,451100,11.57
2015-05-14,11.26,11.72,10.93,11.56,1546100,11.56
2015-05-13,11.25,11.30,11.00,11.20,139700,11.20
2015-05-12,11.20,11.29,11.05,11.19,188100,11.19
2015-05-11,11.05,11.36,11.00,11.23,329500,11.23
2015-05-08,11.11,11.25,10.83,11.25,136400,11.25
2015-05-07,11.40,11.42,11.15,11.15,348000,11.15
2015-05-06,11.66,11.70,11.245,11.35,93000,11.35
2015-05-05,11.97,11.99,11.53,11.63,74600,11.63
2015-05-04,11.92,12.14,11.65,11.87,214400,11.87
2015-05-01,11.47,12.10,11.47,11.96,1613000,11.96
2015-04-30,12.05,13.35,11.28,11.59,2344700,11.59
2015-04-29,10.07,10.10,10.07,10.10,9600,10.10
2015-04-28,10.05,10.10,10.05,10.10,2700,10.10
2015-04-27,10.04,10.04,10.04,10.04,000,10.04
2015-04-24,10.04,10.04,10.04,10.04,2000,10.04
2015-04-23,10.02,10.02,10.02,10.02,000,10.02
2015-04-22,10.02,10.02,10.02,10.02,000,10.02
2015-04-21,10.05,10.05,10.02,10.02,5400,10.02
2015-04-20,10.05,10.05,10.05,10.05,000,10.05
2015-04-17,10.05,10.05,10.05,10.05,200,10.05
2015-04-16,10.12,10.12,10.12,10.12,000,10.12
2015-04-15,10.12,10.12,10.12,10.12,300,10.12
2015-04-14,10.24,10.24,10.24,10.24,100,10.24
2015-04-13,10.39,10.39,10.39,10.39,000,10.39
2015-04-10,10.00,10.39,10.00,10.39,200,10.39
2015-04-09,10.04,10.18,10.02,10.18,7100,10.18
2015-04-08,9.95,10.44,9.95,10.44,7000,10.44
2015-04-07,9.93,9.93,9.93,9.93,000,9.93
2015-04-06,9.93,9.93,9.93,9.93,000,9.93
2015-04-02,9.85,10.20,9.85,9.93,6300,9.93
2015-04-01,9.80,9.80,9.80,9.80,1000,9.80
2015-03-31,9.79,9.80,9.78,9.80,1300,9.80
2015-03-30,9.78,9.799,9.78,9.799,900,9.799
2015-03-27,9.79,9.79,9.78,9.78,2400,9.78
2015-03-26,9.77,9.77,9.77,9.77,000,9.77
2015-03-25,9.77,9.78,9.77,9.77,1000,9.77
2015-03-24,9.75,9.75,9.75,9.75,000,9.75
2015-03-23,9.75,9.79,9.75,9.75,1500,9.75
2015-03-20,9.71,9.71,9.71,9.71,000,9.71
2015-03-19,9.75,9.75,9.71,9.71,700,9.71
2015-03-18,9.70,9.71,9.70,9.71,300,9.71
2015-03-17,9.70,9.70,9.70,9.70,000,9.70
2015-03-16,9.70,9.70,9.70,9.70,000,9.70
2015-03-13,9.70,9.70,9.70,9.70,000,9.70
2015-03-12,9.70,9.70,9.70,9.70,000,9.70
2015-03-11,9.70,9.70,9.70,9.70,000,9.70
2015-03-10,9.70,9.70,9.70,9.70,000,9.70
2015-03-09,9.70,9.70,9.70,9.70,000,9.70
2015-03-06,9.70,9.70,9.68,9.70,1300,9.70
2015-03-05,9.75,9.75,9.75,9.75,000,9.75
2015-03-04,9.75,9.75,9.75,9.75,000,9.75
2015-03-03,9.75,9.75,9.75,9.75,000,9.75
2015-03-02,9.75,9.75,9.74,9.75,1400,9.75
2015-02-27,9.68,9.68,9.68,9.68,000,9.68
2015-02-26,9.68,9.68,9.68,9.68,000,9.68
2015-02-25,9.68,9.68,9.68,9.68,000,9.68
2015-02-24,9.68,9.68,9.68,9.68,000,9.68
2015-02-23,9.75,9.75,9.68,9.68,1900,9.68
2015-02-20,9.75,9.75,9.75,9.75,000,9.75
2015-02-19,9.75,9.75,9.75,9.75,000,9.75
2015-02-18,9.75,9.75,9.75,9.75,900,9.75
2015-02-17,9.73,9.73,9.73,9.73,000,9.73
2015-02-13,9.73,9.73,9.73,9.73,000,9.73
2015-02-12,9.68,9.78,9.66,9.73,3400,9.73
2015-02-11,9.69,9.69,9.69,9.69,000,9.69
2015-02-10,9.78,9.78,9.68,9.69,400,9.69
2015-02-09,9.68,9.68,9.68,9.68,000,9.68
2015-02-06,9.68,9.68,9.68,9.68,000,9.68
2015-02-05,9.68,9.68,9.68,9.68,300,9.68
2015-02-04,9.68,9.75,9.66,9.70,11900,9.70
2015-02-03,9.66,9.72,9.66,9.72,1500,9.72
2015-02-02,9.69,9.74,9.69,9.71,2800,9.71
2015-01-30,9.70,9.76,9.68,9.76,2500,9.76
2015-01-29,9.68,9.78,9.68,9.75,4000,9.75
2015-01-28,9.74,9.79,9.68,9.74,7400,9.74
2015-01-27,9.70,9.78,9.68,9.78,3300,9.78
2015-01-26,9.69,9.82,9.66,9.74,292800,9.74
2015-01-23,9.70,9.76,9.70,9.75,1800,9.75
2015-01-22,9.65,9.72,9.65,9.69,1200,9.69
2015-01-21,9.60,9.80,9.60,9.75,5800,9.75
2015-01-20,9.60,9.74,9.60,9.72,2200,9.72
2015-01-16,9.68,9.80,9.68,9.70,5700,9.70
2015-01-15,9.68,9.69,9.67,9.69,2300,9.69
2015-01-14,9.72,9.77,9.72,9.73,6600,9.73
2015-01-13,9.74,9.80,9.74,9.80,2100,9.80
2015-01-12,9.75,9.75,9.75,9.75,000,9.75
2015-01-09,9.75,9.75,9.75,9.75,000,9.75
2015-01-08,9.67,9.75,9.65,9.75,2100,9.75
2015-01-07,9.74,9.74,9.73,9.73,500,9.73
2015-01-06,9.69,9.75,9.658,9.66,20400,9.66
2015-01-05,9.68,9.70,9.65,9.65,7200,9.65
2015-01-02,9.60,9.60,9.60,9.60,000,9.60
2014-12-31,9.60,9.60,9.60,9.60,000,9.60
2014-12-30,9.60,9.60,9.60,9.60,000,9.60
2014-12-29,9.60,9.60,9.60,9.60,13300,9.60
2014-12-26,9.64,9.64,9.64,9.64,000,9.64
2014-12-24,9.60,9.60,9.60,9.60,000,9.60
2014-12-23,9.64,9.64,9.64,9.64,000,9.64
2014-12-22,9.64,9.64,9.64,9.64,000,9.64
2014-12-19,9.59,9.64,9.59,9.64,1300,9.64
2014-12-18,9.69,9.69,9.56,9.63,1400,9.63
2014-12-17,9.65,9.65,9.65,9.65,100,9.65
2014-12-16,9.62,9.62,9.62,9.62,100,9.62
2014-12-15,9.62,9.62,9.62,9.62,100,9.62
2014-12-12,9.59,9.59,9.59,9.59,100,9.59
2014-12-11,9.62,9.62,9.62,9.62,100,9.62
2014-12-10,9.68,9.70,9.58,9.58,5200,9.58
2014-12-09,9.57,9.57,9.57,9.57,100,9.57
2014-12-08,9.64,9.78,9.61,9.61,9100,9.61
2014-12-05,9.55,9.55,9.55,9.55,000,9.55
2014-12-04,9.55,9.55,9.55,9.55,500,9.55
2014-12-03,9.654,9.654,9.654,9.654,000,9.654
2014-12-02,9.654,9.654,9.654,9.654,000,9.654
2014-12-01,9.68,9.70,9.65,9.654,2300,9.654
2014-11-28,9.70,9.70,9.70,9.70,000,9.70
2014-11-26,9.70,9.70,9.70,9.70,000,9.70
2014-11-25,9.70,9.70,9.60,9.70,1100,9.70
2014-11-24,9.64,9.64,9.64,9.64,000,9.64
2014-11-21,9.64,9.64,9.64,9.64,000,9.64
2014-11-20,9.64,9.64,9.64,9.64,000,9.64
