Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,12.93,13.02,12.76,12.82,224600,12.82
2015-08-06,13.04,13.09,12.96,13.01,568800,13.01
2015-08-05,13.00,13.10,12.93,12.98,336300,12.98
2015-08-04,12.90,13.04,12.90,12.96,290300,12.96
2015-08-03,12.86,12.97,12.80,12.92,329500,12.92
2015-07-31,12.94,12.98,12.83,12.86,378500,12.86
2015-07-30,12.77,12.95,12.75,12.93,360200,12.93
2015-07-29,12.83,12.98,12.79,12.82,341300,12.82
2015-07-28,12.93,12.95,12.75,12.81,650400,12.81
2015-07-27,12.91,12.99,12.86,12.91,501800,12.91
2015-07-24,12.74,13.05,12.68,13.00,1057200,13.00
2015-07-23,12.97,12.99,12.41,12.70,846600,12.70
2015-07-22,12.84,13.02,12.83,12.93,338400,12.93
2015-07-21,12.89,13.00,12.86,12.91,362600,12.91
2015-07-20,12.89,12.94,12.83,12.91,412600,12.91
2015-07-17,12.88,12.91,12.79,12.89,320000,12.89
2015-07-16,13.00,13.00,12.80,12.86,509600,12.86
2015-07-15,12.86,12.97,12.75,12.94,402800,12.94
2015-07-14,12.69,12.89,12.58,12.85,353900,12.85
2015-07-13,12.55,12.74,12.50,12.65,562700,12.65
2015-07-10,12.53,12.60,12.47,12.50,397600,12.50
2015-07-09,12.45,12.51,12.40,12.46,427900,12.46
2015-07-08,12.42,12.48,12.29,12.33,682200,12.33
2015-07-07,12.64,12.65,12.36,12.40,820800,12.40
2015-07-06,12.43,12.68,12.36,12.68,1042200,12.68
2015-07-02,12.58,12.58,12.36,12.52,1169600,12.52
2015-07-01,12.55,12.66,12.43,12.58,713700,12.58
2015-06-30,12.51,12.57,12.43,12.49,495300,12.49
2015-06-29,12.56,12.61,12.48,12.49,702500,12.49
2015-06-26,12.87,12.91,12.63,12.63,5442200,12.63
2015-06-25,12.74,12.85,12.68,12.85,899000,12.85
2015-06-24,12.69,12.80,12.66,12.69,862000,12.69
2015-06-23,12.80,12.82,12.65,12.73,1165500,12.73
2015-06-22,12.60,12.84,12.56,12.78,1048900,12.78
2015-06-19,12.65,12.75,12.47,12.53,2847700,12.53
2015-06-18,12.64,12.71,12.57,12.66,690000,12.66
2015-06-17,12.69,12.77,12.53,12.57,1099600,12.57
2015-06-16,12.78,12.83,12.68,12.70,929400,12.70
2015-06-15,12.76,12.89,12.69,12.83,850000,12.83
2015-06-12,12.85,12.85,12.72,12.75,637000,12.75
2015-06-11,12.77,12.88,12.71,12.88,406600,12.88
2015-06-10,12.65,12.80,12.61,12.74,834000,12.74
2015-06-09,12.55,12.64,12.50,12.62,743000,12.62
2015-06-08,12.35,12.55,12.35,12.55,1730200,12.55
2015-06-05,12.39,12.45,12.33,12.35,616800,12.35
2015-06-04,12.40,12.44,12.35,12.40,280200,12.40
2015-06-03,12.41,12.45,12.34,12.43,541100,12.43
2015-06-02,12.20,12.41,12.19,12.38,575600,12.38
2015-06-01,12.25,12.32,12.20,12.23,570800,12.23
2015-05-29,12.21,12.26,12.13,12.25,563100,12.25
2015-05-28,12.17,12.24,12.11,12.24,710500,12.24
2015-05-27,12.19,12.22,12.11,12.21,556900,12.21
2015-05-26,12.20,12.20,12.01,12.19,623600,12.19
2015-05-22,11.87,11.99,11.85,11.94,413000,11.94
2015-05-21,11.77,11.88,11.71,11.87,268700,11.87
2015-05-20,11.88,11.89,11.75,11.79,734500,11.79
2015-05-19,11.84,11.90,11.76,11.90,242400,11.90
2015-05-18,11.80,11.88,11.71,11.85,188800,11.85
2015-05-15,11.95,11.95,11.80,11.80,419000,11.80
2015-05-14,11.85,11.95,11.84,11.92,320500,11.92
2015-05-13,11.80,11.86,11.73,11.80,262000,11.80
2015-05-12,11.74,11.82,11.64,11.80,354900,11.80
2015-05-11,11.73,11.79,11.69,11.76,292700,11.76
2015-05-08,11.73,11.73,11.66,11.73,228000,11.73
2015-05-07,11.65,11.72,11.64,11.67,247100,11.67
2015-05-06,11.71,11.71,11.65,11.68,412400,11.68
2015-05-05,11.62,11.70,11.60,11.69,490500,11.69
2015-05-04,11.62,11.74,11.60,11.66,237800,11.66
2015-05-01,11.62,11.85,11.48,11.62,487200,11.62
2015-04-30,11.80,11.83,11.55,11.60,419700,11.60
2015-04-29,11.83,11.89,11.77,11.81,404800,11.81
2015-04-28,11.87,11.94,11.83,11.89,1030200,11.89
2015-04-27,11.90,11.90,11.79,11.84,487800,11.84
2015-04-24,11.69,11.86,11.64,11.85,1104500,11.85
2015-04-23,11.41,11.68,11.31,11.68,719700,11.68
2015-04-22,11.40,11.46,11.30,11.39,3325500,11.39
2015-04-21,11.41,11.42,11.36,11.40,482200,11.40
2015-04-20,11.33,11.42,11.24,11.41,344300,11.41
2015-04-17,11.24,11.30,11.17,11.28,532700,11.28
2015-04-16,11.28,11.32,11.20,11.29,227500,11.29
2015-04-15,11.22,11.31,11.19,11.30,196600,11.30
2015-04-14,11.33,11.33,11.15,11.23,238100,11.23
2015-04-13,11.12,11.34,11.10,11.33,467900,11.33
2015-04-10,11.19,11.19,11.11,11.16,361000,11.16
2015-04-09,11.19,11.23,11.09,11.16,447300,11.16
2015-04-08,11.18,11.20,11.11,11.15,408600,11.15
2015-04-07,11.16,11.21,11.15,11.16,368700,11.16
2015-04-06,11.22,11.23,11.12,11.20,436600,11.20
2015-04-02,11.28,11.32,11.24,11.26,212900,11.26
2015-04-01,11.29,11.34,11.24,11.28,322000,11.28
2015-03-31,11.12,11.34,11.10,11.29,1029600,11.29
2015-03-30,11.06,11.11,11.01,11.11,572000,11.11
2015-03-27,11.04,11.06,11.01,11.03,321800,11.03
2015-03-26,11.00,11.08,10.99,11.05,248100,11.05
2015-03-25,11.10,11.10,10.99,11.00,375500,11.00
2015-03-24,11.16,11.17,11.09,11.10,226800,11.10
2015-03-23,11.22,11.24,11.12,11.16,264200,11.16
2015-03-20,11.23,11.29,11.17,11.21,470300,11.21
2015-03-19,11.29,11.29,11.16,11.19,288100,11.19
2015-03-18,11.28,11.33,11.21,11.27,538700,11.27
2015-03-17,11.25,11.29,11.18,11.27,344500,11.27
2015-03-16,11.34,11.34,11.27,11.29,450200,11.29
2015-03-13,11.28,11.33,11.15,11.33,532900,11.33
2015-03-12,11.15,11.30,11.10,11.28,480700,11.28
2015-03-11,10.94,11.15,10.91,11.05,726200,11.05
2015-03-10,11.01,11.02,10.92,10.98,476800,10.98
2015-03-09,11.11,11.16,11.02,11.04,411300,11.04
2015-03-06,11.18,11.30,11.07,11.14,297100,11.14
2015-03-05,11.30,11.31,11.25,11.25,320300,11.25
2015-03-04,11.26,11.30,11.26,11.29,390200,11.29
2015-03-03,11.29,11.30,11.25,11.26,331700,11.26
2015-03-02,11.33,11.34,11.25,11.29,380200,11.29
2015-02-27,11.29,11.33,11.20,11.32,344000,11.32
2015-02-26,11.21,11.35,11.15,11.31,286000,11.31
2015-02-25,11.17,11.21,11.10,11.21,262200,11.21
2015-02-24,11.15,11.20,11.10,11.14,311000,11.14
2015-02-23,11.19,11.22,11.04,11.15,625500,11.15
2015-02-20,11.33,11.34,11.16,11.22,403700,11.22
2015-02-19,11.15,11.31,11.15,11.30,504500,11.30
2015-02-18,11.32,11.32,11.13,11.17,696300,11.17
2015-02-17,11.54,11.56,11.33,11.33,298900,11.33
2015-02-13,11.58,11.61,11.52,11.54,462800,11.54
2015-02-12,11.47,11.56,11.41,11.56,888600,11.56
2015-02-11,11.48,11.51,11.42,11.48,967700,11.48
2015-02-10,11.42,11.49,11.38,11.49,1106100,11.49
2015-02-09,11.35,11.45,11.27,11.42,1302700,11.42
2015-02-06,11.02,11.44,11.00,11.41,3913700,11.41
2015-02-05,10.89,11.05,10.88,11.02,3465200,11.02
2015-02-04,10.80,10.90,10.80,10.90,1590700,10.90
2015-02-03,10.74,10.85,10.72,10.81,1682800,10.81
2015-02-02,10.81,10.82,10.70,10.74,924500,10.74
2015-01-30,10.80,10.84,10.76,10.79,644700,10.79
2015-01-29,10.80,10.86,10.76,10.83,951100,10.83
2015-01-28,10.89,10.89,10.80,10.81,797900,10.81
2015-01-27,10.77,10.90,10.77,10.90,1736200,10.90
2015-01-26,10.82,10.89,10.79,10.88,2149300,10.88
2015-01-23,10.84,10.85,10.80,10.84,2069700,10.84
2015-01-22,10.79,10.85,10.75,10.82,2459500,10.82
2015-01-21,10.75,10.80,10.73,10.77,1551500,10.77
2015-01-20,10.72,10.75,10.66,10.75,2149900,10.75
2015-01-16,10.66,10.74,10.65,10.73,2907600,10.73
2015-01-15,10.75,10.77,10.69,10.69,2516000,10.69
2015-01-14,10.70,10.80,10.64,10.72,4410800,10.72
2015-01-13,10.85,10.95,10.78,10.82,16102800,10.82
2015-01-12,11.999997,12.159999,11.960005,12.040001,446100,10.94645
2015-01-09,12.10,12.10,11.980001,11.999997,216400,10.91008
2015-01-08,12.059997,12.150002,11.999997,12.109998,61500,11.01009
2015-01-07,12.059997,12.109998,11.980001,11.999997,72800,10.91008
2015-01-06,12.109998,12.119996,11.999997,11.999997,178800,10.91008
2015-01-05,12.090002,12.219999,12.059997,12.080003,104800,10.98282
2015-01-02,12.299995,12.349996,12.059997,12.159999,104100,11.05555
2014-12-31,12.339998,12.349996,12.260003,12.27,120000,11.15556
2014-12-30,12.279999,12.380002,12.250004,12.339998,75700,11.2192
2014-12-29,12.27,12.33,12.250004,12.299995,130900,11.18283
2014-12-26,12.229997,12.27,12.229997,12.250004,86600,11.13738
2014-12-24,12.219999,12.219999,12.169998,12.190005,45100,11.082831
2014-12-23,12.219999,12.219999,12.169998,12.190005,119900,11.082831
2014-12-22,12.179996,12.219999,12.140003,12.210001,118600,11.10101
2014-12-19,12.239995,12.239995,12.150002,12.190005,387800,11.082831
2014-12-18,12.299995,12.299995,12.179996,12.239995,188600,11.12828
2014-12-17,12.109998,12.289997,12.059997,12.250004,206600,11.13738
