Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,47.740002,47.900002,46.860001,47.470001,232400,47.470001
2015-08-06,49.099998,49.099998,47.509998,47.799999,181000,47.799999
2015-08-05,49.299999,50.049999,49.09,49.220001,169400,49.220001
2015-08-04,49.400002,49.790001,48.900002,49.110001,286800,49.110001
2015-08-03,49.82,49.860001,49.099998,49.400002,233300,49.400002
2015-07-31,49.369999,50.290001,49.27,49.919998,358900,49.919998
2015-07-30,48.889999,49.689999,48.34,49.279999,126700,49.279999
2015-07-29,48.75,49.759998,48.75,48.919998,199700,48.919998
2015-07-28,49.00,49.080002,48.32,48.73,210200,48.73
2015-07-27,49.200001,49.650002,48.77,48.889999,186000,48.889999
2015-07-24,49.810001,50.09,49.040001,49.369999,153300,49.369999
2015-07-23,51.349998,51.349998,49.799999,49.880001,212100,49.880001
2015-07-22,50.860001,51.509998,50.73,51.41,146800,51.41
2015-07-21,50.650002,51.139999,50.259998,50.810001,132300,50.810001
2015-07-20,50.939999,51.18,50.73,50.779999,143100,50.779999
2015-07-17,51.02,51.48,50.779999,50.860001,275600,50.860001
2015-07-16,51.169998,51.209999,50.82,51.169998,178400,51.169998
2015-07-15,51.27,51.279999,50.610001,50.959999,212900,50.959999
2015-07-14,51.779999,51.790001,50.830002,51.139999,255300,51.139999
2015-07-13,51.43,51.959999,51.389999,51.75,164700,51.75
2015-07-10,51.00,51.34,50.66,51.189999,141900,51.189999
2015-07-09,51.049999,51.25,50.380001,50.50,208700,50.50
2015-07-08,50.299999,51.049999,50.200001,50.689999,375000,50.689999
2015-07-07,50.939999,51.119999,50.32,50.73,425200,50.73
2015-07-06,50.52,51.209999,50.259998,50.959999,277200,50.959999
2015-07-02,51.060001,51.25,50.610001,50.68,298900,50.68
2015-07-01,51.240002,51.419998,50.82,51.029999,212600,51.029999
2015-06-30,51.00,51.189999,50.75,51.049999,272200,51.049999
2015-06-29,51.709999,52.00,50.689999,50.830002,248600,50.830002
2015-06-26,51.560001,51.93,51.32,51.880001,434200,51.880001
2015-06-25,51.419998,51.75,50.970001,51.310001,265300,51.310001
2015-06-24,50.439999,51.59,50.439999,51.25,470900,51.25
2015-06-23,50.169998,51.049999,50.169998,50.709999,351100,50.709999
2015-06-22,50.16,50.830002,50.09,50.240002,364900,50.240002
2015-06-19,49.060001,50.34,49.029999,49.98,797000,49.98
2015-06-18,48.009998,49.110001,48.009998,48.950001,510100,48.950001
2015-06-17,49.50,50.169998,48.220001,48.34,1166300,48.34
2015-06-16,47.790001,48.16,47.34,47.50,661600,47.50
2015-06-15,47.48,48.349998,47.220001,47.849998,488900,47.849998
2015-06-12,48.50,48.57,47.02,47.439999,1396700,47.439999
2015-06-11,46.00,46.220001,45.799999,46.099998,305700,46.099998
2015-06-10,45.990002,46.110001,45.740002,45.959999,271300,45.959999
2015-06-09,45.740002,46.130001,45.529999,45.860001,175300,45.860001
2015-06-08,45.68,46.02,45.50,45.84,144300,45.84
2015-06-05,45.049999,45.799999,44.490002,45.700001,177300,45.700001
2015-06-04,46.220001,46.220001,44.990002,45.18,428400,45.18
2015-06-03,46.00,46.73,45.869999,46.59,340700,46.59
2015-06-02,45.880001,46.209999,45.68,45.939999,183700,45.939999
2015-06-01,45.939999,46.310001,45.720001,45.939999,224900,45.939999
2015-05-29,47.490002,47.490002,45.93,45.93,328900,45.93
2015-05-28,46.34,47.009998,46.34,46.52,246500,46.52
2015-05-27,46.099998,47.049999,46.099998,46.549999,295100,46.239999
2015-05-26,46.18,46.560001,45.91,46.23,269600,45.922131
2015-05-22,46.400002,46.970001,46.240002,46.259998,301300,45.95193
2015-05-21,46.25,46.73,46.09,46.459999,246700,46.150598
2015-05-20,46.740002,46.759998,46.00,46.41,315700,46.100932
2015-05-19,46.290001,46.830002,46.110001,46.630001,399800,46.319468
2015-05-18,46.009998,46.810001,45.799999,46.450001,380000,46.140667
2015-05-15,46.169998,46.330002,45.639999,45.93,215000,45.624129
2015-05-14,45.740002,46.360001,45.419998,46.07,199400,45.763196
2015-05-13,45.560001,45.959999,45.25,45.610001,182300,45.30626
2015-05-12,45.299999,45.959999,44.990002,45.400002,218500,45.09766
2015-05-11,45.950001,46.060001,45.57,45.59,272200,45.286393
2015-05-08,46.259998,47.049999,45.540001,45.860001,213200,45.554596
2015-05-07,45.060001,46.349998,45.060001,45.919998,262600,45.614194
2015-05-06,45.02,45.400002,44.689999,45.150002,235900,44.849325
2015-05-05,44.650002,45.57,44.639999,44.970001,304800,44.670523
2015-05-04,44.25,45.080002,44.25,44.740002,222900,44.442055
2015-05-01,43.040001,44.400002,43.040001,44.130001,249900,43.836117
2015-04-30,43.549999,44.310001,42.93,43.02,248000,42.733508
2015-04-29,45.41,45.41,43.779999,43.970001,211500,43.677183
2015-04-28,45.049999,46.00,44.939999,45.68,213600,45.375794
2015-04-27,45.41,45.84,44.939999,44.990002,153000,44.69039
2015-04-24,44.799999,45.580002,44.799999,45.290001,132800,44.988392
2015-04-23,44.27,45.209999,44.139999,44.849998,174700,44.55132
