Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,5.67,5.70,5.66,5.66,10200,5.66
2015-08-06,5.71,5.71,5.71,5.71,1000,5.71
2015-08-05,5.78,5.78,5.70,5.74,8000,5.74
2015-08-04,5.76,5.76,5.72,5.73,19200,5.73
2015-08-03,5.78,5.79,5.76,5.76,3900,5.76
2015-07-31,5.80,5.80,5.76,5.79,8300,5.79
2015-07-30,5.79,5.79,5.79,5.79,000,5.79
2015-07-29,5.80,5.80,5.76,5.79,6400,5.79
2015-07-28,5.81,5.82,5.80,5.80,2500,5.80
2015-07-27,5.87,5.87,5.80,5.80,5500,5.80
2015-07-24,5.73,5.90,5.70,5.84,43100,5.84
2015-07-23,5.77,5.77,5.76,5.76,5200,5.76
2015-07-22,5.72,5.73,5.72,5.73,1200,5.73
2015-07-21,5.77,5.77,5.74,5.74,7200,5.74
2015-07-20,5.79,5.79,5.75,5.76,1300,5.76
2015-07-17,5.75,5.80,5.40,5.79,18400,5.79
2015-07-16,5.75,5.75,5.75,5.75,1000,5.75
2015-07-15,5.80,5.80,5.74,5.75,4100,5.75
2015-07-14,5.79,5.80,5.76,5.79,6200,5.79
2015-07-13,5.74,5.79,5.73,5.79,5300,5.79
2015-07-10,5.66,5.77,5.66,5.76,44300,5.76
2015-07-09,5.65,5.69,5.64,5.66,5000,5.66
2015-07-08,5.63,5.67,5.63,5.63,700,5.63
2015-07-07,5.70,5.73,5.65,5.70,8900,5.70
2015-07-06,5.68,5.73,5.61,5.73,29300,5.73
2015-07-02,5.72,5.74,5.67,5.68,4800,5.68
2015-07-01,5.72,5.84,5.72,5.74,38000,5.74
2015-06-30,5.68,5.81,5.64,5.73,45200,5.73
2015-06-29,5.80,5.80,5.67,5.68,10700,5.68
2015-06-26,5.81,5.83,5.79,5.81,15900,5.81
2015-06-25,5.85,5.94,5.82,5.82,12700,5.82
2015-06-24,5.96,5.96,5.82,5.89,17400,5.89
2015-06-23,5.92,5.96,5.89,5.95,21200,5.92
2015-06-22,5.95,6.04,5.89,5.90,21700,5.870252
2015-06-19,6.06,6.17,5.75,5.76,109500,5.730958
2015-06-18,6.12,6.20,5.96,6.18,51900,6.14884
2015-06-17,5.83,6.07,5.72,6.05,43500,6.019496
2015-06-16,5.82,5.88,5.70,5.88,37200,5.850353
2015-06-15,5.72,5.86,5.69,5.86,21800,5.830454
2015-06-12,5.75,5.75,5.72,5.72,1700,5.691159
2015-06-11,5.72,5.85,5.71,5.77,29900,5.740908
2015-06-10,5.58,5.75,5.58,5.70,25400,5.67126
2015-06-09,5.60,5.64,5.60,5.62,3100,5.591664
2015-06-08,5.68,5.68,5.59,5.61,42800,5.581714
2015-06-05,5.60,5.68,5.60,5.67,32200,5.641412
2015-06-04,5.60,5.65,5.58,5.58,18900,5.551865
2015-06-03,5.65,5.65,5.60,5.63,14700,5.601614
2015-06-02,5.60,5.64,5.55,5.61,42700,5.581714
2015-06-01,5.64,5.64,5.56,5.56,9000,5.531966
2015-05-29,5.57,5.59,5.56,5.59,21800,5.561815
2015-05-28,5.61,5.64,5.58,5.58,17800,5.551865
2015-05-27,5.60,5.64,5.57,5.57,17200,5.541916
2015-05-26,5.75,5.75,5.62,5.64,27600,5.611563
2015-05-22,5.71,5.74,5.67,5.74,7200,5.711059
2015-05-21,5.75,5.75,5.67,5.74,4800,5.711059
2015-05-20,5.69,5.70,5.67,5.67,9900,5.641412
2015-05-19,5.67,5.75,5.67,5.69,1900,5.661311
2015-05-18,5.70,5.73,5.67,5.67,3500,5.641412
2015-05-15,5.65,5.69,5.65,5.69,600,5.661311
2015-05-14,5.66,5.70,5.64,5.68,22100,5.651361
2015-05-13,5.65,5.68,5.65,5.66,1900,5.631462
2015-05-12,5.72,5.72,5.66,5.66,15100,5.631462
2015-05-11,5.69,5.73,5.69,5.70,2100,5.67126
2015-05-08,5.75,5.75,5.70,5.75,6800,5.721008
2015-05-07,5.67,5.75,5.67,5.74,6500,5.711059
2015-05-06,5.69,5.72,5.69,5.70,10800,5.67126
2015-05-05,5.70,5.73,5.70,5.70,9200,5.67126
