Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,12.57,12.75,12.37,12.48,274700,12.48
2015-08-06,12.61,12.74,12.47,12.62,311200,12.62
2015-08-05,12.61,12.77,12.51,12.62,250900,12.62
2015-08-04,12.54,12.71,12.53,12.61,310400,12.52
2015-08-03,12.53,12.60,12.38,12.53,309400,12.440571
2015-07-31,12.57,12.62,12.37,12.58,393300,12.490214
2015-07-30,12.45,12.59,12.45,12.56,325300,12.470357
2015-07-29,12.60,12.62,12.46,12.54,418800,12.4505
2015-07-28,12.66,12.66,12.43,12.60,315900,12.510072
2015-07-27,12.62,12.77,12.50,12.57,412300,12.480285
2015-07-24,13.02,13.04,12.70,12.76,450800,12.66893
2015-07-23,13.24,13.31,12.93,12.98,454000,12.887359
2015-07-22,12.97,13.28,12.94,13.20,409100,13.105789
2015-07-21,13.07,13.32,12.99,13.03,308500,12.937002
2015-07-20,13.01,13.15,12.98,13.09,347500,12.996574
2015-07-17,13.21,13.21,12.94,13.02,667200,12.927074
2015-07-16,13.56,13.56,13.12,13.18,365500,13.085932
2015-07-15,13.45,13.55,13.25,13.40,498600,13.304361
2015-07-14,13.36,13.45,13.26,13.43,337600,13.334148
2015-07-13,13.45,13.54,13.29,13.40,372500,13.304361
2015-07-10,13.39,13.49,13.14,13.35,383800,13.254719
2015-07-09,13.03,13.24,12.88,13.18,496000,13.085932
2015-07-08,12.93,13.02,12.84,12.93,551600,12.837717
2015-07-07,13.12,13.20,12.83,13.02,543200,12.927074
2015-07-06,13.02,13.17,12.85,13.15,411600,13.056146
2015-07-02,13.50,13.50,13.11,13.15,366100,13.056146
2015-07-01,13.49,13.66,13.35,13.49,684800,13.393719
2015-06-30,13.36,13.50,13.25,13.41,579900,13.31429
2015-06-29,13.59,13.67,13.20,13.22,828800,13.125647
2015-06-26,13.68,13.82,13.59,13.72,2125300,13.622078
2015-06-25,13.63,13.68,13.48,13.62,445700,13.522792
2015-06-24,13.57,13.68,13.46,13.59,587200,13.493006
2015-06-23,13.42,13.60,13.37,13.58,469300,13.483077
2015-06-22,13.45,13.58,13.36,13.43,384100,13.334148
2015-06-19,13.32,13.41,13.27,13.36,551500,13.264647
2015-06-18,13.29,13.44,13.16,13.33,463400,13.234861
2015-06-17,13.39,13.42,13.19,13.25,745200,13.155432
2015-06-16,13.07,13.34,13.03,13.34,305500,13.24479
2015-06-15,13.08,13.22,12.91,13.14,322100,13.046218
2015-06-12,13.18,13.24,13.10,13.14,405300,13.046218
2015-06-11,13.40,13.44,13.14,13.23,663700,13.135575
2015-06-10,13.15,13.46,13.08,13.38,723600,13.284505
2015-06-09,12.85,13.23,12.82,13.08,619300,12.986646
