Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,20.18,20.99,20.15,20.74,10200,20.74
2015-08-06,19.780001,20.139999,19.75,20.139999,3600,20.139999
2015-08-05,20.07,20.219999,19.74,19.76,4400,19.76
2015-08-04,19.90,20.32,19.90,20.139999,23700,20.139999
2015-08-03,19.620001,20.33,19.620001,19.75,7800,19.75
2015-07-31,20.50,20.629999,19.32,19.32,14800,19.32
2015-07-30,20.610001,20.65,20.450001,20.450001,5600,20.450001
2015-07-29,20.57,20.700001,20.450001,20.530001,12600,20.530001
2015-07-28,20.68,20.68,20.370001,20.50,6700,20.50
2015-07-27,20.290001,20.629999,20.290001,20.629999,4900,20.629999
2015-07-24,19.92,20.639999,19.92,20.379999,5200,20.379999
2015-07-23,19.84,19.85,19.41,19.60,23700,19.60
2015-07-22,19.40,19.889999,19.24,19.65,15800,19.65
2015-07-21,19.50,19.73,19.35,19.40,4100,19.40
2015-07-20,20.00,20.00,19.24,19.26,9300,19.26
2015-07-17,20.00,20.00,19.860001,20.00,1700,20.00
2015-07-16,20.200001,20.200001,20.00,20.00,6600,20.00
2015-07-15,20.209999,20.309999,20.10,20.299999,11100,20.299999
2015-07-14,20.23,20.34,20.15,20.34,1300,20.34
2015-07-13,20.190001,20.35,20.02,20.299999,8800,20.299999
2015-07-10,20.120001,20.209999,20.09,20.190001,11000,20.050001
2015-07-09,20.129999,20.24,19.91,20.24,5400,20.099653
2015-07-08,20.00,20.24,19.73,20.10,5500,19.960625
2015-07-07,20.360001,20.379999,20.00,20.00,4800,19.861318
2015-07-06,19.76,20.24,19.719999,20.00,9800,19.861318
2015-07-02,19.75,20.23,19.75,19.84,10300,19.702427
2015-07-01,19.469999,20.059999,19.450001,19.76,71400,19.622982
2015-06-30,19.57,19.75,19.450001,19.469999,20600,19.334992
2015-06-29,20.99,21.51,19.07,20.43,103800,20.288337
2015-06-26,22.129999,22.129999,21.799999,21.940001,6400,21.787866
2015-06-25,21.870001,22.00,21.870001,21.99,2500,21.837519
2015-06-24,22.07,22.07,21.85,21.969999,1900,21.817657
2015-06-23,22.00,22.00,21.799999,21.969999,2900,21.817657
2015-06-22,22.25,22.25,21.98,22.02,2600,21.867311
2015-06-19,22.00,22.299999,21.99,22.26,17500,22.105647
2015-06-18,22.18,22.190001,21.84,22.00,9600,21.84745
2015-06-17,22.25,22.25,22.00,22.190001,7800,22.036133
2015-06-16,22.299999,22.299999,22.25,22.25,2200,22.095716
2015-06-15,22.42,22.42,22.42,22.42,000,22.264537
2015-06-12,22.42,22.42,22.42,22.42,000,22.264537
2015-06-11,22.299999,22.549999,22.23,22.42,3100,22.264537
2015-06-10,22.309999,22.40,22.309999,22.40,1300,22.105646
2015-06-09,22.40,22.40,22.25,22.27,4200,21.977355
2015-06-08,22.41,22.41,22.25,22.35,2600,22.056304
2015-06-05,22.450001,22.450001,22.450001,22.450001,200,22.15499
2015-06-04,22.48,22.48,22.48,22.48,200,22.184594
2015-06-03,22.34,22.559999,22.34,22.48,1600,22.184594
2015-06-02,22.42,22.450001,22.42,22.450001,1100,22.15499
2015-06-01,22.65,22.65,22.450001,22.450001,4000,22.15499
2015-05-29,22.41,22.700001,22.41,22.700001,1600,22.401705
2015-05-28,22.610001,22.700001,22.610001,22.65,2200,22.352361
2015-05-27,22.469999,22.469999,22.360001,22.450001,4000,22.15499
2015-05-26,22.35,22.620001,22.299999,22.549999,11100,22.253674
2015-05-22,22.200001,22.549999,22.110001,22.27,21100,21.977355
2015-05-21,22.370001,22.540001,22.18,22.200001,13300,21.908275
2015-05-20,21.959999,22.41,21.610001,22.209999,10200,21.918142
2015-05-19,22.40,22.40,22.10,22.16,2800,21.8688
2015-05-18,22.35,22.35,22.02,22.10,3000,21.809589
2015-05-15,22.309999,22.540001,22.309999,22.360001,4200,22.066172
2015-05-14,22.49,22.549999,22.360001,22.360001,7500,22.066172
2015-05-13,22.700001,22.700001,22.549999,22.549999,3800,22.253674
2015-05-12,22.74,22.74,22.530001,22.57,6300,22.273412
2015-05-11,22.90,22.959999,22.65,22.65,51500,22.352361
2015-05-08,22.780001,22.93,22.75,22.77,13800,22.470784
2015-05-07,22.780001,22.799999,22.780001,22.799999,1000,22.500389
2015-05-06,22.67,22.719999,22.51,22.690001,20100,22.391836
2015-05-05,23.10,23.139999,22.68,22.82,32300,22.520127
2015-05-04,23.200001,23.200001,23.00,23.00,3300,22.697762
2015-05-01,23.200001,23.299999,23.200001,23.26,1800,22.954345
2015-04-30,23.620001,23.620001,23.200001,23.200001,7300,22.895134
2015-04-29,23.50,23.50,23.16,23.49,5100,23.181322
2015-04-28,23.51,23.549999,23.16,23.16,8900,22.855659
2015-04-27,23.200001,23.950001,23.200001,23.639999,21800,23.329351
2015-04-24,23.549999,23.549999,23.200001,23.200001,1700,22.895134
2015-04-23,23.309999,23.549999,23.309999,23.549999,3800,23.240533
2015-04-22,23.719999,23.719999,23.50,23.50,3600,23.191191
2015-04-21,23.75,23.780001,23.50,23.559999,8000,23.250402
2015-04-20,23.42,23.75,23.42,23.700001,13700,23.388564
2015-04-17,23.08,23.459999,22.67,23.440001,84600,23.13198
2015-04-16,23.299999,23.549999,22.77,23.08,24500,22.77671
