Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,10.09,10.14,10.06,10.14,2738800,10.14
2015-08-06,10.20,10.30,10.08,10.13,3459500,10.13
2015-08-05,10.15,10.30,10.04,10.20,2379100,10.20
2015-08-04,10.14,10.14,10.00,10.04,3144300,10.04
2015-08-03,10.27,10.37,10.10,10.10,3573400,10.10
2015-07-31,10.37,10.50,10.25,10.26,5505400,10.26
2015-07-30,10.32,10.44,10.26,10.38,6285600,10.38
2015-07-29,10.03,10.37,9.93,10.32,6716800,10.32
2015-07-28,10.03,10.04,9.86,9.98,11204300,9.98
2015-07-27,9.95,10.07,9.67,9.96,7446600,9.96
2015-07-24,10.25,10.27,10.05,10.07,4467700,10.07
2015-07-23,10.25,10.38,10.11,10.19,5212400,10.19
2015-07-22,10.29,10.42,10.13,10.19,6054300,10.19
2015-07-21,10.44,10.48,10.30,10.36,4770100,10.36
2015-07-20,10.53,10.70,10.43,10.50,8378200,10.50
2015-07-17,10.97,10.97,10.68,10.72,3335900,10.72
2015-07-16,10.90,10.99,10.68,10.83,3996800,10.83
2015-07-15,11.10,11.10,10.80,10.84,4186800,10.84
2015-07-14,10.97,11.15,10.87,11.08,5447200,11.08
2015-07-13,11.03,11.16,10.77,10.90,12434500,10.90
2015-07-10,11.08,11.34,11.08,11.32,5898300,11.32
2015-07-09,11.99,11.99,10.98,10.99,12666700,10.99
2015-07-08,11.87,12.02,11.77,11.96,5077600,11.96
2015-07-07,11.71,12.03,11.49,12.01,5435400,12.01
2015-07-06,11.72,11.79,11.55,11.71,3674700,11.71
2015-07-02,11.97,11.99,11.80,11.86,2431400,11.86
2015-07-01,11.95,12.07,11.84,11.95,3298100,11.95
2015-06-30,11.96,12.08,11.88,11.88,4096300,11.88
2015-06-29,12.13,12.20,11.85,11.85,3326400,11.85
2015-06-26,12.57,12.57,12.16,12.24,4766400,12.24
2015-06-25,12.63,12.75,12.52,12.58,4237900,12.58
2015-06-24,12.78,12.88,12.54,12.61,4685800,12.61
2015-06-23,12.66,12.81,12.62,12.80,3641300,12.80
2015-06-22,12.55,12.68,12.48,12.65,2398900,12.65
2015-06-19,12.56,12.60,12.46,12.46,2199300,12.46
2015-06-18,12.44,12.64,12.41,12.53,2612100,12.53
2015-06-17,12.34,12.47,12.32,12.42,2268300,12.42
2015-06-16,12.37,12.47,12.31,12.34,2132800,12.34
2015-06-15,12.26,12.40,12.06,12.31,2894500,12.31
2015-06-12,12.26,12.38,12.21,12.36,1765400,12.36
2015-06-11,12.35,12.43,12.32,12.35,1556500,12.35
2015-06-10,12.16,12.42,12.11,12.35,2725700,12.35
