Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,37.93,38.240002,36.240002,37.48,419600,37.48
2015-08-06,43.970001,43.970001,37.32,37.73,1047700,37.73
2015-08-05,44.200001,44.549999,43.82,44.00,186300,44.00
2015-08-04,44.290001,44.810001,43.77,43.950001,116800,43.950001
2015-08-03,44.48,44.919998,43.970001,44.27,174700,44.27
2015-07-31,44.490002,44.77,44.18,44.369999,490700,44.369999
2015-07-30,44.849998,45.060001,44.419998,44.490002,426300,44.490002
2015-07-29,45.439999,45.889999,44.810001,44.900002,326400,44.900002
2015-07-28,45.400002,46.200001,44.549999,45.75,332700,45.75
2015-07-27,45.75,45.77,44.610001,45.209999,247800,45.209999
2015-07-24,46.549999,47.490002,45.68,45.880001,360200,45.880001
2015-07-23,45.610001,47.389999,45.610001,46.68,562100,46.68
2015-07-22,43.689999,45.669998,43.689999,45.400002,410000,45.400002
2015-07-21,44.200001,44.439999,43.25,43.810001,306500,43.810001
2015-07-20,44.950001,45.099998,44.040001,44.310001,402600,44.310001
2015-07-17,44.810001,45.060001,44.150002,44.959999,319900,44.959999
2015-07-16,44.82,45.110001,44.380001,44.93,614400,44.93
2015-07-15,44.00,44.970001,44.00,44.790001,718100,44.790001
2015-07-14,43.73,44.419998,43.709999,44.259998,392000,44.259998
2015-07-13,43.619999,44.150002,43.529999,43.790001,414800,43.790001
2015-07-10,43.509998,44.049999,42.860001,43.48,560900,43.48
2015-07-09,43.619999,44.099998,43.34,43.580002,479300,43.580002
2015-07-08,43.93,44.389999,43.18,43.25,423500,43.25
2015-07-07,43.50,44.529999,43.349998,44.220001,922600,44.220001
2015-07-06,41.290001,44.00,41.00,43.459999,582500,43.459999
2015-07-02,41.259998,41.82,40.889999,41.73,881600,41.73
2015-07-01,41.110001,42.18,41.060001,41.259998,645100,41.259998
2015-06-30,40.330002,41.93,40.330002,41.25,515800,41.25
2015-06-29,41.110001,41.73,40.02,40.02,411700,40.02
2015-06-26,39.84,42.00,39.84,41.610001,741900,41.610001
2015-06-25,39.630001,40.50,39.470001,39.869999,503500,39.869999
2015-06-24,39.849998,39.939999,39.380001,39.630001,370600,39.630001
2015-06-23,40.029999,40.369999,39.759998,40.00,466800,40.00
2015-06-22,40.009998,40.110001,39.50,39.98,695400,39.98
2015-06-19,39.880001,40.110001,39.52,39.77,441200,39.77
2015-06-18,39.900002,40.32,39.849998,39.880001,407300,39.880001
2015-06-17,40.200001,40.200001,39.549999,39.82,397500,39.82
2015-06-16,40.00,40.75,39.849998,40.200001,478800,40.200001
2015-06-15,39.259998,40.099998,38.900002,40.040001,494900,40.040001
2015-06-12,39.860001,40.02,39.18,39.630001,653300,39.630001
2015-06-11,40.560001,41.099998,39.639999,39.950001,872900,39.950001
2015-06-10,40.52,40.700001,39.740002,40.59,1077800,40.59
2015-06-09,41.709999,41.84,39.68,40.009998,912400,40.009998
2015-06-08,40.75,42.939999,40.740002,41.93,2464900,41.93
2015-06-05,40.25,40.50,38.57,39.619999,2939400,39.619999
2015-06-04,45.650002,46.740002,37.799999,39.599998,10429000,39.599998
2015-06-03,32.610001,33.099998,32.48,32.959999,97600,32.959999
