Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.72,0.74,0.62,0.73,77900,0.73
2015-08-06,0.75,0.75,0.70,0.72,102600,0.72
2015-08-05,0.82,0.82,0.75,0.77,15700,0.77
2015-08-04,0.82,0.82,0.77,0.80,6300,0.80
2015-08-03,0.81,0.82,0.77,0.82,49400,0.82
2015-07-31,0.80,0.81,0.77,0.80,18200,0.80
2015-07-30,0.78,0.80,0.78,0.79,73000,0.79
2015-07-29,0.84,0.84,0.75,0.78,90100,0.78
2015-07-28,0.88,0.88,0.82,0.85,49200,0.85
2015-07-27,0.88,0.91,0.74,0.86,149300,0.86
2015-07-24,0.93,0.95,0.91,0.93,48400,0.93
2015-07-23,0.91,0.95,0.91,0.91,35500,0.91
2015-07-22,0.93,0.93,0.91,0.93,32700,0.93
2015-07-21,0.92,0.97,0.92,0.95,18800,0.95
2015-07-20,0.99,0.99,0.91,0.93,47000,0.93
2015-07-17,0.95,1.01,0.95,0.98,25500,0.98
2015-07-16,0.96,0.98,0.96,0.98,43700,0.98
2015-07-15,0.98,0.98,0.95,0.98,79400,0.98
2015-07-14,0.97,1.01,0.95,0.98,38200,0.98
2015-07-13,0.99,1.03,0.96,0.97,85900,0.97
2015-07-10,1.00,1.03,1.00,1.01,49900,1.01
2015-07-09,0.93,1.00,0.93,0.98,229700,0.98
2015-07-08,0.96,0.96,0.90,0.91,119000,0.91
2015-07-07,1.03,1.04,0.93,0.97,191900,0.97
2015-07-06,1.06,1.09,1.01,1.05,131500,1.05
2015-07-02,1.11,1.11,1.05,1.10,88500,1.10
2015-07-01,1.04,1.11,1.04,1.11,41100,1.11
2015-06-30,1.09,1.10,1.01,1.04,114100,1.04
2015-06-29,1.17,1.17,1.04,1.07,269100,1.07
2015-06-26,1.20,1.20,1.13,1.18,183200,1.18
2015-06-25,1.22,1.23,1.17,1.21,205400,1.21
2015-06-24,1.23,1.24,1.18,1.24,102400,1.24
2015-06-23,1.23,1.29,1.18,1.24,96500,1.24
2015-06-22,1.21,1.24,1.20,1.21,75000,1.21
2015-06-19,1.23,1.23,1.18,1.21,50500,1.21
2015-06-18,1.22,1.23,1.19,1.21,97700,1.21
2015-06-17,1.30,1.34,1.20,1.21,181900,1.21
2015-06-16,1.36,1.36,1.25,1.30,133600,1.30
2015-06-15,1.31,1.37,1.28,1.33,212700,1.33
2015-06-12,1.24,1.35,1.24,1.30,82700,1.30
2015-06-11,1.25,1.28,1.25,1.25,69300,1.25
2015-06-10,1.30,1.30,1.21,1.25,94400,1.25
2015-06-09,1.28,1.34,1.28,1.30,159900,1.30
2015-06-08,1.23,1.39,1.20,1.28,263000,1.28
2015-06-05,1.16,1.26,1.14,1.23,136100,1.23
2015-06-04,1.25,1.25,1.17,1.18,77900,1.18
2015-06-03,1.17,1.26,1.16,1.24,72400,1.24
2015-06-02,1.11,1.19,1.11,1.16,49600,1.16
2015-06-01,1.15,1.15,1.11,1.13,64400,1.13
2015-05-29,1.16,1.20,1.10,1.14,96500,1.14
2015-05-28,1.18,1.18,1.10,1.15,132800,1.15
2015-05-27,1.13,1.23,1.10,1.18,257100,1.18
2015-05-26,1.16,1.17,1.13,1.13,98300,1.13
2015-05-22,1.13,1.18,1.13,1.14,115400,1.14
2015-05-21,1.13,1.16,1.13,1.13,128300,1.13
2015-05-20,1.16,1.20,1.12,1.16,102200,1.16
2015-05-19,1.12,1.19,1.12,1.16,115300,1.16
2015-05-18,1.25,1.30,1.14,1.15,392400,1.15
2015-05-15,1.38,1.39,1.33,1.36,47100,1.36
2015-05-14,1.38,1.38,1.33,1.37,69300,1.37
2015-05-13,1.38,1.40,1.34,1.37,48200,1.37
2015-05-12,1.39,1.41,1.30,1.39,68600,1.39
2015-05-11,1.30,1.40,1.29,1.38,207200,1.38
2015-05-08,1.28,1.38,1.26,1.29,98200,1.29
2015-05-07,1.35,1.35,1.28,1.29,93600,1.29
2015-05-06,1.39,1.39,1.34,1.35,56000,1.35
2015-05-05,1.39,1.40,1.32,1.37,63600,1.37
2015-05-04,1.40,1.42,1.28,1.41,173800,1.41
2015-05-01,1.44,1.46,1.30,1.36,281500,1.36
2015-04-30,1.46,1.47,1.42,1.44,89700,1.44
2015-04-29,1.48,1.52,1.46,1.46,74200,1.46
2015-04-28,1.52,1.52,1.47,1.50,89400,1.50
2015-04-27,1.46,1.58,1.40,1.48,275300,1.48
2015-04-24,1.52,1.54,1.47,1.50,161400,1.50
2015-04-23,1.44,1.53,1.44,1.50,192700,1.50
2015-04-22,1.49,1.50,1.40,1.45,141300,1.45
2015-04-21,1.56,1.59,1.43,1.50,228800,1.50
2015-04-20,1.60,1.65,1.52,1.54,264800,1.54
2015-04-17,1.52,1.58,1.41,1.57,605100,1.57
2015-04-16,1.35,1.84,1.30,1.50,3759700,1.50
2015-04-15,1.21,1.26,1.21,1.22,39300,1.22
2015-04-14,1.22,1.26,1.20,1.23,22700,1.23
2015-04-13,1.24,1.27,1.18,1.24,50700,1.24
2015-04-10,1.26,1.26,1.22,1.24,41600,1.24
2015-04-09,1.16,1.30,1.16,1.23,200300,1.23
2015-04-08,1.18,1.25,1.12,1.16,111300,1.16
2015-04-07,1.20,1.20,1.17,1.20,25100,1.20
2015-04-06,1.15,1.20,1.15,1.18,18200,1.18
2015-04-02,1.20,1.20,1.16,1.16,30800,1.16
2015-04-01,1.22,1.22,1.16,1.20,68800,1.20
2015-03-31,1.27,1.27,1.17,1.22,92600,1.22
2015-03-30,1.30,1.31,1.20,1.30,51400,1.30
2015-03-27,1.22,1.30,1.22,1.29,35100,1.29
2015-03-26,1.21,1.26,1.20,1.22,65500,1.22
2015-03-25,1.28,1.28,1.18,1.19,23200,1.19
2015-03-24,1.31,1.31,1.25,1.27,32800,1.27
2015-03-23,1.30,1.32,1.30,1.32,27900,1.32
