Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,9.95,9.95,9.95,9.95,000,9.95
2015-08-06,9.95,9.95,9.95,9.95,000,9.95
2015-08-05,9.95,9.95,9.95,9.95,200,9.95
2015-08-04,9.93,9.93,9.93,9.93,000,9.93
2015-08-03,9.93,9.93,9.93,9.93,000,9.93
2015-07-31,9.93,9.93,9.93,9.93,000,9.93
2015-07-30,9.98,10.03,9.93,9.93,3200,9.93
2015-07-29,9.93,9.93,9.93,9.93,000,9.93
2015-07-28,9.93,9.93,9.93,9.93,000,9.93
2015-07-27,9.93,9.93,9.93,9.93,100,9.93
2015-07-24,9.93,9.93,9.93,9.93,000,9.93
2015-07-23,9.93,9.93,9.93,9.93,000,9.93
2015-07-22,9.93,9.93,9.93,9.93,000,9.93
2015-07-21,9.93,9.93,9.93,9.93,000,9.93
2015-07-20,9.93,9.93,9.93,9.93,000,9.93
2015-07-17,9.93,9.93,9.93,9.93,000,9.93
2015-07-16,9.93,9.93,9.93,9.93,000,9.93
2015-07-15,9.93,9.93,9.93,9.93,000,9.93
2015-07-14,9.93,9.93,9.93,9.93,2600,9.93
2015-07-13,9.90,9.90,9.90,9.90,000,9.90
2015-07-10,9.90,9.90,9.90,9.90,000,9.90
2015-07-09,9.90,9.90,9.90,9.90,000,9.90
2015-07-08,9.90,9.90,9.90,9.90,000,9.90
2015-07-07,9.90,9.90,9.90,9.90,18000,9.90
2015-07-06,9.90,9.90,9.90,9.90,2800,9.90
2015-07-02,9.90,9.90,9.90,9.90,000,9.90
2015-07-01,9.90,9.90,9.90,9.90,000,9.90
2015-06-30,9.90,9.90,9.90,9.90,500,9.90
2015-06-29,9.90,9.90,9.90,9.90,000,9.90
2015-06-26,9.90,9.90,9.90,9.90,000,9.90
2015-06-25,9.90,9.90,9.90,9.90,000,9.90
2015-06-24,9.90,9.90,9.90,9.90,000,9.90
2015-06-23,9.92,9.92,9.90,9.90,800,9.90
2015-06-22,9.92,9.92,9.90,9.92,1200,9.92
2015-06-19,9.95,9.99,9.90,9.90,2600,9.90
2015-06-18,9.94,9.94,9.94,9.94,000,9.94
2015-06-17,9.94,9.94,9.94,9.94,000,9.94
2015-06-16,9.92,10.00,9.90,9.94,302000,9.94
2015-06-15,10.03,10.04,9.93,9.93,1600,9.93
2015-06-12,9.93,9.93,9.93,9.93,000,9.93
2015-06-11,9.93,9.93,9.93,9.93,000,9.93
2015-06-10,9.93,9.93,9.93,9.93,000,9.93
2015-06-09,9.93,9.93,9.93,9.93,000,9.93
2015-06-08,9.93,9.93,9.93,9.93,000,9.93
2015-06-05,9.93,9.93,9.93,9.93,000,9.93
2015-06-04,9.93,9.93,9.93,9.93,13500,9.93
2015-06-03,9.91,9.91,9.90,9.90,25500,9.90
2015-06-02,9.90,9.90,9.90,9.90,000,9.90
2015-06-01,9.90,9.90,9.90,9.90,000,9.90
2015-05-29,9.90,9.90,9.90,9.90,000,9.90
2015-05-28,9.90,9.90,9.90,9.90,000,9.90
2015-05-27,9.93,9.93,9.90,9.90,2200,9.90
2015-05-26,9.93,9.93,9.93,9.93,100,9.93
2015-05-22,9.90,9.90,9.90,9.90,800,9.90
2015-05-21,10.00,10.00,10.00,10.00,000,10.00
2015-05-20,10.00,10.05,10.00,10.00,11100,10.00
2015-05-19,9.90,10.00,9.90,10.00,3000,10.00
2015-05-18,10.00,10.00,10.00,10.00,000,10.00
2015-05-15,9.99,10.00,9.99,10.00,2100,10.00
2015-05-14,9.99,9.99,9.99,9.99,9900,9.99
2015-05-13,9.95,9.95,9.95,9.95,000,9.95
2015-05-12,9.95,9.95,9.948,9.95,24300,9.95
2015-05-11,9.949,9.95,9.949,9.95,25800,9.95
2015-05-08,9.95,9.95,9.93,9.95,77000,9.95
2015-05-07,9.95,9.95,9.95,9.95,000,9.95
2015-05-06,9.76,10.00,9.75,9.95,2200,9.95
2015-05-05,10.00,10.00,10.00,10.00,000,10.00
2015-05-04,10.00,10.00,10.00,10.00,300,10.00
2015-05-01,9.98,9.98,9.98,9.98,000,9.98
2015-04-30,10.05,10.05,9.98,9.98,1000,9.98
2015-04-29,9.93,10.25,9.93,10.005,4100,10.005
2015-04-28,9.97,10.20,9.97,10.20,500,10.20
