Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,24.15,26.01,24.15,24.870001,48200,24.870001
2015-08-06,27.48,28.00,24.51,24.66,138800,24.66
2015-08-05,26.440001,27.92,26.440001,27.25,72300,27.25
2015-08-04,27.030001,28.18,26.360001,26.530001,74000,26.530001
2015-08-03,28.200001,28.25,26.200001,27.00,61300,27.00
2015-07-31,27.00,28.00,25.809999,27.950001,59300,27.950001
2015-07-30,26.82,28.50,26.719999,27.08,49800,27.08
2015-07-29,24.559999,29.00,24.559999,27.110001,67200,27.110001
2015-07-28,24.139999,25.389999,24.01,24.77,37800,24.77
2015-07-27,26.450001,27.00,23.51,24.00,126800,24.00
2015-07-24,28.00,28.00,27.02,27.129999,21800,27.129999
2015-07-23,28.309999,29.02,27.10,27.110001,35400,27.110001
2015-07-22,28.17,28.91,27.139999,28.91,43500,28.91
2015-07-21,28.139999,29.00,27.57,28.17,35600,28.17
2015-07-20,29.360001,29.440001,28.16,28.219999,26600,28.219999
2015-07-17,29.59,30.34,28.24,28.90,46400,28.90
2015-07-16,29.879999,31.99,28.75,29.639999,64000,29.639999
2015-07-15,30.00,30.780001,29.65,30.16,36900,30.16
2015-07-14,28.059999,30.379999,27.10,29.969999,68900,29.969999
2015-07-13,29.75,29.75,27.08,27.959999,76800,27.959999
2015-07-10,29.49,31.49,28.60,29.799999,29200,29.799999
2015-07-09,31.57,33.25,28.58,29.49,73400,29.49
2015-07-08,31.950001,31.950001,28.43,29.01,103800,29.01
2015-07-07,35.25,35.25,29.67,32.290001,254900,32.290001
2015-07-06,36.279999,36.799999,33.650002,35.360001,133900,35.360001
2015-07-02,38.400002,38.400002,37.049999,37.200001,66900,37.200001
2015-07-01,37.84,38.740002,37.189999,38.400002,103000,38.400002
2015-06-30,37.84,38.200001,36.470001,37.509998,128400,37.509998
2015-06-29,38.77,38.900002,37.169998,37.849998,121900,37.849998
2015-06-26,35.610001,39.799999,35.049999,38.990002,1040100,38.990002
2015-06-25,36.860001,37.50,34.259998,34.400002,124000,34.400002
2015-06-24,36.419998,36.900002,36.00,36.02,36400,36.02
2015-06-23,37.880001,37.880001,36.099998,36.290001,48000,36.290001
2015-06-22,37.209999,37.709999,35.759998,36.700001,62700,36.700001
2015-06-19,34.290001,38.34,34.290001,37.650002,86000,37.650002
2015-06-18,37.740002,37.740002,34.139999,34.57,44500,34.57
2015-06-17,37.32,37.52,35.900002,36.439999,51200,36.439999
