Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,10.97,10.97,10.90,10.94,28900,10.94
2015-08-06,10.97,10.98,10.81,10.90,9600,10.90
2015-08-05,10.79,10.98,10.74,10.95,73600,10.95
2015-08-04,10.72,10.89,10.66,10.72,30500,10.72
2015-08-03,10.58,10.67,10.57,10.61,35200,10.61
2015-07-31,10.49,10.62,10.19,10.61,54800,10.61
2015-07-30,10.25,10.70,10.25,10.49,57300,10.49
2015-07-29,9.97,10.06,9.97,10.06,28900,9.96
2015-07-28,9.91,10.00,9.88,9.96,27700,9.860994
2015-07-27,9.78,9.94,9.78,9.87,18800,9.771888
2015-07-24,9.90,9.90,9.85,9.86,10600,9.761987
2015-07-23,9.90,9.91,9.85,9.85,10000,9.752088
2015-07-22,9.94,9.95,9.80,9.89,27400,9.79169
2015-07-21,9.89,9.89,9.79,9.79,4200,9.692684
2015-07-20,9.90,9.91,9.86,9.90,15900,9.80159
2015-07-17,9.86,9.95,9.86,9.90,8100,9.80159
2015-07-16,9.87,9.98,9.87,9.91,8900,9.811491
2015-07-15,9.85,9.95,9.84,9.90,20400,9.80159
2015-07-14,9.64,9.85,9.64,9.84,33900,9.742187
2015-07-13,9.64,9.65,9.60,9.64,15000,9.544175
2015-07-10,9.54,9.65,9.50,9.50,9200,9.405566
2015-07-09,9.58,9.58,9.51,9.51,3400,9.415467
2015-07-08,9.47,9.58,9.47,9.49,355800,9.395666
2015-07-07,9.49,9.53,9.45,9.50,17500,9.405566
2015-07-06,9.57,9.57,9.45,9.45,4900,9.356063
2015-07-02,9.45,9.56,9.45,9.49,14300,9.395666
2015-07-01,9.48,9.54,9.45,9.47,115700,9.375865
2015-06-30,9.49,9.58,9.45,9.46,6800,9.365964
2015-06-29,9.45,9.55,9.45,9.45,32600,9.356063
2015-06-26,9.56,9.69,9.43,9.43,131800,9.336262
2015-06-25,9.60,9.60,9.55,9.55,18900,9.45507
2015-06-24,9.60,9.60,9.55,9.57,18300,9.47487
2015-06-23,9.51,9.58,9.51,9.53,23200,9.435268
2015-06-22,9.48,9.55,9.39,9.54,22400,9.445169
2015-06-19,9.60,9.60,9.36,9.36,60100,9.266958
2015-06-18,9.57,9.58,9.56,9.56,10000,9.46497
2015-06-17,9.60,9.63,9.59,9.59,22800,9.494672
