Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,15.03,15.09,14.89,14.92,7500,14.92
2015-08-06,15.15,15.42,15.04,15.08,15100,15.08
2015-08-05,15.23,15.26,15.04,15.24,7800,15.24
2015-08-04,15.03,15.44,15.03,15.21,7500,15.21
2015-08-03,15.43,15.52,15.20,15.22,7800,15.22
2015-07-31,15.54,15.56,15.39,15.44,9300,15.44
2015-07-30,15.53,15.64,15.20,15.50,14500,15.50
2015-07-29,15.60,15.71,15.37,15.58,12400,15.58
2015-07-28,15.56,15.69,15.22,15.41,29600,15.41
2015-07-27,15.50,15.67,15.08,15.49,28300,15.49
2015-07-24,15.30,15.58,14.39,15.42,27200,15.42
2015-07-23,15.57,15.71,15.26,15.26,10700,15.26
2015-07-22,15.30,15.70,15.25,15.50,8000,15.50
2015-07-21,15.75,15.75,14.89,15.39,26700,15.39
2015-07-20,15.55,15.68,15.10,15.12,6500,15.12
2015-07-17,15.55,15.55,15.40,15.50,19600,15.50
2015-07-16,15.50,15.55,15.44,15.50,19800,15.50
2015-07-15,15.44,15.50,15.42,15.47,7900,15.47
2015-07-14,15.42,15.55,15.29,15.47,26100,15.47
2015-07-13,15.50,15.55,15.29,15.48,14900,15.48
2015-07-10,15.39,15.50,15.38,15.49,7800,15.49
2015-07-09,15.28,15.49,15.04,15.31,16200,15.31
2015-07-08,15.44,15.47,15.09,15.28,18300,15.28
2015-07-07,15.50,15.50,15.25,15.39,21700,15.39
2015-07-06,15.41,15.75,15.31,15.46,14100,15.46
2015-07-02,15.58,15.69,15.50,15.58,7400,15.58
2015-07-01,15.39,15.66,15.31,15.56,19400,15.56
2015-06-30,15.18,15.54,15.15,15.27,19300,15.27
2015-06-29,15.20,15.57,14.83,15.18,24500,15.18
2015-06-26,15.56,15.70,15.18,15.22,143200,15.22
2015-06-25,14.99,15.65,14.99,15.50,31300,15.50
2015-06-24,15.19,15.44,14.96,15.37,18600,15.37
2015-06-23,15.20,15.25,15.04,15.21,17100,15.21
2015-06-22,14.72,15.27,14.72,15.10,20500,15.10
2015-06-19,14.49,14.81,14.41,14.60,23900,14.60
2015-06-18,14.45,14.63,14.37,14.63,23700,14.63
2015-06-17,14.51,14.51,14.35,14.43,8500,14.43
2015-06-16,14.26,14.50,14.26,14.50,7300,14.50
2015-06-15,14.21,14.44,14.10,14.31,9900,14.31
2015-06-12,14.51,14.58,14.45,14.45,4300,14.45
2015-06-11,14.49,14.55,14.49,14.50,68900,14.50
2015-06-10,14.59,14.75,14.51,14.53,38700,14.53
2015-06-09,14.39,14.55,14.39,14.40,7600,14.40
2015-06-08,14.44,14.75,14.27,14.42,12000,14.42
2015-06-05,14.37,14.68,14.36,14.52,17600,14.52
2015-06-04,14.35,14.37,14.29,14.33,4900,14.33
2015-06-03,14.32,14.53,14.24,14.53,6200,14.50
2015-06-02,14.27,14.57,14.25,14.36,16800,14.33035
2015-06-01,14.53,14.53,14.19,14.29,9400,14.260495
2015-05-29,14.17,14.47,14.17,14.43,12800,14.400207
2015-05-28,13.95,14.26,13.94,14.21,10100,14.180661
2015-05-27,14.03,14.17,14.00,14.16,10400,14.130764
2015-05-26,14.39,14.39,14.01,14.02,20200,13.991053
2015-05-22,14.57,14.66,14.31,14.35,8600,14.320372
2015-05-21,14.51,14.71,14.51,14.62,5000,14.589814
