Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,6.36,6.40,6.26,6.40,29100,6.40
2015-08-06,6.35,6.35,6.32,6.33,300,6.33
2015-08-05,6.55,6.55,6.35,6.42,20000,6.42
2015-08-04,6.50,6.55,6.49,6.51,10500,6.51
2015-08-03,6.58,6.60,6.39,6.50,3400,6.50
2015-07-31,6.88,6.88,6.26,6.54,21900,6.54
2015-07-30,6.36,6.63,6.25,6.63,16200,6.63
2015-07-29,6.47,6.60,6.26,6.43,16600,6.43
2015-07-28,6.80,6.89,6.52,6.55,33800,6.55
2015-07-27,6.88,6.90,6.56,6.76,5400,6.76
2015-07-24,7.02,7.08,6.82,7.03,9400,7.03
2015-07-23,7.05,7.05,7.02,7.02,2400,7.02
2015-07-22,7.00,7.10,6.90,7.10,12300,7.10
2015-07-21,6.98,7.08,6.59,7.06,43900,7.06
2015-07-20,7.01,7.08,6.86,6.89,21100,6.89
2015-07-17,7.208,7.29,7.05,7.12,12900,7.12
2015-07-16,7.10,7.477,7.01,7.11,20700,7.11
2015-07-15,7.65,7.696,7.01,7.25,42200,7.25
2015-07-14,7.29,7.79,7.29,7.67,43600,7.67
2015-07-13,7.14,8.00,7.00,7.29,79200,7.29
2015-07-10,6.73,7.28,6.685,6.98,130400,6.98
2015-07-09,6.26,6.89,6.26,6.74,17500,6.74
2015-07-08,6.24,6.363,6.23,6.25,8000,6.25
2015-07-07,6.25,6.46,6.145,6.29,13600,6.29
2015-07-06,6.41,6.41,6.25,6.25,7400,6.25
2015-07-02,6.50,6.50,6.32,6.32,3600,6.32
2015-07-01,6.50,6.63,6.35,6.48,48000,6.48
2015-06-30,6.50,6.66,6.50,6.50,16300,6.50
2015-06-29,6.84,6.84,6.41,6.61,44900,6.61
2015-06-26,6.845,6.89,6.62,6.89,15100,6.89
2015-06-25,6.725,7.10,6.725,6.92,63000,6.92
2015-06-24,6.35,6.88,6.266,6.68,47000,6.68
2015-06-23,6.35,6.45,6.18,6.37,11900,6.37
2015-06-22,6.39,6.50,6.21,6.349,20600,6.349
2015-06-19,5.76,6.41,5.64,6.31,21200,6.31
2015-06-18,5.85,6.07,5.66,5.85,37300,5.85
2015-06-17,6.10,6.149,5.85,5.85,31200,5.85
2015-06-16,6.131,6.27,6.00,6.08,50300,6.08
2015-06-15,6.45,6.465,6.15,6.25,25500,6.25
2015-06-12,6.05,6.247,5.63,6.08,11400,6.08
2015-06-11,5.78,6.04,5.78,6.04,9500,6.04
2015-06-10,5.87,5.96,5.84,5.88,6500,5.88
2015-06-09,6.40,6.44,5.88,5.90,45500,5.90
2015-06-08,5.88,6.44,5.45,6.28,58300,6.28
2015-06-05,5.505,5.88,5.50,5.88,117100,5.88
2015-06-04,5.55,5.58,5.47,5.55,23100,5.55
2015-06-03,5.06,5.58,4.91,5.55,117700,5.55
2015-06-02,5.00,5.10,4.83,5.10,65100,5.10
2015-06-01,4.844,5.01,4.829,5.00,13400,5.00
2015-05-29,4.69,4.82,4.64,4.82,22200,4.82
2015-05-28,4.71,4.73,4.60,4.62,13500,4.62
2015-05-27,4.78,4.80,4.61,4.61,84500,4.61
2015-05-26,4.80,4.80,4.60,4.65,20700,4.65
2015-05-22,4.80,4.86,4.76,4.78,55800,4.78
2015-05-21,4.78,4.80,4.78,4.78,17400,4.78
2015-05-20,4.86,4.99,4.75,4.785,20400,4.785
2015-05-19,4.83,4.90,4.81,4.81,24900,4.81
2015-05-18,4.90,4.97,4.89,4.90,25000,4.90
2015-05-15,4.89,4.99,4.85,4.90,48500,4.90
2015-05-14,4.87,4.90,4.85,4.85,13300,4.85
2015-05-13,4.93,4.98,4.79,4.92,46400,4.92
2015-05-12,4.95,4.989,4.89,4.90,10600,4.90
2015-05-11,4.99,5.09,4.89,4.96,11200,4.96
2015-05-08,5.00,5.04,4.90,4.96,8500,4.96
