Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,25.139999,25.26,24.450001,25.02,681000,25.02
2015-08-06,25.84,25.84,24.77,25.15,983500,25.15
2015-08-05,26.40,26.50,25.290001,25.48,805700,25.48
2015-08-04,25.50,26.26,25.50,25.93,1274600,25.93
2015-08-03,26.67,26.67,26.00,26.049999,463800,26.049999
2015-07-31,26.68,26.85,26.33,26.610001,353500,26.610001
2015-07-30,26.50,26.74,26.10,26.530001,392500,26.530001
2015-07-29,26.41,26.67,25.50,26.35,983000,26.35
2015-07-28,26.030001,26.33,25.66,26.02,973100,26.02
2015-07-27,25.91,26.34,25.610001,25.99,642200,25.99
2015-07-24,27.129999,27.26,26.01,26.15,733600,26.15
2015-07-23,27.799999,27.85,26.66,26.90,629300,26.90
2015-07-22,27.84,28.25,27.389999,27.610001,713000,27.610001
2015-07-21,27.790001,28.07,27.51,28.02,557400,28.02
2015-07-20,28.209999,28.41,27.77,27.799999,302800,27.799999
2015-07-17,28.58,28.719999,28.209999,28.41,366000,28.41
2015-07-16,28.959999,28.959999,28.309999,28.43,406200,28.43
2015-07-15,28.60,28.75,28.139999,28.469999,495900,28.469999
2015-07-14,27.67,28.620001,27.67,28.389999,946500,28.389999
2015-07-13,27.700001,27.93,27.469999,27.83,743900,27.83
2015-07-10,27.60,27.85,27.09,27.440001,435900,27.440001
2015-07-09,27.110001,27.74,27.030001,27.440001,294600,27.440001
2015-07-08,27.73,27.85,26.85,26.940001,366400,26.940001
2015-07-07,27.91,27.99,26.629999,27.940001,1018800,27.940001
2015-07-06,28.459999,28.620001,27.76,27.99,456400,27.99
2015-07-02,28.40,28.75,28.10,28.629999,449700,28.629999
2015-07-01,28.309999,28.65,28.00,28.209999,219600,28.209999
2015-06-30,28.290001,28.51,27.85,28.15,652300,28.15
2015-06-29,28.110001,28.51,27.85,28.01,551300,28.01
2015-06-26,28.58,28.92,28.379999,28.540001,555200,28.540001
2015-06-25,28.76,29.10,28.549999,28.709999,782400,28.709999
2015-06-24,28.90,29.110001,28.469999,28.65,946000,28.65
2015-06-23,28.389999,29.24,28.389999,28.98,1236700,28.98
2015-06-22,28.889999,28.959999,28.040001,28.559999,988900,28.559999
