Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.42,0.51,0.42,0.51,35000,0.51
2015-08-06,0.43,0.43,0.43,0.43,000,0.43
2015-08-05,0.41,0.45,0.41,0.43,11300,0.43
2015-08-04,0.45,0.50,0.45,0.50,1400,0.50
2015-08-03,0.47,0.47,0.42,0.44,18000,0.44
2015-07-31,0.40,0.44,0.40,0.44,14500,0.44
2015-07-30,0.40,0.48,0.40,0.44,33500,0.44
2015-07-29,0.40,0.48,0.40,0.43,34000,0.43
2015-07-28,0.44,0.45,0.42,0.42,11300,0.42
2015-07-27,0.46,0.46,0.45,0.46,1600,0.46
2015-07-24,0.50,0.50,0.48,0.49,7300,0.49
2015-07-23,0.48,0.49,0.48,0.49,38800,0.49
2015-07-22,0.49,0.49,0.49,0.49,5200,0.49
2015-07-21,0.49,0.50,0.49,0.49,2500,0.49
2015-07-20,0.50,0.51,0.47,0.50,48800,0.50
2015-07-17,0.53,0.53,0.50,0.51,14800,0.51
2015-07-16,0.51,0.51,0.51,0.51,100,0.51
2015-07-15,0.53,0.53,0.51,0.51,14200,0.51
2015-07-14,0.50,0.53,0.50,0.53,12500,0.53
2015-07-13,0.52,0.55,0.50,0.51,38700,0.51
2015-07-10,0.53,0.53,0.51,0.51,7600,0.51
2015-07-09,0.59,0.59,0.52,0.52,10100,0.52
2015-07-08,0.53,0.56,0.50,0.52,19800,0.52
2015-07-07,0.58,0.58,0.53,0.53,18200,0.53
2015-07-06,0.52,0.55,0.52,0.53,14600,0.53
2015-07-02,0.56,0.58,0.56,0.56,1600,0.56
2015-07-01,0.56,0.63,0.55,0.60,31800,0.60
2015-06-30,0.57,0.57,0.56,0.56,500,0.56
2015-06-29,0.59,0.59,0.56,0.56,2300,0.56
2015-06-26,0.58,0.66,0.58,0.59,4300,0.59
2015-06-25,0.58,0.62,0.58,0.60,900,0.60
2015-06-24,0.57,0.67,0.52,0.62,22800,0.62
2015-06-23,0.56,0.59,0.55,0.55,8000,0.55
2015-06-22,0.53,0.59,0.53,0.54,12500,0.54
2015-06-19,0.64,0.64,0.54,0.54,46200,0.54
2015-06-18,0.68,0.68,0.61,0.61,21300,0.61
2015-06-17,0.65,0.69,0.60,0.67,12600,0.67
2015-06-16,0.68,0.70,0.62,0.65,35100,0.65
2015-06-15,0.65,0.74,0.65,0.71,7100,0.71
2015-06-12,0.70,0.73,0.59,0.73,9400,0.73
2015-06-11,0.73,0.75,0.63,0.73,17400,0.73
2015-06-10,0.74,0.75,0.72,0.72,39300,0.72
2015-06-09,0.75,0.77,0.72,0.77,18800,0.77
2015-06-08,0.69,0.75,0.67,0.75,81100,0.75
2015-06-05,0.65,0.68,0.65,0.67,10000,0.67
2015-06-04,0.65,0.69,0.64,0.66,7400,0.66
2015-06-03,0.65,0.70,0.60,0.67,11700,0.67
2015-06-02,0.61,0.65,0.61,0.65,5600,0.65
2015-06-01,0.61,0.62,0.60,0.62,11200,0.62
2015-05-29,0.60,0.60,0.55,0.60,21600,0.60
2015-05-28,0.65,0.65,0.59,0.59,13100,0.59
