Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,1.26,1.28,1.13,1.13,6600,1.13
2015-08-06,1.12,1.22,1.11,1.18,13400,1.18
2015-08-05,1.14,1.29,1.08,1.14,180800,1.14
2015-08-04,1.08,1.12,1.07,1.08,13200,1.08
2015-08-03,1.10,1.11,1.06,1.08,11400,1.08
2015-07-31,1.12,1.14,1.10,1.10,13400,1.10
2015-07-30,1.22,1.30,1.13,1.17,190100,1.17
2015-07-29,1.23,1.29,1.20,1.20,3600,1.20
2015-07-28,1.23,1.25,1.23,1.23,14200,1.23
2015-07-27,1.32,1.32,1.21,1.22,13900,1.22
2015-07-24,1.21,1.28,1.20,1.23,18100,1.23
2015-07-23,1.28,1.28,1.20,1.20,4000,1.20
2015-07-22,1.28,1.28,1.20,1.28,9600,1.28
2015-07-21,1.33,1.33,1.27,1.28,7600,1.28
2015-07-20,1.31,1.31,1.21,1.21,6800,1.21
2015-07-17,1.23,1.30,1.23,1.26,30500,1.26
2015-07-16,1.15,1.21,1.13,1.21,9400,1.21
2015-07-15,1.13,1.16,1.12,1.16,4200,1.16
2015-07-14,1.21,1.31,1.15,1.16,14700,1.16
2015-07-13,1.30,1.30,1.20,1.20,36200,1.20
2015-07-10,1.38,1.39,1.25,1.25,44200,1.25
2015-07-09,1.39,1.39,1.10,1.23,103400,1.23
2015-07-08,1.09,1.10,1.04,1.04,8400,1.04
2015-07-07,1.30,1.30,1.09,1.12,20200,1.12
2015-07-06,1.40,1.40,1.21,1.21,28400,1.21
2015-07-02,1.35,1.45,1.35,1.40,14500,1.40
2015-07-01,1.31,1.47,1.27,1.37,23700,1.37
2015-06-30,1.27,1.29,1.26,1.26,30400,1.26
2015-06-29,1.54,1.54,1.30,1.30,62400,1.30
2015-06-26,1.65,1.65,1.55,1.56,26200,1.56
2015-06-25,1.76,1.76,1.67,1.68,22000,1.68
2015-06-24,1.66,1.77,1.66,1.70,11800,1.70
2015-06-23,1.80,1.80,1.66,1.68,63400,1.68
2015-06-22,1.85,1.85,1.75,1.75,15700,1.75
2015-06-19,1.93,1.93,1.80,1.80,17700,1.80
2015-06-18,1.93,1.99,1.89,1.90,12700,1.90
2015-06-17,1.95,1.96,1.81,1.87,85300,1.87
2015-06-16,2.04,2.05,1.95,1.95,31700,1.95
2015-06-15,1.97,2.05,1.97,2.04,25500,2.04
2015-06-12,2.09,2.09,1.95,1.98,74700,1.98
2015-06-11,2.04,2.06,1.99,2.03,27300,2.03
2015-06-10,2.15,2.15,1.98,2.03,44500,2.03
2015-06-09,2.18,2.30,2.06,2.09,70900,2.09
2015-06-08,2.12,2.26,2.12,2.26,69500,2.26
2015-06-05,2.15,2.16,2.05,2.11,34400,2.11
2015-06-04,2.26,2.26,2.04,2.09,94300,2.09
2015-06-03,1.92,2.29,1.92,2.23,277900,2.23
2015-06-02,1.92,1.97,1.92,1.92,70300,1.92
2015-06-01,2.12,2.12,1.95,2.03,54700,2.03
2015-05-29,1.99,2.30,1.95,1.97,67600,1.97
2015-05-28,2.11,2.15,1.98,2.07,127500,2.07
2015-05-27,2.30,2.30,2.09,2.15,150600,2.15
2015-05-26,2.45,2.54,2.29,2.38,78100,2.38
2015-05-22,2.63,2.64,2.42,2.45,144300,2.45
2015-05-21,2.65,2.85,2.60,2.70,181500,2.70
2015-05-20,2.82,2.87,2.55,2.60,152800,2.60
2015-05-19,2.98,3.17,2.66,2.76,454900,2.76
2015-05-18,2.49,3.20,2.41,3.03,820000,3.03
2015-05-15,2.35,2.50,2.33,2.39,102900,2.39
2015-05-14,2.38,2.55,2.24,2.38,219100,2.38
2015-05-13,2.19,2.37,2.06,2.33,126600,2.33
2015-05-12,2.45,2.51,2.15,2.19,210300,2.19
2015-05-11,2.77,2.77,2.36,2.52,792500,2.52
2015-05-08,1.81,2.86,1.70,2.79,1113400,2.79
2015-05-07,2.08,2.10,1.81,1.83,141100,1.83
2015-05-06,2.22,2.34,2.00,2.07,94200,2.07
2015-05-05,2.37,2.47,2.22,2.26,98700,2.26
2015-05-04,2.54,2.67,2.36,2.42,111200,2.42
2015-05-01,2.69,2.75,2.54,2.57,117300,2.57
