Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,26.229,26.299999,26.219999,26.26,14500,26.26
2015-08-06,26.299999,26.32,26.139999,26.209999,31600,26.209999
2015-08-05,26.290001,26.290001,26.23,26.290001,17900,26.290001
2015-08-04,26.26,26.33,26.219999,26.25,27400,26.25
2015-08-03,26.24,26.27,26.120001,26.139999,31800,26.139999
2015-07-31,26.23,26.24,26.129999,26.23,24800,26.23
2015-07-30,26.24,26.24,26.219999,26.219999,23900,26.219999
2015-07-29,26.200001,26.24,26.17,26.17,25900,26.17
2015-07-28,26.120001,26.200001,26.049999,26.17,26000,26.17
2015-07-27,26.17,26.17,26.00,26.09,20200,26.09
2015-07-24,26.10,26.15,25.950001,26.129999,19000,26.129999
2015-07-23,26.17,26.17,25.93,26.040001,22600,26.040001
2015-07-22,26.190001,26.190001,26.049999,26.120001,21100,26.120001
2015-07-21,26.129999,26.200001,26.129999,26.16,33000,26.16
2015-07-20,26.24,26.24,26.143999,26.209999,17700,26.209999
2015-07-17,26.08,26.25,26.01,26.25,38700,26.25
2015-07-16,26.00,26.07,25.983999,26.02,41800,26.02
2015-07-15,25.74,25.99,25.66,25.969999,42900,25.969999
2015-07-14,25.700001,25.732,25.65,25.700001,24000,25.700001
2015-07-13,25.700001,25.719999,25.65,25.700001,47600,25.700001
2015-07-10,25.77,25.77,25.65,25.690001,18100,25.690001
2015-07-09,25.790001,25.85,25.700001,25.75,22100,25.75
2015-07-08,25.75,25.799999,25.48,25.790001,41100,25.790001
2015-07-07,25.700001,25.76,25.60,25.75,107100,25.75
2015-07-06,25.73,25.73,25.620001,25.65,12800,25.65
2015-07-02,25.60,25.73,25.559999,25.700001,13200,25.700001
2015-07-01,25.57,25.629999,25.459999,25.59,27800,25.59
2015-06-30,25.59,25.59,25.42,25.42,37900,25.42
2015-06-29,25.58,25.58,25.41,25.459999,25300,25.459999
2015-06-26,25.639999,25.639999,25.50,25.50,46800,25.50
2015-06-25,25.60,25.65,25.48,25.65,249200,25.65
2015-06-24,25.469999,25.59,25.42,25.530001,24300,25.530001
2015-06-23,25.52,25.584,25.40,25.41,30100,25.41
2015-06-22,25.549999,25.549999,25.450001,25.459,24500,25.459
2015-06-19,25.52,25.59,25.50,25.549999,46900,25.549999
