Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,28.34,28.370001,28.27,28.360001,5400,28.360001
2015-08-06,28.309999,28.35,28.129999,28.27,12100,28.27
2015-08-05,28.35,28.389999,28.299999,28.360001,11300,28.360001
2015-08-04,28.299999,28.389999,28.299999,28.360001,9600,28.360001
2015-08-03,28.27,28.34,28.26,28.299999,9100,28.299999
2015-07-31,28.35,28.42,28.27,28.42,5700,28.42
2015-07-30,28.24,28.32,28.24,28.32,7800,28.32
2015-07-29,28.219999,28.360001,28.219999,28.27,8100,28.27
2015-07-28,28.049999,28.280001,28.049999,28.27,8000,28.27
2015-07-27,28.15,28.299999,28.10,28.190001,9300,28.190001
2015-07-24,28.10,28.219999,28.10,28.16,6700,28.16
2015-07-23,28.42,28.43,27.860001,28.08,81600,28.08
2015-07-22,28.41,28.459999,28.379999,28.41,16800,28.41
2015-07-21,28.49,28.49,28.43,28.469999,10200,28.469999
2015-07-20,28.48,28.50,28.370001,28.48,8400,28.48
2015-07-17,28.40,28.50,28.35,28.50,14000,28.50
2015-07-16,28.10,28.43,28.10,28.389999,15000,28.389999
2015-07-15,28.15,28.190001,28.00,28.049999,23200,28.049999
2015-07-14,27.99,28.049999,27.92,28.040001,12800,28.040001
2015-07-13,28.00,28.049999,27.959999,28.00,13200,28.00
2015-07-10,27.92,28.049999,27.90,27.93,11200,27.93
2015-07-09,27.93,28.049999,27.92,28.00,10400,28.00
2015-07-08,27.93,28.10,27.93,27.959999,11100,27.959999
2015-07-07,27.99,28.10,27.99,28.030001,8400,28.030001
2015-07-06,27.809999,28.00,27.809999,28.00,11000,28.00
2015-07-02,28.00,28.00,27.959999,28.00,12400,28.00
2015-07-01,28.00,28.00,27.91,27.969999,8400,27.969999
2015-06-30,27.870001,27.98,27.75,27.91,18100,27.91
2015-06-29,27.889999,27.889999,27.629999,27.629999,9200,27.629999
2015-06-26,27.77,27.85,27.629999,27.83,21900,27.83
2015-06-25,27.860001,27.950001,27.700001,27.860001,8700,27.860001
2015-06-24,27.90,27.91,27.610001,27.91,14200,27.91
2015-06-23,27.799999,27.950001,27.58,27.90,11700,27.90
2015-06-22,27.91,28.209999,27.610001,27.940001,38300,27.940001
2015-06-19,28.08,28.200001,27.540001,27.67,26200,27.67
2015-06-18,28.40,28.40,28.030001,28.08,16900,28.08
2015-06-17,28.379999,28.469999,28.030001,28.24,25400,28.24
2015-06-16,28.49,28.49,28.26,28.299999,10800,28.299999
2015-06-15,28.110001,28.389999,28.10,28.389999,8500,28.389999
2015-06-12,28.60,28.60,28.34,28.459999,9500,28.459999
2015-06-11,28.93,29.00,28.620001,28.940001,49800,28.448001
2015-06-10,28.809999,28.950001,28.75,28.799999,10400,28.31038
2015-06-09,28.65,28.940001,28.49,28.76,26900,28.271061
2015-06-08,28.700001,28.75,28.540001,28.58,10700,28.094121
2015-06-05,28.93,28.93,28.51,28.610001,28800,28.123611
2015-06-04,28.959999,28.969999,28.68,28.75,21400,28.261231
2015-06-03,28.870001,28.940001,28.799999,28.940001,2200,28.448001
2015-06-02,28.879999,28.940001,28.77,28.809999,5600,28.32021
2015-06-01,28.90,28.98,28.799999,28.959999,8200,28.46766
2015-05-29,28.85,28.85,28.780001,28.780001,4700,28.290721
