Date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,54.73,55.139999,54.00,55.139999,1400,55.139999
2015-06-29,53.630001,53.860001,53.50,53.50,6500,53.50
2015-06-26,55.220001,55.369999,54.849998,55.32,2100,55.32
2015-06-25,56.66,56.66,56.48,56.48,1100,56.48
2015-06-24,57.00,57.00,57.00,57.00,400,57.00
2015-06-23,56.450001,57.50,56.450001,57.50,4000,57.50
2015-06-22,55.41,55.41,55.41,55.41,200,55.41
2015-06-19,55.830002,55.830002,55.599998,55.599998,700,55.599998
2015-06-18,55.529999,55.939999,55.529999,55.939999,600,55.939999
2015-06-17,55.830002,56.790001,55.790001,55.830002,2100,55.830002
2015-06-16,55.560001,55.830002,55.490002,55.490002,5900,55.490002
2015-06-15,57.009998,57.009998,56.43,56.450001,900,56.450001
2015-06-12,57.27,57.27,57.27,57.27,000,57.27
2015-06-11,57.27,57.27,57.27,57.27,000,57.27
2015-06-10,57.66,57.669998,57.27,57.27,1600,57.27
2015-06-09,57.77,57.849998,57.529999,57.630001,2000,57.630001
2015-06-08,59.07,59.25,58.959999,59.080002,2300,59.080002
2015-06-05,58.849998,58.849998,58.810001,58.810001,300,58.810001
2015-06-04,59.400002,59.400002,59.380001,59.380001,500,59.380001
2015-06-03,60.150002,60.450001,60.150002,60.450001,300,60.450001
2015-06-02,60.48,60.48,60.060001,60.27,1300,60.27
2015-06-01,59.880001,60.34,59.57,60.330002,3700,60.330002
2015-05-29,60.00,60.00,59.560001,59.560001,2600,59.560001
2015-05-28,61.610001,61.610001,60.080002,60.080002,3600,60.080002
2015-05-27,61.439999,62.25,61.439999,62.25,3200,62.25
2015-05-26,62.50,62.50,62.50,62.50,300,62.50
2015-05-22,61.580002,62.189999,61.580002,62.00,2600,62.00
2015-05-21,60.080002,60.619999,60.080002,60.619999,300,60.619999
2015-05-20,61.32,61.32,60.50,60.84,1600,60.84
2015-05-19,61.799999,62.459999,61.790001,62.459999,1100,62.459999
2015-05-18,61.52,61.52,61.25,61.25,600,61.25
2015-05-15,61.360001,61.610001,61.150002,61.610001,800,61.610001
2015-05-14,60.599998,60.66,60.599998,60.639999,1200,60.639999
2015-05-13,61.369999,61.369999,60.700001,60.709999,7200,60.709999
2015-05-12,61.529999,61.529999,61.529999,61.529999,200,61.529999
2015-05-11,61.919998,61.919998,61.919998,61.919998,300,61.919998
2015-05-08,61.77,62.389999,61.77,62.00,1400,62.00
2015-05-07,60.66,60.66,59.950001,60.330002,1400,60.330002
2015-05-06,61.380001,61.380001,61.029999,61.029999,4100,61.029999
2015-05-05,63.759998,63.759998,62.779999,62.779999,1500,62.779999
2015-05-04,64.389999,64.510002,64.389999,64.510002,800,64.510002
2015-05-01,64.589996,64.589996,64.589996,64.589996,300,64.589996
2015-04-30,64.00,64.00,64.00,64.00,200,64.00
2015-04-29,64.599998,64.599998,64.00,64.529999,2300,64.529999
2015-04-28,65.370003,65.370003,65.040001,65.040001,1400,65.040001
2015-04-27,64.370003,66.029999,64.370003,65.830002,8200,65.830002
2015-04-24,64.919998,64.919998,64.370003,64.370003,1100,64.370003
2015-04-23,63.990002,65.239998,63.990002,65.239998,2600,65.239998
2015-04-22,63.599998,64.00,63.599998,64.00,300,64.00
2015-04-21,62.84,63.25,62.84,63.25,1700,63.25
2015-04-20,61.549999,62.509998,61.549999,62.509998,1600,62.509998
2015-04-17,62.150002,62.150002,59.439999,62.00,2500,62.00
2015-04-16,63.810001,64.540001,63.709999,64.540001,2100,64.540001
2015-04-15,63.450001,63.450001,62.830002,63.02,2300,63.02
2015-04-14,63.639999,63.77,63.099998,63.540001,6400,63.540001
2015-04-13,64.400002,64.989998,64.00,64.00,2500,64.00
2015-04-10,63.66,64.330002,63.66,64.00,1500,64.00
2015-04-09,63.099998,63.299999,63.099998,63.259998,1000,63.259998
2015-04-08,62.200001,62.25,61.57,62.09,49900,62.09
2015-04-07,58.509998,58.610001,58.080002,58.080002,2200,58.080002
2015-04-06,57.400002,58.360001,57.400002,57.970001,3000,57.970001
2015-04-02,56.970001,56.970001,56.970001,56.970001,500,56.970001
2015-04-01,56.279999,56.400002,56.279999,56.389999,1200,56.389999
2015-03-31,55.48,55.549999,55.48,55.549999,2100,55.549999
2015-03-30,54.82,55.490002,54.82,55.490002,1900,55.490002
2015-03-27,53.16,53.16,53.16,53.16,800,53.16
2015-03-26,52.610001,52.610001,52.610001,52.610001,100,52.610001
2015-03-25,52.509998,52.509998,52.509998,52.509998,300,52.509998
2015-03-24,53.209999,53.209999,53.16,53.16,3000,53.16
2015-03-23,52.91,52.990002,52.91,52.91,2100,52.91
2015-03-20,53.200001,53.310001,53.110001,53.25,1900,53.25
2015-03-19,53.040001,53.299999,53.029999,53.27,1600,53.27
2015-03-18,52.650002,53.32,52.650002,53.32,1700,53.32
2015-03-17,52.290001,52.290001,52.290001,52.290001,000,52.290001
2015-03-16,52.290001,52.290001,52.290001,52.290001,1000,52.290001
2015-03-13,51.700001,51.700001,51.700001,51.700001,000,51.700001
2015-03-12,52.060001,52.060001,51.700001,51.700001,900,51.700001
2015-03-11,51.610001,51.610001,51.610001,51.610001,400,51.610001
2015-03-10,52.200001,52.200001,52.200001,52.200001,300,52.200001
2015-03-09,52.75,52.75,52.75,52.75,100,52.75
2015-03-06,52.84,52.84,52.84,52.84,000,52.84
2015-03-05,52.880001,52.880001,52.84,52.84,4200,52.84
2015-03-04,52.869999,52.869999,52.869999,52.869999,600,52.869999
2015-03-03,53.34,53.34,53.130001,53.130001,1500,53.130001
2015-03-02,54.07,54.07,54.07,54.07,000,54.07
2015-02-27,54.099998,54.099998,54.049999,54.07,1100,54.07
2015-02-26,53.799999,53.799999,53.799999,53.799999,700,53.799999
2015-02-25,53.349998,53.380001,53.279999,53.380001,900,53.380001
2015-02-24,52.98,53.50,52.98,53.50,600,53.50
2015-02-23,53.27,53.27,53.27,53.27,000,53.27
2015-02-20,53.009998,53.27,53.009998,53.27,1200,53.27
2015-02-19,53.130001,53.130001,53.130001,53.130001,000,53.130001
2015-02-18,53.110001,53.130001,53.110001,53.130001,400,53.130001
2015-02-17,53.169998,53.169998,53.169998,53.169998,100,53.169998
2015-02-13,53.049999,53.099998,53.049999,53.099998,1300,53.099998
2015-02-12,52.68,52.810001,52.68,52.799999,12200,52.799999
2015-02-11,52.150002,52.150002,52.150002,52.150002,200,52.150002
2015-02-10,52.00,52.00,52.00,52.00,100,52.00
2015-02-09,51.75,51.849998,51.540001,51.540001,3900,51.540001
2015-02-06,52.310001,52.310001,52.240002,52.240002,800,52.240002
2015-02-05,52.759998,52.759998,52.669998,52.700001,1700,52.700001
2015-02-04,53.860001,53.860001,53.860001,53.860001,600,53.860001
