Date,Open,High,Low,Close,Volume,Adj Close
2015-03-09,2.82,2.82,2.80,2.81,11000,2.81
2015-03-06,2.81,2.82,2.80,2.82,116800,2.82
2015-03-05,2.82,2.82,2.80,2.80,354800,2.80
2015-03-04,2.82,2.82,2.81,2.81,5700,2.81
2015-03-03,2.82,2.82,2.81,2.8105,9100,2.8105
2015-03-02,2.81,2.82,2.81,2.81,8800,2.81
2015-02-27,2.82,2.82,2.81,2.81,7900,2.81
2015-02-26,2.82,2.82,2.81,2.81,17900,2.81
2015-02-25,2.82,2.82,2.81,2.81,10300,2.81
2015-02-24,2.81,2.82,2.81,2.82,13400,2.82
2015-02-23,2.81,2.82,2.81,2.81,86900,2.81
2015-02-20,2.81,2.82,2.8085,2.8116,59600,2.8116
2015-02-19,2.81,2.81,2.80,2.805,29600,2.805
2015-02-18,2.81,2.81,2.80,2.805,11000,2.805
2015-02-17,2.80,2.81,2.80,2.805,5700,2.805
2015-02-16,2.81,2.81,2.81,2.81,000,2.81
2015-02-13,2.81,2.81,2.80,2.81,18300,2.81
2015-02-12,2.81,2.81,2.80,2.80,18300,2.80
2015-02-11,2.81,2.81,2.80,2.80,30500,2.80
2015-02-10,2.80,2.81,2.79,2.80,89900,2.80
2015-02-09,2.80,2.81,2.79,2.81,182900,2.81
2015-02-06,2.81,2.81,2.79,2.79,162800,2.79
2015-02-05,2.79,2.80,2.79,2.79,18800,2.79
2015-02-04,2.79,2.80,2.79,2.80,34200,2.80
2015-02-03,2.7935,2.80,2.79,2.79,9600,2.79
2015-02-02,2.791,2.80,2.79,2.80,208200,2.80
2015-01-30,2.7901,2.8001,2.79,2.795,144100,2.795
2015-01-29,2.79,2.81,2.79,2.80,92700,2.80
2015-01-28,2.80,2.81,2.79,2.79,42800,2.79
2015-01-27,2.79,2.80,2.79,2.80,16200,2.80
2015-01-26,2.78,2.80,2.78,2.79,10600,2.79
2015-01-23,2.79,2.79,2.78,2.78,51500,2.78
2015-01-22,2.78,2.79,2.78,2.79,55900,2.79
2015-01-21,2.78,2.80,2.78,2.78,33900,2.78
2015-01-20,2.78,2.79,2.77,2.77,44700,2.77
2015-01-19,2.78,2.78,2.78,2.78,000,2.78
2015-01-16,2.786,2.79,2.78,2.78,14300,2.78
2015-01-15,2.78,2.79,2.78,2.79,23100,2.79
2015-01-14,2.78,2.80,2.78,2.79,57700,2.79
2015-01-13,2.82,2.82,2.78,2.79,264100,2.79
2015-01-12,2.8001,2.807,2.79,2.79,22400,2.79
2015-01-09,2.803,2.82,2.79,2.82,33700,2.82
2015-01-08,2.80,2.82,2.79,2.82,80700,2.82
2015-01-07,2.80,2.80,2.79,2.80,47400,2.80
2015-01-06,2.78,2.80,2.78,2.80,46400,2.80
2015-01-05,2.80,2.80,2.78,2.80,48000,2.80
2015-01-02,2.79,2.80,2.78,2.80,338100,2.80
2015-01-01,2.80,2.80,2.80,2.80,000,2.80
2014-12-31,2.7905,2.80,2.79,2.80,9800,2.80
2014-12-30,2.79,2.80,2.79,2.79,20700,2.79
2014-12-29,2.80,2.81,2.79,2.79,91200,2.79
2014-12-26,2.80,2.80,2.79,2.79,23400,2.79
2014-12-25,2.78,2.78,2.78,2.78,000,2.78
2014-12-24,2.80,2.80,2.78,2.78,15400,2.78
2014-12-23,2.79,2.79,2.76,2.76,39700,2.76
2014-12-22,2.78,2.80,2.76,2.79,21900,2.79
2014-12-19,2.79,2.80,2.76,2.76,70000,2.76
2014-12-18,2.80,2.82,2.79,2.80,135400,2.80
2014-12-17,2.80,2.82,2.80,2.82,12400,2.82
2014-12-16,2.78,2.82,2.771,2.80,91000,2.80
2014-12-15,2.781,2.81,2.78,2.80,40600,2.80
2014-12-12,2.7801,2.81,2.76,2.81,21000,2.81
2014-12-11,2.79,2.80,2.7797,2.80,305000,2.80
2014-12-10,2.80,2.81,2.79,2.79,28900,2.79
2014-12-09,2.81,2.82,2.80,2.80,61700,2.80
2014-12-08,2.83,2.83,2.80,2.80,89200,2.80
2014-12-05,2.82,2.83,2.80,2.82,143000,2.82
2014-12-04,2.82,2.84,2.81,2.82,281500,2.82
2014-12-03,2.82,2.84,2.8197,2.82,184700,2.82
2014-12-02,2.82,2.84,2.82,2.82,10100,2.82
2014-12-01,2.88,2.88,2.81,2.83,59300,2.83
2014-11-28,2.83,2.84,2.80,2.80,37600,2.80
2014-11-27,2.84,2.84,2.84,2.84,000,2.84
2014-11-26,2.84,2.85,2.83,2.84,30300,2.84
2014-11-25,2.82,2.85,2.81,2.85,31600,2.85
2014-11-24,2.82,2.82,2.81,2.81,139700,2.81
2014-11-21,2.801,2.83,2.80,2.82,184400,2.82
2014-11-20,2.8094,2.82,2.80,2.81,99800,2.81
2014-11-19,2.8201,2.84,2.80,2.82,261200,2.82
2014-11-18,2.80,2.85,2.77,2.84,845700,2.84
2014-11-17,2.75,2.90,2.75,2.80,693000,2.80
2014-11-14,2.6993,2.797,2.64,2.71,59100,2.71
2014-11-13,2.747,2.75,2.69,2.70,14800,2.70
2014-11-12,2.65,2.74,2.5802,2.74,38000,2.74
2014-11-11,2.66,2.66,2.47,2.63,88300,2.63
2014-11-10,2.933,2.933,2.42,2.65,268200,2.65
2014-11-07,2.81,2.90,2.80,2.888,40900,2.888
2014-11-06,2.9288,2.94,2.87,2.87,19600,2.87
2014-11-05,2.95,2.97,2.90,2.9599,3200,2.9599
2014-11-04,2.95,2.97,2.87,2.94,34100,2.94
2014-11-03,2.92,2.9699,2.8477,2.93,44400,2.93
2014-10-31,2.80,2.89,2.7929,2.86,25600,2.86
2014-10-30,2.8955,2.8955,2.80,2.80,21000,2.80
2014-10-29,2.76,2.91,2.60,2.91,76700,2.91
2014-10-28,2.76,2.79,2.70,2.75,30900,2.75
2014-10-27,2.73,2.88,2.67,2.7799,29700,2.7799
2014-10-24,2.62,2.89,2.57,2.87,90900,2.87
2014-10-23,2.55,2.66,2.5325,2.61,57700,2.61
2014-10-22,2.532,2.532,2.42,2.50,84500,2.50
2014-10-21,2.50,2.53,2.47,2.50,62200,2.50
2014-10-20,2.48,2.50,2.42,2.45,48600,2.45
2014-10-17,2.51,2.58,2.41,2.52,122300,2.52
2014-10-16,2.20,2.61,2.11,2.35,100700,2.35
2014-10-15,2.30,2.48,2.2501,2.30,60600,2.30
2014-10-14,2.2701,2.55,2.23,2.33,144100,2.33
2014-10-13,2.30,2.38,2.16,2.24,88100,2.24
2014-10-10,2.3399,2.41,2.2179,2.29,91900,2.29
2014-10-09,2.40,2.42,2.23,2.34,73300,2.34
2014-10-08,2.53,2.54,2.28,2.42,149000,2.42
2014-10-07,2.70,2.75,2.51,2.57,89100,2.57
2014-10-06,2.68,2.94,2.51,2.70,218400,2.70
2014-10-03,2.74,2.83,2.67,2.68,76500,2.68
2014-10-02,2.8177,2.855,2.59,2.71,131000,2.71
2014-10-01,2.9401,2.9899,2.70,2.77,178500,2.77
2014-09-30,3.14,3.173,2.96,2.98,132800,2.98
2014-09-29,2.82,3.16,2.77,3.00,172000,3.00
2014-09-26,2.89,3.11,2.89,2.93,98100,2.93
2014-09-25,2.90,2.93,2.685,2.89,224200,2.89
2014-09-24,3.21,3.2493,2.94,2.96,149600,2.96
2014-09-23,3.28,3.46,3.21,3.24,97100,3.24
2014-09-22,3.34,3.34,3.23,3.24,141100,3.24
2014-09-19,3.10,3.29,3.00,3.20,359500,3.20
2014-09-18,3.73,3.73,3.0113,3.15,706600,3.15
2014-09-17,3.35,4.30,3.32,3.70,1439300,3.70
2014-09-16,3.15,3.38,3.1125,3.30,555800,3.30
2014-09-15,3.02,3.15,2.918,3.11,269000,3.11
2014-09-12,2.95,3.05,2.90,3.00,292500,3.00
2014-09-11,2.86,2.95,2.78,2.93,201700,2.93
2014-09-10,2.74,2.83,2.6902,2.83,91200,2.83
2014-09-09,2.70,2.73,2.65,2.69,56600,2.69
2014-09-08,2.69,2.77,2.635,2.69,70700,2.69
2014-09-05,2.66,2.7999,2.50,2.72,72400,2.72
2014-09-04,2.83,2.856,2.55,2.66,70500,2.66
2014-09-03,2.83,2.83,2.72,2.82,43500,2.82
2014-09-02,2.80,2.80,2.68,2.80,88200,2.80
2014-09-01,2.76,2.76,2.76,2.76,000,2.76
2014-08-29,2.72,2.87,2.72,2.76,116000,2.76
2014-08-28,2.60,2.7799,2.56,2.72,244000,2.72
2014-08-27,2.59,2.60,2.50,2.57,23100,2.57
2014-08-26,2.61,2.69,2.50,2.55,88200,2.55
2014-08-25,2.55,2.6347,2.48,2.56,85700,2.56
2014-08-22,2.58,2.58,2.45,2.49,55000,2.49
