Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.62,0.66,0.62,0.63,157100,0.63
2015-08-06,0.66,0.68,0.61,0.64,210100,0.64
2015-08-05,0.68,0.68,0.62,0.65,238700,0.65
2015-08-04,0.63,0.66,0.60,0.64,475100,0.64
2015-08-03,0.64,0.67,0.61,0.65,203900,0.65
2015-07-31,0.64,0.66,0.63,0.63,176700,0.63
2015-07-30,0.68,0.68,0.62,0.64,85900,0.64
2015-07-29,0.65,0.67,0.63,0.66,91800,0.66
2015-07-28,0.66,0.67,0.63,0.66,94800,0.66
2015-07-27,0.66,0.67,0.62,0.65,137800,0.65
2015-07-24,0.65,0.70,0.64,0.67,207800,0.67
2015-07-23,0.69,0.72,0.65,0.65,132400,0.65
2015-07-22,0.68,0.69,0.62,0.68,140500,0.68
2015-07-21,0.69,0.73,0.68,0.69,87100,0.69
2015-07-20,0.71,0.75,0.68,0.70,216200,0.70
2015-07-17,0.72,0.75,0.70,0.73,208600,0.73
2015-07-16,0.75,0.75,0.68,0.74,446900,0.74
2015-07-15,0.72,0.75,0.66,0.73,247600,0.73
2015-07-14,0.71,0.73,0.67,0.71,244600,0.71
2015-07-13,0.69,0.78,0.69,0.73,421500,0.73
2015-07-10,0.64,0.74,0.64,0.73,577400,0.73
2015-07-09,0.56,0.67,0.55,0.66,353500,0.66
2015-07-08,0.57,0.58,0.55,0.57,994500,0.57
2015-07-07,0.60,0.62,0.55,0.59,1013500,0.59
2015-07-06,0.67,0.72,0.60,0.61,984100,0.61
2015-07-02,0.69,0.74,0.67,0.69,257800,0.69
2015-07-01,0.68,0.76,0.66,0.74,306500,0.74
2015-06-30,0.70,0.79,0.64,0.71,724600,0.71
2015-06-29,0.80,0.83,0.75,0.75,866000,0.75
2015-06-26,0.91,0.91,0.76,0.78,7421900,0.78
2015-06-25,0.80,0.84,0.79,0.82,481200,0.82
2015-06-24,0.85,0.88,0.82,0.82,465000,0.82
2015-06-23,0.87,0.88,0.81,0.84,383700,0.84
2015-06-22,0.88,0.90,0.86,0.88,247800,0.88
2015-06-19,0.90,0.93,0.87,0.90,619500,0.90
2015-06-18,0.88,0.90,0.87,0.88,204800,0.88
2015-06-17,0.92,0.93,0.87,0.89,553300,0.89
2015-06-16,0.87,1.03,0.85,0.92,1056700,0.92
2015-06-15,0.87,0.90,0.86,0.88,268000,0.88
2015-06-12,0.87,0.87,0.84,0.87,239200,0.87
2015-06-11,0.88,0.89,0.85,0.87,256900,0.87
2015-06-10,0.89,0.90,0.88,0.89,185900,0.89
2015-06-09,0.86,0.90,0.86,0.88,243400,0.88
2015-06-08,0.89,0.89,0.85,0.86,194800,0.86
2015-06-05,0.87,0.89,0.84,0.88,296900,0.88
2015-06-04,0.89,0.90,0.87,0.88,445200,0.88
