Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.95,1.00,0.94,1.00,500,1.00
2015-08-06,1.00,1.00,1.00,1.00,000,1.00
2015-08-05,0.93,1.00,0.93,1.00,1100,1.00
2015-08-04,0.95,0.95,0.90,0.90,800,0.90
2015-08-03,0.98,0.98,0.98,0.98,100,0.98
2015-07-31,0.73,1.00,0.73,0.983,1200,0.983
2015-07-30,0.735,1.00,0.735,1.00,2000,1.00
2015-07-29,0.975,0.975,0.975,0.975,100,0.975
2015-07-28,1.00,1.00,1.00,1.00,100,1.00
2015-07-27,0.932,0.932,0.932,0.932,100,0.932
2015-07-24,0.95,0.95,0.95,0.95,000,0.95
2015-07-23,0.95,0.95,0.95,0.95,100,0.95
2015-07-22,1.00,1.04,0.849,0.95,3500,0.95
2015-07-21,1.08,1.08,1.001,1.001,1100,1.001
2015-07-20,1.10,1.10,1.00,1.00,1800,1.00
2015-07-17,0.79,0.79,0.79,0.79,000,0.79
2015-07-16,0.79,0.79,0.79,0.79,000,0.79
2015-07-15,0.79,0.79,0.79,0.79,000,0.79
2015-07-14,0.79,0.79,0.79,0.79,000,0.79
2015-07-13,0.79,0.79,0.79,0.79,000,0.79
2015-07-10,0.79,0.79,0.79,0.79,000,0.79
2015-07-09,0.79,0.79,0.79,0.79,3100,0.79
2015-07-08,0.79,0.79,0.79,0.79,100,0.79
2015-07-07,0.80,0.80,0.80,0.80,000,0.80
2015-07-06,0.82,0.82,0.80,0.80,300,0.80
2015-07-02,0.78,0.78,0.78,0.78,000,0.78
2015-07-01,0.78,0.78,0.78,0.78,000,0.78
2015-06-30,0.78,0.78,0.78,0.78,000,0.78
2015-06-29,0.78,0.78,0.78,0.78,000,0.78
2015-06-26,0.78,0.78,0.78,0.78,000,0.78
2015-06-25,0.792,0.792,0.78,0.78,1300,0.78
2015-06-24,0.80,0.80,0.80,0.80,000,0.80
2015-06-23,0.80,0.80,0.80,0.80,000,0.80
2015-06-22,0.80,0.80,0.80,0.80,200,0.80
2015-06-19,0.81,0.81,0.81,0.81,200,0.81
2015-06-18,0.731,0.81,0.731,0.81,1000,0.81
2015-06-17,0.80,0.90,0.80,0.80,11200,0.80
2015-06-16,0.78,0.80,0.78,0.80,13200,0.80
2015-06-15,0.77,0.77,0.77,0.77,000,0.77
2015-06-12,0.77,0.77,0.77,0.77,000,0.77
2015-06-11,0.77,0.77,0.77,0.77,000,0.77
2015-06-10,0.77,0.77,0.77,0.77,000,0.77
2015-06-09,0.77,0.77,0.77,0.77,000,0.77
2015-06-08,0.77,0.77,0.77,0.77,000,0.77
2015-06-05,0.77,0.77,0.77,0.77,000,0.77
2015-06-04,0.77,0.77,0.77,0.77,000,0.77
2015-06-03,0.77,0.77,0.77,0.77,000,0.77
2015-06-02,0.77,0.77,0.77,0.77,000,0.77
2015-06-01,0.77,0.77,0.77,0.77,000,0.77
2015-05-29,0.774,0.774,0.77,0.77,1200,0.77
2015-05-28,0.80,0.80,0.80,0.80,1400,0.80
2015-05-27,0.781,0.781,0.781,0.781,000,0.781
2015-05-26,0.781,0.781,0.781,0.781,1100,0.781
2015-05-22,0.72,0.78,0.72,0.78,7100,0.78
2015-05-21,0.77,0.77,0.69,0.70,11200,0.70
2015-05-20,0.80,0.80,0.80,0.80,000,0.80
2015-05-19,0.80,0.80,0.80,0.80,000,0.80
2015-05-18,0.80,0.80,0.80,0.80,000,0.80
2015-05-15,0.80,0.80,0.80,0.80,500,0.80
2015-05-14,0.78,0.78,0.78,0.78,14100,0.78
2015-05-13,0.76,0.76,0.76,0.76,500,0.76
2015-05-12,0.76,0.76,0.76,0.76,9000,0.76
2015-05-11,0.76,0.85,0.76,0.76,13100,0.76
2015-05-08,0.80,0.80,0.80,0.80,000,0.80
2015-05-07,0.80,0.80,0.80,0.80,000,0.80
2015-05-06,0.80,0.80,0.80,0.80,000,0.80
2015-05-05,0.80,0.80,0.80,0.80,100,0.80
2015-05-04,0.80,0.80,0.80,0.80,3000,0.80
2015-05-01,0.77,0.77,0.77,0.77,000,0.77
2015-04-30,0.77,0.77,0.77,0.77,200,0.77
2015-04-29,0.78,0.78,0.78,0.78,000,0.78
2015-04-28,0.78,0.78,0.78,0.78,000,0.78
2015-04-27,0.78,0.78,0.78,0.78,000,0.78
2015-04-24,0.775,0.838,0.775,0.78,31300,0.78
2015-04-23,0.80,0.845,0.65,0.845,2700,0.845
2015-04-22,0.90,0.90,0.90,0.90,000,0.90
2015-04-21,0.90,0.90,0.90,0.90,000,0.90
2015-04-20,0.90,0.90,0.90,0.90,500,0.90
2015-04-17,0.897,0.90,0.897,0.90,800,0.90
2015-04-16,0.90,0.90,0.90,0.90,200,0.90
2015-04-15,0.82,0.90,0.82,0.90,1700,0.90
2015-04-14,0.85,0.85,0.85,0.85,000,0.85
2015-04-13,0.85,0.85,0.85,0.85,000,0.85
2015-04-10,0.85,0.85,0.85,0.85,200,0.85
2015-04-09,0.71,0.82,0.71,0.82,1100,0.82
2015-04-08,0.75,0.824,0.75,0.824,1400,0.824
2015-04-07,0.80,0.85,0.80,0.80,11500,0.80
2015-04-06,0.78,0.78,0.78,0.78,100,0.78
2015-04-02,0.79,0.79,0.79,0.79,1000,0.79
2015-04-01,0.78,0.78,0.78,0.78,100,0.78
2015-03-31,0.78,0.78,0.78,0.78,200,0.78
2015-03-30,0.785,0.785,0.785,0.785,000,0.785
2015-03-27,0.785,0.785,0.785,0.785,200,0.785
2015-03-26,0.70,0.79,0.421,0.79,30700,0.79
2015-03-25,0.72,0.74,0.72,0.74,2500,0.74
2015-03-24,0.65,0.65,0.65,0.65,000,0.65
2015-03-23,0.65,0.65,0.65,0.65,1300,0.65
2015-03-20,0.61,0.62,0.61,0.62,600,0.62
2015-03-19,0.60,0.60,0.60,0.60,000,0.60
2015-03-18,0.60,0.60,0.60,0.60,000,0.60
2015-03-17,0.60,0.60,0.60,0.60,000,0.60
2015-03-16,0.60,0.60,0.60,0.60,000,0.60
2015-03-13,0.60,0.60,0.60,0.60,000,0.60
2015-03-12,0.60,0.60,0.60,0.60,000,0.60
2015-03-11,0.60,0.60,0.60,0.60,000,0.60
2015-03-10,0.60,0.60,0.60,0.60,000,0.60
2015-03-09,0.60,0.60,0.60,0.60,200,0.60
2015-03-06,0.60,0.60,0.60,0.60,000,0.60
2015-03-05,0.60,0.60,0.60,0.60,200,0.60
2015-03-04,0.60,0.60,0.60,0.60,100,0.60
2015-03-03,0.60,0.60,0.60,0.60,100,0.60
2015-03-02,0.609,0.62,0.609,0.62,2500,0.62
2015-02-27,0.60,0.60,0.60,0.60,100,0.60
2015-02-26,0.56,0.56,0.56,0.56,000,0.56
2015-02-25,0.56,0.56,0.56,0.56,000,0.56
2015-02-24,0.56,0.56,0.56,0.56,000,0.56
2015-02-23,0.56,0.56,0.56,0.56,000,0.56
2015-02-20,0.56,0.56,0.56,0.56,200,0.56
2015-02-19,0.50,0.562,0.50,0.50,77500,0.50
2015-02-18,0.47,0.55,0.46,0.46,1300,0.46
2015-02-17,0.52,0.52,0.52,0.52,200,0.52
2015-02-13,0.50,0.50,0.50,0.50,36200,0.50
2015-02-12,0.50,0.50,0.50,0.50,100,0.50
2015-02-11,0.50,0.54,0.45,0.53,23600,0.53
2015-02-10,0.546,0.56,0.546,0.56,9000,0.56
2015-02-09,0.58,0.58,0.58,0.58,200,0.58
2015-02-06,0.60,0.60,0.60,0.60,000,0.60
2015-02-05,0.60,0.60,0.60,0.60,000,0.60
2015-02-04,0.60,0.60,0.60,0.60,000,0.60
2015-02-03,0.60,0.60,0.60,0.60,16000,0.60
2015-02-02,0.60,0.60,0.60,0.60,000,0.60
2015-01-30,0.60,0.60,0.60,0.60,000,0.60
2015-01-29,0.60,0.60,0.60,0.60,7700,0.60
2015-01-28,0.60,0.60,0.57,0.60,17000,0.60
2015-01-27,0.57,0.57,0.57,0.57,200,0.57
2015-01-26,0.57,0.57,0.57,0.57,000,0.57
2015-01-23,0.57,0.57,0.489,0.57,20700,0.57
2015-01-22,0.555,0.59,0.555,0.59,1500,0.59
2015-01-21,0.671,0.671,0.56,0.60,6400,0.60
2015-01-20,0.60,0.666,0.60,0.666,900,0.666
2015-01-16,0.43,0.66,0.43,0.66,300,0.66
2015-01-15,0.476,0.68,0.441,0.68,13200,0.68
2015-01-14,0.70,0.70,0.68,0.68,7800,0.68
2015-01-13,0.70,0.70,0.67,0.67,3500,0.67
2015-01-12,0.651,0.71,0.646,0.67,30500,0.67
2015-01-09,0.74,0.75,0.74,0.75,1100,0.75
2015-01-08,0.75,0.769,0.75,0.769,2100,0.769
2015-01-07,0.775,0.775,0.775,0.775,1000,0.775
2015-01-06,0.775,0.79,0.775,0.79,1400,0.79
2015-01-05,0.78,0.78,0.78,0.78,2000,0.78
2015-01-02,0.79,0.79,0.78,0.79,1700,0.79
2014-12-31,0.80,0.80,0.80,0.80,1100,0.80
2014-12-30,0.80,0.80,0.80,0.80,500,0.80
2014-12-29,0.88,0.88,0.789,0.80,22400,0.80
2014-12-26,0.87,0.88,0.87,0.88,500,0.88
2014-12-24,0.83,0.83,0.83,0.83,000,0.83
2014-12-23,0.85,0.85,0.85,0.85,200,0.85
2014-12-22,0.83,0.88,0.80,0.88,3700,0.88
2014-12-19,0.92,0.99,0.90,0.90,2600,0.90
2014-12-18,0.81,0.81,0.81,0.81,000,0.81
2014-12-17,0.88,0.88,0.81,0.81,1600,0.81
2014-12-16,0.80,0.80,0.78,0.78,3300,0.78
2014-12-15,0.80,0.80,0.79,0.79,2000,0.79
2014-12-12,0.80,0.80,0.80,0.80,100,0.80
2014-12-11,0.80,0.80,0.80,0.80,400,0.80
2014-12-10,0.70,0.88,0.70,0.80,4400,0.80
2014-12-09,0.70,0.70,0.70,0.70,1000,0.70
2014-12-08,0.70,0.70,0.70,0.70,1700,0.70
2014-12-05,0.70,0.70,0.70,0.70,500,0.70
2014-12-04,0.70,0.70,0.69,0.69,600,0.69
2014-12-03,0.65,0.65,0.65,0.65,000,0.65
2014-12-02,0.65,0.65,0.65,0.65,000,0.65
2014-12-01,0.65,0.65,0.65,0.65,000,0.65
2014-11-28,0.65,0.65,0.65,0.65,000,0.65
2014-11-26,0.65,0.65,0.65,0.65,000,0.65
2014-11-25,0.65,0.65,0.65,0.65,000,0.65
2014-11-24,0.65,0.65,0.65,0.65,200,0.65
2014-11-21,0.68,0.68,0.58,0.58,600,0.58
2014-11-20,0.69,0.69,0.69,0.69,200,0.69
2014-11-19,0.70,0.70,0.66,0.67,4600,0.67
2014-11-18,0.80,0.80,0.80,0.80,200,0.80
2014-11-17,0.72,0.72,0.72,0.72,000,0.72
2014-11-14,0.70,0.72,0.70,0.72,6400,0.72
2014-11-13,0.80,0.80,0.80,0.80,000,0.80
