Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,21.76,22.16,21.66,21.90,213500,21.90
2015-08-06,21.969999,22.23,21.780001,21.91,51500,21.91
2015-08-05,22.440001,22.60,21.85,21.92,70800,21.92
2015-08-04,22.110001,22.60,21.85,22.280001,57000,22.280001
2015-08-03,23.34,23.530001,21.879999,22.01,81100,22.01
2015-07-31,23.24,24.52,22.940001,23.459999,139400,23.459999
2015-07-30,23.26,24.32,23.26,23.440001,144400,23.440001
2015-07-29,22.50,24.16,21.559999,23.469999,230800,23.469999
2015-07-28,22.16,22.549999,21.629999,22.42,329900,22.42
2015-07-27,21.879999,23.959999,21.440001,21.459999,242700,21.459999
2015-07-24,22.799999,22.799999,21.91,22.110001,128500,22.110001
2015-07-23,23.610001,23.610001,22.809999,22.83,92400,22.83
2015-07-22,23.60,23.82,23.35,23.620001,50700,23.620001
2015-07-21,23.610001,23.74,23.440001,23.67,30500,23.67
2015-07-20,23.790001,23.969999,23.26,23.51,67100,23.51
2015-07-17,24.34,24.48,23.85,23.870001,44600,23.870001
2015-07-16,23.66,24.50,23.66,24.25,75400,24.25
2015-07-15,23.85,23.85,23.219999,23.440001,27200,23.440001
2015-07-14,23.559999,23.90,23.25,23.719999,66200,23.719999
2015-07-13,23.23,23.709999,23.23,23.389999,58900,23.389999
2015-07-10,23.049999,23.25,22.99,23.15,43400,23.15
2015-07-09,23.549999,23.549999,22.790001,22.809999,64000,22.809999
2015-07-08,24.08,24.08,23.139999,23.15,73600,23.15
2015-07-07,24.99,24.99,24.139999,24.23,86500,24.23
2015-07-06,24.780001,25.32,24.780001,25.07,65200,25.07
2015-07-02,25.110001,25.35,24.860001,25.15,36300,25.15
2015-07-01,25.15,25.42,24.84,25.10,34800,25.10
2015-06-30,24.950001,25.139999,24.780001,25.00,46200,25.00
2015-06-29,25.35,25.75,24.60,24.66,69500,24.66
2015-06-26,25.34,25.700001,25.08,25.58,153000,25.58
2015-06-25,25.25,25.389999,24.98,25.190001,46300,25.190001
2015-06-24,24.950001,25.129999,24.85,25.07,37700,25.07
2015-06-23,24.120001,24.950001,24.120001,24.90,39100,24.90
2015-06-22,23.950001,24.27,23.629999,24.24,56900,24.24
2015-06-19,24.18,24.360001,23.700001,23.700001,87500,23.700001
2015-06-18,23.790001,24.33,23.639999,24.10,50300,24.10
2015-06-17,24.370001,24.389999,23.23,23.639999,30900,23.639999
2015-06-16,23.799999,24.43,23.66,24.17,43500,24.17
2015-06-15,23.90,24.32,23.700001,23.98,62900,23.98
2015-06-12,24.139999,24.299999,23.790001,23.940001,32300,23.940001
2015-06-11,24.34,24.52,24.00,24.16,35600,24.16
2015-06-10,23.959999,24.940001,23.959999,24.389999,41400,24.389999
2015-06-09,23.76,24.25,23.51,23.75,34400,23.75
2015-06-08,24.15,24.15,23.709999,23.719999,24400,23.719999
2015-06-05,23.18,24.27,22.799999,24.15,42200,24.15
2015-06-04,23.65,23.940001,23.35,23.389999,51300,23.389999
2015-06-03,23.299999,24.209999,23.00,23.860001,83800,23.860001
2015-06-02,22.41,23.959999,22.41,23.27,82700,23.27
2015-06-01,22.91,22.99,22.16,22.549999,63200,22.549999
2015-05-29,23.389999,24.360001,22.209999,22.809999,58700,22.809999
2015-05-28,24.200001,24.200001,20.969999,23.50,86000,23.50
2015-05-27,24.200001,24.639999,23.98,24.59,42200,24.59
2015-05-26,24.559999,24.559999,23.950001,24.07,44900,24.07
2015-05-22,24.82,25.030001,24.59,24.60,20600,24.60
2015-05-21,25.049999,25.16,24.610001,24.940001,18800,24.940001
2015-05-20,24.76,24.969999,24.379999,24.85,17000,24.85
2015-05-19,25.10,25.10,24.50,24.58,20400,24.58
2015-05-18,24.799999,25.379999,24.50,25.219999,34900,25.219999
2015-05-15,24.889999,24.889999,24.60,24.76,55900,24.76
2015-05-14,24.219999,25.120001,24.18,24.870001,48900,24.870001
2015-05-13,24.10,24.299999,24.02,24.07,13400,24.07
2015-05-12,23.90,24.43,23.66,24.120001,39800,24.120001
2015-05-11,25.040001,25.18,23.83,23.93,74800,23.93
2015-05-08,25.08,25.299999,24.90,25.15,29900,25.15
2015-05-07,24.74,24.84,24.41,24.709999,21800,24.709999
2015-05-06,24.299999,25.129999,23.940001,24.85,34200,24.85
2015-05-05,25.040001,25.50,24.040001,24.23,46500,24.189999
2015-05-04,25.34,25.879999,25.02,25.10,31700,25.058564
2015-05-01,25.40,25.66,24.690001,25.41,41300,25.368051
2015-04-30,24.940001,25.67,24.889999,25.360001,88100,25.318135
2015-04-29,24.99,25.469999,24.82,25.200001,44100,25.158399
2015-04-28,24.23,25.309999,23.959999,25.219999,78900,25.178364
2015-04-27,24.32,24.49,23.76,24.139999,73600,24.100147
2015-04-24,24.379999,24.43,23.969999,24.15,31300,24.110131
2015-04-23,24.709999,24.76,24.32,24.43,23700,24.38967
