Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,14.61,14.61,14.61,14.61,000,14.61
2015-08-06,15.29,15.29,14.56,14.61,6500,14.61
2015-08-05,15.21,15.21,15.21,15.21,000,15.21
2015-08-04,15.21,15.21,15.21,15.21,000,15.21
2015-08-03,15.80,15.80,15.00,15.21,1700,15.21
2015-07-31,15.98,15.98,15.98,15.98,300,15.98
2015-07-30,15.12,15.12,15.12,15.12,000,15.12
2015-07-29,15.08,15.13,15.08,15.12,1000,15.12
2015-07-28,15.15,15.15,15.15,15.15,200,15.15
2015-07-27,15.43,15.43,15.43,15.43,000,15.43
2015-07-24,15.43,15.43,15.43,15.43,000,15.43
2015-07-23,15.43,15.43,15.43,15.43,200,15.43
2015-07-22,16.049999,16.049999,14.31,15.05,3800,15.05
2015-07-21,16.10,16.110001,16.10,16.110001,1400,16.110001
2015-07-20,16.110001,16.110001,16.110001,16.110001,000,16.110001
2015-07-17,16.200001,16.200001,16.110001,16.110001,500,16.110001
2015-07-16,16.110001,16.110001,16.110001,16.110001,600,16.110001
2015-07-15,16.25,16.25,16.110001,16.110001,500,16.110001
2015-07-14,16.370001,16.370001,16.10,16.10,3100,16.10
2015-07-13,17.16,17.41,16.73,16.73,1800,16.73
2015-07-10,17.030001,17.700001,16.889999,16.950001,3100,16.950001
2015-07-09,17.120001,17.32,17.120001,17.16,700,17.16
2015-07-08,17.049999,17.209999,17.01,17.040001,1000,17.040001
2015-07-07,17.50,17.690001,17.41,17.52,1800,17.52
2015-07-06,17.610001,17.610001,17.25,17.469999,900,17.469999
2015-07-02,17.90,17.90,17.67,17.690001,600,17.690001
2015-07-01,17.67,17.67,17.67,17.67,200,17.67
2015-06-30,17.82,17.82,17.67,17.67,1600,17.67
2015-06-29,18.68,18.68,17.66,17.84,3400,17.84
2015-06-26,18.799999,18.799999,18.799999,18.799999,400,18.799999
2015-06-25,18.00,18.00,17.690001,17.690001,400,17.690001
2015-06-24,18.50,18.50,17.65,17.67,1500,17.67
2015-06-23,17.74,17.74,17.610001,17.639999,600,17.639999
2015-06-22,17.65,17.68,17.639999,17.65,1100,17.65
2015-06-19,17.860001,18.049999,17.85,17.950001,3000,17.950001
2015-06-18,18.75,19.049999,17.639999,17.790001,2600,17.790001
2015-06-17,18.459999,18.58,18.459999,18.51,1300,18.291
2015-06-16,17.85,17.85,17.85,17.85,100,17.638809
2015-06-15,17.68,19.030001,17.68,19.030001,800,18.804848
2015-06-12,17.65,17.65,17.65,17.65,400,17.441174
2015-06-11,19.09,19.09,19.09,19.09,500,18.864138
2015-06-10,17.620001,17.620001,17.620001,17.620001,000,17.41153
2015-06-09,18.50,18.50,17.620001,17.620001,1400,17.41153
2015-06-08,17.10,18.809999,17.10,18.50,19300,18.281118
2015-06-05,18.25,18.25,18.25,18.25,200,18.034076
2015-06-04,18.200001,18.200001,18.200001,18.200001,000,17.984668
2015-06-03,18.200001,18.200001,18.200001,18.200001,200,17.984668
2015-06-02,18.110001,18.110001,18.110001,18.110001,100,17.895733
2015-06-01,18.60,18.60,18.60,18.60,200,18.379935
2015-05-29,18.60,18.60,18.60,18.60,000,18.379935
2015-05-28,18.23,18.60,18.23,18.60,600,18.379935
2015-05-27,18.52,18.52,18.52,18.52,000,18.300882
2015-05-26,18.58,18.58,18.52,18.52,800,18.300882
2015-05-22,19.00,19.049999,18.110001,18.92,2500,18.696149
2015-05-21,19.00,19.40,18.99,19.190001,1700,18.962955
2015-05-20,18.91,19.450001,18.91,19.24,1300,19.012362
2015-05-19,18.98,19.24,18.92,19.24,2000,19.012362
2015-05-18,18.85,19.15,18.85,19.15,1900,18.923427
2015-05-15,19.07,19.07,19.00,19.00,800,18.775202
2015-05-14,18.559999,18.559999,18.559999,18.559999,200,18.340408
2015-05-13,18.950001,19.07,18.950001,19.00,2400,18.775202
2015-05-12,18.51,19.00,18.51,19.00,500,18.775202
2015-05-11,18.51,19.07,18.51,19.07,700,18.844374
2015-05-08,18.379999,18.379999,18.280001,18.280001,1000,18.063722
2015-05-07,18.629999,18.889999,18.49,18.49,600,18.271236
2015-05-06,18.85,19.42,18.85,19.42,500,19.190233
2015-05-05,17.280001,18.879999,17.280001,18.879999,600,18.656621
2015-05-04,18.50,18.50,18.50,18.50,200,18.281118
2015-05-01,18.209999,18.209999,18.209999,18.209999,300,17.994548
2015-04-30,17.82,19.450001,17.82,19.450001,3900,19.219879
2015-04-29,18.969999,18.969999,18.77,18.77,1000,18.547924
2015-04-28,18.33,18.90,18.33,18.90,300,18.676385
2015-04-27,16.950001,18.90,16.90,18.860001,900,18.636859
2015-04-24,18.959999,18.959999,18.950001,18.950001,900,18.725795
2015-04-23,18.549999,18.950001,18.549999,18.940001,1100,18.715913
2015-04-22,18.110001,18.110001,18.110001,18.110001,200,17.895733
2015-04-21,18.299999,18.950001,18.299999,18.950001,2500,18.725795
2015-04-20,18.50,18.549999,18.01,18.50,1300,18.281118
2015-04-17,18.059999,18.60,17.690001,18.58,4700,18.360171
2015-04-16,18.58,18.58,18.58,18.58,000,18.360171
2015-04-15,18.43,18.58,18.209999,18.58,800,18.360171
2015-04-14,18.40,18.549999,18.190001,18.50,4900,18.281118
2015-04-13,18.41,18.41,18.41,18.41,000,18.192183
2015-04-10,18.219999,18.440001,18.219999,18.41,700,18.192183
2015-04-09,18.440001,18.440001,18.440001,18.440001,000,18.221828
2015-04-08,18.00,18.440001,18.00,18.440001,600,18.221828
2015-04-07,17.91,18.02,17.91,18.02,300,17.806798
2015-04-06,18.15,18.58,17.959999,18.58,1500,18.360171
2015-04-02,18.08,18.08,18.08,18.08,300,17.866087
2015-04-01,18.379999,18.73,17.91,18.73,4000,18.508396
2015-03-31,18.52,18.52,18.450001,18.51,8200,18.291
2015-03-30,18.60,18.860001,18.50,18.50,1400,18.281118
2015-03-27,18.50,18.610001,18.50,18.50,8200,18.281118
2015-03-26,18.00,18.48,18.00,18.469999,6200,18.251472
2015-03-25,17.92,17.92,17.92,17.92,100,17.70798
2015-03-24,18.25,18.25,18.24,18.24,600,18.024194
2015-03-23,17.870001,18.00,17.870001,18.00,900,17.787034
2015-03-20,18.16,18.32,17.860001,18.309999,2400,18.093365
2015-03-19,17.629999,18.07,17.610001,17.98,2400,17.76727
2015-03-18,17.540001,18.42,17.540001,18.01,5700,17.796916
2015-03-17,17.309999,18.120001,17.309999,17.91,2800,17.48169
2015-03-16,18.370001,18.370001,17.379999,17.620001,1400,17.198626
2015-03-13,17.84,18.50,17.639999,18.309999,5300,17.872124
2015-03-12,17.700001,17.84,17.700001,17.84,1800,17.413364
2015-03-11,17.440001,17.74,17.440001,17.74,1500,17.315755
2015-03-10,17.26,17.42,17.26,17.280001,2200,16.866757
2015-03-09,17.190001,17.27,17.10,17.26,900,16.847235
2015-03-06,16.790001,17.16,16.790001,17.10,3200,16.691061
2015-03-05,16.98,16.98,16.98,16.98,000,16.57393
2015-03-04,16.98,16.98,16.98,16.98,000,16.57393
2015-03-03,16.98,16.98,16.98,16.98,700,16.57393
2015-03-02,16.57,16.57,16.57,16.57,200,16.173735
2015-02-27,16.540001,16.540001,16.530001,16.540001,1200,16.144454
2015-02-26,16.700001,16.98,16.389999,16.389999,800,15.99804
2015-02-25,16.49,16.620001,16.360001,16.360001,700,15.968758
2015-02-24,16.190001,16.92,16.190001,16.92,800,16.515365
2015-02-23,16.93,16.93,16.77,16.77,600,16.368953
2015-02-20,16.98,16.98,16.98,16.98,400,16.57393
2015-02-19,16.98,16.98,16.98,16.98,000,16.57393
2015-02-18,16.98,16.98,16.98,16.98,000,16.57393
2015-02-17,16.98,16.98,16.969999,16.98,2100,16.57393
2015-02-13,15.76,16.76,15.76,16.76,5200,16.359192
2015-02-12,15.40,16.870001,15.40,16.77,4700,16.368953
2015-02-11,16.02,16.889999,16.01,16.889999,800,16.486082
2015-02-10,16.75,16.879999,16.02,16.629999,1600,16.2323
2015-02-09,15.91,17.00,15.43,16.959999,16900,16.554408
2015-02-06,15.67,15.96,15.29,15.90,3900,15.519758
2015-02-05,15.42,16.00,15.09,15.50,4400,15.129324
2015-02-04,15.34,15.45,15.10,15.30,2000,14.934107
2015-02-03,15.00,15.35,15.00,15.35,201500,14.982912
2015-02-02,14.85,15.15,14.84,15.15,800,14.787694
2015-01-30,15.03,15.15,15.03,15.15,700,14.787694
2015-01-29,14.68,15.23,14.68,15.23,700,14.865781
2015-01-28,15.17,15.19,15.15,15.15,1000,14.787694
2015-01-27,15.15,15.25,15.15,15.25,2700,14.885303
2015-01-26,15.50,15.50,14.70,15.45,29900,15.08052
2015-01-23,14.74,15.12,14.74,15.05,11800,14.690086
2015-01-22,14.76,14.89,14.70,14.89,3100,14.533912
2015-01-21,15.00,15.10,14.65,14.65,13900,14.299651
2015-01-20,14.68,15.20,14.56,14.90,67200,14.543672
2015-01-16,14.90,14.90,14.50,14.55,11400,14.202043
2015-01-15,14.61,14.96,14.61,14.96,2400,14.602238
2015-01-14,15.09,15.09,14.90,14.97,2200,14.611999
2015-01-13,14.72,14.94,14.72,14.79,2100,14.436303
2015-01-12,15.36,15.36,14.60,14.89,7600,14.533912
2015-01-09,15.24,15.39,15.08,15.08,3600,14.719368
2015-01-08,15.00,15.49,15.00,15.39,6400,15.021955
2015-01-07,15.41,15.75,15.02,15.10,8300,14.73889
2015-01-06,15.80,15.84,15.31,15.84,1500,15.461193
2015-01-05,15.15,15.91,15.15,15.87,3000,15.490476
2015-01-02,15.01,15.04,15.00,15.03,7600,14.670564
2014-12-31,15.83,15.83,15.00,15.01,31300,14.651042
2014-12-30,16.84,16.959999,15.29,15.87,41100,15.490476
2014-12-29,17.18,17.18,14.79,15.36,132200,14.992672
2014-12-26,15.76,18.549999,15.17,17.030001,4900,16.622735
2014-12-24,15.68,16.00,15.05,16.00,4800,15.617367
2014-12-23,15.35,15.69,14.84,15.62,8700,15.246454
2014-12-22,15.13,15.33,14.86,15.10,11400,14.73889
2014-12-19,15.27,15.38,14.85,15.38,33000,15.012194
2014-12-18,15.19,15.69,15.14,15.30,8100,14.934107
2014-12-17,16.129999,16.49,15.26,15.66,10300,15.071735
2014-12-16,16.540001,16.99,15.61,16.02,12600,15.418212
2014-12-15,16.639999,16.969999,16.52,16.74,3100,16.111165
2014-12-12,17.27,17.299999,16.50,16.719999,3000,16.091916
2014-12-11,17.280001,17.51,16.01,16.99,14600,16.351774
2014-12-10,17.83,17.83,17.200001,17.40,3400,16.746372
2014-12-09,18.09,18.09,17.049999,17.34,4600,16.688626
2014-12-08,17.74,18.110001,17.48,17.950001,10000,17.275712
2014-12-05,18.030001,18.309999,18.030001,18.040001,5400,17.362332
2014-12-04,18.23,18.50,17.51,18.50,5200,17.805051
