Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,34.44,34.44,34.44,34.44,000,34.44
2014-12-09,34.64,34.66,33.96,34.44,14075600,34.44
2014-12-08,34.60,34.94,34.49,34.68,1167200,34.68
2014-12-05,34.65,34.75,34.60,34.65,594100,34.65
2014-12-04,34.80,34.83,34.31,34.51,1114900,34.51
2014-12-03,34.67,35.00,34.67,34.86,622200,34.86
2014-12-02,34.95,35.03,34.65,34.875,461500,34.875
2014-12-01,34.88,34.94,34.745,34.80,457200,34.80
2014-11-28,34.96,35.10,34.89,35.02,344600,35.02
2014-11-27,34.93,34.93,34.93,34.93,000,34.93
2014-11-26,34.76,35.085,34.76,34.93,475100,34.93
2014-11-25,35.12,35.26,34.96,35.02,507900,35.02
2014-11-24,35.05,35.24,35.04,35.14,465700,35.14
2014-11-21,35.20,35.33,35.00,35.07,595000,35.07
2014-11-20,34.759,35.08,34.75,35.06,491600,35.06
2014-11-19,34.91,34.95,34.68,34.885,786800,34.885
2014-11-18,34.95,35.03,34.90,34.90,784600,34.90
2014-11-17,35.00,35.19,34.90,34.95,607000,34.95
2014-11-14,34.91,35.13,34.91,35.08,512400,35.08
2014-11-13,35.07,35.07,34.90,34.95,499700,34.95
2014-11-12,34.95,35.111,34.94,35.00,470900,35.00
2014-11-11,35.09,35.09,34.935,35.05,625300,35.05
2014-11-10,35.12,35.13,34.84,35.03,543300,35.03
2014-11-07,35.17,35.28,35.03,35.10,477600,35.10
2014-11-06,35.27,35.33,35.10,35.17,791900,35.17
2014-11-05,35.20,35.27,35.04,35.18,623700,35.18
2014-11-04,35.099,35.19,34.90,35.16,450800,35.16
2014-11-03,35.20,35.25,35.03,35.11,959400,35.11
2014-10-31,35.45,35.56,35.23,35.25,816200,35.25
2014-10-30,35.12,35.205,34.90,35.17,758500,35.17
2014-10-29,35.22,35.33,35.00,35.12,355400,35.12
2014-10-28,34.85,35.42,34.75,35.33,1440300,35.33
2014-10-27,34.82,34.91,34.66,34.82,434200,34.82
2014-10-24,34.72,34.87,34.66,34.805,780000,34.805
2014-10-23,34.66,34.86,34.502,34.78,868400,34.78
2014-10-22,34.69,34.89,34.59,34.64,1229200,34.64
2014-10-21,34.55,34.93,34.42,34.75,867000,34.75
2014-10-20,34.05,34.45,34.05,34.45,1358100,34.45
2014-10-17,34.25,34.48,34.085,34.20,1880700,34.20
2014-10-16,33.26,34.11,33.24,34.105,3361800,34.105
2014-10-15,33.71,34.00,33.34,33.54,1795300,33.54
2014-10-14,33.96,34.14,33.76,33.96,985600,33.96
2014-10-13,33.85,34.15,33.665,33.68,836600,33.68
2014-10-10,33.84,33.90,33.63,33.78,1501200,33.78
2014-10-09,34.14,34.14,33.81,33.81,1986800,33.81
2014-10-08,33.99,34.18,33.79,34.09,2433500,34.09
2014-10-07,34.11,34.18,33.78,33.97,2104500,33.97
2014-10-06,34.41,34.50,34.12,34.12,1218100,34.12
2014-10-03,34.38,34.55,34.14,34.39,2471900,34.39
2014-10-02,34.12,34.23,34.03,34.12,1631700,34.12
2014-10-01,34.22,34.44,34.08,34.08,2158900,34.08
2014-09-30,34.46,34.50,34.25,34.25,996300,34.25
2014-09-29,34.16,34.51,34.08,34.44,1225700,34.44
2014-09-26,34.15,34.43,34.11,34.34,1203400,34.34
2014-09-25,34.325,34.325,34.09,34.12,1578900,34.12
2014-09-24,34.35,34.50,34.14,34.25,2188100,34.25
2014-09-23,34.13,34.49,34.09,34.39,1087500,34.39
2014-09-22,34.17,34.32,34.09,34.21,1240700,34.21
2014-09-19,34.37,34.55,34.23,34.27,3369200,34.27
2014-09-18,34.30,34.53,34.23,34.40,3848800,34.40
2014-09-17,34.55,34.63,34.26,34.26,2552900,34.26
2014-09-16,34.60,34.66,34.53,34.57,2655300,34.57
2014-09-15,34.77,34.80,34.57,34.64,3145500,34.64
2014-09-12,34.99,35.17,34.75,34.80,14001300,34.80
2014-09-11,26.60,27.07,26.44,26.71,1157600,26.71
2014-09-10,26.74,26.87,26.40,26.67,366800,26.67
2014-09-09,27.10,27.248,26.67,26.67,330600,26.67
2014-09-08,27.17,27.245,26.81,27.095,399100,27.095
2014-09-05,27.04,27.44,27.0337,27.23,367600,27.23
2014-09-04,27.09,27.47,26.97,27.13,476300,27.13
2014-09-03,27.35,27.42,26.94,26.99,453400,26.99
2014-09-02,27.45,27.90,27.12,27.305,1072800,27.305
2014-09-01,27.54,27.54,27.54,27.54,000,27.54
2014-08-29,27.22,27.69,27.16,27.54,347200,27.54
2014-08-28,27.15,27.41,26.93,27.16,258000,27.16
2014-08-27,27.22,27.32,27.00,27.22,251300,27.22
