Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,3.37,3.59,3.20,3.58,3400,3.58
2015-08-06,3.55,3.55,3.18,3.31,10500,3.31
2015-08-05,3.40,3.55,3.29,3.40,6600,3.40
2015-08-04,3.04,3.60,3.04,3.44,30300,3.44
2015-08-03,2.98,3.14,2.97,3.03,6800,3.03
2015-07-31,3.02,3.18,2.98,3.11,6600,3.11
2015-07-30,3.25,3.50,3.08,3.15,5500,3.15
2015-07-29,2.95,3.46,2.95,3.45,11900,3.45
2015-07-28,3.17,3.17,2.88,3.05,700,3.05
2015-07-27,3.08,3.17,2.85,3.00,18600,3.00
2015-07-24,3.25,3.25,3.01,3.10,12100,3.10
2015-07-23,3.37,3.37,3.00,3.12,14900,3.12
2015-07-22,2.77,3.66,2.77,3.06,2300,3.06
2015-07-21,3.01,3.01,3.00,3.00,500,3.00
2015-07-20,2.99,3.66,2.99,3.23,12200,3.23
2015-07-17,3.00,3.46,3.00,3.21,1300,3.21
2015-07-16,2.97,3.44,2.88,3.44,3600,3.44
2015-07-15,3.15,3.15,3.15,3.15,000,3.15
2015-07-14,3.15,3.15,3.15,3.15,000,3.15
2015-07-13,3.18,3.18,3.15,3.15,800,3.15
2015-07-10,3.16,3.16,3.16,3.16,200,3.16
2015-07-09,3.12,3.21,3.00,3.12,4600,3.12
2015-07-08,3.34,3.34,2.93,3.01,2400,3.01
2015-07-07,3.40,3.40,2.83,3.21,4000,3.21
2015-07-06,3.49,3.49,3.44,3.44,2200,3.44
2015-07-02,3.35,3.35,3.11,3.23,1600,3.23
2015-07-01,3.17,3.48,2.87,3.28,17300,3.28
2015-06-30,3.10,3.20,2.84,3.08,5300,3.08
2015-06-29,3.05,3.35,2.80,2.96,25400,2.96
2015-06-26,3.43,3.43,3.15,3.23,600,3.23
2015-06-25,3.45,3.45,3.11,3.29,2700,3.29
2015-06-24,3.60,3.60,3.34,3.47,6600,3.47
2015-06-23,3.64,3.64,3.57,3.57,400,3.57
2015-06-22,3.40,3.59,3.06,3.59,9000,3.59
2015-06-19,3.06,3.48,3.02,3.06,5900,3.06
2015-06-18,3.43,3.43,3.43,3.43,000,3.43
2015-06-17,3.05,3.79,3.05,3.43,7200,3.43
2015-06-16,3.23,3.26,3.05,3.16,10100,3.16
2015-06-15,3.32,3.57,3.00,3.38,12900,3.38
2015-06-12,3.74,3.85,3.51,3.56,5200,3.56
2015-06-11,3.51,3.51,3.51,3.51,000,3.51
2015-06-10,3.56,3.56,3.23,3.51,1500,3.51
2015-06-09,3.31,3.47,3.30,3.47,1600,3.47
2015-06-08,3.51,3.56,3.32,3.45,1300,3.45
2015-06-05,3.60,3.69,3.25,3.58,1500,3.58
2015-06-04,3.17,4.08,3.14,3.52,13300,3.52
2015-06-03,3.10,3.18,3.09,3.18,1100,3.18
2015-06-02,3.01,3.14,3.01,3.14,900,3.14
2015-06-01,3.08,3.13,3.08,3.13,500,3.13
2015-05-29,3.15,3.19,2.97,3.19,2000,3.19
2015-05-28,2.89,3.19,2.89,3.19,800,3.19
2015-05-27,3.03,3.24,2.84,3.24,3800,3.24
