Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,9.52,9.63,9.35,9.60,152800,9.60
2015-08-06,9.58,9.62,9.36,9.59,163300,9.59
2015-08-05,9.52,9.66,9.51,9.60,179600,9.60
2015-08-04,9.25,9.66,9.25,9.42,137400,9.42
2015-08-03,9.67,10.43,9.29,9.36,311800,9.36
2015-07-31,11.05,11.25,9.76,9.91,619600,9.91
2015-07-30,11.90,12.12,11.86,12.00,125800,12.00
2015-07-29,12.16,12.16,11.86,11.98,84000,11.98
2015-07-28,12.07,12.16,11.73,12.15,95900,12.15
2015-07-27,12.13,12.13,12.00,12.05,77200,12.05
2015-07-24,12.27,12.30,12.08,12.16,84400,12.16
2015-07-23,12.12,12.38,12.09,12.32,145700,12.32
2015-07-22,12.26,12.26,11.79,12.13,68400,12.13
2015-07-21,12.34,12.50,12.30,12.34,148000,12.34
2015-07-20,12.48,12.51,12.21,12.33,82700,12.33
2015-07-17,12.62,12.71,12.29,12.51,89100,12.51
2015-07-16,12.66,12.72,12.41,12.61,110700,12.61
2015-07-15,12.59,12.70,12.41,12.53,130100,12.53
2015-07-14,12.56,12.70,12.53,12.62,116000,12.62
2015-07-13,12.65,12.84,12.59,12.62,92400,12.62
2015-07-10,12.18,12.73,12.08,12.71,126400,12.71
2015-07-09,12.88,12.88,12.35,12.36,143100,12.36
2015-07-08,12.73,12.91,12.56,12.67,167400,12.67
2015-07-07,13.09,13.15,12.68,12.86,187000,12.86
2015-07-06,12.86,13.14,12.86,13.07,147900,13.07
2015-07-02,13.08,13.24,12.92,12.92,76900,12.92
2015-07-01,13.31,13.46,13.03,13.18,201400,13.18
2015-06-30,13.22,13.49,13.11,13.23,183500,13.23
2015-06-29,13.19,13.31,13.07,13.14,181000,13.14
2015-06-26,13.20,13.27,13.05,13.19,273600,13.19
2015-06-25,13.24,13.27,13.07,13.20,160900,13.20
2015-06-24,13.38,13.47,13.14,13.15,195100,13.15
2015-06-23,13.32,13.45,13.10,13.44,157300,13.44
2015-06-22,12.73,13.39,12.73,13.34,264900,13.34
2015-06-19,12.96,12.99,12.67,12.79,227100,12.79
2015-06-18,12.60,13.05,12.60,12.92,257900,12.92
2015-06-17,12.89,12.90,12.62,12.67,131100,12.67
2015-06-16,12.89,13.00,12.65,12.89,297300,12.83
2015-06-15,13.06,13.10,12.79,12.97,176600,12.909628
2015-06-12,12.95,13.12,12.87,13.10,159000,13.039023
2015-06-11,13.21,13.27,12.91,13.05,208000,12.989256
2015-06-10,12.80,13.23,12.79,13.14,239600,13.078837
2015-06-09,12.72,12.88,12.64,12.76,108600,12.700605
2015-06-08,12.83,13.10,12.65,12.80,244900,12.740419
2015-06-05,13.45,13.47,12.50,12.91,468900,12.849907
2015-06-04,13.61,13.84,13.61,13.77,161500,13.705904
2015-06-03,13.41,13.78,13.40,13.74,336600,13.676043
2015-06-02,13.52,13.62,13.31,13.48,282300,13.417253
2015-06-01,13.35,13.76,13.22,13.45,405700,13.387393
2015-05-29,12.97,13.59,12.97,13.41,455400,13.347579
2015-05-28,12.91,13.02,12.73,12.97,423400,12.909628
2015-05-27,12.48,12.90,12.44,12.88,232600,12.820047
2015-05-26,12.47,12.54,12.23,12.49,158800,12.431862
2015-05-22,12.57,12.66,12.38,12.48,219800,12.421908
2015-05-21,12.64,12.75,12.40,12.49,129000,12.431862
2015-05-20,12.46,12.72,12.30,12.62,178600,12.561257
2015-05-19,12.23,12.43,12.19,12.36,123200,12.302467
2015-05-18,12.08,12.33,11.95,12.24,242500,12.183025
2015-05-15,12.16,12.21,11.88,11.94,96800,11.884422
2015-05-14,11.98,12.15,11.82,12.15,123200,12.093444
2015-05-13,11.66,11.99,11.63,11.94,165200,11.884422
2015-05-12,11.42,11.60,11.31,11.60,145700,11.546005
2015-05-11,11.51,11.65,11.39,11.44,217000,11.386749
2015-05-08,11.47,11.53,11.42,11.45,97600,11.396703
2015-05-07,11.22,11.45,11.14,11.38,111200,11.327029
2015-05-06,11.25,11.35,11.23,11.27,144200,11.217541
2015-05-05,11.20,11.34,11.10,11.27,112900,11.217541
2015-05-04,11.04,11.40,11.04,11.26,180100,11.207588
2015-05-01,10.50,11.27,10.50,11.01,326900,10.958751
2015-04-30,10.45,10.54,10.17,10.47,127200,10.421265
2015-04-29,10.63,10.76,10.45,10.46,55700,10.411311
2015-04-28,10.57,10.85,10.57,10.74,84700,10.690008
2015-04-27,10.54,10.76,10.43,10.56,74000,10.510846
2015-04-24,10.61,10.62,10.46,10.56,57300,10.510846
2015-04-23,10.64,10.72,10.55,10.65,50900,10.600426
2015-04-22,10.69,10.75,10.56,10.71,47700,10.660148
2015-04-21,10.73,10.76,10.68,10.73,31100,10.680054
2015-04-20,10.73,10.82,10.59,10.73,54400,10.680054
2015-04-17,10.83,10.93,10.55,10.63,76800,10.58052
2015-04-16,10.97,11.00,10.90,10.92,47400,10.86917
2015-04-15,10.99,11.12,10.96,11.00,88200,10.948798
2015-04-14,11.21,11.21,10.99,11.04,114800,10.988611
2015-04-13,11.38,11.40,11.16,11.23,70800,11.177727
2015-04-10,11.29,11.40,11.10,11.37,49500,11.317075
2015-04-09,11.27,11.32,10.94,11.20,39500,11.147866
2015-04-08,11.24,11.45,11.15,11.28,152500,11.227494
2015-04-07,11.20,11.42,11.14,11.24,52100,11.18768
2015-04-06,10.95,11.25,10.90,11.24,75900,11.18768
2015-04-02,11.10,11.16,10.86,10.98,56600,10.92889
2015-04-01,10.94,11.15,10.83,11.13,91700,11.078193
2015-03-31,11.05,11.10,10.93,10.94,87400,10.889076
2015-03-30,11.02,11.21,10.88,11.10,77900,11.048332
2015-03-27,10.95,11.13,10.77,11.00,63700,10.948798
2015-03-26,10.75,11.04,10.72,10.94,55300,10.889076
2015-03-25,11.38,11.39,10.73,10.80,59300,10.749729
2015-03-24,11.41,11.50,11.33,11.37,89500,11.317075
2015-03-23,11.25,11.50,11.25,11.43,51900,11.376796
2015-03-20,11.19,11.41,11.01,11.32,135600,11.267308
2015-03-19,11.19,11.25,10.98,11.18,40000,11.12796
2015-03-18,11.20,11.37,11.04,11.20,98900,11.147866
2015-03-17,11.05,11.25,10.94,11.20,91300,11.147866
2015-03-16,11.18,11.25,11.05,11.07,45100,11.018471
2015-03-13,11.16,11.16,10.86,11.12,58100,11.068239
2015-03-12,11.17,11.22,10.96,11.14,97900,11.088146
2015-03-11,10.98,11.11,10.86,11.05,67600,10.998565
2015-03-10,10.89,11.05,10.65,10.99,60400,10.938844
