Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.41,0.43,0.38,0.40,303900,0.40
2015-08-06,0.43,0.43,0.41,0.43,26800,0.43
2015-08-05,0.40,0.44,0.40,0.42,65900,0.42
2015-08-04,0.44,0.46,0.40,0.45,78500,0.45
2015-08-03,0.49,0.49,0.45,0.45,106300,0.45
2015-07-31,0.48,0.49,0.45,0.48,99200,0.48
2015-07-30,0.48,0.49,0.44,0.48,238800,0.48
2015-07-29,0.48,0.48,0.44,0.47,77300,0.47
2015-07-28,0.44,0.48,0.44,0.46,65000,0.46
2015-07-27,0.49,0.49,0.45,0.46,29500,0.46
2015-07-24,0.49,0.49,0.47,0.49,59300,0.49
2015-07-23,0.49,0.49,0.47,0.48,35400,0.48
2015-07-22,0.47,0.48,0.47,0.47,27700,0.47
2015-07-21,0.47,0.49,0.47,0.47,33600,0.47
2015-07-20,0.49,0.50,0.47,0.48,16300,0.48
2015-07-17,0.50,0.50,0.46,0.50,53600,0.50
2015-07-16,0.47,0.50,0.46,0.50,95600,0.50
2015-07-15,0.43,0.50,0.43,0.48,76600,0.48
2015-07-14,0.45,0.48,0.41,0.47,142900,0.47
2015-07-13,0.46,0.46,0.43,0.44,19500,0.44
2015-07-10,0.43,0.46,0.43,0.43,68900,0.43
2015-07-09,0.46,0.46,0.43,0.46,53600,0.46
2015-07-08,0.45,0.46,0.40,0.45,157400,0.45
2015-07-07,0.45,0.46,0.43,0.45,92000,0.45
2015-07-06,0.49,0.49,0.44,0.45,104300,0.45
2015-07-02,0.48,0.48,0.41,0.47,115200,0.47
2015-07-01,0.50,0.50,0.47,0.47,72600,0.47
2015-06-30,0.47,0.50,0.40,0.50,301000,0.50
2015-06-29,0.48,0.50,0.45,0.50,241700,0.50
2015-06-26,0.50,0.52,0.47,0.49,211700,0.49
2015-06-25,0.50,0.50,0.45,0.50,336700,0.50
2015-06-24,0.46,0.49,0.45,0.48,640300,0.48
2015-06-23,0.43,0.46,0.43,0.45,500400,0.45
2015-06-22,0.41,0.43,0.38,0.43,453800,0.43
2015-06-19,0.37,0.41,0.37,0.41,147200,0.41
2015-06-18,0.41,0.41,0.38,0.41,54100,0.41
2015-06-17,0.39,0.41,0.38,0.41,79400,0.41
2015-06-16,0.39,0.40,0.38,0.40,144500,0.40
2015-06-15,0.39,0.41,0.39,0.40,83300,0.40
2015-06-12,0.40,0.42,0.38,0.42,73100,0.42
2015-06-11,0.40,0.41,0.39,0.41,39600,0.41
2015-06-10,0.40,0.42,0.38,0.41,131700,0.41
2015-06-09,0.40,0.42,0.38,0.41,143900,0.41
