Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,13.66,13.70,13.50,13.56,3600,13.56
2015-08-06,13.44,13.58,13.41,13.58,5700,13.58
2015-08-05,13.85,13.85,13.50,13.53,2700,13.53
2015-08-04,13.47,13.69,13.45,13.50,3000,13.50
2015-08-03,13.53,13.53,13.40,13.42,4900,13.42
2015-07-31,13.84,13.87,13.74,13.74,4700,13.74
2015-07-30,13.76,13.76,13.59,13.74,4000,13.74
2015-07-29,13.94,14.01,13.86,13.97,2900,13.97
2015-07-28,13.79,14.07,13.71,13.93,11000,13.93
2015-07-27,13.80,13.83,13.40,13.40,8200,13.40
2015-07-24,14.19,14.20,13.83,13.99,13500,13.99
2015-07-23,14.77,14.77,14.25,14.35,16700,14.35
2015-07-22,14.85,14.85,14.70,14.70,8400,14.70
2015-07-21,15.12,15.28,15.12,15.16,4700,15.16
2015-07-20,15.13,15.13,15.00,15.00,13900,15.00
2015-07-17,15.55,15.59,15.30,15.41,9200,15.41
2015-07-16,15.55,15.74,15.50,15.50,1600,15.50
2015-07-15,15.87,15.87,15.61,15.66,6600,15.66
2015-07-14,15.74,15.86,15.71,15.86,4900,15.86
2015-07-13,15.59,15.70,15.41,15.64,6400,15.64
2015-07-10,15.52,15.52,15.39,15.44,10000,15.44
2015-07-09,15.20,15.51,15.14,15.30,8900,15.30
2015-07-08,15.02,15.15,14.80,14.86,167400,14.86
2015-07-07,15.50,15.50,14.85,15.37,107800,15.37
2015-07-06,16.040001,16.049999,15.74,15.83,98200,15.83
2015-07-02,16.40,16.559999,16.35,16.35,5600,16.35
2015-07-01,16.52,16.58,16.40,16.40,4700,16.40
2015-06-30,16.950001,16.959999,16.77,16.77,1100,16.77
2015-06-29,16.99,17.129999,16.90,16.92,9600,16.92
2015-06-26,17.26,17.26,17.209999,17.209999,2500,17.209999
2015-06-25,17.76,17.76,17.299999,17.299999,8300,17.299999
2015-06-24,17.42,17.42,17.42,17.42,000,17.42
2015-06-23,17.559999,17.559999,17.40,17.42,1300,17.42
2015-06-22,17.32,17.459999,17.26,17.26,11400,17.26
2015-06-19,17.57,17.57,17.370001,17.41,3800,17.41
2015-06-18,17.76,17.90,17.629999,17.74,4700,17.74
2015-06-17,17.700001,17.719999,17.360001,17.719999,2200,17.719999
2015-06-16,17.559999,17.629999,17.450001,17.629999,6900,17.629999
