Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.55,0.62,0.52,0.61,88200,0.61
2015-08-06,0.59,0.59,0.56,0.58,120000,0.58
2015-08-05,0.63,0.65,0.58,0.59,69300,0.59
2015-08-04,0.63,0.65,0.61,0.63,82200,0.63
2015-08-03,0.67,0.67,0.61,0.63,105000,0.63
2015-07-31,0.64,0.68,0.64,0.67,74400,0.67
2015-07-30,0.67,0.68,0.63,0.65,50600,0.65
2015-07-29,0.66,0.70,0.60,0.69,187700,0.69
2015-07-28,0.65,0.71,0.64,0.64,136400,0.64
2015-07-27,0.64,0.71,0.64,0.65,125900,0.65
2015-07-24,0.64,0.68,0.63,0.64,91100,0.64
2015-07-23,0.67,0.67,0.64,0.64,66400,0.64
2015-07-22,0.63,0.70,0.63,0.65,121600,0.65
2015-07-21,0.64,0.71,0.64,0.65,90200,0.65
2015-07-20,0.71,0.74,0.63,0.67,247300,0.67
2015-07-17,0.74,0.75,0.70,0.71,166400,0.71
2015-07-16,0.75,0.75,0.73,0.74,97800,0.74
2015-07-15,0.73,0.75,0.72,0.75,77000,0.75
2015-07-14,0.71,0.75,0.71,0.73,53900,0.73
2015-07-13,0.73,0.75,0.71,0.71,219200,0.71
2015-07-10,0.73,0.75,0.72,0.72,130000,0.72
2015-07-09,0.75,0.75,0.72,0.73,105000,0.73
2015-07-08,0.72,0.73,0.70,0.72,174900,0.72
2015-07-07,0.76,0.76,0.70,0.75,269300,0.75
2015-07-06,0.77,0.78,0.73,0.75,232500,0.75
2015-07-02,0.78,0.79,0.78,0.78,67400,0.78
2015-07-01,0.80,0.80,0.78,0.79,138100,0.79
2015-06-30,0.79,0.80,0.75,0.80,216400,0.80
2015-06-29,0.75,0.79,0.75,0.78,337700,0.78
2015-06-26,0.79,0.80,0.74,0.74,409000,0.74
2015-06-25,0.85,0.88,0.76,0.80,463300,0.80
2015-06-24,0.93,0.95,0.81,0.84,764900,0.84
2015-06-23,0.87,0.90,0.84,0.90,355300,0.90
2015-06-22,0.88,0.90,0.84,0.86,406300,0.86
2015-06-19,0.83,0.87,0.81,0.86,1071800,0.86
2015-06-18,0.78,0.84,0.76,0.82,485800,0.82
2015-06-17,0.76,0.78,0.75,0.78,25200,0.78
2015-06-16,0.78,0.79,0.75,0.75,76700,0.75
2015-06-15,0.79,0.79,0.75,0.77,116600,0.77
2015-06-12,0.73,0.82,0.73,0.78,254900,0.78
2015-06-11,0.74,0.76,0.73,0.73,354600,0.73
2015-06-10,0.74,0.75,0.74,0.74,50200,0.74
2015-06-09,0.72,0.76,0.72,0.74,54600,0.74
2015-06-08,0.73,0.76,0.73,0.74,75200,0.74
2015-06-05,0.73,0.75,0.72,0.73,86800,0.73
2015-06-04,0.73,0.76,0.73,0.74,58600,0.74
2015-06-03,0.72,0.76,0.72,0.75,118200,0.75
2015-06-02,0.71,0.73,0.70,0.73,206200,0.73
2015-06-01,0.74,0.75,0.72,0.73,127900,0.73
2015-05-29,0.74,0.76,0.73,0.73,168300,0.73
2015-05-28,0.81,0.82,0.68,0.74,604900,0.74
2015-05-27,0.84,0.84,0.78,0.79,195000,0.79
2015-05-26,0.83,0.84,0.78,0.83,102900,0.83
2015-05-22,0.81,0.85,0.78,0.80,91300,0.80
2015-05-21,0.87,0.88,0.81,0.82,264400,0.82
2015-05-20,0.75,0.90,0.75,0.84,780600,0.84
2015-05-19,0.77,0.79,0.74,0.74,125300,0.74
2015-05-18,0.80,0.81,0.74,0.78,231600,0.78
2015-05-15,0.83,0.84,0.81,0.81,100600,0.81
2015-05-14,0.80,0.86,0.80,0.83,165000,0.83
2015-05-13,0.79,0.83,0.77,0.82,183400,0.82
2015-05-12,0.74,0.80,0.74,0.77,155200,0.77
2015-05-11,0.76,0.80,0.74,0.75,282900,0.75
2015-05-08,0.77,0.77,0.73,0.77,191500,0.77
2015-05-07,0.85,0.85,0.71,0.76,675500,0.76
2015-05-06,0.90,0.90,0.81,0.84,263800,0.84
2015-05-05,0.90,0.91,0.88,0.90,153000,0.90
2015-05-04,0.88,0.92,0.86,0.89,113800,0.89
2015-05-01,0.86,0.90,0.86,0.89,212900,0.89
2015-04-30,0.88,0.94,0.84,0.86,236400,0.86
2015-04-29,0.89,0.92,0.87,0.89,235200,0.89
2015-04-28,0.90,0.95,0.88,0.91,221400,0.91
2015-04-27,1.00,1.00,0.90,0.93,317300,0.93
2015-04-24,0.96,0.98,0.93,0.96,187400,0.96
2015-04-23,0.94,0.96,0.92,0.95,162300,0.95
2015-04-22,0.94,0.97,0.93,0.94,226100,0.94
2015-04-21,1.02,1.03,0.96,0.97,427600,0.97
2015-04-20,1.05,1.07,0.99,1.01,613600,1.01
2015-04-17,1.02,1.02,0.97,1.01,223000,1.01
2015-04-16,1.06,1.06,1.01,1.02,298900,1.02
2015-04-15,1.09,1.09,0.99,1.04,884300,1.04
2015-04-14,1.06,1.10,0.97,1.08,2101200,1.08
2015-04-13,0.94,1.07,0.91,1.05,2245900,1.05
