Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,17.129999,17.27,16.93,17.00,89100,17.00
2015-08-06,17.23,17.35,17.120001,17.23,82300,17.23
2015-08-05,17.16,17.389999,17.10,17.24,83200,17.24
2015-08-04,17.08,17.34,17.08,17.15,104500,17.15
2015-08-03,17.00,17.10,16.719999,17.030001,77500,17.030001
2015-07-31,16.90,17.040001,16.82,17.00,130500,17.00
2015-07-30,16.780001,17.08,16.75,17.01,160300,16.87
2015-07-29,17.07,17.299999,16.860001,16.860001,147300,16.721235
2015-07-28,17.200001,17.200001,16.719999,17.040001,153700,16.899754
2015-07-27,17.09,17.110001,16.780001,17.059999,85600,16.919588
2015-07-24,18.00,18.00,16.82,17.08,150600,16.939424
2015-07-23,17.48,17.48,17.01,17.15,100600,17.008847
2015-07-22,17.24,17.459999,17.24,17.389999,101600,17.246872
2015-07-21,17.299999,17.60,17.18,17.27,94600,17.127861
2015-07-20,17.280001,17.43,17.219999,17.34,64100,17.197284
2015-07-17,17.48,17.48,17.209999,17.309999,138600,17.16753
2015-07-16,17.40,17.59,17.40,17.450001,100500,17.306379
2015-07-15,17.389999,17.49,17.26,17.389999,67000,17.246872
2015-07-14,17.290001,17.459999,17.24,17.40,95600,17.25679
2015-07-13,17.40,17.540001,17.34,17.379999,75100,17.236954
2015-07-10,17.280001,17.440001,17.16,17.34,86300,17.197284
2015-07-09,17.16,17.27,17.07,17.17,145800,17.028683
2015-07-08,16.85,17.16,16.77,17.00,187500,16.860082
2015-07-07,17.18,17.18,16.860001,16.950001,111500,16.810495
2015-07-06,16.870001,17.200001,16.870001,17.17,78000,17.028683
2015-07-02,17.42,17.42,17.09,17.10,65000,16.95926
2015-07-01,17.120001,17.51,17.040001,17.42,247000,17.276626
2015-06-30,17.190001,17.309999,16.92,16.940001,230200,16.800577
2015-06-29,17.309999,17.52,17.07,17.120001,81300,16.979096
2015-06-26,17.459999,17.66,17.32,17.459999,589800,17.316295
2015-06-25,17.450001,17.549999,17.379999,17.450001,103100,17.306379
2015-06-24,17.290001,17.50,17.10,17.42,157000,17.276626
2015-06-23,17.120001,17.40,17.120001,17.290001,98300,17.147696
2015-06-22,17.040001,17.23,17.040001,17.15,118000,17.008847
2015-06-19,16.98,17.059999,16.860001,16.99,221600,16.850164
2015-06-18,16.700001,16.969999,16.68,16.940001,135400,16.800577
2015-06-17,16.940001,16.950001,16.60,16.690001,137400,16.552634
2015-06-16,16.83,16.93,16.74,16.91,90300,16.770823
2015-06-15,16.969999,17.07,16.76,16.90,102600,16.760905
2015-06-12,17.049999,17.190001,16.91,17.030001,96500,16.889836
2015-06-11,17.110001,17.110001,16.92,17.08,116400,16.939424
2015-06-10,16.889999,17.120001,16.74,17.059999,205500,16.919588
2015-06-09,16.68,16.940001,16.60,16.799999,73200,16.661728
2015-06-08,16.74,16.75,16.620001,16.690001,69200,16.552634
2015-06-05,16.51,16.74,16.48,16.73,82600,16.592304
2015-06-04,16.610001,16.66,16.360001,16.469999,86500,16.334444
2015-06-03,16.389999,16.74,16.389999,16.65,192700,16.512963
2015-06-02,16.309999,16.50,16.290001,16.379999,52900,16.245184
2015-06-01,16.43,16.459999,16.25,16.34,171500,16.205515
2015-05-29,16.440001,16.50,16.24,16.389999,145000,16.255102
2015-05-28,16.360001,16.49,16.280001,16.440001,170200,16.304692
2015-05-27,16.110001,16.360001,16.030001,16.360001,110400,16.22535
2015-05-26,16.17,16.17,15.96,16.09,84700,15.957572
2015-05-22,16.219999,16.280001,16.15,16.200001,215400,16.066668
2015-05-21,16.27,16.32,16.15,16.25,85300,16.116255
2015-05-20,16.33,16.389999,16.219999,16.290001,92800,16.155927
2015-05-19,16.200001,16.389999,16.17,16.33,124200,16.195597
2015-05-18,16.030001,16.25,16.030001,16.190001,261900,16.05675
2015-05-15,16.10,16.23,15.94,16.120001,189400,15.987326
2015-05-14,16.190001,16.25,16.110001,16.17,128900,16.036914
2015-05-13,16.24,16.41,16.17,16.190001,70500,16.05675
2015-05-12,16.139999,16.33,15.95,16.24,107700,16.106337
2015-05-11,15.98,16.209999,15.98,16.129999,113600,15.997242
2015-05-08,16.00,16.00,15.83,15.92,66800,15.788971
2015-05-07,15.83,15.99,15.80,15.91,70800,15.779053
2015-05-06,15.75,15.97,15.55,15.90,150700,15.769136
2015-05-05,15.72,15.86,15.46,15.65,128600,15.521193
2015-05-04,15.77,15.80,15.65,15.72,69000,15.590618
2015-05-01,16.00,16.00,15.64,15.81,115700,15.541029
2015-04-30,16.26,16.32,15.90,15.92,116000,15.649158
2015-04-29,16.370001,16.52,16.26,16.280001,77700,16.003034
2015-04-28,16.18,16.450001,16.18,16.389999,104100,16.111161
2015-04-27,16.26,16.40,16.07,16.209999,122500,15.934223
2015-04-24,16.459999,16.639999,16.129999,16.16,90200,15.885074
2015-04-23,16.209999,16.42,16.209999,16.370001,70700,16.091503
2015-04-22,16.219999,16.299999,16.120001,16.25,109000,15.973543
2015-04-21,16.309999,16.34,16.139999,16.209999,58400,15.934223
2015-04-20,16.120001,16.280001,16.049999,16.23,99400,15.953883
2015-04-17,16.18,16.219999,15.92,16.00,71900,15.727797
2015-04-16,16.309999,16.42,16.200001,16.280001,75800,16.003034
2015-04-15,16.280001,16.450001,16.219999,16.32,95000,16.042352
2015-04-14,16.299999,16.389999,16.200001,16.26,89100,15.983373
2015-04-13,16.280001,16.42,16.209999,16.290001,82100,16.012864
2015-04-10,16.24,16.309999,16.059999,16.26,34900,15.983373
2015-04-09,16.280001,16.360001,16.00,16.190001,71200,15.914565
2015-04-08,16.32,16.42,16.25,16.280001,126700,16.003034
2015-04-07,16.24,16.41,16.10,16.280001,72300,16.003034
2015-04-06,16.219999,16.40,16.129999,16.23,57100,15.953883
2015-04-02,16.43,16.540001,16.360001,16.379999,91300,16.101331
2015-04-01,16.10,16.41,16.08,16.41,168600,16.130821
2015-03-31,16.030001,16.17,16.00,16.10,204200,15.826096
2015-03-30,15.92,16.18,15.90,16.07,63200,15.796605
2015-03-27,16.059999,16.139999,15.79,15.84,89300,15.570519
2015-03-26,15.98,16.10,15.96,16.040001,69000,15.767117
2015-03-25,16.219999,16.40,15.97,16.02,126800,15.747457
2015-03-24,16.07,16.33,16.030001,16.23,110600,15.953883
2015-03-23,15.94,16.26,15.94,16.110001,101700,15.835926
2015-03-20,15.88,16.10,15.77,16.01,234600,15.737627
2015-03-19,15.77,15.81,15.67,15.76,60900,15.49188
2015-03-18,15.79,15.97,15.69,15.79,77100,15.521369
2015-03-17,15.65,15.86,15.55,15.83,136000,15.560689
2015-03-16,15.77,15.87,15.64,15.73,78800,15.46239
2015-03-13,15.77,15.80,15.40,15.73,82200,15.46239
2015-03-12,15.50,15.79,15.41,15.74,98500,15.47222
2015-03-11,15.27,15.41,15.17,15.38,78700,15.118345
2015-03-10,15.39,15.39,15.16,15.21,95700,14.951237
2015-03-09,15.53,15.68,15.41,15.49,101400,15.226473
2015-03-06,15.40,15.78,15.27,15.48,103500,15.216643
2015-03-05,15.45,15.48,15.20,15.48,149600,15.216643
2015-03-04,15.46,15.50,15.31,15.39,107400,15.128175
2015-03-03,15.63,15.63,15.44,15.49,90100,15.226473
2015-03-02,15.55,15.70,15.44,15.60,116000,15.334602
2015-02-27,15.65,15.78,15.50,15.56,197600,15.295283
2015-02-26,15.69,15.79,15.59,15.70,136000,15.4329
2015-02-25,15.80,15.87,15.70,15.75,103400,15.48205
2015-02-24,15.74,16.00,15.49,15.80,236000,15.531199
2015-02-23,15.70,15.77,15.45,15.77,78500,15.50171
2015-02-20,15.67,15.75,15.39,15.70,131900,15.4329
2015-02-19,15.55,15.74,15.42,15.66,77500,15.393581
2015-02-18,15.61,15.68,15.48,15.57,105500,15.305112
2015-02-17,15.63,15.70,15.53,15.68,85300,15.413241
2015-02-13,15.76,15.83,15.59,15.63,179300,15.364091
2015-02-12,15.63,15.82,15.61,15.76,117900,15.49188
2015-02-11,15.59,15.64,15.42,15.52,203500,15.255963
2015-02-10,15.63,15.65,15.29,15.61,164400,15.344431
2015-02-09,15.66,15.72,15.44,15.46,88400,15.196983
2015-02-06,15.54,15.76,15.54,15.70,172400,15.4329
2015-02-05,15.42,15.60,15.38,15.47,189100,15.206814
2015-02-04,15.32,15.57,15.29,15.33,122900,15.069195
2015-02-03,15.13,15.47,15.13,15.36,189000,15.098684
2015-02-02,14.80,15.08,14.76,15.03,149600,14.774299
2015-01-30,14.98,15.17,14.73,14.76,208000,14.508893
2015-01-29,14.78,15.23,14.73,15.21,222700,14.951237
2015-01-28,15.80,15.80,14.93,14.98,147500,14.587531
2015-01-27,15.35,15.47,15.20,15.30,89300,14.899148
2015-01-26,15.31,15.46,15.08,15.44,78800,15.035479
2015-01-23,15.66,15.66,15.22,15.29,80900,14.889409
2015-01-22,15.11,15.61,15.02,15.60,154300,15.191288
2015-01-21,15.04,15.19,14.85,14.99,137600,14.597269
2015-01-20,15.35,15.49,14.98,15.05,236000,14.655697
2015-01-16,15.14,15.49,15.09,15.29,135400,14.889409
2015-01-15,15.25,15.37,15.08,15.19,174100,14.792029
2015-01-14,15.32,15.38,15.08,15.24,138200,14.840719
2015-01-13,15.45,15.79,15.27,15.46,140700,15.054955
2015-01-12,15.48,15.50,15.29,15.41,92900,15.006265
2015-01-09,15.71,15.71,15.40,15.45,92200,15.045217
2015-01-08,15.77,15.85,15.57,15.75,133700,15.337358
2015-01-07,15.74,15.74,15.45,15.63,92900,15.220502
2015-01-06,15.95,15.95,15.50,15.57,110700,15.162073
2015-01-05,15.98,16.110001,15.81,15.88,149400,15.463952
2015-01-02,16.379999,16.49,15.86,16.02,76800,15.600284
