Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,20.25,20.25,20.129999,20.209999,1600,20.209999
2015-08-06,20.15,20.200001,20.040001,20.040001,2200,20.040001
2015-08-05,20.209999,20.209999,20.15,20.15,900,20.15
2015-08-04,20.25,20.25,20.25,20.25,800,20.25
2015-08-03,20.200001,20.200001,20.129999,20.190001,3700,20.190001
2015-07-31,20.200001,20.23,20.15,20.17,3300,20.17
2015-07-30,20.10,20.23,20.10,20.200001,1800,20.200001
2015-07-29,20.07,20.24,20.059999,20.15,3200,20.15
2015-07-28,20.15,20.23,20.110001,20.110001,1900,20.110001
2015-07-27,20.10,20.25,20.10,20.25,1200,20.25
2015-07-24,20.08,20.25,20.08,20.23,3700,20.23
2015-07-23,20.200001,20.370001,20.139999,20.190001,11600,20.190001
2015-07-22,20.10,20.139999,20.10,20.139999,500,20.139999
2015-07-21,20.02,20.639999,20.02,20.25,4800,20.25
2015-07-20,20.440001,20.639999,20.42,20.610001,2800,20.610001
2015-07-17,20.27,20.60,20.27,20.60,2500,20.60
2015-07-16,20.200001,20.43,20.08,20.389999,7700,20.389999
2015-07-15,20.10,20.200001,20.040001,20.110001,24600,20.110001
2015-07-14,20.030001,20.15,20.02,20.08,4700,20.08
2015-07-13,20.25,20.25,20.02,20.15,10500,20.15
2015-07-10,20.15,20.15,20.01,20.08,1900,20.08
2015-07-09,20.15,20.15,19.959999,20.07,1700,20.07
2015-07-08,20.10,20.139999,20.00,20.10,3800,20.10
2015-07-07,20.17,20.190001,20.00,20.139999,3900,20.139999
2015-07-06,20.049999,20.190001,20.049999,20.17,2500,20.17
2015-07-02,20.049999,20.200001,20.00,20.049999,2200,20.049999
2015-07-01,20.120001,20.33,20.00,20.049999,4600,20.049999
2015-06-30,20.00,20.309999,20.00,20.10,16800,20.10
2015-06-29,20.15,20.629999,20.02,20.110001,7100,20.110001
2015-06-26,20.25,20.40,20.059999,20.200001,20100,20.200001
2015-06-25,20.629999,20.68,20.25,20.389999,3000,20.389999
2015-06-24,20.33,20.73,20.33,20.42,2900,20.42
2015-06-23,20.48,20.50,20.25,20.32,8100,20.32
2015-06-22,20.360001,20.50,20.16,20.450001,5000,20.450001
2015-06-19,20.129999,20.440001,20.129999,20.440001,2600,20.440001
2015-06-18,20.02,20.50,20.00,20.469999,24400,20.469999
2015-06-17,20.01,20.299999,19.91,20.030001,50800,20.030001
2015-06-16,20.65,20.65,19.950001,20.02,34100,20.02
2015-06-15,20.440001,20.440001,19.98,20.00,42400,20.00
2015-06-12,20.549999,20.65,20.09,20.10,4400,20.10
2015-06-11,19.940001,20.48,19.940001,20.08,32400,20.08
2015-06-10,20.18,20.68,19.93,20.200001,46400,20.200001
2015-06-09,19.98,20.18,19.98,20.18,4300,20.18
2015-06-08,20.10,20.33,20.00,20.33,24600,20.33
2015-06-05,20.00,20.33,19.969999,20.33,1500,20.33
2015-06-04,19.98,20.10,19.93,20.10,10000,20.10
2015-06-03,20.049999,20.200001,19.860001,20.049999,21800,20.049999
2015-06-02,20.00,20.74,19.90,20.01,5700,20.01
2015-06-01,20.08,20.790001,19.959999,20.07,3700,20.07
2015-05-29,20.15,20.629999,19.98,20.629999,2700,20.629999
2015-05-28,20.209999,20.40,19.85,19.85,9900,19.85
2015-05-27,20.219999,20.440001,20.209999,20.24,2900,20.039999
2015-05-26,20.209999,20.33,20.209999,20.299999,3400,20.099406
2015-05-22,20.77,20.77,20.200001,20.58,4100,20.37664
2015-05-21,20.200001,20.58,20.200001,20.58,2900,20.37664
2015-05-20,20.40,20.790001,20.200001,20.200001,3600,20.000396
2015-05-19,20.110001,20.719999,20.110001,20.58,3500,20.37664
2015-05-18,20.59,20.84,20.059999,20.51,4800,20.307332
2015-05-15,20.110001,20.48,20.110001,20.48,300,20.277628
2015-05-14,20.059999,20.50,20.059999,20.309999,1900,20.109307
2015-05-13,20.309999,20.50,20.049999,20.32,5300,20.119209
2015-05-12,20.219999,20.35,20.059999,20.059999,3800,19.861778
2015-05-11,20.219999,20.35,20.059999,20.190001,7400,19.990494
2015-05-08,20.18,20.290001,20.18,20.290001,1100,20.089507
2015-05-07,20.299999,20.299999,20.15,20.190001,2700,19.990494
2015-05-06,20.00,20.299999,20.00,20.299999,7500,20.099406
2015-05-05,20.35,20.35,20.02,20.129999,6000,19.931086
2015-05-04,20.01,20.16,20.00,20.02,2300,19.822174
2015-05-01,19.73,20.25,19.73,20.040001,4200,19.841977
2015-04-30,19.950001,19.950001,19.950001,19.950001,000,19.752866
2015-04-29,19.99,20.00,19.709999,19.950001,1400,19.752866
2015-04-28,20.00,20.00,19.67,19.719999,1600,19.525137
2015-04-27,20.00,20.00,19.67,19.889999,10100,19.693458
2015-04-24,19.73,19.889999,19.67,19.870001,4100,19.673657
2015-04-23,19.60,19.860001,19.60,19.73,1900,19.535039
2015-04-22,19.83,19.889999,19.58,19.67,4300,19.475632
2015-04-21,19.90,19.90,19.75,19.75,3100,19.554842
2015-04-20,19.75,19.889999,19.75,19.889999,4300,19.693458
2015-04-17,19.50,19.84,19.50,19.610001,3600,19.416226
2015-04-16,19.60,19.75,19.57,19.75,4900,19.554842
2015-04-15,19.65,19.67,19.52,19.60,2300,19.406324
2015-04-14,19.50,19.620001,19.50,19.610001,3900,19.416226
2015-04-13,19.639999,19.68,19.50,19.51,12200,19.317213
2015-04-10,19.67,19.67,19.450001,19.59,2500,19.396423
2015-04-09,19.559999,19.58,19.459999,19.459999,3000,19.267706
2015-04-08,19.459999,19.66,19.459999,19.49,6300,19.297411
2015-04-07,19.799999,19.799999,19.51,19.65,3700,19.455829
