Date,Open,High,Low,Close,Volume,Adj Close
2014-11-17,23.83,24.17,23.80,24.16,1084200,24.16
2014-11-14,23.76,23.85,23.72,23.75,2478900,23.75
2014-11-13,23.88,23.96,23.75,23.75,1713100,23.75
2014-11-12,23.98,24.10,23.82,23.89,1245800,23.89
2014-11-11,24.02,24.05,23.97,24.00,357000,24.00
2014-11-10,23.9871,24.12,23.93,24.12,326900,24.12
2014-11-07,24.07,24.08,23.98,24.02,310200,24.02
2014-11-06,24.00,24.10,23.92,24.10,209400,24.10
2014-11-05,23.971,24.06,23.95,24.00,188200,24.00
2014-11-04,24.02,24.10,23.92,23.975,155600,23.975
2014-11-03,24.00,24.09,23.92,24.03,268800,24.03
2014-10-31,23.99,24.04,23.91,24.03,283900,24.03
2014-10-30,23.79,24.00,23.77,24.00,287800,24.00
2014-10-29,23.90,23.93,23.76,23.77,294300,23.77
2014-10-28,23.944,24.00,23.81,23.88,366700,23.88
2014-10-27,23.95,24.11,23.81,23.96,264300,23.96
2014-10-24,23.95,24.05,23.87,23.98,364700,23.98
2014-10-23,23.855,24.09,23.8102,24.02,474200,24.02
2014-10-22,23.87,24.06,23.81,23.82,305700,23.82
2014-10-21,23.63,24.09,23.56,24.09,299200,24.09
2014-10-20,23.59,23.70,23.56,23.68,199100,23.68
2014-10-17,23.57,23.71,23.51,23.64,273900,23.64
2014-10-16,23.44,23.72,23.36,23.60,259500,23.60
2014-10-15,23.66,23.85,23.50,23.63,570000,23.63
2014-10-14,23.61,24.00,23.50,23.74,450300,23.74
2014-10-13,23.53,23.90,23.36,23.75,666500,23.75
2014-10-10,23.59,23.85,23.51,23.56,741900,23.56
2014-10-09,23.62,23.80,23.59,23.60,1778200,23.60
2014-10-08,23.75,23.79,23.61,23.77,3257300,23.77
2014-10-07,23.63,23.95,23.53,23.75,3504700,23.75
2014-10-06,24.24,24.33,23.45,24.24,8087200,24.24
2014-10-03,12.50,14.21,12.14,13.88,1108700,13.88
2014-10-02,12.20,12.38,11.34,11.83,621100,11.83
2014-10-01,12.675,12.69,12.05,12.33,353300,12.33
2014-09-30,12.96,13.0886,12.51,12.68,400800,12.68
2014-09-29,13.07,13.38,12.83,13.04,274600,13.04
2014-09-26,13.12,13.3479,12.90,13.15,241700,13.15
2014-09-25,13.95,14.10,13.075,13.12,266300,13.12
2014-09-24,13.66,14.11,13.52,13.95,154500,13.95
2014-09-23,13.43,13.995,13.25,13.78,227900,13.78
2014-09-22,13.87,13.953,13.26,13.43,258900,13.43
2014-09-19,14.20,14.3692,13.82,13.92,184100,13.92
2014-09-18,14.00,14.18,13.706,14.16,186500,14.16
2014-09-17,14.0351,14.411,13.90,13.92,164000,13.92
2014-09-16,13.87,13.986,13.5701,13.78,263500,13.78
2014-09-15,14.82,14.85,13.7801,13.97,401700,13.97
2014-09-12,15.03,15.1455,14.58,14.70,155800,14.70
2014-09-11,15.40,15.40,14.85,15.08,184000,15.08
2014-09-10,15.05,15.47,14.93,15.44,140700,15.44
2014-09-09,15.38,15.39,14.97,15.08,160300,15.08
2014-09-08,15.00,15.42,15.00,15.33,151600,15.33
2014-09-05,14.76,14.964,14.52,14.93,190400,14.93
2014-09-04,15.02,15.47,14.66,14.74,200200,14.74
2014-09-03,15.28,15.52,14.97,15.01,381800,15.01
2014-09-02,15.90,15.986,15.0386,15.28,318600,15.28
2014-09-01,15.76,15.76,15.76,15.76,000,15.76
2014-08-29,15.51,15.86,15.50,15.76,239300,15.76
2014-08-28,16.48,16.48,15.391,15.52,411500,15.52
2014-08-27,16.77,16.90,16.26,16.49,277700,16.49
2014-08-26,16.27,16.91,16.25,16.77,277300,16.77
2014-08-25,16.17,16.75,16.17,16.38,375100,16.38
2014-08-22,15.39,16.10,15.25,16.00,231600,16.00
2014-08-21,15.45,15.8099,15.20,15.41,297400,15.41
2014-08-20,16.00,16.116,15.28,15.40,336200,15.40
2014-08-19,16.00,16.15,15.65,16.02,291700,16.02
2014-08-18,15.52,16.13,15.28,15.99,593500,15.99
2014-08-15,15.32,15.39,14.52,15.15,409200,15.15
2014-08-14,14.78,15.35,14.76,15.16,441000,15.16
2014-08-13,14.01,14.65,13.84,14.51,489400,14.51
2014-08-12,13.83,13.92,13.35,13.76,273900,13.76
2014-08-11,14.30,14.407,13.70,13.87,413300,13.87
2014-08-08,13.60,14.25,13.38,14.15,401500,14.15
2014-08-07,15.10,15.15,13.36,13.65,1216200,13.65
2014-08-06,15.77,15.96,15.01,15.575,499200,15.575
2014-08-05,15.29,16.24,15.0601,15.90,684900,15.90
2014-08-04,14.09,15.26,13.85,15.17,1450100,15.17
2014-08-01,12.77,13.0799,12.57,12.80,167900,12.80
2014-07-31,12.97,13.48,12.81,12.86,263100,12.86
2014-07-30,12.87,13.48,12.81,13.17,313900,13.17
2014-07-29,13.17,13.20,12.50,12.80,522900,12.80
2014-07-28,13.70,13.70,13.27,13.35,176900,13.35
2014-07-25,13.85,13.95,13.26,13.70,228100,13.70
2014-07-24,14.33,14.43,13.86,13.94,240700,13.94
2014-07-23,14.65,14.88,14.26,14.33,173700,14.33
2014-07-22,14.91,15.14,14.56,14.64,137300,14.64
2014-07-21,15.05,15.3299,14.82,14.82,190900,14.82
2014-07-18,14.60,15.33,14.50,15.08,212000,15.08
2014-07-17,15.04,15.29,14.32,14.59,230300,14.59
2014-07-16,16.26,16.37,14.76,15.09,307000,15.09
2014-07-15,16.87,17.04,15.76,16.13,329600,16.13
2014-07-14,16.79,17.2393,16.58,16.80,133800,16.80
2014-07-11,16.74,17.12,15.8301,16.68,113600,16.68
2014-07-10,15.97,16.85,15.8301,16.79,166100,16.79
2014-07-09,16.11,16.675,15.75,16.36,237000,16.36
2014-07-08,17.29,17.57,15.90,16.11,433800,16.11
2014-07-07,17.85,18.17,17.29,17.38,317900,17.38
2014-07-04,17.90,17.90,17.90,17.90,000,17.90
2014-07-03,17.98,17.9887,17.77,17.90,107000,17.90
2014-07-02,17.46,17.9899,17.46,17.88,197300,17.88
2014-07-01,17.36,17.60,17.10,17.52,320800,17.52
2014-06-30,17.33,17.74,16.96,17.03,311000,17.03
2014-06-27,16.89,17.31,16.73,17.26,442300,17.26
2014-06-26,16.84,17.05,16.60,17.00,229900,17.00
2014-06-25,16.51,16.85,16.3701,16.80,209400,16.80
2014-06-24,16.74,16.90,16.50,16.62,324600,16.62
2014-06-23,16.52,16.6799,16.3901,16.51,243800,16.51
2014-06-20,16.73,16.75,16.32,16.56,317400,16.56
2014-06-19,16.65,16.84,16.44,16.73,385100,16.73
2014-06-18,16.43,16.58,16.13,16.37,281400,16.37
2014-06-17,16.09,16.60,15.91,16.45,419600,16.45
2014-06-16,15.70,16.19,15.50,16.16,382500,16.16
2014-06-13,15.19,15.82,15.03,15.70,381100,15.70
2014-06-12,15.79,15.926,14.77,15.32,436400,15.32
2014-06-11,16.09,16.32,15.80,15.86,256400,15.86
2014-06-10,16.08,16.32,15.9584,16.26,290500,16.26
2014-06-09,16.09,16.36,15.9101,16.18,343300,16.18
2014-06-06,16.04,16.16,15.80,16.03,213400,16.03
2014-06-05,15.88,16.10,15.77,15.99,327500,15.99
2014-06-04,15.50,15.96,15.07,15.76,278100,15.76
2014-06-03,15.62,15.7739,15.50,15.58,315800,15.58
2014-06-02,16.10,16.10,15.52,15.78,264500,15.78
2014-05-30,15.14,16.10,15.13,15.92,571300,15.92
2014-05-29,15.00,15.49,14.71,15.40,579400,15.40
2014-05-28,15.48,15.48,14.76,14.86,654500,14.86
2014-05-27,16.07,16.32,14.38,15.05,2052300,15.05
2014-05-26,16.89,16.89,16.89,16.89,000,16.89
2014-05-23,16.37,17.1199,16.01,16.89,990400,16.89
2014-05-22,16.23,16.65,15.98,16.01,525100,16.01
2014-05-21,16.71,17.00,15.80,16.15,647800,16.15
2014-05-20,16.50,17.20,16.35,16.72,738900,16.72
2014-05-19,16.02,16.49,15.99,16.38,412300,16.38
2014-05-16,16.33,16.45,15.30,15.93,424200,15.93
2014-05-15,15.85,16.35,15.64,16.31,501700,16.31
2014-05-14,15.39,15.93,15.30,15.65,245600,15.65
2014-05-13,15.76,16.10,15.42,15.50,563600,15.50
2014-05-12,14.84,15.75,14.65,15.73,733200,15.73
2014-05-09,14.34,14.50,14.00,14.40,422300,14.40
2014-05-08,14.00,14.40,13.81,14.20,616300,14.20
2014-05-07,14.10,14.2491,13.51,13.90,295900,13.90
2014-05-06,14.45,14.50,13.84,14.10,424300,14.10
2014-05-05,13.61,14.45,13.50,14.27,590200,14.27
2014-05-02,13.55,13.64,13.25,13.49,169400,13.49
2014-05-01,13.60,13.76,13.26,13.53,194300,13.53
2014-04-30,13.52,13.63,13.18,13.54,432500,13.54
2014-04-29,13.65,14.04,13.45,13.49,469300,13.49
2014-04-28,13.62,13.62,13.121,13.43,268100,13.43
2014-04-25,13.40,13.50,13.12,13.41,192700,13.41
2014-04-24,13.41,13.51,13.15,13.48,288500,13.48
2014-04-23,13.47,13.47,13.00,13.29,278700,13.29
2014-04-22,13.65,13.65,13.301,13.45,312600,13.45
2014-04-21,13.00,13.54,13.00,13.42,371500,13.42
2014-04-18,12.67,12.67,12.67,12.67,000,12.67
2014-04-17,12.79,13.09,12.58,12.67,182700,12.67
2014-04-16,12.99,13.00,12.43,12.78,199100,12.78
2014-04-15,11.96,12.74,11.70,12.72,483500,12.72
2014-04-14,12.38,12.73,11.68,11.85,359000,11.85
2014-04-11,12.50,12.909,12.16,12.19,361800,12.19
2014-04-10,13.40,13.41,12.49,12.56,428800,12.56
2014-04-09,13.78,13.78,13.00,13.18,647400,13.18
2014-04-08,12.60,13.15,12.3101,12.95,405900,12.95
2014-04-07,12.89,12.94,12.19,12.38,477700,12.38
2014-04-04,13.80,13.90,12.7601,12.889,462600,12.889
2014-04-03,14.10,14.164,13.40,13.71,518200,13.71
2014-04-02,14.30,14.39,13.85,14.04,727200,14.04
2014-04-01,14.68,14.68,13.80,14.23,2680500,14.23
2014-03-31,13.75,13.9899,13.22,13.466,586700,13.466
2014-03-28,14.40,14.83,13.39,13.50,802200,13.50
2014-03-27,14.35,14.969,13.95,14.26,534700,14.26
2014-03-26,14.45,14.6699,14.05,14.21,443000,14.21
2014-03-25,14.87,15.37,14.05,14.33,546800,14.33
2014-03-24,14.95,15.16,14.12,14.59,459800,14.59
2014-03-21,15.57,15.8999,14.77,14.90,521400,14.90
2014-03-20,16.59,16.99,15.35,15.49,577700,15.49
2014-03-19,14.74,16.75,14.71,16.65,940600,16.65
2014-03-18,14.78,15.03,14.4101,14.66,630400,14.66
2014-03-17,14.53,14.58,13.90,13.91,319100,13.91
2014-03-14,14.80,14.80,14.05,14.24,192400,14.24
2014-03-13,14.80,14.80,14.02,14.44,315100,14.44
2014-03-12,14.10,14.70,14.00,14.64,255400,14.64
2014-03-11,14.25,14.50,13.93,14.13,202200,14.13
2014-03-10,14.18,14.339,13.96,14.25,189800,14.25
2014-03-07,14.28,14.37,13.71,14.15,249500,14.15
2014-03-06,14.78,14.80,13.77,14.18,581800,14.18
2014-03-05,14.28,14.284,13.90,13.99,246300,13.99
2014-03-04,14.22,14.38,14.02,14.235,331500,14.235
2014-03-03,13.63,14.12,13.40,14.02,232800,14.02
2014-02-28,14.43,14.44,12.83,13.71,512500,13.71
2014-02-27,14.16,14.49,13.91,14.44,362500,14.44
2014-02-26,13.85,14.35,13.67,13.98,212300,13.98
2014-02-25,14.32,14.558,13.75,13.85,392000,13.85
2014-02-24,14.10,14.8258,14.08,14.25,344500,14.25
2014-02-21,14.00,14.10,13.80,14.00,243400,14.00
2014-02-20,13.65,14.18,13.33,13.90,328800,13.90
2014-02-19,13.63,14.1915,13.52,13.58,304700,13.58
2014-02-18,12.87,13.65,12.44,13.60,497500,13.60
2014-02-17,12.77,12.77,12.77,12.77,000,12.77
2014-02-14,12.60,12.90,12.37,12.77,189900,12.77
2014-02-13,12.20,12.90,12.20,12.68,229700,12.68
2014-02-12,12.74,12.84,12.32,12.37,196400,12.37
2014-02-11,12.12,12.90,12.12,12.71,340600,12.71
