Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.53,0.54,0.43,0.45,9162600,0.45
2015-08-06,0.54,0.57,0.52,0.55,4663500,0.55
2015-08-05,0.55,0.55,0.53,0.54,2833500,0.54
2015-08-04,0.54,0.55,0.53,0.54,1909100,0.54
2015-08-03,0.53,0.55,0.52,0.54,2128000,0.54
2015-07-31,0.52,0.54,0.51,0.53,2036900,0.53
2015-07-30,0.56,0.56,0.51,0.52,3890800,0.52
2015-07-29,0.53,0.56,0.53,0.56,3068300,0.56
2015-07-28,0.51,0.53,0.49,0.52,3622600,0.52
2015-07-27,0.53,0.55,0.50,0.50,4355100,0.50
2015-07-24,0.59,0.61,0.55,0.55,2733500,0.55
2015-07-23,0.61,0.63,0.56,0.58,3555100,0.58
2015-07-22,0.66,0.66,0.57,0.59,3961200,0.59
2015-07-21,0.65,0.67,0.63,0.66,3187200,0.66
2015-07-20,0.69,0.69,0.63,0.64,5765100,0.64
2015-07-17,0.63,0.69,0.61,0.68,7820600,0.68
2015-07-16,0.56,0.62,0.55,0.62,7873900,0.62
2015-07-15,0.58,0.59,0.55,0.56,2503400,0.56
2015-07-14,0.60,0.60,0.56,0.58,4297500,0.58
2015-07-13,0.58,0.60,0.55,0.58,4827600,0.58
2015-07-10,0.57,0.58,0.53,0.53,3747800,0.53
2015-07-09,0.52,0.56,0.52,0.53,3381100,0.53
2015-07-08,0.51,0.54,0.51,0.51,3498500,0.51
2015-07-07,0.54,0.55,0.49,0.51,6260500,0.51
2015-07-06,0.59,0.59,0.53,0.54,4303900,0.54
2015-07-02,0.58,0.61,0.58,0.59,2641200,0.59
2015-07-01,0.62,0.64,0.56,0.57,4759900,0.57
2015-06-30,0.62,0.65,0.58,0.60,7113400,0.60
2015-06-29,0.68,0.70,0.63,0.63,6001900,0.63
2015-06-26,0.71,0.71,0.69,0.71,1820900,0.71
2015-06-25,0.73,0.74,0.69,0.70,2857300,0.70
2015-06-24,0.71,0.74,0.70,0.73,3608900,0.73
2015-06-23,0.71,0.74,0.70,0.71,3082000,0.71
2015-06-22,0.70,0.72,0.69,0.71,1894500,0.71
2015-06-19,0.69,0.71,0.68,0.71,2424800,0.71
2015-06-18,0.71,0.71,0.66,0.69,3641300,0.69
2015-06-17,0.73,0.76,0.69,0.69,3690900,0.69
2015-06-16,0.71,0.73,0.71,0.73,2423400,0.73
2015-06-15,0.68,0.74,0.67,0.72,5957600,0.72
2015-06-12,0.68,0.70,0.67,0.67,1833000,0.67
2015-06-11,0.70,0.71,0.68,0.68,2024500,0.68
2015-06-10,0.71,0.71,0.68,0.70,2655200,0.70
2015-06-09,0.73,0.73,0.70,0.71,1968200,0.71
2015-06-08,0.72,0.73,0.71,0.71,1908500,0.71
2015-06-05,0.73,0.74,0.72,0.72,1190000,0.72
2015-06-04,0.73,0.74,0.73,0.73,863300,0.73
2015-06-03,0.74,0.77,0.72,0.73,2476800,0.73
2015-06-02,0.74,0.76,0.71,0.75,1727900,0.75
2015-06-01,0.71,0.74,0.71,0.73,1827400,0.73
2015-05-29,0.75,0.75,0.72,0.73,2465500,0.73
2015-05-28,0.76,0.78,0.74,0.75,2824600,0.75
2015-05-27,0.77,0.80,0.75,0.78,2720500,0.78
2015-05-26,0.81,0.81,0.75,0.76,3794400,0.76
2015-05-22,0.82,0.82,0.79,0.81,1758600,0.81
2015-05-21,0.79,0.82,0.78,0.79,3441700,0.79
2015-05-20,0.76,0.79,0.76,0.77,2497300,0.77
2015-05-19,0.79,0.79,0.76,0.76,2102700,0.76
2015-05-18,0.77,0.80,0.75,0.79,3297700,0.79
2015-05-15,0.81,0.81,0.78,0.78,3233900,0.78
2015-05-14,0.80,0.84,0.79,0.81,5530000,0.81
2015-05-13,0.80,0.85,0.79,0.81,9892600,0.81
2015-05-12,0.72,0.78,0.70,0.78,7399600,0.78
2015-05-11,0.71,0.74,0.71,0.72,4989100,0.72
2015-05-08,0.70,0.71,0.69,0.71,2010700,0.71
2015-05-07,0.72,0.73,0.69,0.70,1826600,0.70
2015-05-06,0.72,0.75,0.72,0.73,1834500,0.73
2015-05-05,0.71,0.73,0.68,0.73,2832500,0.73
2015-05-04,0.68,0.71,0.68,0.70,2296400,0.70
2015-05-01,0.71,0.71,0.65,0.69,3182800,0.69
2015-04-30,0.67,0.71,0.65,0.71,7438500,0.71
2015-04-29,0.70,0.70,0.66,0.68,6984800,0.68
2015-04-28,0.70,0.71,0.69,0.70,3443200,0.70
2015-04-27,0.72,0.74,0.71,0.71,2405700,0.71
2015-04-24,0.71,0.74,0.71,0.73,3189300,0.73
2015-04-23,0.74,0.75,0.69,0.71,6140300,0.71
2015-04-22,0.73,0.75,0.71,0.74,3318800,0.74
2015-04-21,0.74,0.75,0.71,0.74,6731800,0.74
2015-04-20,0.74,0.75,0.73,0.75,3447400,0.75
2015-04-17,0.75,0.75,0.73,0.74,5171500,0.74
2015-04-16,0.79,0.80,0.75,0.75,4915300,0.75
2015-04-15,0.77,0.81,0.77,0.79,5685800,0.79
2015-04-14,0.78,0.79,0.76,0.77,3077100,0.77
2015-04-13,0.78,0.80,0.78,0.78,2240300,0.78
