Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.45,0.47,0.44,0.44,446500,0.44
2015-08-06,0.49,0.49,0.44,0.45,315800,0.45
2015-08-05,0.48,0.48,0.45,0.47,229200,0.47
2015-08-04,0.49,0.51,0.44,0.49,1750800,0.49
2015-08-03,0.53,0.55,0.48,0.49,931400,0.49
2015-07-31,0.53,0.57,0.51,0.51,520200,0.51
2015-07-30,0.54,0.56,0.52,0.53,97800,0.53
2015-07-29,0.54,0.56,0.53,0.55,154300,0.55
2015-07-28,0.52,0.56,0.51,0.53,344100,0.53
2015-07-27,0.55,0.55,0.52,0.52,306600,0.52
2015-07-24,0.57,0.58,0.54,0.55,167900,0.55
2015-07-23,0.53,0.58,0.53,0.56,351600,0.56
2015-07-22,0.56,0.56,0.53,0.54,302900,0.54
2015-07-21,0.59,0.59,0.53,0.57,315500,0.57
2015-07-20,0.51,0.60,0.50,0.60,516300,0.60
2015-07-17,0.56,0.58,0.49,0.52,1427300,0.52
2015-07-16,0.63,0.66,0.58,0.61,531300,0.61
2015-07-15,0.63,0.69,0.63,0.64,58500,0.64
2015-07-14,0.60,0.66,0.58,0.63,164900,0.63
2015-07-13,0.60,0.61,0.58,0.61,184400,0.61
2015-07-10,0.63,0.64,0.58,0.61,279100,0.61
2015-07-09,0.61,0.63,0.61,0.61,73000,0.61
2015-07-08,0.63,0.65,0.60,0.60,127900,0.60
2015-07-07,0.66,0.67,0.64,0.65,249900,0.65
2015-07-06,0.69,0.72,0.66,0.66,139100,0.66
2015-07-02,0.65,0.73,0.65,0.70,249100,0.70
2015-07-01,0.66,0.75,0.65,0.67,473300,0.67
2015-06-30,0.65,0.69,0.64,0.68,138200,0.68
2015-06-29,0.68,0.71,0.64,0.65,289500,0.65
2015-06-26,0.74,0.74,0.68,0.68,846000,0.68
2015-06-25,0.78,0.78,0.71,0.73,293000,0.73
2015-06-24,0.78,0.81,0.76,0.77,226600,0.77
2015-06-23,0.78,0.81,0.77,0.78,230500,0.78
2015-06-22,0.80,0.82,0.77,0.81,268800,0.81
2015-06-19,0.77,0.84,0.76,0.84,406200,0.84
2015-06-18,0.79,0.79,0.76,0.77,310100,0.77
2015-06-17,0.80,0.80,0.78,0.79,144800,0.79
2015-06-16,0.80,0.82,0.78,0.80,143100,0.80
2015-06-15,0.82,0.82,0.79,0.81,218600,0.81
2015-06-12,0.80,0.82,0.80,0.82,92600,0.82
2015-06-11,0.82,0.83,0.79,0.81,95100,0.81
2015-06-10,0.80,0.82,0.79,0.81,63700,0.81
2015-06-09,0.81,0.83,0.79,0.82,341500,0.82
2015-06-08,0.84,0.85,0.81,0.83,245900,0.83
2015-06-05,0.79,0.85,0.79,0.84,354700,0.84
2015-06-04,0.81,0.82,0.78,0.79,698000,0.79
2015-06-03,0.85,0.85,0.81,0.82,305100,0.82
2015-06-02,0.84,0.86,0.80,0.83,223300,0.83
2015-06-01,0.85,0.86,0.82,0.83,111800,0.83
2015-05-29,0.82,0.84,0.80,0.84,399100,0.84
2015-05-28,0.81,0.85,0.80,0.81,150500,0.81
2015-05-27,0.83,0.84,0.80,0.82,235600,0.82
2015-05-26,0.85,0.86,0.80,0.82,194200,0.82
2015-05-22,0.84,0.85,0.82,0.83,227600,0.83
2015-05-21,0.83,0.87,0.81,0.83,437500,0.83
2015-05-20,0.81,0.85,0.78,0.84,894200,0.84
2015-05-19,0.92,0.94,0.78,0.79,2254300,0.79
2015-05-18,0.94,0.95,0.91,0.92,620400,0.92
2015-05-15,0.93,0.98,0.93,0.96,786600,0.96
2015-05-14,1.26,1.28,0.91,0.92,7490500,0.92
2015-05-13,1.02,1.30,0.99,1.15,4523200,1.15
2015-05-12,1.04,1.08,1.00,1.00,641200,1.00
2015-05-11,1.02,1.05,0.99,1.03,600300,1.03
2015-05-08,1.07,1.08,0.97,1.01,1154500,1.01
2015-05-07,1.10,1.12,1.04,1.07,216300,1.07
2015-05-06,1.14,1.14,1.07,1.11,241800,1.11
2015-05-05,1.14,1.15,1.10,1.12,213800,1.12
2015-05-04,1.15,1.15,1.09,1.14,164700,1.14
2015-05-01,1.16,1.17,0.98,1.14,813900,1.14
2015-04-30,1.19,1.19,1.13,1.15,262500,1.15
2015-04-29,1.15,1.21,1.15,1.17,253800,1.17
2015-04-28,1.18,1.21,1.15,1.18,127900,1.18
2015-04-27,1.26,1.26,1.17,1.17,500000,1.17
2015-04-24,1.26,1.27,1.24,1.24,265300,1.24
2015-04-23,1.25,1.27,1.23,1.26,170000,1.26
2015-04-22,1.27,1.31,1.21,1.25,302800,1.25
2015-04-21,1.21,1.28,1.20,1.25,701600,1.25
2015-04-20,1.14,1.24,1.12,1.19,707000,1.19
2015-04-17,1.13,1.19,1.09,1.12,2815900,1.12
2015-04-16,1.42,1.44,1.38,1.38,826300,1.38
2015-04-15,1.45,1.45,1.42,1.43,83400,1.43
2015-04-14,1.40,1.45,1.39,1.44,243500,1.44
2015-04-13,1.37,1.48,1.36,1.38,277500,1.38
2015-04-10,1.36,1.38,1.31,1.38,207100,1.38
2015-04-09,1.33,1.35,1.30,1.35,192200,1.35
2015-04-08,1.34,1.37,1.31,1.32,205200,1.32
2015-04-07,1.31,1.38,1.29,1.35,372900,1.35
2015-04-06,1.23,1.31,1.18,1.31,384800,1.31
2015-04-02,1.20,1.23,1.16,1.22,289300,1.22
2015-04-01,1.20,1.20,1.18,1.20,651100,1.20
2015-03-31,1.18,1.19,1.15,1.19,471600,1.19
2015-03-30,1.17,1.18,1.15,1.18,125400,1.18
2015-03-27,1.15,1.18,1.14,1.17,238800,1.17
2015-03-26,1.20,1.20,1.14,1.15,327400,1.15
2015-03-25,1.25,1.25,1.18,1.20,310000,1.20
2015-03-24,1.22,1.26,1.21,1.25,233200,1.25
2015-03-23,1.23,1.24,1.22,1.22,141300,1.22
2015-03-20,1.32,1.32,1.23,1.24,216100,1.24
2015-03-19,1.37,1.37,1.23,1.25,1698500,1.25
2015-03-18,1.36,1.40,1.32,1.37,839600,1.37
2015-03-17,1.20,1.38,1.18,1.36,2182400,1.36
2015-03-16,1.70,1.70,1.54,1.55,502500,1.55
2015-03-13,1.71,1.74,1.68,1.70,117800,1.70
2015-03-12,1.78,1.80,1.70,1.70,279200,1.70
2015-03-11,1.74,1.82,1.72,1.80,493300,1.80
2015-03-10,1.78,1.82,1.69,1.74,453500,1.74
2015-03-09,1.77,1.78,1.71,1.77,363400,1.77
2015-03-06,1.78,1.79,1.71,1.78,293500,1.78
2015-03-05,1.66,1.79,1.65,1.76,593700,1.76
2015-03-04,1.63,1.68,1.58,1.66,291300,1.66
2015-03-03,1.58,1.67,1.57,1.63,158100,1.63
2015-03-02,1.62,1.67,1.60,1.61,493200,1.61
2015-02-27,1.64,1.64,1.58,1.61,265400,1.61
2015-02-26,1.52,1.69,1.50,1.63,1097800,1.63
2015-02-25,1.49,1.53,1.49,1.52,205000,1.52
2015-02-24,1.47,1.53,1.47,1.50,199600,1.50
2015-02-23,1.52,1.52,1.44,1.49,367100,1.49
2015-02-20,1.49,1.52,1.46,1.52,175000,1.52
2015-02-19,1.48,1.50,1.43,1.50,172100,1.50
2015-02-18,1.55,1.55,1.47,1.50,342800,1.50
