Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,10.40,10.40,10.40,10.40,800,10.40
2015-08-06,10.50,10.50,10.40,10.40,4700,10.40
2015-08-05,10.56,10.574,10.53,10.558,3500,10.558
2015-08-04,10.51,10.51,10.49,10.49,5800,10.49
2015-08-03,10.536,10.536,10.536,10.536,400,10.536
2015-07-31,10.556,10.59,10.556,10.59,4100,10.59
2015-07-30,10.47,10.52,10.47,10.52,1600,10.52
2015-07-29,10.478,10.478,10.478,10.478,1000,10.478
2015-07-28,10.38,10.43,10.38,10.38,2800,10.38
2015-07-27,10.42,10.42,10.338,10.34,3400,10.34
2015-07-24,10.55,10.55,10.40,10.42,12100,10.42
2015-07-23,10.584,10.59,10.51,10.55,1100,10.55
2015-07-22,10.55,10.60,10.54,10.55,7500,10.55
2015-07-21,10.76,10.76,10.56,10.56,3600,10.56
2015-07-20,10.69,10.69,10.63,10.639,3300,10.639
2015-07-17,10.60,10.65,10.59,10.616,3100,10.616
2015-07-16,10.626,10.66,10.626,10.66,8600,10.66
2015-07-15,10.62,10.63,10.545,10.545,15600,10.545
2015-07-14,10.52,10.57,10.52,10.57,7800,10.57
2015-07-13,10.518,10.54,10.512,10.52,900,10.52
2015-07-10,10.43,10.43,10.39,10.392,1200,10.392
2015-07-09,10.35,10.35,10.29,10.29,1100,10.29
2015-07-08,10.466,10.466,10.466,10.466,000,10.466
2015-07-07,10.343,10.47,10.343,10.466,2800,10.466
2015-07-06,10.414,10.414,10.40,10.40,2100,10.40
2015-07-02,10.447,10.454,10.40,10.42,11900,10.42
2015-07-01,10.48,10.48,10.42,10.434,11500,10.434
2015-06-30,10.41,10.41,10.382,10.382,1000,10.382
2015-06-29,10.51,10.51,10.45,10.45,4400,10.45
2015-06-26,10.576,10.599,10.55,10.56,3500,10.56
2015-06-25,10.59,10.629,10.59,10.62,7900,10.62
2015-06-24,10.642,10.642,10.642,10.642,300,10.642
2015-06-23,10.713,10.713,10.64,10.65,6700,10.65
2015-06-22,10.643,10.643,10.621,10.64,2400,10.64
2015-06-19,10.32,10.598,10.32,10.556,10600,10.556
2015-06-18,10.60,10.606,10.56,10.56,2300,10.56
2015-06-17,10.45,10.503,10.45,10.503,2400,10.503
2015-06-16,10.49,10.49,10.487,10.487,3000,10.487
2015-06-15,10.48,10.48,10.48,10.48,000,10.48
2015-06-12,10.496,10.50,10.48,10.48,4100,10.48
2015-06-11,10.536,10.536,10.529,10.529,1600,10.529
2015-06-10,10.511,10.511,10.511,10.511,1000,10.511
2015-06-09,10.43,10.43,10.36,10.39,7000,10.39
2015-06-08,10.475,10.475,10.475,10.475,500,10.475
2015-06-05,10.52,10.53,10.484,10.508,1900,10.508
2015-06-04,10.61,10.61,10.61,10.61,000,10.61
2015-06-03,10.57,10.61,10.57,10.61,13400,10.61
2015-06-02,10.58,10.608,10.58,10.607,2000,10.607
2015-06-01,10.60,10.65,10.60,10.65,2100,10.65
2015-05-29,10.572,10.593,10.572,10.593,1000,10.593
2015-05-28,10.84,10.84,10.63,10.63,1500,10.63
2015-05-27,10.649,10.68,10.62,10.68,8600,10.68
2015-05-26,10.58,10.58,10.53,10.58,12400,10.58
2015-05-22,10.65,10.65,10.65,10.65,200,10.65
2015-05-21,10.649,10.67,10.622,10.67,8300,10.67
2015-05-20,10.66,10.66,10.658,10.658,500,10.658
2015-05-19,10.62,10.68,10.62,10.65,34700,10.65
2015-05-18,10.64,10.64,10.625,10.64,8500,10.64
2015-05-15,10.60,10.60,10.55,10.58,9100,10.58
2015-05-14,10.50,10.57,10.50,10.57,11200,10.57
2015-05-13,10.47,10.47,10.47,10.47,800,10.47
2015-05-12,10.45,10.50,10.39,10.494,5600,10.494
2015-05-11,10.57,10.57,10.53,10.53,12200,10.53
2015-05-08,10.57,10.59,10.548,10.548,4100,10.548
2015-05-07,10.327,10.327,10.327,10.327,000,10.327
2015-05-06,10.33,10.35,10.327,10.327,4900,10.327
