Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.59,0.68,0.57,0.68,293000,0.68
2015-08-06,0.52,0.56,0.48,0.55,45100,0.55
2015-08-05,0.51,0.57,0.51,0.54,28600,0.54
2015-08-04,0.53,0.56,0.49,0.49,124000,0.49
2015-08-03,0.58,0.58,0.50,0.54,276900,0.54
2015-07-31,0.64,0.64,0.58,0.60,78800,0.60
2015-07-30,0.58,0.65,0.55,0.63,80100,0.63
2015-07-29,0.57,0.60,0.54,0.57,81400,0.57
2015-07-28,0.62,0.67,0.55,0.57,168300,0.57
2015-07-27,0.60,0.63,0.53,0.61,131300,0.61
2015-07-24,0.59,0.63,0.56,0.56,123100,0.56
2015-07-23,0.60,0.62,0.56,0.61,83500,0.61
2015-07-22,0.64,0.67,0.61,0.61,187500,0.61
2015-07-21,0.65,0.66,0.63,0.66,302400,0.66
2015-07-20,0.66,0.69,0.64,0.65,290100,0.65
2015-07-17,0.65,0.66,0.64,0.66,48400,0.66
2015-07-16,0.67,0.70,0.64,0.67,226000,0.67
2015-07-15,0.69,0.71,0.63,0.71,231200,0.71
2015-07-14,0.75,0.78,0.65,0.66,69100,0.66
2015-07-13,0.68,0.80,0.68,0.72,39100,0.72
2015-07-10,0.69,0.72,0.66,0.69,49800,0.69
2015-07-09,0.75,0.75,0.70,0.70,9300,0.70
2015-07-08,0.70,0.75,0.69,0.70,27400,0.70
2015-07-07,0.74,0.79,0.70,0.70,81900,0.70
2015-07-06,0.79,0.80,0.72,0.72,85000,0.72
2015-07-02,0.78,0.89,0.78,0.78,77600,0.78
2015-07-01,0.81,0.85,0.78,0.78,16700,0.78
2015-06-30,0.80,0.81,0.78,0.80,99300,0.80
2015-06-29,0.78,0.80,0.76,0.78,125800,0.78
2015-06-26,0.88,0.89,0.76,0.76,345100,0.76
2015-06-25,0.87,0.91,0.86,0.90,23300,0.90
2015-06-24,0.88,0.92,0.87,0.90,63400,0.90
2015-06-23,0.86,0.92,0.86,0.87,42700,0.87
2015-06-22,0.87,0.89,0.86,0.87,82400,0.87
2015-06-19,0.92,0.92,0.86,0.86,40500,0.86
2015-06-18,0.89,0.93,0.89,0.91,14700,0.91
2015-06-17,0.92,0.93,0.89,0.92,28500,0.92
2015-06-16,0.90,0.94,0.84,0.93,92400,0.93
2015-06-15,0.90,0.93,0.90,0.90,37400,0.90
2015-06-12,0.92,0.93,0.90,0.91,35400,0.91
2015-06-11,0.91,0.94,0.91,0.91,33600,0.91
2015-06-10,0.94,0.94,0.91,0.92,47000,0.92
2015-06-09,0.92,0.94,0.91,0.94,45900,0.94
2015-06-08,0.93,0.94,0.92,0.93,7900,0.93
2015-06-05,0.94,0.94,0.92,0.94,14200,0.94
2015-06-04,0.92,0.94,0.91,0.94,22000,0.94
2015-06-03,0.92,0.96,0.91,0.92,62800,0.92
2015-06-02,0.90,0.94,0.90,0.92,45500,0.92
2015-06-01,0.91,0.94,0.91,0.91,24600,0.91
2015-05-29,0.91,0.94,0.91,0.91,43600,0.91
2015-05-28,0.91,0.93,0.91,0.92,42800,0.92
2015-05-27,0.92,0.95,0.91,0.91,101400,0.91
2015-05-26,0.94,0.98,0.92,0.92,17900,0.92
2015-05-22,0.92,0.95,0.91,0.94,120600,0.94
2015-05-21,0.93,0.98,0.91,0.91,15900,0.91
2015-05-20,0.97,0.98,0.91,0.96,65400,0.96
2015-05-19,0.91,0.96,0.91,0.91,32400,0.91
2015-05-18,0.93,0.95,0.92,0.93,10600,0.93
2015-05-15,0.90,0.98,0.90,0.93,50300,0.93
2015-05-14,0.95,0.99,0.94,0.94,66100,0.94
2015-05-13,1.00,1.01,0.93,0.94,32400,0.94
2015-05-12,1.00,1.03,0.93,1.00,124400,1.00
2015-05-11,1.02,1.04,1.00,1.00,38800,1.00
2015-05-08,1.04,1.04,0.99,1.02,120200,1.02
2015-05-07,1.12,1.12,1.00,1.00,31000,1.00
2015-05-06,0.99,1.21,0.99,1.02,278000,1.02
2015-05-05,1.03,1.07,0.97,0.98,349500,0.98
2015-05-04,0.98,1.04,0.94,1.01,164500,1.01
2015-05-01,0.93,0.97,0.91,0.95,151700,0.95
2015-04-30,0.91,0.95,0.90,0.90,51100,0.90
2015-04-29,0.92,0.95,0.90,0.91,62100,0.91
2015-04-28,0.90,0.92,0.90,0.91,6900,0.91
2015-04-27,0.92,0.92,0.90,0.91,53000,0.91
2015-04-24,0.90,0.92,0.90,0.90,15900,0.90
2015-04-23,0.92,0.92,0.90,0.92,26400,0.92
2015-04-22,0.91,0.92,0.90,0.90,42600,0.90
2015-04-21,0.90,0.93,0.90,0.90,60600,0.90
2015-04-20,0.91,0.93,0.89,0.89,62000,0.89
2015-04-17,0.92,0.93,0.90,0.90,95300,0.90
2015-04-16,0.92,0.95,0.91,0.91,35600,0.91
2015-04-15,0.94,0.94,0.92,0.93,44400,0.93
2015-04-14,0.93,0.97,0.91,0.92,34100,0.92
2015-04-13,0.97,0.97,0.92,0.96,39400,0.96
2015-04-10,0.97,0.97,0.93,0.96,22600,0.96
2015-04-09,0.93,0.97,0.93,0.95,37100,0.95
2015-04-08,0.97,0.97,0.92,0.94,43900,0.94
2015-04-07,0.96,1.00,0.93,0.96,78000,0.96
2015-04-06,1.00,1.02,0.93,0.93,101400,0.93
2015-04-02,1.03,1.04,0.99,1.03,25200,1.03
2015-04-01,1.00,1.03,0.95,0.96,90700,0.96
2015-03-31,0.95,0.98,0.92,0.95,65200,0.95
2015-03-30,0.92,0.94,0.90,0.93,898300,0.93
2015-03-27,0.94,0.99,0.89,0.94,251400,0.94
2015-03-26,1.02,1.04,0.96,0.96,209000,0.96
2015-03-25,1.07,1.10,1.04,1.05,39200,1.05
2015-03-24,1.08,1.12,1.07,1.09,97100,1.09
2015-03-23,1.12,1.12,1.09,1.11,34000,1.11
2015-03-20,1.08,1.12,1.08,1.12,46400,1.12
2015-03-19,1.09,1.10,1.09,1.10,34400,1.10
2015-03-18,1.06,1.14,1.05,1.10,95100,1.10
2015-03-17,1.04,1.07,1.02,1.06,108500,1.06
2015-03-16,1.07,1.07,1.05,1.07,66600,1.07
2015-03-13,1.09,1.09,1.06,1.08,69200,1.08
2015-03-12,1.08,1.11,1.06,1.09,60600,1.09
2015-03-11,1.10,1.12,1.06,1.06,68100,1.06
2015-03-10,1.13,1.13,1.10,1.10,80600,1.10
2015-03-09,1.14,1.17,1.12,1.12,35100,1.12
2015-03-06,1.18,1.18,1.11,1.16,70700,1.16
2015-03-05,1.18,1.18,1.15,1.17,13800,1.17
2015-03-04,1.13,1.18,1.13,1.18,46900,1.18
2015-03-03,1.15,1.15,1.11,1.15,68500,1.15
2015-03-02,1.13,1.17,1.12,1.14,144100,1.14
2015-02-27,1.13,1.13,1.11,1.13,52700,1.13
2015-02-26,1.11,1.14,1.09,1.14,75200,1.14
2015-02-25,1.14,1.14,1.10,1.13,171400,1.13
2015-02-24,1.18,1.18,1.13,1.13,184700,1.13
2015-02-23,1.19,1.19,1.15,1.18,62100,1.18
2015-02-20,1.15,1.19,1.14,1.16,57000,1.16
2015-02-19,1.13,1.19,1.13,1.18,33100,1.18
2015-02-18,1.17,1.19,1.14,1.15,47800,1.15
2015-02-17,1.14,1.19,1.13,1.19,68800,1.19
2015-02-13,1.15,1.22,1.15,1.16,113200,1.16
2015-02-12,1.20,1.26,1.16,1.17,157400,1.17
2015-02-11,1.20,1.34,1.18,1.21,248200,1.21
2015-02-10,1.36,1.42,1.33,1.34,90700,1.34
2015-02-09,1.36,1.42,1.36,1.36,41100,1.36
2015-02-06,1.37,1.42,1.35,1.38,60300,1.38
2015-02-05,1.36,1.43,1.36,1.39,52700,1.39
2015-02-04,1.38,1.47,1.36,1.38,18200,1.38
2015-02-03,1.37,1.45,1.37,1.40,42100,1.40
2015-02-02,1.41,1.43,1.38,1.39,43000,1.39
2015-01-30,1.42,1.50,1.40,1.40,33600,1.40
2015-01-29,1.42,1.47,1.41,1.44,28600,1.44
2015-01-28,1.42,1.46,1.40,1.41,46300,1.41
2015-01-27,1.55,1.55,1.42,1.43,72600,1.43
2015-01-26,1.40,1.58,1.40,1.58,96400,1.58
2015-01-23,1.33,1.47,1.33,1.40,133400,1.40
2015-01-22,1.38,1.40,1.34,1.36,118200,1.36
2015-01-21,1.40,1.43,1.37,1.38,64800,1.38
2015-01-20,1.40,1.45,1.39,1.41,55800,1.41
2015-01-16,1.43,1.45,1.39,1.41,114400,1.41
2015-01-15,1.39,1.45,1.38,1.42,66700,1.42
2015-01-14,1.43,1.47,1.38,1.40,116300,1.40
2015-01-13,1.51,1.53,1.44,1.47,167500,1.47
2015-01-12,1.61,1.61,1.47,1.50,132600,1.50
2015-01-09,1.59,1.64,1.53,1.54,83500,1.54
2015-01-08,1.57,1.69,1.57,1.62,127100,1.62
2015-01-07,1.59,1.61,1.56,1.57,62900,1.57
2015-01-06,1.63,1.68,1.58,1.59,109000,1.59
2015-01-05,1.67,1.70,1.62,1.65,116400,1.65
2015-01-02,1.69,1.70,1.65,1.70,64200,1.70
2014-12-31,1.67,1.71,1.67,1.70,193500,1.70
2014-12-30,1.68,1.75,1.67,1.67,140100,1.67
2014-12-29,1.68,1.73,1.68,1.70,155800,1.70
2014-12-26,1.70,1.70,1.67,1.68,211200,1.68
2014-12-24,1.70,1.73,1.68,1.72,46600,1.72
2014-12-23,1.69,1.74,1.68,1.69,76300,1.69
2014-12-22,1.68,1.78,1.68,1.70,146200,1.70
2014-12-19,1.69,1.76,1.68,1.68,89600,1.68
2014-12-18,1.68,1.76,1.68,1.69,116200,1.69
2014-12-17,1.68,1.71,1.68,1.69,82900,1.69
2014-12-16,1.69,1.70,1.68,1.68,52400,1.68
2014-12-15,1.70,1.76,1.70,1.72,124200,1.72
2014-12-12,1.69,1.73,1.68,1.73,204500,1.73
2014-12-11,1.70,1.80,1.69,1.69,122100,1.69
2014-12-10,1.70,1.75,1.70,1.71,181500,1.71
2014-12-09,1.70,1.75,1.70,1.75,94200,1.75
2014-12-08,1.70,1.74,1.70,1.72,39000,1.72
2014-12-05,1.68,1.79,1.67,1.71,101500,1.71
2014-12-04,1.71,1.76,1.68,1.71,232300,1.71
2014-12-03,1.69,1.73,1.69,1.72,189700,1.72
2014-12-02,1.78,1.82,1.72,1.76,108500,1.76
2014-12-01,1.83,1.83,1.79,1.80,61500,1.80
2014-11-28,1.80,1.86,1.79,1.81,15000,1.81
2014-11-26,1.87,1.87,1.83,1.83,17500,1.83
2014-11-25,1.84,1.87,1.81,1.84,39900,1.84
2014-11-24,1.81,1.86,1.80,1.86,56300,1.86
2014-11-21,1.87,1.87,1.81,1.82,87800,1.82
