Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,30.629999,30.870001,30.629999,30.870001,7500,30.870001
2015-08-06,31.030001,31.030001,30.73,30.76,2600,30.76
2015-08-05,31.43,31.450001,31.129999,31.34,10600,31.34
2015-08-04,31.34,31.49,31.15,31.32,3500,31.32
2015-08-03,31.34,31.48,31.209999,31.23,6700,31.23
2015-07-31,31.690001,31.719999,31.50,31.540001,3900,31.540001
2015-07-30,31.120001,31.309999,31.09,31.27,3100,31.27
2015-07-29,31.27,31.49,31.27,31.40,4600,31.40
2015-07-28,30.90,31.059999,30.860001,31.030001,9300,31.030001
2015-07-27,31.139999,31.139999,30.83,30.870001,8400,30.870001
2015-07-24,31.85,31.85,31.540001,31.540001,2200,31.540001
2015-07-23,32.330002,32.400002,32.139999,32.299999,3800,32.299999
2015-07-22,32.43,32.50,32.380001,32.41,8900,32.41
2015-07-21,32.580002,32.950001,32.580002,32.790001,1900,32.790001
2015-07-20,32.869999,32.869999,32.549999,32.610001,5900,32.610001
2015-07-17,33.009998,33.009998,32.810001,32.970001,9200,32.970001
2015-07-16,33.040001,33.060001,32.779999,32.869999,11200,32.869999
2015-07-15,32.759998,32.759998,32.52,32.52,6800,32.52
2015-07-14,32.740002,32.990002,32.740002,32.889999,2800,32.889999
2015-07-13,32.669998,32.779999,32.669998,32.73,900,32.73
2015-07-10,32.139999,32.52,32.139999,32.52,4500,32.52
2015-07-09,31.379999,31.780001,31.379999,31.700001,17100,31.700001
2015-07-08,30.98,30.98,30.51,30.51,12300,30.51
2015-07-07,31.440001,31.440001,30.889999,31.42,9100,31.42
2015-07-06,32.310001,32.310001,32.099998,32.139999,7200,32.139999
2015-07-02,33.189999,33.299999,33.189999,33.23,6200,33.23
2015-07-01,33.189999,33.349998,32.98,32.98,7600,32.98
2015-06-30,33.16,33.330002,33.16,33.189999,3700,33.189999
2015-06-29,32.93,33.27,32.619999,32.66,413200,32.66
2015-06-26,33.419998,33.509998,33.380001,33.389999,42400,33.389999
2015-06-25,33.700001,33.75,33.59,33.75,7100,33.75
2015-06-24,34.330002,34.330002,34.029999,34.029999,2100,34.029999
2015-06-23,34.59,34.66,34.529999,34.59,5200,34.215999
2015-06-22,34.32,34.52,34.32,34.52,3200,34.146756
2015-06-19,34.130001,34.130001,34.040001,34.130001,3300,33.760974
2015-06-18,34.299999,34.369999,34.209999,34.25,17100,33.879675
2015-06-17,34.099998,34.27,33.950001,34.259998,2200,33.889565
2015-06-16,34.18,34.240002,34.09,34.200001,3100,33.830217
2015-06-15,34.18,34.290001,34.099998,34.27,11000,33.899459
2015-06-12,34.529999,34.529999,34.52,34.52,900,34.146756
2015-06-11,34.50,34.50,34.400002,34.50,3000,34.126972
2015-06-10,34.41,34.549999,34.400002,34.50,4300,34.126972
2015-06-09,34.459999,34.459999,34.16,34.220001,4800,33.850001
2015-06-08,34.77,34.77,34.77,34.77,200,34.394053
2015-06-05,34.779999,34.790001,34.669998,34.740002,1900,34.364379
2015-06-04,35.110001,35.150002,34.880001,34.900002,3800,34.522649
2015-06-03,35.279999,35.34,35.279999,35.32,1300,34.938106
2015-06-02,35.029999,35.43,35.029999,35.41,6100,35.027133
2015-06-01,34.310001,35.259998,34.310001,35.259998,19000,34.878753
2015-05-29,35.380001,35.439999,35.080002,35.09,7100,34.710593
2015-05-28,35.259998,35.259998,35.009998,35.189999,18000,34.80951
2015-05-27,35.57,35.810001,35.490002,35.75,9800,35.363457
2015-05-26,35.970001,35.970001,35.48,35.599998,3400,35.215077
2015-05-22,36.259998,36.259998,36.07,36.16,27400,35.769023
2015-05-21,36.169998,36.18,36.099998,36.18,3500,35.788808
2015-05-20,36.110001,36.389999,36.110001,36.389999,11600,35.996536
2015-05-19,36.18,36.189999,36.110001,36.110001,3300,35.719565
2015-05-18,36.700001,36.700001,36.220001,36.299999,18300,35.907509
2015-05-15,36.259998,36.52,36.209999,36.52,2100,36.125132
2015-05-14,35.810001,36.150002,35.810001,36.150002,5700,35.759133
2015-05-13,36.169998,36.169998,35.700001,35.700001,20700,35.313998
2015-05-12,35.91,36.16,35.91,36.16,8700,35.769023
2015-05-11,36.450001,36.450001,36.139999,36.18,3600,35.788808
2015-05-08,36.18,36.299999,36.18,36.299999,1500,35.907509
2015-05-07,35.84,35.84,35.43,35.639999,9000,35.254645
2015-05-06,36.360001,36.360001,35.849998,35.91,9700,35.521727
2015-05-05,36.41,36.50,36.299999,36.299999,40400,35.907509
2015-05-04,36.599998,36.84,36.599998,36.84,17500,36.441671
2015-05-01,36.50,36.810001,36.43,36.799999,4700,36.402103
2015-04-30,36.830002,36.830002,36.32,36.48,16900,36.085563
2015-04-29,37.18,37.18,36.93,37.07,7300,36.669184
2015-04-28,37.400002,37.560001,37.389999,37.549999,11700,37.143994
2015-04-27,37.279999,37.57,37.279999,37.509998,47700,37.104425
2015-04-24,36.98,37.040001,36.889999,37.00,8100,36.599941
2015-04-23,36.529999,36.98,36.50,36.869999,6700,36.471346
2015-04-22,36.16,36.459999,36.16,36.419998,8000,36.026211
2015-04-21,35.439999,35.720001,35.439999,35.529999,12600,35.145834
2015-04-20,35.259998,35.330002,35.25,35.290001,7300,34.908431
2015-04-17,35.509998,35.509998,35.240002,35.34,19800,34.95789
2015-04-16,35.849998,36.139999,35.68,35.990002,14500,35.600863
2015-04-15,35.119999,35.450001,35.099998,35.450001,9900,35.066701
2015-04-14,35.029999,35.27,35.029999,35.27,3500,34.888647
2015-04-13,35.32,35.459999,35.18,35.27,10900,34.888647
2015-04-10,35.380001,35.419998,35.220001,35.419998,2100,35.037023
2015-04-09,35.32,35.59,35.299999,35.580002,42700,35.195297
2015-04-08,35.200001,35.349998,35.139999,35.27,11000,34.888647
2015-04-07,34.41,34.41,34.02,34.02,16500,33.652163
2015-04-06,34.00,34.349998,33.919998,34.060001,95100,33.691731
2015-04-02,33.849998,33.849998,33.779999,33.82,2600,33.454324
2015-04-01,33.18,33.540001,33.18,33.439999,4600,33.078432
2015-03-31,32.68,32.869999,32.68,32.849998,14700,32.494811
2015-03-30,32.790001,32.91,32.790001,32.91,11200,32.554164
2015-03-27,32.25,32.25,32.16,32.16,2400,31.812273
2015-03-26,32.16,32.25,32.139999,32.189999,13100,31.841947
2015-03-25,32.43,32.59,32.119999,32.139999,4200,31.792489
2015-03-24,32.509998,32.549999,32.41,32.439999,8900,32.089244
2015-03-23,32.209999,32.330002,32.209999,32.330002,1800,31.980437
2015-03-20,31.709999,32.240002,31.709999,32.150002,8700,31.802383
2015-03-19,31.76,31.76,31.59,31.60,9100,31.258328
