Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,7.29,7.33,7.21,7.23,340200,7.23
2015-08-06,7.15,7.35,7.15,7.34,516400,7.34
2015-08-05,6.42,7.19,6.35,7.16,1707900,7.16
2015-08-04,6.13,6.24,6.06,6.24,287100,6.24
2015-08-03,6.22,6.24,6.09,6.15,191900,6.15
2015-07-31,6.03,6.20,6.02,6.19,759600,6.19
2015-07-30,5.92,6.04,5.87,6.02,142500,6.02
2015-07-29,5.78,5.99,5.78,5.95,215000,5.95
2015-07-28,5.92,5.95,5.75,5.81,803100,5.81
2015-07-27,5.75,5.78,5.71,5.77,382000,5.77
2015-07-24,5.90,5.90,5.75,5.78,281600,5.78
2015-07-23,5.80,5.95,5.78,5.87,218000,5.87
2015-07-22,5.98,5.99,5.72,5.77,322300,5.77
2015-07-21,6.10,6.13,5.99,6.03,172800,6.03
2015-07-20,6.09,6.12,5.98,6.06,196400,6.06
2015-07-17,6.03,6.08,5.95,6.06,132600,6.06
2015-07-16,6.01,6.11,5.98,6.00,263300,6.00
2015-07-15,6.00,6.00,5.92,5.99,119900,5.99
2015-07-14,5.92,5.98,5.87,5.97,128700,5.97
2015-07-13,5.95,5.98,5.86,5.92,217000,5.92
2015-07-10,5.83,5.91,5.78,5.90,234100,5.90
2015-07-09,5.86,5.91,5.77,5.77,156200,5.77
2015-07-08,5.94,5.98,5.81,5.84,188400,5.84
2015-07-07,6.10,6.10,5.91,5.98,282500,5.98
2015-07-06,5.86,6.12,5.86,6.08,287200,6.08
2015-07-02,6.07,6.07,5.95,6.00,184400,6.00
2015-07-01,6.15,6.15,6.00,6.04,233000,6.04
2015-06-30,6.00,6.09,5.95,6.02,214700,6.02
2015-06-29,6.09,6.09,5.91,6.01,277500,6.01
2015-06-26,6.32,6.38,6.09,6.12,2138400,6.12
2015-06-25,6.30,6.40,6.26,6.34,388200,6.34
2015-06-24,6.25,6.40,6.20,6.30,436700,6.30
2015-06-23,6.06,6.25,5.95,6.23,387100,6.23
2015-06-22,6.23,6.29,6.08,6.08,270000,6.08
2015-06-19,6.23,6.28,6.15,6.23,281900,6.23
2015-06-18,6.19,6.30,6.16,6.28,481100,6.28
2015-06-17,6.38,6.39,6.24,6.25,148800,6.25
2015-06-16,6.37,6.48,6.23,6.35,410600,6.35
2015-06-15,6.53,6.53,6.40,6.43,521900,6.43
2015-06-12,6.51,6.55,6.51,6.53,433100,6.53
2015-06-11,6.57,6.58,6.51,6.53,319900,6.53
2015-06-10,6.52,6.59,6.51,6.58,347200,6.58
2015-06-09,6.46,6.53,6.46,6.53,252500,6.53
2015-06-08,6.50,6.54,6.46,6.50,468300,6.50
2015-06-05,6.46,6.54,6.42,6.49,502600,6.49
2015-06-04,6.43,6.50,6.42,6.49,539100,6.49
2015-06-03,6.49,6.50,6.43,6.45,527200,6.45
2015-06-02,6.47,6.50,6.44,6.46,562600,6.46
2015-06-01,6.42,6.51,6.39,6.45,580600,6.45
2015-05-29,6.38,6.40,6.35,6.37,511400,6.37
2015-05-28,6.28,6.39,6.27,6.38,868600,6.38
2015-05-27,6.27,6.30,6.26,6.28,851000,6.28
2015-05-26,6.28,6.29,6.26,6.27,425000,6.27
2015-05-22,6.26,6.29,6.25,6.29,381700,6.29
2015-05-21,6.26,6.30,6.24,6.26,371100,6.26
2015-05-20,6.25,6.27,6.24,6.26,314900,6.26
2015-05-19,6.30,6.30,6.22,6.26,464300,6.26
2015-05-18,6.25,6.30,6.24,6.26,723600,6.26
2015-05-15,6.32,6.35,6.23,6.24,1458100,6.24
2015-05-14,6.10,6.18,6.10,6.14,266400,6.14
2015-05-13,6.14,6.19,6.08,6.11,273900,6.11
2015-05-12,6.08,6.19,6.04,6.15,322000,6.15
2015-05-11,5.96,6.08,5.95,6.05,362700,6.05
2015-05-08,5.95,6.08,5.83,5.93,283900,5.93
2015-05-07,5.80,6.11,5.80,5.91,516900,5.91
2015-05-06,5.56,5.64,5.49,5.56,58600,5.56
2015-05-05,5.41,5.64,5.38,5.58,161400,5.58
2015-05-04,5.43,5.52,5.39,5.46,116300,5.46
2015-05-01,5.44,5.46,5.40,5.43,24700,5.43
2015-04-30,5.46,5.49,5.39,5.45,105000,5.45
2015-04-29,5.46,5.53,5.43,5.45,39600,5.45
2015-04-28,5.43,5.53,5.43,5.48,63800,5.48
2015-04-27,5.63,5.63,5.43,5.44,134600,5.44
2015-04-24,5.59,5.59,5.48,5.59,81800,5.59
2015-04-23,5.53,5.65,5.50,5.59,51500,5.59
2015-04-22,5.58,5.61,5.48,5.57,82200,5.57
2015-04-21,5.54,5.65,5.45,5.58,51200,5.58
2015-04-20,5.45,5.55,5.44,5.54,26500,5.54
2015-04-17,5.57,5.70,5.44,5.47,50500,5.47
2015-04-16,5.65,5.70,5.63,5.63,39500,5.63
2015-04-15,5.67,5.70,5.65,5.69,35200,5.69
2015-04-14,5.64,5.70,5.64,5.68,24000,5.68
2015-04-13,5.70,5.70,5.59,5.68,45300,5.68
2015-04-10,5.65,5.74,5.65,5.69,58600,5.69
2015-04-09,5.58,5.69,5.57,5.66,182000,5.66
2015-04-08,5.44,5.61,5.37,5.60,143700,5.60
2015-04-07,5.55,5.61,5.46,5.47,90600,5.47
2015-04-06,5.47,5.58,5.47,5.55,102200,5.55
2015-04-02,5.44,5.48,5.42,5.48,40100,5.48
2015-04-01,5.45,5.48,5.40,5.47,101300,5.47
2015-03-31,5.45,5.45,5.40,5.44,23400,5.44
2015-03-30,5.41,5.49,5.40,5.49,52300,5.49
2015-03-27,5.45,5.45,5.38,5.40,23400,5.40
2015-03-26,5.38,5.49,5.38,5.48,65400,5.48
2015-03-25,5.50,5.50,5.39,5.39,136500,5.39
2015-03-24,5.46,5.50,5.40,5.50,216200,5.50
2015-03-23,5.43,5.48,5.39,5.46,189700,5.46
2015-03-20,5.46,5.48,5.38,5.41,182700,5.41
2015-03-19,5.39,5.50,5.36,5.45,51800,5.45
2015-03-18,5.44,5.50,5.35,5.42,106400,5.42
2015-03-17,5.49,5.50,5.42,5.50,68300,5.50
2015-03-16,5.50,5.54,5.45,5.48,61200,5.48
2015-03-13,5.45,5.50,5.37,5.48,92300,5.48
2015-03-12,5.47,5.47,5.40,5.43,41900,5.43
2015-03-11,5.41,5.48,5.37,5.40,57400,5.40
2015-03-10,5.49,5.52,5.40,5.40,52000,5.40
2015-03-09,5.49,5.52,5.45,5.51,68500,5.51
2015-03-06,5.40,5.55,5.40,5.47,210500,5.47
2015-03-05,5.40,5.43,5.38,5.39,40900,5.39
2015-03-04,5.36,5.45,5.36,5.40,69300,5.40
2015-03-03,5.49,5.50,5.36,5.37,157600,5.37
2015-03-02,5.35,5.52,5.35,5.48,105400,5.48
2015-02-27,5.46,5.48,5.40,5.41,48800,5.41
2015-02-26,5.43,5.46,5.38,5.44,46700,5.44
2015-02-25,5.44,5.56,5.38,5.45,67600,5.45
